"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg__TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"A1BG",18.566797,13.425058,13.989052,15.326969,182,164,192,6.574087,5.356817,5.122674,5.684526,51,37,35,2.44250213104115
"A1BG.AS1",4.485336,3.910238,3.890783,4.09545233333333,109,146,152,2.337322,2.003968,1.253341,1.864877,87,70,50,1.77859375230885
"A1CF",0.232084,0.063162,0.004811,0.100019,1,5,1,0.063683,0.066053,0,0.0432453333333333,4,2,0,1.05442024503025
"A2M",20.514891,0.866071,0.291101,7.224021,519,12,14,47.469149,41.973869,31.55372,40.332246,2028,1448,1149,0.198973484286337
"A2M.AS1",1.875543,1.328968,1.240804,1.48177166666667,64,74,69,1.058558,0.498442,0.612746,0.723248666666667,47,23,23,1.44017036813801
"A2ML1",0.466725,0.673839,0.170052,0.436872,5,14,11,0.229587,0.095002,0,0.108196333333333,6,4,0,1.29658613440639
"A2MP1",0.061885,0.170176,0.221341,0.151134,2,2,6,0.062851,0.01158,0.048479,0.04097,2,1,1,1.10582821791214
"A3GALT2",0.438529,0.497281,0.204317,0.380042333333333,5,8,4,0,0,0,0,0,0,0,1.38004233333333
"A4GALT",13.724676,11.545392,14.652328,13.3074653333333,285,366,484,33.003692,32.717969,29.75239,31.8246836666667,1208,1099,1075,0.435875193151138
"A4GNT",0.153016,0.028124,0,0.06038,4,1,0,0,0,0,0,0,0,0,1.06038
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AAAS",13.508489,16.738215,19.022055,16.4229196666667,343,455,490,17.868209,17.289999,16.874782,17.34433,598,489,514,0.949771382583429
"AACS",15.145339,10.858128,8.980095,11.6611873333333,461,652,560,6.792635,7.2732,5.012077,6.359304,382,296,228,1.72043271120928
"AACSP1",0.721078,1.223639,1.219131,1.054616,29,62,70,0.016684,0.017346,0.035141,0.023057,1,1,2,2.00831038739777
"AADAC",0,0,0,0,0,0,0,0.114227,0.093886,0.189067,0.132393333333333,3,2,4,0.883085382582024
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACL3",0,0.011945,0,0.00398166666666667,0,1,0,0,0,0,0,0,0,0,1.00398166666667
"AADACL4",0.043998,0,0,0.014666,1,0,0,0,0,0,0,0,0,0,1.014666
"AADACP1",0.056238,0,0,0.018746,1,0,0,0.189514,0,0,0.0631713333333333,2,0,0,0.958214323561521
"AADAT",16.560745,15.539194,12.933418,15.011119,429,514,491,2.803781,1.273732,1.256284,1.77793233333333,72,50,52,5.76368214872525
