"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg__TPM","FoldChange"
"A1BG",18.566797,13.425058,13.989052,182,164,192,9.26790433333333,5.64798,11.508254,10.164183,80,113,74,6.82626466666667,1.31198020647909
"A1BG.AS1",4.485336,3.910238,3.890783,109,146,152,0.0150216666666667,2.993404,4.426786,4.406824,63,111,64,0.0226663333333333,0.992524769401815
"A1CF",0.232084,0.063162,0.004811,1,5,1,16.220613,0.008778,0.015491,0.033933,1,2,3,17.6506633333333,0.923324425100877
"A2M",20.514891,0.866071,0.291101,519,12,14,2.97925533333333,40.625779,51.799758,89.320033,783,1285,1315,3.348799,0.915023971752508
"A2M.AS1",1.875543,1.328968,1.240804,64,74,69,0.837580333333333,0.985994,1.245013,1.84604,28,48,47,0.941269666666667,0.946586847199144
"A2ML1",0.466725,0.673839,0.170052,5,14,11,0.0526876666666667,0.729893,0.415146,1.694227,8,7,12,0.0503363333333333,1.00223864800132
"A2MP1",0.061885,0.170176,0.221341,2,2,6,0.389514666666667,0.092784,0.262009,0.132758,2,3,1,0.473548666666667,0.942971683324112
"A3GALT2",0.438529,0.497281,0.204317,5,8,4,11.568825,0.55418,0.27785,0.327994,5,3,2,10.551188,1.08809803805461
"A4GALT",13.724676,11.545392,14.652328,285,366,484,13.5687636666667,10.846069,12.300869,12.113367,217,235,152,16.06117,0.853913516286788
"A4GNT",0.153016,0.028124,0,4,1,0,8.37407766666667,0,0,0,0,0,0,10.3202566666667,0.828079958139936
"AA06",0,0,0,0,0,0,12.7766293333333,0,0,0,0,0,0,7.99269266666667,1.53198044723572
"AAAS",13.508489,16.738215,19.022055,343,455,490,30.1619223333333,15.794751,14.437361,18.892936,243,314,228,20.6681063333333,1.4381470098933
"AACS",15.145339,10.858128,8.980095,461,652,560,16.2866656666667,16.816166,15.213942,17.768125,515,633,467,21.5908253333333,0.765207353498491
"AACSP1",0.721078,1.223639,1.219131,29,62,70,3.992751,0.49208,0.549654,1.355209,14,22,27,4.763057,0.866337258160036
"AADAC",0,0,0,0,0,0,15.380365,0,0,0,0,0,0,17.7200676666667,0.875016334965883
"AADACL2",0,0,0,0,0,0,9.19627866666667,0.015844,0,0,1,0,0,9.67679533333333,0.95499429822669
"AADACL3",0,0.011945,0,0,1,0,13.2169563333333,0.019721,0.018105,0,1,1,0,16.5164316666667,0.811635417753939
"AADACL4",0.043998,0,0,1,0,0,75.0999046666667,0,0,0,0,0,0,95.1721943333333,0.79128801411044
"AADACP1",0.056238,0,0,1,0,0,14.6130316666667,0,0,0,0,0,0,10.168884,1.39790436239347
"AADAT",16.560745,15.539194,12.933418,429,514,491,16.745054,23.254813,19.782313,24.720589,444,388,330,18.9848223333333,0.88792653264685
"AAGAB",41.413864,42.849994,35.918127,993,1426,1315,96.488751,38.022919,40.964417,49.3614,824,823,659,98.15076,0.98323755662589
"AAK1",11.518232,13.289394,13.438405,2499,3549,3550,9.86786333333333,10.270345,12.426278,11.917593,2058,2373,1545,14.523083,0.700109851460134
"AAMDC",9.532266,5.352023,7.306193,48,40,51,19.3151253333333,4.594566,5.205604,4.56697,17,27,14,11.0918973333333,1.68006101716819
"AAMP",72.348646,70.27047,54.966626,935,1376,1193,1.45578866666667,70.693659,74.272111,74.414188,751,872,576,2.069134,0.800156873784809
"AANAT",0.253842,0.182542,0.515652,1,1,6,0,0.455665,0.118631,0.121817,3,1,2,0.0941333333333333,0.913965391177187
"AAR2",9.862522,12.742074,9.815474,384,679,543,0.0465643333333333,12.288203,12.652486,12.834718,390,432,284,0.112956333333333,0.940346266954469
"AARD",0.160926,0.129803,0.240983,5,6,12,10.131919,0.417513,1.538506,1.037211,12,14,10,15.675252,0.667571260692192
