"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg__TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"A1BG",18.566797,13.425058,13.989052,15.326969,182,164,192,12.383067,11.034331,14.333404,12.5836006666667,126,71,81,1.20196179206485
"A1BG.AS1",4.485336,3.910238,3.890783,4.09545233333333,109,146,152,6.440296,4.571839,4.757617,5.256584,156,94,113,0.814414436589253
"A1CF",0.232084,0.063162,0.004811,0.100019,1,5,1,0,0.018194,0.01632,0.0115046666666667,0,2,2,1.08750758770597
"A2M",20.514891,0.866071,0.291101,7.224021,519,12,14,93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,0.0783489553337341
"A2M.AS1",1.875543,1.328968,1.240804,1.48177166666667,64,74,69,1.34759,0.843674,1.358533,1.18326566666667,46,17,41,1.13672454276064
"A2ML1",0.466725,0.673839,0.170052,0.436872,5,14,11,0.645592,0.320555,0.729682,0.565276333333333,6,8,9,0.917966987298728
"A2MP1",0.061885,0.170176,0.221341,0.151134,2,2,6,0.165659,0.426102,0.092535,0.228098666666667,3,3,1,0.937330225367343
"A3GALT2",0.438529,0.497281,0.204317,0.380042333333333,5,8,4,0.251325,0.112836,0.205214,0.189791666666667,3,1,2,1.15990250393977
"A4GALT",13.724676,11.545392,14.652328,13.3074653333333,285,366,484,1.677651,1.425484,2.068745,1.72396,11,6,11,5.252450598883
"A4GNT",0.153016,0.028124,0,0.06038,4,1,0,0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,1.00215070158488
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AAAS",13.508489,16.738215,19.022055,16.4229196666667,343,455,490,22.626138,22.03279,25.95966,23.5395293333333,485,382,454,0.709994043895544
"AACS",15.145339,10.858128,8.980095,11.6611873333333,461,652,560,20.326116,20.425959,26.161884,22.304653,720,608,707,0.543290103196702
"AACSP1",0.721078,1.223639,1.219131,1.054616,29,62,70,1.03341,0.522627,0.873839,0.809958666666667,38,18,33,1.13517288424266
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,0,0.013978,0.017282,0.015789,0.015683,1,1,1,0.98455915871389
"AADACL3",0,0.011945,0,0.00398166666666667,0,1,0,0,0,0,0,0,0,0,1.00398166666667
"AADACL4",0.043998,0,0,0.014666,1,0,0,0,0,0,0,0,0,0,1.014666
"AADACP1",0.056238,0,0,0.018746,1,0,0,0,0,0,0,0,0,0,1.018746
"AADAT",16.560745,15.539194,12.933418,15.011119,429,514,491,11.191628,12.930531,10.028336,11.3834983333333,298,198,233,1.29293989218717
"AAGAB",41.413864,42.849994,35.918127,40.0606616666667,993,1426,1315,19.083715,24.987378,20.768264,21.613119,460,421,405,1.81578939493781
"AAK1",11.518232,13.289394,13.438405,12.748677,2499,3549,3550,8.82358,11.990978,8.52265,9.77906933333333,1360,1207,1223,1.27549759397905
"AAMDC",9.532266,5.352023,7.306193,7.39682733333333,48,40,51,11.840577,16.196803,14.120167,14.0525156666667,61,65,52,0.557835482073462
"AAMP",72.348646,70.27047,54.966626,65.861914,935,1376,1193,50.785242,57.93435,59.245556,55.9883826666667,665,551,649,1.17325515958375
"AANAT",0.253842,0.182542,0.515652,0.317345333333333,1,1,6,0.527125,0,0.383865,0.303663333333333,5,0,3,1.01049504089757
"AAR2",9.862522,12.742074,9.815474,10.80669,384,679,543,9.802296,9.159607,9.720694,9.56086566666667,356,271,317,1.11796611874967
"AARD",0.160926,0.129803,0.240983,0.177237333333333,5,6,12,0.430968,0.085659,1.087127,0.534584666666667,14,2,11,0.767137427412498
"AARS1",61.137205,66.203897,57.698854,61.6799853333333,2513,3252,3240,28.854614,28.801712,24.508809,27.3883783333333,1167,916,940,2.20794525835014
"AARS1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AARS2",4.02726,4.870429,3.692426,4.196705,318,528,425,5.386935,4.813326,4.864937,5.02173266666667,386,295,304,0.862991648361673
"AARSD1",57.596898,71.665882,48.347544,59.2034413333333,392,756,544,74.878567,67.118873,80.955658,74.3176993333333,446,311,417,0.799326610693339
"AASDH",5.317648,4.075445,5.487073,4.96005533333333,154,175,182,5.458335,2.72435,3.019545,3.73407666666667,133,107,128,1.25896890840382
"AASDHPPT",104.747918,110.344793,89.985303,101.692671333333,3116,4632,3686,49.305585,36.802533,43.42734,43.178486,1280,906,1184,2.32449503437789
"AASS",2.628604,2.250706,1.439504,2.10627133333333,225,282,185,9.710755,9.041474,7.927698,8.893309,771,591,561,0.313976985185981
"AATBC",0.101052,0.061185,0.102274,0.0881703333333333,6,3,7,0.270135,0.323838,0.313939,0.302637333333333,9,8,8,0.83535939396793
"AATF",16.465887,17.429714,15.691305,16.5289686666667,276,428,414,15.593698,15.462792,19.291505,16.782665,279,197,205,0.985733503199136
"AATK",16.385879,16.887406,16.473264,16.582183,581,867,1089,5.175648,2.801113,2.12947,3.36874366666667,197,66,153,4.02453985436393
"ABALON",1.878141,1.092098,1.292027,1.42075533333333,54,43,54,0.221339,0.4943,0.206463,0.307367333333333,6,11,5,1.85162599034905
"ABAT",59.088785,64.587057,41.158971,54.9449376666667,3015,4574,3152,19.311736,14.714566,12.931931,15.6527443333333,1137,753,789,3.35950258689093
"ABCA1",4.587007,4.124422,3.096802,3.936077,771,969,758,13.944394,12.167811,12.461129,12.857778,2286,1610,1812,0.356195416032787
"ABCA10",1.20466,0.95142,0.489229,0.881769666666667,24,31,27,5.207727,2.056644,5.225361,4.163244,145,54,111,0.364454917618975
"ABCA11P",1.784649,1.474793,0.919267,1.392903,51,54,37,4.636006,3.841444,3.107302,3.861584,111,76,68,0.492206449585156
"ABCA12",0.060479,0.006374,0,0.0222843333333333,9,1,0,0.045246,0.050407,0.030483,0.0420453333333333,6,6,4,0.981036333671984
