"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg__TPM","FoldChange"
"A1BG",18.566797,13.425058,13.989052,182,164,192,9.26790433333333,8.512248,7.362639,11.019571,104,79,86,13.451698,0.710498125087677
"A1BG.AS1",4.485336,3.910238,3.890783,109,146,152,0.0150216666666667,5.039933,6.148286,5.339118,154,135,110,0.465388333333333,0.692663946871876
"A1CF",0.232084,0.063162,0.004811,1,5,1,16.220613,0.012027,0,0.110455,2,0,3,22.081877,0.746066405258117
"A2M",20.514891,0.866071,0.291101,519,12,14,2.97925533333333,166.022861,193.59196,157.990809,4945,3898,3159,3.21241433333333,0.944649556869327
"A2M.AS1",1.875543,1.328968,1.240804,64,74,69,0.837580333333333,1.219486,1.437591,2.081773,62,50,52,2.37860833333333,0.543886758107998
"A2ML1",0.466725,0.673839,0.170052,5,14,11,0.0526876666666667,0.804659,0.257959,0.950643,15,4,6,0.0321696666666667,1.0198785148049
"A2MP1",0.061885,0.170176,0.221341,2,2,6,0.389514666666667,0,0.07058,0.098361,0,3,1,2.59883833333333,0.38610088533198
"A3GALT2",0.438529,0.497281,0.204317,5,8,4,11.568825,0.144755,0.097166,0.113413,2,1,1,19.0452523333333,0.627022538354344
"A4GALT",13.724676,11.545392,14.652328,285,366,484,13.5687636666667,4.719891,2.211286,2.676825,75,26,24,20.6474723333333,0.673000683051264
"A4GNT",0.153016,0.028124,0,4,1,0,8.37407766666667,0.099138,0,0,3,0,0,12.9156153333333,0.673637309031681
