"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg__TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"A1BG",12.383067,11.034331,14.333404,12.5836006666667,126,71,81,6.574087,5.356817,5.122674,5.684526,51,37,35,2.03209631717592
"A1BG.AS1",6.440296,4.571839,4.757617,5.256584,156,94,113,2.337322,2.003968,1.253341,1.864877,87,70,50,2.18389271162427
"A1CF",0,0.018194,0.01632,0.0115046666666667,0,2,2,0.063683,0.066053,0,0.0432453333333333,4,2,0,0.969575069590534
"A2M",93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,47.469149,41.973869,31.55372,40.332246,2028,1448,1149,2.53958056541778
"A2M.AS1",1.34759,0.843674,1.358533,1.18326566666667,46,17,41,1.058558,0.498442,0.612746,0.723248666666667,47,23,23,1.26694754442481
"A2ML1",0.645592,0.320555,0.729682,0.565276333333333,6,8,9,0.229587,0.095002,0,0.108196333333333,6,4,0,1.41245399055342
"A2MP1",0.165659,0.426102,0.092535,0.228098666666667,3,3,1,0.062851,0.01158,0.048479,0.04097,2,1,1,1.17976374599332
"A3GALT2",0.251325,0.112836,0.205214,0.189791666666667,3,1,2,0,0,0,0,0,0,0,1.18979166666667
"A4GALT",1.677651,1.425484,2.068745,1.72396,11,6,11,33.003692,32.717969,29.75239,31.8246836666667,1208,1099,1075,0.0829851104632631
"A4GNT",0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,0,0,0,0,0,0,0,1.05810433333333
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AAAS",22.626138,22.03279,25.95966,23.5395293333333,485,382,454,17.868209,17.289999,16.874782,17.34433,598,489,514,1.33771739460276
"AACS",20.326116,20.425959,26.161884,22.304653,720,608,707,6.792635,7.2732,5.012077,6.359304,382,296,228,3.16669252961965
"AACSP1",1.03341,0.522627,0.873839,0.809958666666667,38,18,33,0.016684,0.017346,0.035141,0.023057,1,1,2,1.76916698352747
"AADAC",0,0,0,0,0,0,0,0.114227,0.093886,0.189067,0.132393333333333,3,2,4,0.883085382582024
"AADACL2",0.013978,0.017282,0.015789,0.015683,1,1,1,0,0,0,0,0,0,0,1.015683
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACP1",0,0,0,0,0,0,0,0.189514,0,0,0.0631713333333333,2,0,0,0.940582170198971
