"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg__TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"A1BG",12.383067,11.034331,14.333404,12.5836006666667,126,71,81,5.64798,11.508254,10.164183,9.10680566666667,80,113,74,1.34400532815891
"A1BG.AS1",6.440296,4.571839,4.757617,5.256584,156,94,113,2.993404,4.426786,4.406824,3.942338,63,111,64,1.26591584792461
"A1CF",0,0.018194,0.01632,0.0115046666666667,0,2,2,0.008778,0.015491,0.033933,0.0194006666666667,1,2,3,0.992254272281556
"A2M",93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,40.625779,51.799758,89.320033,60.5818566666667,783,1285,1315,1.70450477378159
"A2M.AS1",1.34759,0.843674,1.358533,1.18326566666667,46,17,41,0.985994,1.245013,1.84604,1.35901566666667,28,48,47,0.925498587193218
"A2ML1",0.645592,0.320555,0.729682,0.565276333333333,6,8,9,0.729893,0.415146,1.694227,0.946422,8,7,12,0.804181381701056
"A2MP1",0.165659,0.426102,0.092535,0.228098666666667,3,3,1,0.092784,0.262009,0.132758,0.162517,2,3,1,1.05641351194578
"A3GALT2",0.251325,0.112836,0.205214,0.189791666666667,3,1,2,0.55418,0.27785,0.327994,0.386674666666667,5,3,2,0.858017886435271
"A4GALT",1.677651,1.425484,2.068745,1.72396,11,6,11,10.846069,12.300869,12.113367,11.753435,217,235,152,0.213586378885375
"A4GNT",0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,0,0,0,0,0,0,0,1.05810433333333
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AAAS",22.626138,22.03279,25.95966,23.5395293333333,485,382,454,15.794751,14.437361,18.892936,16.375016,243,314,228,1.41234571141306
