"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg__TPM","FoldChange"
"A1BG",12.383067,11.034331,14.333404,126,71,81,21.339172,8.512248,7.362639,11.019571,104,79,86,13.451698,1.54578181747224
"A1BG.AS1",6.440296,4.571839,4.757617,156,94,113,4.04482766666667,5.039933,6.148286,5.339118,154,135,110,0.465388333333333,3.44265581478402
"A1CF",0,0.018194,0.01632,0,2,2,25.9035856666667,0.012027,0,0.110455,2,0,3,22.081877,1.16557183225033
"A2M",93.505878,154.962182,63.431646,2246,2504,1541,2.80286666666667,166.022861,193.59196,157.990809,4945,3898,3159,3.21241433333333,0.902776024802245
"A2M.AS1",1.34759,0.843674,1.358533,46,17,41,2.850321,1.219486,1.437591,2.081773,62,50,52,2.37860833333333,1.13961744603917
"A2ML1",0.645592,0.320555,0.729682,6,8,9,0.0117503333333333,0.804659,0.257959,0.950643,15,4,6,0.0321696666666667,0.980217076714455
"A2MP1",0.165659,0.426102,0.092535,3,3,1,3.729439,0,0.07058,0.098361,0,3,1,2.59883833333333,1.31415711458744
"A3GALT2",0.251325,0.112836,0.205214,3,1,2,31.34975,0.144755,0.097166,0.113413,2,1,1,19.0452523333333,1.61383600775159
"A4GALT",1.677651,1.425484,2.068745,11,6,11,15.4402076666667,4.719891,2.211286,2.676825,75,26,24,20.6474723333333,0.759451607721961
"A4GNT",0.079778,0.049504,0.045031,2,1,1,13.7070106666667,0.099138,0,0,3,0,0,12.9156153333333,1.05687102685554
"AA06",0,0,0,0,0,0,1.85247766666667,0,0,0,0,0,0,3.95170633333333,0.576059538802752
"AAAS",22.626138,22.03279,25.95966,485,382,454,4.99417633333333,22.215928,24.455156,21.480131,578,403,355,10.661894,0.513996811609961
"AACS",20.326116,20.425959,26.161884,720,608,707,18.556026,17.933589,18.199238,25.629245,910,792,813,18.3099346666667,1.0127442861709
