"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg__TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"A1BG",8.512248,7.362639,11.019571,8.96481933333333,104,79,86,6.574087,5.356817,5.122674,5.684526,51,37,35,1.49072938505039
"A1BG.AS1",5.039933,6.148286,5.339118,5.50911233333333,154,135,110,2.337322,2.003968,1.253341,1.864877,87,70,50,2.27203902063975
"A1CF",0.012027,0,0.110455,0.0408273333333333,2,0,3,0.063683,0.066053,0,0.0432453333333333,4,2,0,0.997682232622815
"A2M",166.022861,193.59196,157.990809,172.53521,4945,3898,3159,47.469149,41.973869,31.55372,40.332246,2028,1448,1149,4.19854294876693
"A2M.AS1",1.219486,1.437591,2.081773,1.57961666666667,62,50,52,1.058558,0.498442,0.612746,0.723248666666667,47,23,23,1.49694975343083
"A2ML1",0.804659,0.257959,0.950643,0.671087,15,4,6,0.229587,0.095002,0,0.108196333333333,6,4,0,1.50793406342859
"A2MP1",0,0.07058,0.098361,0.0563136666666667,0,3,1,0.062851,0.01158,0.048479,0.04097,2,1,1,1.0147397779635
"A3GALT2",0.144755,0.097166,0.113413,0.118444666666667,2,1,1,0,0,0,0,0,0,0,1.11844466666667
"A4GALT",4.719891,2.211286,2.676825,3.20266733333333,75,26,24,33.003692,32.717969,29.75239,31.8246836666667,1208,1099,1075,0.128033749723569
"A4GNT",0.099138,0,0,0.033046,3,0,0,0,0,0,0,0,0,0,1.033046
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AAAS",22.215928,24.455156,21.480131,22.7170716666667,578,403,355,17.868209,17.289999,16.874782,17.34433,598,489,514,1.29288295983918
"AACS",17.933589,18.199238,25.629245,20.5873573333333,910,792,813,6.792635,7.2732,5.012077,6.359304,382,296,228,2.93334224721976
"AACSP1",0.872217,1.108501,1.29987,1.09352933333333,31,37,38,0.016684,0.017346,0.035141,0.023057,1,1,2,2.04634671707767
"AADAC",0,0,0,0,0,0,0,0.114227,0.093886,0.189067,0.132393333333333,3,2,4,0.883085382582024
"AADACL2",0,0,0.016678,0.00555933333333333,0,0,1,0,0,0,0,0,0,0,1.00555933333333
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACP1",0,0,0,0,0,0,0,0.189514,0,0,0.0631713333333333,2,0,0,0.940582170198971
"AADAT",13.595651,16.190365,22.775181,17.520399,324,335,359,2.803781,1.273732,1.256284,1.77793233333333,72,50,52,6.66697268963955
"AAGAB",22.912872,27.695939,31.184347,27.264386,656,567,572,13.5382,8.893211,8.17232,10.2012436666667,443,347,312,2.52332569856603
"AAK1",11.479212,14.408764,9.576512,11.821496,2755,2090,1905,8.140723,4.98695,5.632312,6.25332833333333,1061,924,810,1.76767070381712
"AAMDC",13.752073,7.993795,9.099596,10.2818213333333,71,41,35,43.508279,45.757314,41.928473,43.7313553333333,288,290,250,0.252212821392564
"AAMP",63.531145,62.598294,71.307854,65.812431,995,729,745,48.914554,44.434024,32.481351,41.9433096666667,986,865,668,1.55582863823514
"AANAT",0.21683,0.243358,0.326805,0.262331,4,5,1,0.384486,0.191591,0.957074,0.511050333333333,4,2,7,0.835399703208651
"AAR2",10.815465,10.804659,13.984677,11.868267,486,364,414,9.629091,8.985329,7.802869,8.805763,494,440,373,1.31231674679472
"AARD",1.609116,1.070727,1.582262,1.42070166666667,36,32,31,0.509473,0.537165,0.417107,0.487915,11,13,17,1.62690857116614
"AARS1",44.0177,45.687718,47.566252,45.7572233333333,2192,1394,1433,22.672867,16.865167,16.478736,18.6722566666667,1180,877,706,2.37681035407393
"AARS1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AARS2",5.079803,4.491045,5.615728,5.062192,446,312,330,2.873718,2.217694,1.513002,2.20147133333333,289,218,155,1.89356435488933
"AARSD1",51.795203,58.156602,82.475187,64.1423306666667,415,381,422,42.269472,45.211996,38.782538,42.088002,410,412,304,1.51184384615157
"AASDH",6.432077,7.774202,3.850395,6.01889133333333,231,167,150,1.51679,1.429238,0.686802,1.21094333333333,72,62,45,3.17461385260892
"AASDHPPT",58.628575,94.077285,98.573128,83.7596626666667,1977,2473,2685,15.491333,11.332325,7.790263,11.5379736666667,438,436,306,6.76023613704086
"AASS",13.774036,8.645864,8.691924,10.370608,1272,600,554,10.663442,6.340196,5.078783,7.360807,777,556,484,1.3599892928996
"AATBC",0.144469,0.015034,0,0.0531676666666667,4,1,0,0.16705,0.020132,0.02015,0.0691106666666667,11,2,2,0.985087605523843
"AATF",15.556557,12.511396,24.184485,17.4174793333333,282,197,252,18.011852,16.629179,17.421425,17.354152,333,266,229,1.00345030014644
"AATK",10.041919,13.414946,14.753141,12.7366686666667,524,498,547,0.807211,1.215351,1.261386,1.09464933333333,81,68,60,6.55798011059289
"ABALON",1.200849,0.954706,0.995018,1.050191,40,24,22,0.126228,0.106777,0.026797,0.0866006666666667,5,4,1,1.88679343101207
"ABAT",20.235765,20.679629,22.875907,21.263767,1501,1015,1095,3.072307,1.855792,1.672802,2.20030033333333,274,169,145,6.95677426524865
"ABCA1",9.443781,4.284659,2.688057,5.47216566666667,1855,645,360,1.876267,0.885241,0.804978,1.18882866666667,396,171,159,2.95690830681738
"ABCA10",4.203212,3.140601,2.629465,3.324426,127,77,72,0.159011,0.678309,0.402902,0.413407333333333,12,6,3,3.05957518262016
"ABCA11P",2.951542,3.925685,3.428422,3.43521633333333,94,89,71,1.985955,1.111808,0.940415,1.34605933333333,66,38,32,1.89049623354226
"ABCA12",0.045172,0.022129,0.054667,0.040656,8,3,5,0,0.006599,0,0.00219966666666667,0,1,0,1.03837192788263
"ABCA13",0.473253,0.153458,0.298046,0.308252333333333,16,13,6,0.174113,0.034944,0.058673,0.0892433333333333,5,3,5,1.20106526549011
"ABCA17P",3.708489,2.524203,3.578368,3.27035333333333,36,18,16,0.02167,0.266152,1.014407,0.434076333333333,2,4,5,2.97777268481059
"ABCA2",65.073528,68.481942,65.791533,66.449001,2021,1255,1196,24.315816,17.365586,16.698512,19.4599713333333,805,444,402,3.29663223379557
"ABCA3",27.609577,42.459618,39.449413,36.5062026666667,3105,3571,2969,2.864033,2.329955,1.427765,2.207251,295,201,155,11.6941900296131
"ABCA4",1.143229,0.018773,0.021485,0.394495666666667,17,1,2,0.012157,0.012809,0,0.008322,1,1,0,1.38298645340146
"ABCA5",12.626236,11.918269,12.828291,12.4575986666667,670,562,506,4.156998,3.19961,2.228167,3.194925,168,152,100,3.20806657250527
"ABCA6",1.147123,0.606076,1.259058,1.00408566666667,36,30,11,0.307074,0.113031,0.186072,0.202059,11,7,9,1.66721073313928
"ABCA7",22.668326,32.522392,34.714621,29.9684463333333,715,882,818,11.353326,7.85688,8.990523,9.400243,435,267,221,2.9776656500558
"ABCA8",41.403634,26.861255,35.063602,34.4428303333333,1731,991,983,3.234198,1.719767,1.436738,2.13023433333333,96,64,65,11.3227402676882
"ABCA9",1.381284,1.137468,5.074584,2.531112,58,43,31,0.287344,0.110486,0.190728,0.196186,11,7,5,2.9519756960874
"ABCA9.AS1",0,0.165671,0,0.0552236666666667,0,1,0,0,0,0.171932,0.0573106666666667,0,0,1,0.998026124141375
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,0.03239,0.180298,0.191402,0.134696666666667,3,5,3,1.14941408717161
"ABCB10",4.896031,7.84716,8.051324,6.931505,306,313,320,4.005154,2.663769,2.895076,3.18799966666667,137,128,111,1.89386476391792
"ABCB10P3",0,1e-06,0,3.33333333333333e-07,0,0,0,0.115241,0.054277,0,0.056506,5,2,0,0.946516473482719
"ABCB10P4",0.029557,0.039022,0,0.0228596666666667,1,1,0,0,0,0.054181,0.0180603333333333,0,0,2,1.00471419342861
"ABCB11",1.175122,1.322998,0.805546,1.101222,11,4,8,0.266721,0.007328,0.0069,0.0936496666666667,3,1,1,1.92129350380027
"ABCB4",2.033786,0.852535,0.451585,1.11263533333333,44,12,10,11.373936,10.12465,10.942716,10.8137673333333,248,158,162,0.178828249594216
"ABCB5",0.028091,0.34729,0.350931,0.242104,3,10,12,0.238192,0,0.073851,0.104014333333333,1,0,5,1.12507959588689
"ABCB6",54.080406,38.532465,32.137188,41.583353,870,459,384,8.326215,7.061364,8.704006,8.03052833333333,123,101,86,4.71548855484092
"ABCB7",11.18593,7.852267,6.075745,8.371314,297,164,171,13.831658,11.114692,9.446497,11.4642823333333,350,248,280,0.751853476147457
"ABCB8",18.529731,23.651367,21.054635,21.0785776666667,617,605,535,11.02178,6.985446,5.674411,7.893879,471,342,268,2.4824463731367
"ABCB9",15.865448,14.222772,16.455124,15.514448,442,382,371,4.324097,2.790693,3.029996,3.38159533333333,187,127,124,3.76904911194446
"ABCC1",5.953924,4.982028,4.693158,5.20970333333333,660,375,308,4.111846,2.414281,2.166516,2.89754766666667,483,341,276,1.59323345457481
"ABCC10",35.009112,58.850277,42.406563,45.421984,641,664,643,14.897475,9.350053,15.513101,13.253543,250,167,160,3.25687332616178
