"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg__TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"A1BG",8.512248,7.362639,11.019571,8.96481933333333,104,79,86,5.64798,11.508254,10.164183,9.10680566666667,80,113,74,0.985951413531021
"A1BG.AS1",5.039933,6.148286,5.339118,5.50911233333333,154,135,110,2.993404,4.426786,4.406824,3.942338,63,111,64,1.31701076157344
"A1CF",0.012027,0,0.110455,0.0408273333333333,2,0,3,0.008778,0.015491,0.033933,0.0194006666666667,1,2,3,1.02101888626062
"A2M",166.022861,193.59196,157.990809,172.53521,4945,3898,3159,40.625779,51.799758,89.320033,60.5818566666667,783,1285,1315,2.8179600192849
"A2M.AS1",1.219486,1.437591,2.081773,1.57961666666667,62,50,52,0.985994,1.245013,1.84604,1.35901566666667,28,48,47,1.09351400379282
"A2ML1",0.804659,0.257959,0.950643,0.671087,15,4,6,0.729893,0.415146,1.694227,0.946422,8,7,12,0.858543008658965
"A2MP1",0,0.07058,0.098361,0.0563136666666667,0,3,1,0.092784,0.262009,0.132758,0.162517,2,3,1,0.908643629870932
"A3GALT2",0.144755,0.097166,0.113413,0.118444666666667,2,1,1,0.55418,0.27785,0.327994,0.386674666666667,5,3,2,0.806566019811424
"A4GALT",4.719891,2.211286,2.676825,3.20266733333333,75,26,24,10.846069,12.300869,12.113367,11.753435,217,235,152,0.329532187472107
"A4GNT",0.099138,0,0,0.033046,3,0,0,0,0,0,0,0,0,0,1.033046
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AAAS",22.215928,24.455156,21.480131,22.7170716666667,578,403,355,15.794751,14.437361,18.892936,16.375016,243,314,228,1.36501006195716
"AACS",17.933589,18.199238,25.629245,20.5873573333333,910,792,813,16.816166,15.213942,17.768125,16.599411,515,633,467,1.22659544307098
"AACSP1",0.872217,1.108501,1.29987,1.09352933333333,31,37,38,0.49208,0.549654,1.355209,0.798981,14,22,27,1.16373065270469
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACL2",0,0,0.016678,0.00555933333333333,0,0,1,0.015844,0,0,0.00528133333333333,1,0,0,1.00027653950271
"AADACL3",0,0,0,0,0,0,0,0.019721,0.018105,0,0.0126086666666667,1,1,0,0.987548332261295
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
