"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg__TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"A1BG",8.512248,7.362639,11.019571,8.96481933333333,104,79,86,18.566797,13.425058,13.989052,15.326969,182,164,192,0.610328796075581
"A1BG.AS1",5.039933,6.148286,5.339118,5.50911233333333,154,135,110,4.485336,3.910238,3.890783,4.09545233333333,109,146,152,1.27743562445912
"A1CF",0.012027,0,0.110455,0.0408273333333333,2,0,3,0.232084,0.063162,0.004811,0.100019,1,5,1,0.946190323379263
"A2M",166.022861,193.59196,157.990809,172.53521,4945,3898,3159,20.514891,0.866071,0.291101,7.224021,519,12,14,21.1010173733749
"A2M.AS1",1.219486,1.437591,2.081773,1.57961666666667,62,50,52,1.875543,1.328968,1.240804,1.48177166666667,64,74,69,1.03942546420131
"A2ML1",0.804659,0.257959,0.950643,0.671087,15,4,6,0.466725,0.673839,0.170052,0.436872,5,14,11,1.16300338513103
"A2MP1",0,0.07058,0.098361,0.0563136666666667,0,3,1,0.061885,0.170176,0.221341,0.151134,2,2,6,0.917628761435825
"A3GALT2",0.144755,0.097166,0.113413,0.118444666666667,2,1,1,0.438529,0.497281,0.204317,0.380042333333333,5,8,4,0.810442288364584
"A4GALT",4.719891,2.211286,2.676825,3.20266733333333,75,26,24,13.724676,11.545392,14.652328,13.3074653333333,285,366,484,0.29373947344412
"A4GNT",0.099138,0,0,0.033046,3,0,0,0.153016,0.028124,0,0.06038,4,1,0,0.974222448556178
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AAAS",22.215928,24.455156,21.480131,22.7170716666667,578,403,355,13.508489,16.738215,19.022055,16.4229196666667,343,455,490,1.36125701779145
"AACS",17.933589,18.199238,25.629245,20.5873573333333,910,792,813,15.145339,10.858128,8.980095,11.6611873333333,461,652,560,1.70500260086192
"AACSP1",0.872217,1.108501,1.29987,1.09352933333333,31,37,38,0.721078,1.223639,1.219131,1.054616,29,62,70,1.01893946768317
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACL2",0,0,0.016678,0.00555933333333333,0,0,1,0,0,0,0,0,0,0,1.00555933333333
"AADACL3",0,0,0,0,0,0,0,0,0.011945,0,0.00398166666666667,0,1,0,0.996034124129093
"AADACL4",0,0,0,0,0,0,0,0.043998,0,0,0.014666,1,0,0,0.985545982618911
"AADACP1",0,0,0,0,0,0,0,0.056238,0,0,0.018746,1,0,0,0.981598946155371
"AADAT",13.595651,16.190365,22.775181,17.520399,324,335,359,16.560745,15.539194,12.933418,15.011119,429,514,491,1.15672108863846
"AAGAB",22.912872,27.695939,31.184347,27.264386,656,567,572,41.413864,42.849994,35.918127,40.0606616666667,993,1426,1315,0.68835680801864
"AAK1",11.479212,14.408764,9.576512,11.821496,2755,2090,1905,11.518232,13.289394,13.438405,12.748677,2499,3549,3550,0.932562165799662
"AAMDC",13.752073,7.993795,9.099596,10.2818213333333,71,41,35,9.532266,5.352023,7.306193,7.39682733333333,48,40,51,1.34358143682999
"AAMP",63.531145,62.598294,71.307854,65.812431,995,729,745,72.348646,70.27047,54.966626,65.861914,935,1376,1193,0.999259922472456
"AANAT",0.21683,0.243358,0.326805,0.262331,4,5,1,0.253842,0.182542,0.515652,0.317345333333333,1,1,6,0.958238487706084
"AAR2",10.815465,10.804659,13.984677,11.868267,486,364,414,9.862522,12.742074,9.815474,10.80669,384,679,543,1.08991317634324
"AARD",1.609116,1.070727,1.582262,1.42070166666667,36,32,31,0.160926,0.129803,0.240983,0.177237333333333,5,6,12,2.05625628590327
"AARS1",44.0177,45.687718,47.566252,45.7572233333333,2192,1394,1433,61.137205,66.203897,57.698854,61.6799853333333,2513,3252,3240,0.745967362383344
"AARS1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AARS2",5.079803,4.491045,5.615728,5.062192,446,312,330,4.02726,4.870429,3.692426,4.196705,318,528,425,1.16654533978742
"AARSD1",51.795203,58.156602,82.475187,64.1423306666667,415,381,422,57.596898,71.665882,48.347544,59.2034413333333,392,756,544,1.08203666142584
"AASDH",6.432077,7.774202,3.850395,6.01889133333333,231,167,150,5.317648,4.075445,5.487073,4.96005533333333,154,175,182,1.17765539760649
"AASDHPPT",58.628575,94.077285,98.573128,83.7596626666667,1977,2473,2685,104.747918,110.344793,89.985303,101.692671333333,3116,4632,3686,0.825372069556382
"AASS",13.774036,8.645864,8.691924,10.370608,1272,600,554,2.628604,2.250706,1.439504,2.10627133333333,225,282,185,3.66053276736718
"AATBC",0.144469,0.015034,0,0.0531676666666667,4,1,0,0.101052,0.061185,0.102274,0.0881703333333333,6,3,7,0.967833467248234
"AATF",15.556557,12.511396,24.184485,17.4174793333333,282,197,252,16.465887,17.429714,15.691305,16.5289686666667,276,428,414,1.05068813137628
"AATK",10.041919,13.414946,14.753141,12.7366686666667,524,498,547,16.385879,16.887406,16.473264,16.582183,581,867,1089,0.781283454202852
"ABALON",1.200849,0.954706,0.995018,1.050191,40,24,22,1.878141,1.092098,1.292027,1.42075533333333,54,43,54,0.846922021308501
"ABAT",20.235765,20.679629,22.875907,21.263767,1501,1015,1095,59.088785,64.587057,41.158971,54.9449376666667,3015,4574,3152,0.397958562982997
"ABCA1",9.443781,4.284659,2.688057,5.47216566666667,1855,645,360,4.587007,4.124422,3.096802,3.936077,771,969,758,1.31119625294878
"ABCA10",4.203212,3.140601,2.629465,3.324426,127,77,72,1.20466,0.95142,0.489229,0.881769666666667,24,31,27,2.29806340095821
"ABCA11P",2.951542,3.925685,3.428422,3.43521633333333,94,89,71,1.784649,1.474793,0.919267,1.392903,51,54,37,1.8534877232104
"ABCA12",0.045172,0.022129,0.054667,0.040656,8,3,5,0.060479,0.006374,0,0.0222843333333333,9,1,0,1.01797119066352
"ABCA13",0.473253,0.153458,0.298046,0.308252333333333,16,13,6,0.018797,0.084847,0.059631,0.054425,1,8,6,1.24072583003375
"ABCA17P",3.708489,2.524203,3.578368,3.27035333333333,36,18,16,4.66571,1.657589,2.029971,2.78442333333333,35,13,40,1.12840265403712
"ABCA2",65.073528,68.481942,65.791533,66.449001,2021,1255,1196,86.10463,86.558699,80.710993,84.4581073333333,2072,2678,2585,0.789263922461002
"ABCA3",27.609577,42.459618,39.449413,36.5062026666667,3105,3571,2969,55.59978,54.652489,44.714698,51.6556556666667,4782,6902,6185,0.712292007227055
"ABCA4",1.143229,0.018773,0.021485,0.394495666666667,17,1,2,0.709647,0.545438,0.159905,0.471663333333333,39,1,1,0.947564320643988
"ABCA5",12.626236,11.918269,12.828291,12.4575986666667,670,562,506,10.668791,9.107596,7.662206,9.14619766666667,513,604,633,1.32636866625208
"ABCA6",1.147123,0.606076,1.259058,1.00408566666667,36,30,11,0.332708,0.201177,0.26943,0.267771666666667,9,14,15,1.5807938600931
"ABCA7",22.668326,32.522392,34.714621,29.9684463333333,715,882,818,42.45405,52.111696,39.796489,44.7874116666667,1395,2369,1835,0.676352849092765
"ABCA8",41.403634,26.861255,35.063602,34.4428303333333,1731,991,983,0.244206,0.413915,0.141469,0.26653,6,7,6,27.9842011901284
"ABCA9",1.381284,1.137468,5.074584,2.531112,58,43,31,4.035468,0.682386,0.739211,1.81902166666667,21,27,35,1.2526019369604
"ABCA9.AS1",0,0.165671,0,0.0552236666666667,0,1,0,0,0,0,0,0,0,0,1.05522366666667
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,2.608253,0.395444,0.72192,1.24187233333333,71,28,37,0.581762089634304
"ABCB10",4.896031,7.84716,8.051324,6.931505,306,313,320,4.784184,6.526598,5.638334,5.64970533333333,213,397,298,1.19276037093573
"ABCB10P3",0,1e-06,0,3.33333333333333e-07,0,0,0,0.002934,0,0,0.000978,0,0,0,0.999023288557125
"ABCB10P4",0.029557,0.039022,0,0.0228596666666667,1,1,0,0.064339,0.102838,0.076226,0.0811343333333333,2,4,4,0.946098588427032
"ABCB11",1.175122,1.322998,0.805546,1.101222,11,4,8,1.713152,2.345963,2.257067,2.105394,8,17,14,0.676636201396667
"ABCB4",2.033786,0.852535,0.451585,1.11263533333333,44,12,10,2.613821,0.236469,0.112046,0.987445333333333,20,11,9,1.06299041181175
"ABCB5",0.028091,0.34729,0.350931,0.242104,3,10,12,0.031732,0.170177,0.033162,0.078357,3,5,1,1.15184859930431
"ABCB6",54.080406,38.532465,32.137188,41.583353,870,459,384,39.80428,30.533985,38.474452,36.2709056666667,602,671,937,1.14253604086913
"ABCB7",11.18593,7.852267,6.075745,8.371314,297,164,171,6.507055,5.040312,4.209266,5.252211,171,274,200,1.49887999621254
"ABCB8",18.529731,23.651367,21.054635,21.0785776666667,617,605,535,21.51191,19.464312,14.629305,18.5351756666667,551,761,665,1.13019601376505
"ABCB9",15.865448,14.222772,16.455124,15.514448,442,382,371,13.522164,13.523465,13.352624,13.4660843333333,392,512,531,1.14159765832049
"ABCC1",5.953924,4.982028,4.693158,5.20970333333333,660,375,308,11.500209,10.367327,9.302465,10.3900003333333,903,1271,1197,0.545189038771172
"ABCC10",35.009112,58.850277,42.406563,45.421984,641,664,643,36.128396,35.014973,37.78168,36.3083496666667,526,739,582,1.24427867795707
"ABCC11",0.25035,0.196406,0.516811,0.321189,9,7,11,0.147705,0.168729,0.111362,0.142598666666667,9,7,7,1.15630189194456
"ABCC12",0,0.024085,0,0.00802833333333333,0,1,0,0,0,0,0,0,0,0,1.00802833333333
"ABCC13",0.022398,0.058119,0,0.026839,1,2,0,0.065046,0,0.010734,0.02526,3,0,1,1.00154009714609
"ABCC2",0.146712,0.308158,0.143396,0.199422,16,10,4,0.525342,0.194318,0.093136,0.270932,8,4,5,0.94373420450504
"ABCC3",0.822929,0,0.384356,0.402428333333333,11,0,3,0.735677,0.386222,0.301105,0.474334666666667,6,5,4,0.951227943723316
"ABCC4",3.767094,1.945293,3.623133,3.11184,163,129,110,7.050166,6.396275,5.373786,6.273409,388,482,551,0.565325007847077
"ABCC5",24.407761,29.952643,29.4664,27.942268,1378,1518,1344,40.658816,35.616212,29.02946,35.101496,2274,2699,2335,0.801691652888844
"ABCC5.AS1",0,0,0,0,0,0,0,0,0.388532,0,0.129510666666667,0,2,0,0.885339138010206
"ABCC6",0.709936,0.292227,1.18336,0.728507666666667,40,15,21,1.563937,2.080382,1.038311,1.56087666666667,47,91,70,0.674967166191786
"ABCC6P1",0.402881,0.194607,0.446474,0.347987333333333,12,2,9,0.326616,0.114229,0.382804,0.274549666666667,8,7,15,1.05761852094688
"ABCC6P2",1.433948,0.663051,0.936095,1.01103133333333,12,5,6,0.427513,0.600883,0.259824,0.429406666666667,3,6,3,1.40689936617058
"ABCC8",14.908165,22.713792,23.804669,20.475542,270,363,349,59.334917,46.332088,44.755074,50.140693,729,907,811,0.419930602035448
"ABCC9",1.933667,0.299867,0.41351,0.882348,229,35,44,2.011239,0.868414,0.975146,1.284933,245,158,167,0.823808838158493
"ABCD1",7.188261,4.56707,5.591021,5.78211733333333,256,128,147,10.618352,6.729346,8.415782,8.58782666666667,351,364,475,0.707367536890529
"ABCD1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCD2",0.823714,0.905926,0.985813,0.905151,90,77,76,1.015291,0.95263,0.78988,0.919267,101,128,108,0.992645108783718
"ABCD3",22.412866,15.820691,18.169306,18.8009543333333,1142,727,822,11.715671,11.503515,12.736033,11.985073,658,873,979,1.52490127189376
"ABCD4",63.780985,46.864754,55.905635,55.5171246666667,1013,556,577,58.610022,52.354869,50.095508,53.6867996666667,722,999,947,1.03346922861013
"ABCE1",47.892143,47.474433,56.270122,50.545566,1284,1130,1197,47.293811,49.347163,47.386876,48.0092833333333,1200,1864,1735,1.05175106620957
"ABCF1",48.558347,63.90383,48.560484,53.6742203333333,990,770,800,49.941811,50.936379,55.648464,52.1755513333333,769,1208,1106,1.02818342193775
"ABCF2",15.544121,48.430262,33.217097,32.39716,485,502,554,19.522918,29.608502,27.332976,25.488132,499,751,734,1.26083485237842
"ABCF2.H2BE1",6.976405,9.86168,8.581834,8.47330633333333,270,289,221,6.205134,7.639992,5.964636,6.603254,207,347,288,1.24595421030697
