"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg__TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"A1BG",8.512248,7.362639,11.019571,8.96481933333333,104,79,86,12.383067,11.034331,14.333404,12.5836006666667,126,71,81,0.73359189347979
"A1BG.AS1",5.039933,6.148286,5.339118,5.50911233333333,154,135,110,6.440296,4.571839,4.757617,5.256584,156,94,113,1.04036201437291
"A1CF",0.012027,0,0.110455,0.0408273333333333,2,0,3,0,0.018194,0.01632,0.0115046666666667,0,2,2,1.02898915608892
"A2M",166.022861,193.59196,157.990809,172.53521,4945,3898,3159,93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,1.6532426676829
"A2M.AS1",1.219486,1.437591,2.081773,1.57961666666667,62,50,52,1.34759,0.843674,1.358533,1.18326566666667,46,17,41,1.181540435528
"A2ML1",0.804659,0.257959,0.950643,0.671087,15,4,6,0.645592,0.320555,0.729682,0.565276333333333,6,8,9,1.06759871366696
"A2MP1",0,0.07058,0.098361,0.0563136666666667,0,3,1,0.165659,0.426102,0.092535,0.228098666666667,3,3,1,0.860121173760197
"A3GALT2",0.144755,0.097166,0.113413,0.118444666666667,2,1,1,0.251325,0.112836,0.205214,0.189791666666667,3,1,2,0.940034039572754
"A4GALT",4.719891,2.211286,2.676825,3.20266733333333,75,26,24,1.677651,1.425484,2.068745,1.72396,11,6,11,1.54285207320714
"A4GNT",0.099138,0,0,0.033046,3,0,0,0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,0.976317710320312
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AAAS",22.215928,24.455156,21.480131,22.7170716666667,578,403,355,22.626138,22.03279,25.95966,23.5395293333333,485,382,454,0.96648437484294
"AACS",17.933589,18.199238,25.629245,20.5873573333333,910,792,813,20.326116,20.425959,26.161884,22.304653,720,608,707,0.926311038972918
"AACSP1",0.872217,1.108501,1.29987,1.09352933333333,31,37,38,1.03341,0.522627,0.873839,0.809958666666667,38,18,33,1.15667245439859
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACL2",0,0,0.016678,0.00555933333333333,0,0,1,0.013978,0.017282,0.015789,0.015683,1,1,1,0.990032651263567
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADAT",13.595651,16.190365,22.775181,17.520399,324,335,359,11.191628,12.930531,10.028336,11.3834983333333,298,198,233,1.49557083963484
"AAGAB",22.912872,27.695939,31.184347,27.264386,656,567,572,19.083715,24.987378,20.768264,21.613119,460,421,405,1.24991099193349
"AAK1",11.479212,14.408764,9.576512,11.821496,2755,2090,1905,8.82358,11.990978,8.52265,9.77906933333333,1360,1207,1223,1.18948079871336
"AAMDC",13.752073,7.993795,9.099596,10.2818213333333,71,41,35,11.840577,16.196803,14.120167,14.0525156666667,61,65,52,0.749497398519012
"AAMP",63.531145,62.598294,71.307854,65.812431,995,729,745,50.785242,57.93435,59.245556,55.9883826666667,665,551,649,1.17238685980607
"AANAT",0.21683,0.243358,0.326805,0.262331,4,5,1,0.527125,0,0.383865,0.303663333333333,5,0,3,0.968295239824188
"AAR2",10.815465,10.804659,13.984677,11.868267,486,364,414,9.802296,9.159607,9.720694,9.56086566666667,356,271,317,1.21848600353058
"AARD",1.609116,1.070727,1.582262,1.42070166666667,36,32,31,0.430968,0.085659,1.087127,0.534584666666667,14,2,11,1.57743115726861
"AARS1",44.0177,45.687718,47.566252,45.7572233333333,2192,1394,1433,28.854614,28.801712,24.508809,27.3883783333333,1167,916,940,1.64705510065827
"AARS1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AARS2",5.079803,4.491045,5.615728,5.062192,446,312,330,5.386935,4.813326,4.864937,5.02173266666667,386,295,304,1.00671888567178
"AARSD1",51.795203,58.156602,82.475187,64.1423306666667,415,381,422,74.878567,67.118873,80.955658,74.3176993333333,446,311,417,0.864900697223457
"AASDH",6.432077,7.774202,3.850395,6.01889133333333,231,167,150,5.458335,2.72435,3.019545,3.73407666666667,133,107,128,1.48263153040051
"AASDHPPT",58.628575,94.077285,98.573128,83.7596626666667,1977,2473,2685,49.305585,36.802533,43.42734,43.178486,1280,906,1184,1.91857327719802
"AASS",13.774036,8.645864,8.691924,10.370608,1272,600,554,9.710755,9.041474,7.927698,8.893309,771,591,561,1.14932304247244
"AATBC",0.144469,0.015034,0,0.0531676666666667,4,1,0,0.270135,0.323838,0.313939,0.302637333333333,9,8,8,0.808488778662365
"AATF",15.556557,12.511396,24.184485,17.4174793333333,282,197,252,15.593698,15.462792,19.291505,16.782665,279,197,205,1.03569849251129
"AATK",10.041919,13.414946,14.753141,12.7366686666667,524,498,547,5.175648,2.801113,2.12947,3.36874366666667,197,66,153,3.14430639899449
"ABALON",1.200849,0.954706,0.995018,1.050191,40,24,22,0.221339,0.4943,0.206463,0.307367333333333,6,11,5,1.56818282645377
"ABAT",20.235765,20.679629,22.875907,21.263767,1501,1015,1095,19.311736,14.714566,12.931931,15.6527443333333,1137,753,789,1.33694282181678
"ABCA1",9.443781,4.284659,2.688057,5.47216566666667,1855,645,360,13.944394,12.167811,12.461129,12.857778,2286,1610,1812,0.467042094819723
"ABCA10",4.203212,3.140601,2.629465,3.324426,127,77,72,5.207727,2.056644,5.225361,4.163244,145,54,111,0.837540507479406
"ABCA11P",2.951542,3.925685,3.428422,3.43521633333333,94,89,71,4.636006,3.841444,3.107302,3.861584,111,76,68,0.912298611591064
"ABCA12",0.045172,0.022129,0.054667,0.040656,8,3,5,0.045246,0.050407,0.030483,0.0420453333333333,6,6,4,0.998666724672247
"ABCA13",0.473253,0.153458,0.298046,0.308252333333333,16,13,6,0.064986,0.353211,0.084842,0.167679666666667,4,8,5,1.12038632741457
"ABCA17P",3.708489,2.524203,3.578368,3.27035333333333,36,18,16,1.321805,0.403783,0.722064,0.815884,13,4,7,2.35166636929084
"ABCA2",65.073528,68.481942,65.791533,66.449001,2021,1255,1196,50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,1.6336869461474
