"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"A1BG",6.574087,5.356817,5.122674,5.684526,51,37,35,"A1bg",0,0,0,0,0,0,0,6.684526
"A1CF",0.063683,0.066053,0,0.0432453333333333,4,2,0,"A1cf",0,0,0,0,0,0,0,1.04324533333333
"A2M",47.469149,41.973869,31.55372,40.332246,2028,1448,1149,"A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,29.335835304288
"A3GALT2",0,0,0,0,0,0,0,"A3galt2",0.088979,0.036608,0.075161,3,1,4,0.066916,0.93728091058715
"A4GALT",33.003692,32.717969,29.75239,31.8246836666667,1208,1099,1075,"A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,13.7170185579573
"A4GNT",0,0,0,0,0,0,0,"A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,0.944029438614014
"AAAS",17.868209,17.289999,16.874782,17.34433,598,489,514,"Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,0.703442791504059
"AACS",6.792635,7.2732,5.012077,6.359304,382,296,228,"Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,0.063236260846474
"AADAC",0.114227,0.093886,0.189067,0.132393333333333,3,2,4,"Aadac",0,0,0.10568,0,0,1,0.0352266666666667,1.09386028180624
"AADACL2",0,0,0,0,0,0,0,"Aadacl2",0,0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
