"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"A1BG",6.574087,5.356817,5.122674,5.684526,51,37,35,"A1bg",0,0,0,0,0,0,0,6.684526
"A1CF",0.063683,0.066053,0,0.0432453333333333,4,2,0,"A1cf",0,0,0,0,0,0,0,1.04324533333333
"A2M",47.469149,41.973869,31.55372,40.332246,2028,1448,1149,"A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,18.1625754389234
"A3GALT2",0,0,0,0,0,0,0,"A3galt2",0.033486,0.010958,0.032371,1,1,3,0.025605,0.975034248077964
"A4GALT",33.003692,32.717969,29.75239,31.8246836666667,1208,1099,1075,"A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,12.7580924463073
"A4GNT",0,0,0,0,0,0,0,"A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,0.978185804437181
"AAAS",17.868209,17.289999,16.874782,17.34433,598,489,514,"Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,0.642107357690815
"AACS",6.792635,7.2732,5.012077,6.359304,382,296,228,"Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,0.0574639337743613
"AADAC",0.114227,0.093886,0.189067,0.132393333333333,3,2,4,"Aadac",0,0,0,0,0,0,0,1.13239333333333
"AADACL2",0,0,0,0,0,0,0,"Aadacl2",0,0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
