"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"A1BG",6.574087,5.356817,5.122674,5.684526,51,37,35,"A1bg",0,0,0,0,0,0,0,6.684526
"A1CF",0.063683,0.066053,0,0.0432453333333333,4,2,0,"A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,1.00736338533548
"A2M",47.469149,41.973869,31.55372,40.332246,2028,1448,1149,"A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,3.07790351427141
"A3GALT2",0,0,0,0,0,0,0,"A3galt2",0.295537,0.21946,0.13739,6,19,5,0.217462333333333,0.82138064777911
"A4GALT",33.003692,32.717969,29.75239,31.8246836666667,1208,1099,1075,"A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,9.2021030243649
"A4GNT",0,0,0,0,0,0,0,"A4gnt",0,0,0,0,0,0,0,1
"AAAS",17.868209,17.289999,16.874782,17.34433,598,489,514,"Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,0.575242893123263
"AACS",6.792635,7.2732,5.012077,6.359304,382,296,228,"Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,0.0544798422558726
"AADAC",0.114227,0.093886,0.189067,0.132393333333333,3,2,4,"Aadac",0,0,0,0,0,0,0,1.13239333333333
"AADACL2",0,0,0,0,0,0,0,"Aadacl2",0,0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",2.803781,1.273732,1.256284,1.77793233333333,72,50,52,"Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,2.24652143264382
"AAGAB",13.5382,8.893211,8.17232,10.2012436666667,443,347,312,"Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,0.511057858846618
"AAK1",8.140723,4.98695,5.632312,6.25332833333333,1061,924,810,"Aak1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,0.102107797321851
"AAMDC",43.508279,45.757314,41.928473,43.7313553333333,288,290,250,"Aamdc",39.367271,42.59234,32.940334,111,326,172,38.2999816666667,1.13820295675286
"AAMP",48.914554,44.434024,32.481351,41.9433096666667,986,865,668,"Aamp",65.096573,79.392539,83.921256,534,2470,1441,76.1367893333333,0.556716322234966
"AANAT",0.384486,0.191591,0.957074,0.511050333333333,4,2,7,"Aanat",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,0.815856239868503
"AAR2",9.629091,8.985329,7.802869,8.805763,494,440,373,"Aar2",12.339668,13.071238,13.550136,202,925,555,12.987014,0.701061927871095
"AARD",0.509473,0.537165,0.417107,0.487915,11,13,17,"Aard",4.451434,4.143749,3.926091,34,113,61,4.173758,0.287588828082025
"AARS1",22.672867,16.865167,16.478736,18.6722566666667,1180,877,706,"Aars",49.021279,58.791273,58.30389,1011,4453,2654,55.3721473333333,0.348971213573663
"AARS2",2.873718,2.217694,1.513002,2.20147133333333,289,218,155,"Aars2",6.321746,7.514301,7.689306,145,596,317,7.17511766666667,0.391611651828212
"AARSD1",42.269472,45.211996,38.782538,42.088002,410,412,304,"Aarsd1",21.056024,22.564554,24.188203,183,700,420,22.602927,1.82553638368665
"AASDH",1.51679,1.429238,0.686802,1.21094333333333,72,62,45,"Aasdh",6.138434,5.01604,4.982049,50,191,89,5.378841,0.346605807125986
"AASDHPPT",15.491333,11.332325,7.790263,11.5379736666667,438,436,306,"Aasdhppt",9.548443,9.817572,9.275441,175,650,352,9.547152,1.18875443026389
"AASS",10.663442,6.340196,5.078783,7.360807,777,556,484,"Aass",2.164727,1.353504,1.765562,53,105,62,1.76126433333333,3.02789084662062
"AATF",18.011852,16.629179,17.421425,17.354152,333,266,229,"Aatf",8.625936,8.836669,9.704815,95,310,213,9.05580666666667,1.82522920422098
"AATK",0.807211,1.215351,1.261386,1.09464933333333,81,68,60,"Aatk",65.776318,84.79421,84.991774,1492,7505,3925,78.5207673333333,0.0263409094702649
"ABAT",3.072307,1.855792,1.672802,2.20030033333333,274,169,145,"Abat",126.67224,143.045002,140.415185,2874,11720,6882,136.710809,0.0232392820619719
"ABCA1",1.876267,0.885241,0.804978,1.18882866666667,396,171,159,"Abca1",5.593241,5.368889,7.020124,345,1291,857,5.99408466666667,0.312954270785207
"ABCA12",0,0.006599,0,0.00219966666666667,0,1,0,"Abca12",0.053165,0.004381,0.024994,1,1,3,0.0275133333333333,0.975364147748286
"ABCA13",0.174113,0.034944,0.058673,0.0892433333333333,5,3,5,"Abca13",0.017552,0.016355,0.008251,2,7,2,0.0140526666666667,1.07414867998309
"ABCA2",24.315816,17.365586,16.698512,19.4599713333333,805,444,402,"Abca2",103.919269,141.830863,150.084623,2467,11301,6734,131.944918333333,0.153898107500687
"ABCA3",2.864033,2.329955,1.427765,2.207251,295,201,155,"Abca3",14.196218,14.904171,16.151148,510,2327,1416,15.0838456666667,0.199408217814906
"ABCA4",0.012157,0.012809,0,0.008322,1,1,0,"Abca4",3.31164,3.390653,2.172063,59,262,184,2.95811866666667,0.254747794322488
"ABCA5",4.156998,3.19961,2.228167,3.194925,168,152,100,"Abca5",13.295437,11.964834,10.439489,513,2184,1254,11.89992,0.325190001178302
"ABCA6",0.307074,0.113031,0.186072,0.202059,11,7,9,"Abca6",0.473301,0.609906,0.589233,17,75,45,0.55748,0.771797390656702
"ABCA7",11.353326,7.85688,8.990523,9.400243,435,267,221,"Abca7",6.006372,6.820605,6.873234,281,1214,685,6.566737,1.37446867784621
"ABCA8",3.234198,1.719767,1.436738,2.13023433333333,96,64,65,"Abca8b",3.153485,3.895227,4.491881,163,747,478,3.84686433333333,0.645826686710783
"ABCA9",0.287344,0.110486,0.190728,0.196186,11,7,5,"Abca9",1.270159,1.202612,1.247372,56,199,117,1.24004766666667,0.534000243744813
"ABCB1",0.03239,0.180298,0.191402,0.134696666666667,3,5,3,"Abcb1b",2.13694,1.316029,0.596432,14,59,33,1.34980033333333,0.482890673973576
"ABCB1",0.03239,0.180298,0.191402,0.134696666666667,3,5,3,"Abcb1a",27.54529,43.96477,12.947455,267,1104,708,28.152505,0.0389227843942284
"ABCB10",4.005154,2.663769,2.895076,3.18799966666667,137,128,111,"Abcb10",6.396777,7.750892,7.766959,180,805,458,7.304876,0.504282022593313
"ABCB11",0.266721,0.007328,0.0069,0.0936496666666667,3,1,1,"Abcb11",0,0,0,0,0,0,0,1.09364966666667
"ABCB4",11.373936,10.12465,10.942716,10.8137673333333,248,158,162,"Abcb4",0.981707,0.995733,1.250511,17,64,51,1.07598366666667,5.69068414314756
"ABCB5",0.238192,0,0.073851,0.104014333333333,1,0,5,"Abcb5",0,0.027506,0,0,1,0,0.00916866666666667,1.0939839590739
"ABCB6",8.326215,7.061364,8.704006,8.03052833333333,123,101,86,"Abcb6",10.008954,6.259513,8.472193,70,339,192,8.24688666666666,0.976602034702851
"ABCB7",13.831658,11.114692,9.446497,11.4642823333333,350,248,280,"Abcb7",11.190542,11.707649,12.115453,431,1655,976,11.6712146666667,0.983669100494549
"ABCB8",11.02178,6.985446,5.674411,7.893879,471,342,268,"Abcb8",15.25636,20.988503,21.001584,152,712,401,19.082149,0.442874863641336
"ABCB9",4.324097,2.790693,3.029996,3.38159533333333,187,127,124,"Abcb9",17.894203,17.928554,14.740825,208,975,536,16.8545273333333,0.245405283014866
"ABCC1",4.111846,2.414281,2.166516,2.89754766666667,483,341,276,"Abcc1",13.812049,12.232982,11.724043,122,577,317,12.5896913333333,0.286801780192506
"ABCC10",14.897475,9.350053,15.513101,13.253543,250,167,160,"Abcc10",1.510449,2.511756,2.606775,37,240,138,2.20966,4.44082644267617
"ABCC12",0.174113,0,0.046512,0.0735416666666667,1,0,1,"Abcc12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,0.435509679352639
"ABCC2",0.206724,0.320286,0.182112,0.236374,3,4,1,"Abcc2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,1.16968149065941
"ABCC3",0.348225,0.325404,0.504307,0.392645333333333,2,3,3,"Abcc3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,0.893934864999432
"ABCC4",0.874694,0.850797,0.835235,0.853575333333333,82,50,37,"Abcc4",2.205931,3.204272,3.149303,78,354,213,2.85316866666667,0.481052217975405
"ABCC5",26.815209,20.139758,16.661965,21.205644,1688,1220,1081,"Abcc5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,0.23839178576439
"ABCC6",2.370812,3.482122,1.641663,2.498199,98,80,51,"Abcc6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,1.25486594599481
"ABCC8",0.18336,0.761856,0.182109,0.375775,9,6,1,"Abcc8",12.776234,17.791428,14.067764,207,980,564,14.8784753333333,0.086644024134475
"ABCC9",5.937915,4.245439,2.802442,4.32859866666667,581,434,370,"Abcc9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,1.55310861775455
"ABCD1",9.855316,6.357848,6.647314,7.62015933333333,690,437,443,"Abcd1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,2.1899438890178
