"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"A1BG",6.574087,5.356817,5.122674,5.684526,51,37,35,"A1bg",0,0,0,0,0,0,0,6.684526
"A1CF",0.063683,0.066053,0,0.0432453333333333,4,2,0,"A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,1.02156299919639
"A2M",47.469149,41.973869,31.55372,40.332246,2028,1448,1149,"A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,9.68013857326773
"A3GALT2",0,0,0,0,0,0,0,"A3galt2",17.905758,17.130012,16.379825,2525,593,913,17.1385316666667,0.0551312541928467
"A4GALT",33.003692,32.717969,29.75239,31.8246836666667,1208,1099,1075,"A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,1.3758880117104
"A4GNT",0,0,0,0,0,0,0,"A4gnt",0,0,0,0,0,0,0,1
"AAAS",17.868209,17.289999,16.874782,17.34433,598,489,514,"Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,0.53483739358111
"AACS",6.792635,7.2732,5.012077,6.359304,382,296,228,"Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,0.013727866083522
"AADAC",0.114227,0.093886,0.189067,0.132393333333333,3,2,4,"Aadac",0,0,0,0,0,0,0,1.13239333333333
"AADACL2",0,0,0,0,0,0,0,"Aadacl2",0,0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
