"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"A1BG",6.574087,5.356817,5.122674,5.684526,51,37,35,"A1bg",0.092692,0.01888,0,1,1,0,0.0371906666666667,6.44483817183083
"A1CF",0.063683,0.066053,0,0.0432453333333333,4,2,0,"A1cf",0,0,0,0,0,0,0,1.04324533333333
"A2M",47.469149,41.973869,31.55372,40.332246,2028,1448,1149,"A2m",0.013353,0.162079,0,2,4,0,0.0584773333333333,39.0487776151402
"A3GALT2",0,0,0,0,0,0,0,"A3galt2",0.014454,0.028056,0.024393,1,3,2,0.022301,0.978185485488129
"A4GALT",33.003692,32.717969,29.75239,31.8246836666667,1208,1099,1075,"A4galt",0.946044,0.571248,0.899671,44,34,32,0.805654333333333,18.1788302781466
"A4GNT",0,0,0,0,0,0,0,"A4gnt",0,0,0,0,0,0,0,1
"AAAS",17.868209,17.289999,16.874782,17.34433,598,489,514,"Aaas",5.864166,6.572757,4.933001,74,62,46,5.78997466666667,2.70167871023966
"AACS",6.792635,7.2732,5.012077,6.359304,382,296,228,"Aacs",0.197809,8.053353,2.171261,16,38,23,3.474141,1.64485294495636
"AADAC",0.114227,0.093886,0.189067,0.132393333333333,3,2,4,"Aadac",0,0,0,0,0,0,0,1.13239333333333
"AADACL2",0,0,0,0,0,0,0,"Aadacl2",0,0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
