"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"A1BG",5.64798,11.508254,10.164183,9.10680566666667,80,113,74,"A1bg",0,0,0,0,0,0,0,10.1068056666667
"A1CF",0.008778,0.015491,0.033933,0.0194006666666667,1,2,3,"A1cf",0,0,0,0,0,0,0,1.01940066666667
"A2M",40.625779,51.799758,89.320033,60.5818566666667,783,1285,1315,"A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,43.7081305696672
"A3GALT2",0.55418,0.27785,0.327994,0.386674666666667,5,3,2,"A3galt2",0.088979,0.036608,0.075161,3,1,4,0.066916,1.29970369426147
"A4GALT",10.846069,12.300869,12.113367,11.753435,217,235,152,"A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,5.32949856727338
"A4GNT",0,0,0,0,0,0,0,"A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,0.944029438614014
"AAAS",15.794751,14.437361,18.892936,16.375016,243,314,228,"Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,0.666272889632256
"AACS",16.816166,15.213942,17.768125,16.599411,515,633,467,"Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,0.151226385639227
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0.10568,0,0,1,0.0352266666666667,0.965972025450143
"AADACL2",0.015844,0,0,0.00528133333333333,1,0,0,"Aadacl2",0,0,0,0,0,0,0,1.00528133333333
"AADACL3",0.019721,0.018105,0,0.0126086666666667,1,1,0,"Aadacl3",0,0,0,0,0,0,0,1.01260866666667
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",23.254813,19.782313,24.720589,22.585905,444,388,330,"Aadat",0.050276,0.175652,0.090191,1,3,2,0.105373,21.3375077914876
"AAGAB",38.022919,40.964417,49.3614,42.782912,824,823,659,"Aagab",20.4929,19.292215,18.876059,550,534,1046,19.5537246666667,2.1301692374524
"AAK1",10.270345,12.426278,11.917593,11.538072,2058,2373,1545,"Aak1",85.827432,87.609949,74.268329,5477,5459,10550,82.56857,0.150033343875574
"AAMDC",4.594566,5.205604,4.56697,4.78904666666667,17,27,14,"Aamdc",29.578734,27.920242,22.8832,130,139,241,26.7940586666667,0.208283602481183
"AAMP",70.693659,74.272111,74.414188,73.1266526666667,751,872,576,"Aamp",66.955059,76.234053,61.399198,1094,1097,2029,68.1961033333333,1.07125472527812
"AANAT",0.455665,0.118631,0.121817,0.232037666666667,3,1,2,"Aanat",0.376031,0.132462,0.649323,4,1,15,0.385938666666667,0.88895540350992
"AAR2",12.288203,12.652486,12.834718,12.5918023333333,390,432,284,"Aar2",9.82204,8.789412,9.62101,377,335,665,9.41082066666667,1.30554571714519
"AARD",0.417513,1.538506,1.037211,0.997743333333333,12,14,10,"Aard",1.351779,1.162396,1.36039,19,17,40,1.29152166666667,0.871797706473064
"AARS1",48.075378,54.153052,52.673665,51.6340316666667,1568,1900,1189,"Aars",36.787153,42.125397,33.744357,1529,1639,2689,37.5523023333333,1.36526299289674
"AARS2",3.755461,4.640839,4.294325,4.23020833333333,242,329,196,"Aars2",6.80901,5.980452,5.852712,241,219,431,6.214058,0.725002257166956
"AARSD1",63.27632,66.968262,84.250953,71.4985116666667,365,428,308,"Aarsd1",22.702986,25.557626,22.475152,387,429,691,23.578588,2.94966137463497
"AASDH",3.182292,4.853213,4.954761,4.33008866666667,105,133,96,"Aasdh",6.537996,7.343371,6.986914,109,91,250,6.95609366666667,0.669937897915648
"AASDHPPT",129.667907,110.451006,134.287207,124.80204,3231,3083,2547,"Aasdhppt",8.996606,9.015932,8.052601,340,329,564,8.68837966666667,12.9848379531232
"AASS",4.313875,2.742641,4.506,3.854172,299,175,207,"Aass",1.474846,1.173919,1.034894,75,45,94,1.22788633333333,2.17882390469053
"AATF",14.476301,19.209898,14.950782,16.212327,208,297,163,"Aatf",4.99222,5.135437,5.246998,100,114,223,5.124885,2.81022860021045
"AATK",14.223841,16.332434,12.634368,14.396881,449,556,369,"Aatk",65.676983,50.720205,56.212236,2661,2699,4866,57.5364746666667,0.263030547836658
"ABAT",28.063871,26.832749,35.879571,30.2587303333333,1227,1323,1029,"Abat",95.113338,98.889623,83.218181,3838,4067,6917,92.4070473333333,0.334650663153746
"ABCA1",4.057191,3.554462,2.51638,3.376011,570,529,255,"Abca1",5.357066,5.86588,4.405995,646,638,1144,5.209647,0.704711717107269
"ABCA12",0.083238,0.230357,0.054846,0.122813666666667,9,24,5,"Abca12",0.051568,0.062896,0.025504,6,4,4,0.046656,1.07276284344299
"ABCA13",0.087452,0.016383,0.151556,0.0851303333333333,5,2,6,"Abca13",0,0.008671,0.020031,0,2,9,0.00956733333333333,1.07484691461887
"ABCA2",107.50449,75.111095,79.577059,87.397548,1545,1840,1190,"Abca2",70.793903,64.467713,73.797361,3005,3072,5630,69.6863256666667,1.25056080035697
"ABCA3",51.9705,59.537578,54.006441,55.1715063333333,4138,4756,3097,"Abca3",12.440613,14.573469,13.367221,1059,1205,2137,13.4604343333333,3.88449648458
"ABCA4",0.905126,0.080781,0.014008,0.333305,7,3,1,"Abca4",0.439082,0.77363,1.185749,28,34,93,0.799487,0.74093616680754
"ABCA5",15.166472,15.375498,16.666334,15.7361013333333,612,687,561,"Abca5",8.935283,8.340698,7.057679,796,757,1332,8.11122,1.83686721792837
"ABCA6",0.380325,0.502694,0.140608,0.341209,12,17,6,"Abca6",0.966663,0.329321,0.453163,46,18,64,0.583049,0.8472315133644
"ABCA7",53.395405,36.508479,39.178153,43.0273456666667,1224,1180,903,"Abca7",2.309955,1.912394,2.638304,217,179,482,2.28688433333333,13.3948570140335
"ABCA8",0.39584,0.133049,0.866773,0.465220666666667,3,4,10,"Abca8b",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,0.361318816450148
"ABCA9",1.630893,5.875754,1.09333,2.866659,74,97,41,"Abca9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,1.40852264744985
"ABCB1",1.409905,3.284378,1.946045,2.21344266666667,27,71,43,"Abcb1b",2.074675,1.93475,1.983411,34,29,83,1.997612,1.07200086824668
"ABCB1",1.409905,3.284378,1.946045,2.21344266666667,27,71,43,"Abcb1a",6.998046,68.504253,8.673734,480,533,1140,28.0586776666667,0.110584614466226
"ABCB10",10.325898,7.423625,9.542775,9.09743266666667,388,332,292,"Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,1.63670596336045
"ABCB11",1.639649,3.496208,2.969016,2.70162433333333,7,12,8,"Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,3.69224848368377
"ABCB4",0.520114,0.10443,0.985588,0.536710666666667,4,3,5,"Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,0.708935655090074
"ABCB5",0,0.258936,0.058403,0.105779666666667,0,2,3,"Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,1.10221437058262
"ABCB6",45.798715,35.435408,31.250175,37.494766,534,550,292,"Abcb6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,4.83371974166596
"ABCB7",7.623563,5.152974,8.512265,7.09626733333333,182,173,131,"Abcb7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,0.93516006425471
"ABCB8",22.108301,23.197393,18.535002,21.280232,526,651,446,"Abcb8",22.042302,24.258646,16.042844,379,360,657,20.781264,1.02290812874772
"ABCB9",13.147339,16.158433,16.129464,15.1450786666667,347,428,305,"Abcb9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,0.993118757027765
"ABCC1",4.341232,5.649856,8.644544,6.21187733333333,333,452,284,"Abcc1",5.026846,16.533466,9.187015,253,247,546,10.249109,0.64110653860082
"ABCC10",47.610062,53.34286,79.775617,60.2428463333333,605,657,496,"Abcc10",1.786212,1.580769,1.672029,107,92,172,1.67967,22.8546225219275
"ABCC12",0.051357,0.030371,0,0.0272426666666667,2,1,0,"Abcc12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0.705078938288937
"ABCC2",0.295949,0.49826,0.480955,0.425054666666667,6,12,3,"Abcc2",0.040083,0.193498,0.02102,1,2,3,0.084867,1.31357545825126
"ABCC3",0.450343,0.479305,0,0.309882666666667,4,3,0,"Abcc3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,0.71449535472781
"ABCC4",4.728571,5.721667,5.325962,5.25873333333333,242,283,134,"Abcc4",2.296067,3.830219,3.108326,181,142,318,3.078204,1.53467882757541
"ABCC5",41.572952,43.888857,45.250485,43.5707646666667,1760,2095,1575,"Abcc5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,0.391608729499129
"ABCC6",0.688326,0.691802,0.278854,0.552994,12,21,8,"Abcc6",0.333086,0.501555,0.344182,20,11,39,0.392941,1.11490292840831
"ABCC8",44.948896,46.276289,61.444417,50.8898673333333,566,656,646,"Abcc8",10.666096,8.249144,8.684561,287,311,529,9.19993366666667,5.08727497933728
"ABCC9",1.51249,0.676152,0.605353,0.931331666666667,166,81,48,"Abcc9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,0.791916350380507
"ABCD1",6.614678,7.050127,8.893207,7.51933733333333,192,234,142,"Abcd1",2.529592,3.068988,2.866758,117,140,256,2.82177933333333,2.22915469216869
"ABCD2",1.111828,0.947205,1.460715,1.17324933333333,91,82,86,"Abcd2",21.283453,23.156367,20.092816,622,705,1081,21.5108786666667,0.0965421814720812
"ABCD3",14.822618,16.086553,17.331049,16.0800733333333,639,817,573,"Abcd3",19.626549,21.477619,17.245859,868,925,1507,19.450009,0.835211042368409
"ABCD4",49.321733,40.153747,59.337327,49.604269,485,502,452,"Abcd4",4.217752,3.505705,4.803078,126,112,295,4.17551166666667,9.7776359632075
"ABCE1",40.838605,40.205738,45.232008,42.092117,918,1004,713,"Abce1",21.503427,20.802145,20.297685,1111,1057,1987,20.8677523333333,1.97057824430882
"ABCF1",46.260735,63.760304,59.860432,56.627157,625,761,519,"Abcf1",40.428047,39.029551,41.36944,829,790,1519,40.2756793333333,1.39615284183734
"ABCF2",26.268774,19.429182,42.181654,29.2932033333333,443,535,432,"Abcf2",27.333851,29.129407,25.695858,950,991,1703,27.386372,1.06717418250326
"ABCF3",49.775637,52.727308,46.588001,49.696982,554,722,457,"Abcf3",159.209364,199.439207,142.427393,559,611,1090,167.025321333333,0.301722273748407
"ABCG1",7.097047,8.637267,8.443098,8.05913733333333,274,360,227,"Abcg1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,0.457314533010728
"ABCG2",0.071606,0.158845,0.025076,0.0851756666666667,4,11,1,"Abcg3",0.122027,0.099732,0.177677,5,4,13,0.133145333333333,0.957666801198787
"ABCG4",11.183928,15.998495,13.278866,13.4870963333333,433,622,404,"Abcg4",18.175001,19.529967,18.642398,523,573,967,18.7824553333333,0.732320436933966
"ABCG5",0.093551,0.161392,0.087861,0.114268,3,7,2,"Abcg5",0,0.05032,0,0,1,0,0.0167733333333333,1.09588633323717
"ABCG8",0.279919,0.336852,0.476524,0.364431666666667,19,25,16,"Abcg8",0,0.033475,0.016197,0,1,1,0.0165573333333333,1.34220827682452
"ABHD1",1.219066,0.595476,1.404846,1.07312933333333,17,18,14,"Abhd1",0.649996,1.096359,0.605726,11,18,18,0.784027,1.16205042487212
"ABHD10",20.734833,22.479951,21.319982,21.5115886666667,502,570,353,"Abhd10",5.481654,8.077647,7.063356,175,170,331,6.874219,2.85889796393352
"ABHD11",5.79209,6.6316,4.983045,5.802245,56,74,48,"Abhd11",12.200609,15.392922,14.376886,125,184,313,13.990139,0.453781315837031
"ABHD12",62.698382,74.955257,56.465736,64.7064583333333,591,762,413,"Abhd12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,0.281883033828681
