"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"A1BG",5.64798,11.508254,10.164183,9.10680566666667,80,113,74,"A1bg",0,0,0,0,0,0,0,10.1068056666667
"A1CF",0.008778,0.015491,0.033933,0.0194006666666667,1,2,3,"A1cf",0,0,0,0,0,0,0,1.01940066666667
"A2M",40.625779,51.799758,89.320033,60.5818566666667,783,1285,1315,"A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,27.0608356820798
"A3GALT2",0.55418,0.27785,0.327994,0.386674666666667,5,3,2,"A3galt2",0.033486,0.010958,0.032371,1,1,3,0.025605,1.35205529094209
"A4GALT",10.846069,12.300869,12.113367,11.753435,217,235,152,"A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,4.95692523316537
"A4GNT",0,0,0,0,0,0,0,"A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,0.978185804437181
"AAAS",15.794751,14.437361,18.892936,16.375016,243,314,228,"Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,0.60817841881364
"AACS",16.816166,15.213942,17.768125,16.599411,515,633,467,"Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,0.137422151357216
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0.015844,0,0,0.00528133333333333,1,0,0,"Aadacl2",0,0,0,0,0,0,0,1.00528133333333
"AADACL3",0.019721,0.018105,0,0.0126086666666667,1,1,0,"Aadacl3",0,0,0,0,0,0,0,1.01260866666667
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",23.254813,19.782313,24.720589,22.585905,444,388,330,"Aadat",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,21.1552575771664
"AAGAB",38.022919,40.964417,49.3614,42.782912,824,823,659,"Aagab",21.079518,26.048134,22.59244,670,1295,1199,23.2400306666667,1.80622345747307
"AAK1",10.270345,12.426278,11.917593,11.538072,2058,2373,1545,"Aak1",82.715044,26.539293,25.921292,6850,3633,3509,45.058543,0.272220334889881
"AAMDC",4.594566,5.205604,4.56697,4.78904666666667,17,27,14,"Aamdc",38.562599,38.491906,39.33926,192,352,347,38.7979216666667,0.145461029727976
"AAMP",70.693659,74.272111,74.414188,73.1266526666667,751,872,576,"Aamp",82.307746,98.461157,85.878375,1345,3160,2913,88.882426,0.824706852779726
"AANAT",0.455665,0.118631,0.121817,0.232037666666667,3,1,2,"Aanat",0.244063,0.064919,0.0342,3,2,1,0.114394,1.10556739058777
"AAR2",12.288203,12.652486,12.834718,12.5918023333333,390,432,284,"Aar2",11.718708,16.213584,14.984093,491,1177,1117,14.3054616666667,0.888036089949154
"AARD",0.417513,1.538506,1.037211,0.997743333333333,12,14,10,"Aard",2.104585,1.541737,1.671519,33,45,50,1.77261366666667,0.720527117553702
"AARS1",48.075378,54.153052,52.673665,51.6340316666667,1568,1900,1189,"Aars",48.151786,34.848517,36.733042,2200,2892,2779,39.911115,1.2865460075255
"AARS2",3.755461,4.640839,4.294325,4.23020833333333,242,329,196,"Aars2",5.164266,4.56226,4.257956,233,405,383,4.661494,0.923821226929382
"AARSD1",63.27632,66.968262,84.250953,71.4985116666667,365,428,308,"Aarsd1",23.052058,29.886603,28.107158,434,942,908,27.015273,2.58782099559289
"AASDH",3.182292,4.853213,4.954761,4.33008866666667,105,133,96,"Aasdh",8.513966,4.798371,4.811556,118,124,106,6.04129766666667,0.756975335938314
"AASDHPPT",129.667907,110.451006,134.287207,124.80204,3231,3083,2547,"Aasdhppt",8.740871,8.636899,7.297884,349,593,469,8.225218,13.6367552506618
"AASS",4.313875,2.742641,4.506,3.854172,299,175,207,"Aass",1.242648,2.330083,1.757991,68,115,68,1.77690733333333,1.7480496888505
"AATF",14.476301,19.209898,14.950782,16.212327,208,297,163,"Aatf",6.824327,5.505632,5.292745,157,190,211,5.87423466666667,2.5038899360627
"AATK",14.223841,16.332434,12.634368,14.396881,449,556,369,"Aatk",72.38769,42.439677,45.445618,3644,4693,4919,53.4243283333333,0.282904382497815
"ABAT",28.063871,26.832749,35.879571,30.2587303333333,1227,1323,1029,"Abat",95.574803,80.308695,82.095365,4975,7100,7065,85.9929543333333,0.359324850763872
"ABCA1",4.057191,3.554462,2.51638,3.376011,570,529,255,"Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,0.972824777269037
"ABCA12",0.083238,0.230357,0.054846,0.122813666666667,9,24,5,"Abca12",0.056593,0.012085,0.019841,6,3,5,0.0295063333333333,1.09063308336455
"ABCA13",0.087452,0.016383,0.151556,0.0851303333333333,5,2,6,"Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,1.07586391741266
"ABCA2",107.50449,75.111095,79.577059,87.397548,1545,1840,1190,"Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,1.4146788179781
"ABCA3",51.9705,59.537578,54.006441,55.1715063333333,4138,4756,3097,"Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,5.65338259705963
"ABCA4",0.905126,0.080781,0.014008,0.333305,7,3,1,"Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,0.675869558458552
"ABCA5",15.166472,15.375498,16.666334,15.7361013333333,612,687,561,"Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,2.81134682452101
"ABCA6",0.380325,0.502694,0.140608,0.341209,12,17,6,"Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,0.936383330924669
"ABCA7",53.395405,36.508479,39.178153,43.0273456666667,1224,1180,903,"Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,17.5693294094705
"ABCA8",0.39584,0.133049,0.866773,0.465220666666667,3,4,10,"Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,0.577629157219461
"ABCA9",1.630893,5.875754,1.09333,2.866659,74,97,41,"Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,1.773886112004
"ABCB1",1.409905,3.284378,1.946045,2.21344266666667,27,71,43,"Abcb1b",2.4332,1.327262,2.14074,30,60,49,1.96706733333333,1.08303665055573
"ABCB1",1.409905,3.284378,1.946045,2.21344266666667,27,71,43,"Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,0.0826465926637904
"ABCB10",10.325898,7.423625,9.542775,9.09743266666667,388,332,292,"Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,1.34631938913292
"ABCB11",1.639649,3.496208,2.969016,2.70162433333333,7,12,8,"Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,3.51479760959378
"ABCB4",0.520114,0.10443,0.985588,0.536710666666667,4,3,5,"Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,0.757104880986028
"ABCB5",0,0.258936,0.058403,0.105779666666667,0,2,3,"Abcb5",0,0,0,0,0,0,0,1.10577966666667
"ABCB6",45.798715,35.435408,31.250175,37.494766,534,550,292,"Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,3.84833390138688
"ABCB7",7.623563,5.152974,8.512265,7.09626733333333,182,173,131,"Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,0.982799592342622
"ABCB8",22.108301,23.197393,18.535002,21.280232,526,651,446,"Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,0.97038554682979
"ABCB9",13.147339,16.158433,16.129464,15.1450786666667,347,428,305,"Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,1.22728889340257
"ABCC1",4.341232,5.649856,8.644544,6.21187733333333,333,452,284,"Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,1.26589872029481
"ABCC10",47.610062,53.34286,79.775617,60.2428463333333,605,657,496,"Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,27.306427427981
"ABCC12",0.051357,0.030371,0,0.0272426666666667,2,1,0,"Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0.932318925989973
"ABCC2",0.295949,0.49826,0.480955,0.425054666666667,6,12,3,"Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,1.41425026605079
"ABCC3",0.450343,0.479305,0,0.309882666666667,4,3,0,"Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,0.786927266388327
"ABCC4",4.728571,5.721667,5.325962,5.25873333333333,242,283,134,"Abcc4",2.782009,1.147171,1.115621,203,176,168,1.68160033333333,2.33395456270453
"ABCC5",41.572952,43.888857,45.250485,43.5707646666667,1760,2095,1575,"Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,0.832816720943843
"ABCC6",0.688326,0.691802,0.278854,0.552994,12,21,8,"Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,1.26036600261164
"ABCC8",44.948896,46.276289,61.444417,50.8898673333333,566,656,646,"Abcc8",9.077188,3.798732,7.06148,338,209,235,6.6458,6.7867152336359
"ABCC9",1.51249,0.676152,0.605353,0.931331666666667,166,81,48,"Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,0.921328144802251
"ABCD1",6.614678,7.050127,8.893207,7.51933733333333,192,234,142,"Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,2.7872293091016
"ABCD2",1.111828,0.947205,1.460715,1.17324933333333,91,82,86,"Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,0.126944158241153
"ABCD3",14.822618,16.086553,17.331049,16.0800733333333,639,817,573,"Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,0.798937000486236
"ABCD4",49.321733,40.153747,59.337327,49.604269,485,502,452,"Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,10.6793030337777
"ABCE1",40.838605,40.205738,45.232008,42.092117,918,1004,713,"Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,2.10279029344902
"ABCF1",46.260735,63.760304,59.860432,56.627157,625,761,519,"Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,1.91519386985425
"ABCF2",26.268774,19.429182,42.181654,29.2932033333333,443,535,432,"Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,0.915024341282346
"ABCF3",49.775637,52.727308,46.588001,49.696982,554,722,457,"Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,0.244409097524643
"ABCG1",7.097047,8.637267,8.443098,8.05913733333333,274,360,227,"Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,0.558903050576864
"ABCG2",0.071606,0.158845,0.025076,0.0851756666666667,4,11,1,"Abcg3",0,0.136891,0.059757,0,10,4,0.0655493333333333,1.018418981383
"ABCG4",11.183928,15.998495,13.278866,13.4870963333333,433,622,404,"Abcg4",18.541567,8.825353,11.627465,718,762,801,12.9981283333333,1.03493095565038
"ABCG5",0.093551,0.161392,0.087861,0.114268,3,7,2,"Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,1.07595676608236
"ABCG8",0.279919,0.336852,0.476524,0.364431666666667,19,25,16,"Abcg8",0,0,0.031248,0,0,2,0.010416,1.35036625178804
"ABHD1",1.219066,0.595476,1.404846,1.07312933333333,17,18,14,"Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,0.938102237563831
"ABHD10",20.734833,22.479951,21.319982,21.5115886666667,502,570,353,"Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,2.5104606669466
"ABHD11",5.79209,6.6316,4.983045,5.802245,56,74,48,"Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,0.368640569530792
"ABHD12",62.698382,74.955257,56.465736,64.7064583333333,591,762,413,"Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,0.234869932319903
"ABHD12B",3.562703,1.658765,4.615794,3.27908733333333,22,21,30,"Abhd12b",1.853474,0.478275,0.82166,43,30,41,1.05113633333333,2.08620327366505
