"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"A1BG",5.64798,11.508254,10.164183,9.10680566666667,80,113,74,"A1bg",0,0,0,0,0,0,0,10.1068056666667
"A1CF",0.008778,0.015491,0.033933,0.0194006666666667,1,2,3,"A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,0.984338845116563
"A2M",40.625779,51.799758,89.320033,60.5818566666667,783,1285,1315,"A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,4.58583869479756
"A3GALT2",0.55418,0.27785,0.327994,0.386674666666667,5,3,2,"A3galt2",0.295537,0.21946,0.13739,6,19,5,0.217462333333333,1.13898773596555
"A4GALT",10.846069,12.300869,12.113367,11.753435,217,235,152,"A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,3.57531009213405
"A4GNT",0,0,0,0,0,0,0,"A4gnt",0,0,0,0,0,0,0,1
"AAAS",15.794751,14.437361,18.892936,16.375016,243,314,228,"Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,0.544847071106057
"AACS",16.816166,15.213942,17.768125,16.599411,515,633,467,"Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,0.130285844296726
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0.015844,0,0,0.00528133333333333,1,0,0,"Aadacl2",0,0,0,0,0,0,0,1.00528133333333
"AADACL3",0.019721,0.018105,0,0.0126086666666667,1,1,0,"Aadacl3",0,0,0,0,0,0,0,1.01260866666667
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",23.254813,19.782313,24.720589,22.585905,444,388,330,"Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,19.0739855161343
"AAGAB",38.022919,40.964417,49.3614,42.782912,824,823,659,"Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,1.99759972433923
"AAK1",10.270345,12.426278,11.917593,11.538072,2058,2373,1545,"Aak1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,0.176503097026415
"AAMDC",4.594566,5.205604,4.56697,4.78904666666667,17,27,14,"Aamdc",39.367271,42.59234,32.940334,111,326,172,38.2999816666667,0.147304055146082
"AAMP",70.693659,74.272111,74.414188,73.1266526666667,751,872,576,"Aamp",65.096573,79.392539,83.921256,534,2470,1441,76.1367893333333,0.960976640424339
"AANAT",0.455665,0.118631,0.121817,0.232037666666667,3,1,2,"Aanat",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,0.66520988475987
"AAR2",12.288203,12.652486,12.834718,12.5918023333333,390,432,284,"Aar2",12.339668,13.071238,13.550136,202,925,555,12.987014,0.97174438613798
"AARD",0.417513,1.538506,1.037211,0.997743333333333,12,14,10,"Aard",4.451434,4.143749,3.926091,34,113,61,4.173758,0.386130030305502
"AARS1",48.075378,54.153052,52.673665,51.6340316666667,1568,1900,1189,"Aars",49.021279,58.791273,58.30389,1011,4453,2654,55.3721473333333,0.933688606102534
"AARS2",3.755461,4.640839,4.294325,4.23020833333333,242,329,196,"Aars2",6.321746,7.514301,7.689306,145,596,317,7.17511766666667,0.639771627344161
"AARSD1",63.27632,66.968262,84.250953,71.4985116666667,365,428,308,"Aarsd1",21.056024,22.564554,24.188203,183,700,420,22.602927,3.07158987809718
"AASDH",3.182292,4.853213,4.954761,4.33008866666667,105,133,96,"Aasdh",6.138434,5.01604,4.982049,50,191,89,5.378841,0.835588889371387
"AASDHPPT",129.667907,110.451006,134.287207,124.80204,3231,3083,2547,"Aasdhppt",9.548443,9.817572,9.275441,175,650,352,9.547152,11.9275838633974
"AASS",4.313875,2.742641,4.506,3.854172,299,175,207,"Aass",2.164727,1.353504,1.765562,53,105,62,1.76126433333333,1.75795266733488
"AATF",14.476301,19.209898,14.950782,16.212327,208,297,163,"Aatf",8.625936,8.836669,9.704815,95,310,213,9.05580666666667,1.71168038234625
"AATK",14.223841,16.332434,12.634368,14.396881,449,556,369,"Aatk",65.776318,84.79421,84.991774,1492,7505,3925,78.5207673333333,0.193620880636874
"ABAT",28.063871,26.832749,35.879571,30.2587303333333,1227,1323,1029,"Abat",126.67224,143.045002,140.415185,2874,11720,6882,136.710809,0.22698821218408
"ABCA1",4.057191,3.554462,2.51638,3.376011,570,529,255,"Abca1",5.593241,5.368889,7.020124,345,1291,857,5.99408466666667,0.625673152178979
"ABCA12",0.083238,0.230357,0.054846,0.122813666666667,9,24,5,"Abca12",0.053165,0.004381,0.024994,1,1,3,0.0275133333333333,1.09274851259027
"ABCA13",0.087452,0.016383,0.151556,0.0851303333333333,5,2,6,"Abca13",0.017552,0.016355,0.008251,2,7,2,0.0140526666666667,1.07009267763213
"ABCA2",107.50449,75.111095,79.577059,87.397548,1545,1840,1190,"Abca2",103.919269,141.830863,150.084623,2467,11301,6734,131.944918333333,0.664918592663771
"ABCA3",51.9705,59.537578,54.006441,55.1715063333333,4138,4756,3097,"Abca3",14.196218,14.904171,16.151148,510,2327,1416,15.0838456666667,3.4924176404992
