"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"A1BG",5.64798,11.508254,10.164183,9.10680566666667,80,113,74,"A1bg",0,0,0,0,0,0,0,10.1068056666667
"A1CF",0.008778,0.015491,0.033933,0.0194006666666667,1,2,3,"A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,0.998213909182243
"A2M",40.625779,51.799758,89.320033,60.5818566666667,783,1285,1315,"A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,14.4226593960668
"A3GALT2",0.55418,0.27785,0.327994,0.386674666666667,5,3,2,"A3galt2",17.905758,17.130012,16.379825,2525,593,913,17.1385316666667,0.076449113530781
"A4GALT",10.846069,12.300869,12.113367,11.753435,217,235,152,"A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,0.53457631162024
"A4GNT",0,0,0,0,0,0,0,"A4gnt",0,0,0,0,0,0,0,1
"AAAS",15.794751,14.437361,18.892936,16.375016,243,314,228,"Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,0.506576597284834
"AACS",16.816166,15.213942,17.768125,16.599411,515,633,467,"Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,0.0328295117794922
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0.015844,0,0,0.00528133333333333,1,0,0,"Aadacl2",0,0,0,0,0,0,0,1.00528133333333
"AADACL3",0.019721,0.018105,0,0.0126086666666667,1,1,0,"Aadacl3",0,0,0,0,0,0,0,1.01260866666667
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",23.254813,19.782313,24.720589,22.585905,444,388,330,"Aadat",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,20.2921565529063
"AAGAB",38.022919,40.964417,49.3614,42.782912,824,823,659,"Aagab",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,1.90873127917673
"AAK1",10.270345,12.426278,11.917593,11.538072,2058,2373,1545,"Aak1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,0.214792280343305
"AAMDC",4.594566,5.205604,4.56697,4.78904666666667,17,27,14,"Aamdc",35.667489,38.821012,35.238074,533,133,194,36.575525,0.154064292293099
"AAMP",70.693659,74.272111,74.414188,73.1266526666667,751,872,576,"Aamp",62.494553,70.914614,59.527656,3302,855,1226,64.3122743333333,1.13495745513849
"AANAT",0.455665,0.118631,0.121817,0.232037666666667,3,1,2,"Aanat",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,0.563209580852922
"AAR2",12.288203,12.652486,12.834718,12.5918023333333,390,432,284,"Aar2",13.047905,11.955033,10.001512,1331,273,464,11.66815,1.07291138274597
"AARD",0.417513,1.538506,1.037211,0.997743333333333,12,14,10,"Aard",2.57551,1.792836,2.300635,113,19,43,2.22299366666667,0.619840911880993
"AARS1",48.075378,54.153052,52.673665,51.6340316666667,1568,1900,1189,"Aars",50.684771,56.584857,47.574575,6348,1491,2318,51.6147343333333,1.00036676671617
"AARS2",3.755461,4.640839,4.294325,4.23020833333333,242,329,196,"Aars2",6.79198,7.088157,7.718581,883,233,341,7.19957266666667,0.637863526058553
"AARSD1",63.27632,66.968262,84.250953,71.4985116666667,365,428,308,"Aarsd1",20.141048,21.056957,18.232245,980,245,334,19.8100833333333,3.48381649921312
"AASDH",3.182292,4.853213,4.954761,4.33008866666667,105,133,96,"Aasdh",6.960489,8.130195,6.147941,341,79,114,7.07954166666667,0.659701860150895
"AASDHPPT",129.667907,110.451006,134.287207,124.80204,3231,3083,2547,"Aasdhppt",9.569516,9.23858,10.046699,1046,255,433,9.618265,11.8477020492519
"AASS",4.313875,2.742641,4.506,3.854172,299,175,207,"Aass",0.446771,0.225671,0.515404,40,8,17,0.395948666666667,3.47732844044409
"AATF",14.476301,19.209898,14.950782,16.212327,208,297,163,"Aatf",8.28501,7.465639,8.82369,481,118,197,8.19144633333333,1.87264619471023
"AATK",14.223841,16.332434,12.634368,14.396881,449,556,369,"Aatk",101.175735,106.182921,113.743123,10769,2643,4798,107.033926333333,0.142518943100278
"ABAT",28.063871,26.832749,35.879571,30.2587303333333,1227,1323,1029,"Abat",24.548925,25.806704,29.076187,2980,710,1214,26.477272,1.13762131602196
"ABCA1",4.057191,3.554462,2.51638,3.376011,570,529,255,"Abca1",14.538765,14.680589,13.673699,4922,1115,1967,14.2976843333333,0.286057085807737
"ABCA12",0.083238,0.230357,0.054846,0.122813666666667,9,24,5,"Abca12",0.117098,0.556601,0.159654,27,10,17,0.277784333333333,0.878719230918728
"ABCA13",0.087452,0.016383,0.151556,0.0851303333333333,5,2,6,"Abca13",0.026318,0.017482,0.051169,15,3,14,0.0316563333333333,1.05183315244838
"ABCA2",107.50449,75.111095,79.577059,87.397548,1545,1840,1190,"Abca2",70.353022,71.44658,66.893322,9729,2082,3846,69.564308,1.25272323226071
"ABCA3",51.9705,59.537578,54.006441,55.1715063333333,4138,4756,3097,"Abca3",29.995284,25.735844,33.069807,7843,1645,2919,29.6003116666667,1.8356514451623
"ABCA4",0.905126,0.080781,0.014008,0.333305,7,3,1,"Abca4",0.218113,0.144422,0.457021,16,3,4,0.273185333333333,1.04721988629045
"ABCA5",15.166472,15.375498,16.666334,15.7361013333333,612,687,561,"Abca5",22.448123,21.41967,24.32496,6816,1769,2833,22.7309176666667,0.705244591398228
"ABCA6",0.380325,0.502694,0.140608,0.341209,12,17,6,"Abca6",20.340663,20.054591,22.962028,4456,1036,1929,21.119094,0.0606358018099656
"ABCA7",53.395405,36.508479,39.178153,43.0273456666667,1224,1180,903,"Abca7",28.284582,28.185107,28.557071,8307,2009,3301,28.3422533333333,1.50047595753837
"ABCA8",0.39584,0.133049,0.866773,0.465220666666667,3,4,10,"Abca8b",12.161258,12.465005,14.473483,3737,944,1732,13.0332486666667,0.10441065368898
"ABCA9",1.630893,5.875754,1.09333,2.866659,74,97,41,"Abca9",2.510507,2.960071,2.962372,676,194,314,2.81098333333333,1.01460926532522
"ABCB1",1.409905,3.284378,1.946045,2.21344266666667,27,71,43,"Abcb1b",1.29574,1.66082,2.204825,117,36,57,1.72046166666667,1.18121225747836
"ABCB1",1.409905,3.284378,1.946045,2.21344266666667,27,71,43,"Abcb1a",40.156561,54.850987,5.961506,1174,289,483,33.6563513333333,0.0927230519958371
"ABCB10",10.325898,7.423625,9.542775,9.09743266666667,388,332,292,"Abcb10",5.679646,5.373036,5.311046,963,220,368,5.454576,1.56438357324581
"ABCB11",1.639649,3.496208,2.969016,2.70162433333333,7,12,8,"Abcb11",0,0,0.012404,0,0,1,0.00413466666666667,3.68638237102328
"ABCB4",0.520114,0.10443,0.985588,0.536710666666667,4,3,5,"Abcb4",2.85706,2.376162,2.887682,430,81,174,2.706968,0.41454651528329
"ABCB5",0,0.258936,0.058403,0.105779666666667,0,2,3,"Abcb5",0,0,0,0,0,0,0,1.10577966666667
"ABCB6",45.798715,35.435408,31.250175,37.494766,534,550,292,"Abcb6",11.693171,5.646987,10.839573,709,152,266,9.39324366666667,3.70382598874891
"ABCB7",7.623563,5.152974,8.512265,7.09626733333333,182,173,131,"Abcb7",7.456802,7.129243,7.31946,1722,415,663,7.301835,0.975238285672184
"ABCB8",22.108301,23.197393,18.535002,21.280232,526,651,446,"Abcb8",25.498487,22.60307,29.797684,1350,316,528,25.9664136666667,0.826221546380145
"ABCB9",13.147339,16.158433,16.129464,15.1450786666667,347,428,305,"Abcb9",15.429411,12.471241,16.112352,1637,348,695,14.6710013333333,1.0302518852018
"ABCC1",4.341232,5.649856,8.644544,6.21187733333333,333,452,284,"Abcc1",8.351031,6.08049,11.592946,994,209,349,8.67482233333333,0.745427366504267
"ABCC10",47.610062,53.34286,79.775617,60.2428463333333,605,657,496,"Abcc10",2.622562,2.513981,2.584121,288,85,131,2.57355466666667,17.1377947298787
"ABCC12",0.051357,0.030371,0,0.0272426666666667,2,1,0,"Abcc12",0.581075,0.452147,0.584976,67,15,32,0.539399333333333,0.667300968906054
"ABCC2",0.295949,0.49826,0.480955,0.425054666666667,6,12,3,"Abcc2",0.140255,0.055143,0.014914,11,3,2,0.070104,1.33169735527263
"ABCC3",0.450343,0.479305,0,0.309882666666667,4,3,0,"Abcc3",0.786365,0.247674,1.21136,64,13,30,0.748466333333333,0.74916093132286
"ABCC4",4.728571,5.721667,5.325962,5.25873333333333,242,283,134,"Abcc4",7.38802,4.529168,6.372067,1235,251,481,6.09641833333333,0.881956649023181
"ABCC5",41.572952,43.888857,45.250485,43.5707646666667,1760,2095,1575,"Abcc5",198.841532,203.71343,188.884774,9456,2400,3630,197.146578666667,0.224938351025713
"ABCC6",0.688326,0.691802,0.278854,0.552994,12,21,8,"Abcc6",0.085526,0.0381,0.217017,4,2,4,0.113547666666667,1.39463630205323
"ABCC8",44.948896,46.276289,61.444417,50.8898673333333,566,656,646,"Abcc8",7.000264,4.430874,5.406411,502,87,201,5.61251633333333,7.84721953301792
