"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"A1BG",5.64798,11.508254,10.164183,9.10680566666667,80,113,74,"A1bg",0.092692,0.01888,0,1,1,0,0.0371906666666667,9.74440475746665
"A1CF",0.008778,0.015491,0.033933,0.0194006666666667,1,2,3,"A1cf",0,0,0,0,0,0,0,1.01940066666667
"A2M",40.625779,51.799758,89.320033,60.5818566666667,783,1285,1315,"A2m",0.013353,0.162079,0,2,4,0,0.0584773333333333,58.179665003061
"A3GALT2",0.55418,0.27785,0.327994,0.386674666666667,5,3,2,"A3galt2",0.014454,0.028056,0.024393,1,3,2,0.022301,1.35642503202742
"A4GALT",10.846069,12.300869,12.113367,11.753435,217,235,152,"A4galt",0.946044,0.571248,0.899671,44,34,32,0.805654333333333,7.06305451966351
"A4GNT",0,0,0,0,0,0,0,"A4gnt",0,0,0,0,0,0,0,1
"AAAS",15.794751,14.437361,18.892936,16.375016,243,314,228,"Aaas",5.864166,6.572757,4.933001,74,62,46,5.78997466666667,2.55892206568861
"AACS",16.816166,15.213942,17.768125,16.599411,515,633,467,"Aacs",0.197809,8.053353,2.171261,16,38,23,3.474141,3.93358434613482
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0.015844,0,0,0.00528133333333333,1,0,0,"Aadacl2",0,0,0,0,0,0,0,1.00528133333333
"AADACL3",0.019721,0.018105,0,0.0126086666666667,1,1,0,"Aadacl3",0,0,0,0,0,0,0,1.01260866666667
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",23.254813,19.782313,24.720589,22.585905,444,388,330,"Aadat",0,0,0,0,0,0,0,23.585905
"AAGAB",38.022919,40.964417,49.3614,42.782912,824,823,659,"Aagab",4.548623,3.163708,3.717481,210,220,181,3.80993733333333,9.10259509964509
"AAK1",10.270345,12.426278,11.917593,11.538072,2058,2373,1545,"Aak1",4.08074,8.240314,8.396759,841,860,669,6.90593766666667,1.58590574940447
"AAMDC",4.594566,5.205604,4.56697,4.78904666666667,17,27,14,"Aamdc",23.704316,24.694122,27.234494,261,265,213,25.2109773333333,0.220863441795608
"AAMP",70.693659,74.272111,74.414188,73.1266526666667,751,872,576,"Aamp",16.634288,17.584764,22.502302,744,720,645,18.907118,3.72362552262295
"AANAT",0.455665,0.118631,0.121817,0.232037666666667,3,1,2,"Aanat",0.023974,0,0,1,0,0,0.00799133333333333,1.22227009888313
"AAR2",12.288203,12.652486,12.834718,12.5918023333333,390,432,284,"Aar2",2.235598,2.269025,2.79345,210,197,191,2.432691,3.95951815451299
"AARD",0.417513,1.538506,1.037211,0.997743333333333,12,14,10,"Aard",0,0.027521,0,0,1,0,0.00917366666666667,1.97958329603659
"AARS1",48.075378,54.153052,52.673665,51.6340316666667,1568,1900,1189,"Aars",5.966065,5.315623,6.3963,523,498,414,5.89266266666667,7.63624076965322
"AARS2",3.755461,4.640839,4.294325,4.23020833333333,242,329,196,"Aars2",2.259474,2.382565,2.216271,236,236,186,2.28610333333333,1.59161407989808
"AARSD1",63.27632,66.968262,84.250953,71.4985116666667,365,428,308,"Aarsd1",5.291274,6.979547,7.711043,237,286,216,6.66062133333333,9.46379001285536
"AASDH",3.182292,4.853213,4.954761,4.33008866666667,105,133,96,"Aasdh",3.447906,4.855747,2.951467,154,158,113,3.75170666666667,1.12172089747403
"AASDHPPT",129.667907,110.451006,134.287207,124.80204,3231,3083,2547,"Aasdhppt",3.367854,3.157,3.978166,303,256,259,3.50100666666667,27.949756424859
"AASS",4.313875,2.742641,4.506,3.854172,299,175,207,"Aass",0.008662,0,0.177648,1,0,3,0.0621033333333333,4.57033873038091
"AATF",14.476301,19.209898,14.950782,16.212327,208,297,163,"Aatf",2.063696,1.49725,2.21789,90,70,80,1.92627866666667,5.8819849237416
"AATK",14.223841,16.332434,12.634368,14.396881,449,556,369,"Aatk",0.725985,0.457374,0.57906,57,59,43,0.587473,9.69898763632515
"ABAT",28.063871,26.832749,35.879571,30.2587303333333,1227,1323,1029,"Abat",1.074213,3.316001,2.055263,167,195,173,2.14849233333333,9.92815831323288
"ABCA1",4.057191,3.554462,2.51638,3.376011,570,529,255,"Abca1",1.851094,1.818334,1.49918,577,504,336,1.72286933333333,1.60713220661342
"ABCA12",0.083238,0.230357,0.054846,0.122813666666667,9,24,5,"Abca12",0.370439,0.231995,0.471437,106,62,101,0.357957,0.826840368779473
"ABCA13",0.087452,0.016383,0.151556,0.0851303333333333,5,2,6,"Abca13",0,0,0,0,0,0,0,1.08513033333333
"ABCA2",107.50449,75.111095,79.577059,87.397548,1545,1840,1190,"Abca2",8.286462,6.684126,6.658147,789,757,638,7.20957833333333,10.7676112475935
"ABCA3",51.9705,59.537578,54.006441,55.1715063333333,4138,4756,3097,"Abca3",1.153333,1.46847,1.264998,231,222,189,1.29560033333333,24.4692011574024
"ABCA4",0.905126,0.080781,0.014008,0.333305,7,3,1,"Abca4",0.723448,0.577212,0.748856,43,29,37,0.683172,0.792138296026788
"ABCA5",15.166472,15.375498,16.666334,15.7361013333333,612,687,561,"Abca5",0.467171,0.588468,0.652318,130,114,130,0.569319,10.664562994097
"ABCA6",0.380325,0.502694,0.140608,0.341209,12,17,6,"Abca6",1.363668,1.287738,1.481468,213,189,180,1.37762466666667,0.564096183389753
"ABCA7",53.395405,36.508479,39.178153,43.0273456666667,1224,1180,903,"Abca7",0.693706,0.552311,0.58948,167,127,101,0.611832333333333,27.3150902585608
"ABCA8",0.39584,0.133049,0.866773,0.465220666666667,3,4,10,"Abca8b",1.19705,1.355302,1.389084,299,302,226,1.313812,0.633249661885523
"ABCA9",1.630893,5.875754,1.09333,2.866659,74,97,41,"Abca9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,1.40402309090002
"ABCB1",1.409905,3.284378,1.946045,2.21344266666667,27,71,43,"Abcb1b",1.448958,1.10462,1.336334,101,103,68,1.29663733333333,1.39919464863992
"ABCB1",1.409905,3.284378,1.946045,2.21344266666667,27,71,43,"Abcb1a",22.341597,11.92902,15.633074,306,260,232,16.6345636666667,0.18222410984519
"ABCB10",10.325898,7.423625,9.542775,9.09743266666667,388,332,292,"Abcb10",3.70404,4.009373,4.926604,497,533,463,4.213339,1.93684559294277
"ABCB11",1.639649,3.496208,2.969016,2.70162433333333,7,12,8,"Abcb11",0,0,0,0,0,0,0,3.70162433333333
"ABCB4",0.520114,0.10443,0.985588,0.536710666666667,4,3,5,"Abcb4",2.855218,3.428858,3.224924,367,397,282,3.16966666666667,0.368545207450636
"ABCB5",0,0.258936,0.058403,0.105779666666667,0,2,3,"Abcb5",0,0,0,0,0,0,0,1.10577966666667
"ABCB6",45.798715,35.435408,31.250175,37.494766,534,550,292,"Abcb6",4.179214,5.497167,4.20283,223,255,203,4.62640366666667,6.84180664605709
"ABCB7",7.623563,5.152974,8.512265,7.09626733333333,182,173,131,"Abcb7",3.502681,3.231758,4.404847,659,544,597,3.71309533333333,1.71782379958931
