"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"A1BG",5.64798,11.508254,10.164183,9.10680566666667,80,113,74,"A1bg",0,0,0,0,0,0,0,10.1068056666667
"A1CF",0.008778,0.015491,0.033933,0.0194006666666667,1,2,3,"A1cf",0,0,0,0,0,0,0,1.01940066666667
"A2M",40.625779,51.799758,89.320033,60.5818566666667,783,1285,1315,"A2m",9.174995,13.394599,8.530091,939,2038,276,10.3665616666667,5.41780869823284
"A3GALT2",0.55418,0.27785,0.327994,0.386674666666667,5,3,2,"A3galt2",0.056162,0.071851,0.07206,3,8,1,0.066691,1.29997784425543
"A4GALT",10.846069,12.300869,12.113367,11.753435,217,235,152,"A4galt",5.98487,2.435029,3.312794,65,77,18,3.91089766666667,2.59696614868714
"A4GNT",0,0,0,0,0,0,0,"A4gnt",0,0,0,0,0,0,0,1
"AAAS",15.794751,14.437361,18.892936,16.375016,243,314,228,"Aaas",26.517031,23.542026,30.96651,193,273,81,27.0085223333333,0.6203474711453
"AACS",16.816166,15.213942,17.768125,16.599411,515,633,467,"Aacs",92.666198,156.723171,157.539085,567,1030,238,135.642818,0.128798653727999
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0.015844,0,0,0.00528133333333333,1,0,0,"Aadacl2",0,0,0,0,0,0,0,1.00528133333333
"AADACL3",0.019721,0.018105,0,0.0126086666666667,1,1,0,"Aadacl3",0,0,0,0,0,0,0,1.01260866666667
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",23.254813,19.782313,24.720589,22.585905,444,388,330,"Aadat",0.102189,0.086571,0.345332,4,4,3,0.178030666666667,20.021469446749
"AAGAB",38.022919,40.964417,49.3614,42.782912,824,823,659,"Aagab",17.426509,15.6387,13.707991,736,985,210,15.5910666666667,2.6389449744039
"AAK1",10.270345,12.426278,11.917593,11.538072,2058,2373,1545,"Aak1",69.489029,46.415298,28.507961,7387,8738,1634,48.1374293333333,0.255163368741689
"AAMDC",4.594566,5.205604,4.56697,4.78904666666667,17,27,14,"Aamdc",38.24271,41.233439,42.468014,297,480,107,40.6480543333333,0.138999210391285
"AAMP",70.693659,74.272111,74.414188,73.1266526666667,751,872,576,"Aamp",68.334942,59.931139,83.371171,1778,2358,678,70.5457506666667,1.03607344916995
"AANAT",0.455665,0.118631,0.121817,0.232037666666667,3,1,2,"Aanat",4.817009,2.713429,1.020571,21,20,6,2.85033633333333,0.319981830158733
"AAR2",12.288203,12.652486,12.834718,12.5918023333333,390,432,284,"Aar2",11.180055,9.270863,11.847764,628,826,234,10.7662273333333,1.15515380999211
"AARD",0.417513,1.538506,1.037211,0.997743333333333,12,14,10,"Aard",8.095531,6.271673,6.228319,196,227,47,6.86517433333333,0.253998608125787
"AARS1",48.075378,54.153052,52.673665,51.6340316666667,1568,1900,1189,"Aars",50.223145,48.62845,48.05169,3323,4540,1025,48.9677616666667,1.05335980462336
"AARS2",3.755461,4.640839,4.294325,4.23020833333333,242,329,196,"Aars2",9.453422,6.039625,6.693012,476,556,153,7.395353,0.622988495341808
"AARSD1",63.27632,66.968262,84.250953,71.4985116666667,365,428,308,"Aarsd1",20.364092,16.374867,24.548975,536,628,183,20.4293113333333,3.3831470614688
"AASDH",3.182292,4.853213,4.954761,4.33008866666667,105,133,96,"Aasdh",10.338272,7.965028,6.807299,253,277,58,8.37019966666667,0.568834054372161
"AASDHPPT",129.667907,110.451006,134.287207,124.80204,3231,3083,2547,"Aasdhppt",7.37912,6.932505,6.263653,392,582,102,6.858426,16.0085543848094
"AASS",4.313875,2.742641,4.506,3.854172,299,175,207,"Aass",0.727559,1.359941,0.620717,39,83,12,0.902739,2.55114968474394
"AATF",14.476301,19.209898,14.950782,16.212327,208,297,163,"Aatf",5.791477,4.306441,4.535828,176,197,48,4.87791533333333,2.92830468353122
"AATK",14.223841,16.332434,12.634368,14.396881,449,556,369,"Aatk",118.038677,125.518116,98.177824,7807,12349,2727,113.911539,0.133988989565269
"ABAT",28.063871,26.832749,35.879571,30.2587303333333,1227,1323,1029,"Abat",168.964922,122.107798,135.354847,10783,12924,3096,142.142522333333,0.218374874382482
"ABCA1",4.057191,3.554462,2.51638,3.376011,570,529,255,"Abca1",6.043864,5.208708,5.365657,945,1230,203,5.53940966666667,0.669175234930737
"ABCA12",0.083238,0.230357,0.054846,0.122813666666667,9,24,5,"Abca12",0.045234,0.074347,0,5,9,0,0.0398603333333333,1.0797735336893
"ABCA13",0.087452,0.016383,0.151556,0.0851303333333333,5,2,6,"Abca13",0.047409,0.010958,0,7,6,0,0.0194556666666667,1.06442130718779
"ABCA2",107.50449,75.111095,79.577059,87.397548,1545,1840,1190,"Abca2",187.735036,204.759133,180.525361,10708,19126,3021,191.00651,0.460388285793018
"ABCA3",51.9705,59.537578,54.006441,55.1715063333333,4138,4756,3097,"Abca3",14.947317,12.397739,14.833255,1948,2418,589,14.059437,3.72998713918278
"ABCA4",0.905126,0.080781,0.014008,0.333305,7,3,1,"Abca4",0.320539,0.548091,0.211687,20,22,5,0.360105666666667,0.980295158439896
"ABCA5",15.166472,15.375498,16.666334,15.7361013333333,612,687,561,"Abca5",10.426741,9.657139,7.69426,1834,2418,419,9.25938,1.63129753779793
"ABCA6",0.380325,0.502694,0.140608,0.341209,12,17,6,"Abca6",1.102142,1.064141,0.65707,128,183,24,0.941117666666667,0.690946779286779
"ABCA7",53.395405,36.508479,39.178153,43.0273456666667,1224,1180,903,"Abca7",6.531162,5.344626,6.635365,985,1230,314,6.17038433333333,6.14016538304572
"ABCA8",0.39584,0.133049,0.866773,0.465220666666667,3,4,10,"Abca8b",2.986576,2.668696,2.137732,492,660,110,2.597668,0.407269560911865
"ABCA9",1.630893,5.875754,1.09333,2.866659,74,97,41,"Abca9",1.374692,1.128702,1.013082,182,236,45,1.17215866666667,1.78009970419595
"ABCB1",1.409905,3.284378,1.946045,2.21344266666667,27,71,43,"Abcb1b",2.49553,1.937662,4.193703,104,138,26,2.87563166666667,0.829140368086235
"ABCB1",1.409905,3.284378,1.946045,2.21344266666667,27,71,43,"Abcb1a",51.550946,45.585615,82.118006,956,1215,296,59.7515223333333,0.0528948500917401
"ABCB10",10.325898,7.423625,9.542775,9.09743266666667,388,332,292,"Abcb10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,1.09103752751113
"ABCB11",1.639649,3.496208,2.969016,2.70162433333333,7,12,8,"Abcb11",0.107312,0.072965,0,3,3,0,0.0600923333333333,3.49179426823512
"ABCB4",0.520114,0.10443,0.985588,0.536710666666667,4,3,5,"Abcb4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,0.670345268821113
"ABCB5",0,0.258936,0.058403,0.105779666666667,0,2,3,"Abcb5",0,0,0,0,0,0,0,1.10577966666667
"ABCB6",45.798715,35.435408,31.250175,37.494766,534,550,292,"Abcb6",11.256848,9.906954,10.797514,311,438,107,10.653772,3.30320225931999
"ABCB7",7.623563,5.152974,8.512265,7.09626733333333,182,173,131,"Abcb7",7.537502,7.121689,6.273685,852,1270,219,6.97762533333333,1.01487184406922
"ABCB8",22.108301,23.197393,18.535002,21.280232,526,651,446,"Abcb8",32.393634,22.982948,29.272752,764,1061,243,28.2164446666667,0.762592172120783
"ABCB9",13.147339,16.158433,16.129464,15.1450786666667,347,428,305,"Abcb9",13.338002,13.437693,14.346582,897,1194,345,13.7074256666667,1.09775014557839
"ABCC1",4.341232,5.649856,8.644544,6.21187733333333,333,452,284,"Abcc1",6.382838,7.348494,2.504568,439,657,118,5.41196666666667,1.12475277995831
"ABCC10",47.610062,53.34286,79.775617,60.2428463333333,605,657,496,"Abcc10",4.048571,3.606159,3.043047,272,388,93,3.56592566666667,13.4130186963914
"ABCC12",0.051357,0.030371,0,0.0272426666666667,2,1,0,"Abcc12",0.455108,0.934647,0.773761,35,106,17,0.721172,0.596827433090166
"ABCC2",0.295949,0.49826,0.480955,0.425054666666667,6,12,3,"Abcc2",0.077074,0.105317,0.017706,5,9,1,0.066699,1.33594825406855
"ABCC3",0.450343,0.479305,0,0.309882666666667,4,3,0,"Abcc3",0.811729,0.712912,0.426075,31,43,6,0.650238666666667,0.793753469195163
"ABCC4",4.728571,5.721667,5.325962,5.25873333333333,242,283,134,"Abcc4",3.071147,2.167471,3.352535,318,388,87,2.86371766666667,1.61987336376286
"ABCC5",41.572952,43.888857,45.250485,43.5707646666667,1760,2095,1575,"Abcc5",183.364476,141.300881,150.092514,4295,5403,1092,158.252623666667,0.279874602003156
"ABCC6",0.688326,0.691802,0.278854,0.552994,12,21,8,"Abcc6",1.008744,1.57666,0.876534,63,89,18,1.15397933333333,0.720988347458611
"ABCC8",44.948896,46.276289,61.444417,50.8898673333333,566,656,646,"Abcc8",11.549855,10.608686,22.413235,564,647,172,14.8572586666667,3.27231007730298
"ABCC9",1.51249,0.676152,0.605353,0.931331666666667,166,81,48,"Abcc9",2.029741,1.735282,2.238094,334,424,115,2.001039,0.643554337903195
"ABCD1",6.614678,7.050127,8.893207,7.51933733333333,192,234,142,"Abcd1",3.751694,3.290507,2.928051,253,362,74,3.32341733333333,1.97051005639675
"ABCD2",1.111828,0.947205,1.460715,1.17324933333333,91,82,86,"Abcd2",26.320987,26.081769,26.769714,1181,1617,306,26.3908233333333,0.0793422419941861
"ABCD3",14.822618,16.086553,17.331049,16.0800733333333,639,817,573,"Abcd3",23.379323,22.163501,20.687641,1616,2217,462,22.0768216666667,0.740139763614183
"ABCD4",49.321733,40.153747,59.337327,49.604269,485,502,452,"Abcd4",9.282074,6.916407,9.782007,391,509,129,8.66016266666667,5.23844895227437
"ABCE1",40.838605,40.205738,45.232008,42.092117,918,1004,713,"Abce1",20.233439,17.96782,16.699634,1557,2065,408,18.3002976666667,2.23271774064003
"ABCF1",46.260735,63.760304,59.860432,56.627157,625,761,519,"Abcf1",39.898575,34.456644,30.824655,1253,1481,371,35.059958,1.59809273765654
"ABCF2",26.268774,19.429182,42.181654,29.2932033333333,443,535,432,"Abcf2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,1.06572278965442
"ABCF3",49.775637,52.727308,46.588001,49.696982,554,722,457,"Abcf3",251.730555,202.838829,291.535145,1377,1754,455,248.701509666667,0.203030338373512
"ABCG1",7.097047,8.637267,8.443098,8.05913733333333,274,360,227,"Abcg1",18.19387,16.716273,15.025299,1036,1496,310,16.6451473333333,0.51340672663128
"ABCG2",0.071606,0.158845,0.025076,0.0851756666666667,4,11,1,"Abcg3",0.078591,0.126965,0.100245,5,12,2,0.101933666666667,0.984792188035517
"ABCG4",11.183928,15.998495,13.278866,13.4870963333333,433,622,404,"Abcg4",26.644854,17.078907,23.610972,1180,1262,410,22.444911,0.617920722042124
"ABCG5",0.093551,0.161392,0.087861,0.114268,3,7,2,"Abcg5",0.145426,0.040795,0.09925,3,3,1,0.095157,1.01745046600624
"ABCG8",0.279919,0.336852,0.476524,0.364431666666667,19,25,16,"Abcg8",0.024937,0.008273,0,2,1,0,0.01107,1.34949278157464
"ABHD1",1.219066,0.595476,1.404846,1.07312933333333,17,18,14,"Abhd1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,1.04613118766749
"ABHD10",20.734833,22.479951,21.319982,21.5115886666667,502,570,353,"Abhd10",10.83551,11.441995,11.652591,366,588,127,11.310032,1.82871893969623
"ABHD11",5.79209,6.6316,4.983045,5.802245,56,74,48,"Abhd11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,0.440865907576178
"ABHD12",62.698382,74.955257,56.465736,64.7064583333333,591,762,413,"Abhd12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,0.316758545978469
"ABHD12B",3.562703,1.658765,4.615794,3.27908733333333,22,21,30,"Abhd12b",0.266634,0.335715,0.208905,7,20,3,0.270418,3.36825149937527
