"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"A1BG",18.566797,13.425058,13.989052,15.326969,182,164,192,"A1bg",0,0,0,0,0,0,0,16.326969
"A1CF",0.232084,0.063162,0.004811,0.100019,1,5,1,"A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,1.0771567079265
"A2M",20.514891,0.866071,0.291101,7.224021,519,12,14,"A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,1.92609090029765
"A3GALT2",0.438529,0.497281,0.204317,0.380042333333333,5,8,4,"A3galt2",17.905758,17.130012,16.379825,2525,593,913,17.1385316666667,0.0760834646758893
"A4GALT",13.724676,11.545392,14.652328,13.3074653333333,285,366,484,"A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,0.599715452858605
"A4GNT",0.153016,0.028124,0,0.06038,4,1,0,"A4gnt",0,0,0,0,0,0,0,1.06038
"AAAS",13.508489,16.738215,19.022055,16.4229196666667,343,455,490,"Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,0.507973250758849
"AACS",15.145339,10.858128,8.980095,11.6611873333333,461,652,560,"Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,0.0236178698651917
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,0,"Aadacl2",0,0,0,0,0,0,0,1
"AADACL3",0,0.011945,0,0.00398166666666667,0,1,0,"Aadacl3",0,0,0,0,0,0,0,1.00398166666667
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1.014666
"AADAT",16.560745,15.539194,12.933418,15.011119,429,514,491,"Aadat",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,13.7751819714025
"AAGAB",41.413864,42.849994,35.918127,40.0606616666667,993,1426,1315,"Aagab",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,1.79005382891982
"AAK1",11.518232,13.289394,13.438405,12.748677,2499,3549,3550,"Aak1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,0.235531402637786
"AAMDC",9.532266,5.352023,7.306193,7.39682733333333,48,40,51,"Aamdc",35.667489,38.821012,35.238074,533,133,194,36.575525,0.22346533636811
"AAMP",72.348646,70.27047,54.966626,65.861914,935,1376,1193,"Aamp",62.494553,70.914614,59.527656,3302,855,1226,64.3122743333333,1.02372662233071
"AANAT",0.253842,0.182542,0.515652,0.317345333333333,1,1,6,"Aanat",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,0.602206842451965
"AAR2",9.862522,12.742074,9.815474,10.80669,384,679,543,"Aar2",13.047905,11.955033,10.001512,1331,273,464,11.66815,0.931997963396392
"AARD",0.160926,0.129803,0.240983,0.177237333333333,5,6,12,"Aard",2.57551,1.792836,2.300635,113,19,43,2.22299366666667,0.365262068464091
"AARS1",61.137205,66.203897,57.698854,61.6799853333333,2513,3252,3240,"Aars",50.684771,56.584857,47.574575,6348,1491,2318,51.6147343333333,1.1913009944369
"AARS2",4.02726,4.870429,3.692426,4.196705,318,528,425,"Aars2",6.79198,7.088157,7.718581,883,233,341,7.19957266666667,0.633777540764523
"AARSD1",57.596898,71.665882,48.347544,59.2034413333333,392,756,544,"Aarsd1",20.141048,21.056957,18.232245,980,245,334,19.8100833333333,2.89299376504179
"AASDH",5.317648,4.075445,5.487073,4.96005533333333,154,175,182,"Aasdh",6.960489,8.130195,6.147941,341,79,114,7.07954166666667,0.737672454604995
"AASDHPPT",104.747918,110.344793,89.985303,101.692671333333,3116,4632,3686,"Aasdhppt",9.569516,9.23858,10.046699,1046,255,433,9.618265,9.6713230771066
"AASS",2.628604,2.250706,1.439504,2.10627133333333,225,282,185,"Aass",0.446771,0.225671,0.515404,40,8,17,0.395948666666667,2.22520455623249
"AATF",16.465887,17.429714,15.691305,16.5289686666667,276,428,414,"Aatf",8.28501,7.465639,8.82369,481,118,197,8.19144633333333,1.90709579656651
"AATK",16.385879,16.887406,16.473264,16.582183,581,867,1089,"Aatk",101.175735,106.182921,113.743123,10769,2643,4798,107.033926333333,0.162746866625499
"ABAT",59.088785,64.587057,41.158971,54.9449376666667,3015,4574,3152,"Abat",24.548925,25.806704,29.076187,2980,710,1214,26.477272,2.03604410462096
"ABCA1",4.587007,4.124422,3.096802,3.936077,771,969,758,"Abca1",14.538765,14.680589,13.673699,4922,1115,1967,14.2976843333333,0.322668247850061
"ABCA12",0.060479,0.006374,0,0.0222843333333333,9,1,0,"Abca12",0.117098,0.556601,0.159654,27,10,17,0.277784333333333,0.800044504119501
"ABCA13",0.018797,0.084847,0.059631,0.054425,1,8,6,"Abca13",0.026318,0.017482,0.051169,15,3,14,0.0316563333333333,1.0220700110405
"ABCA2",86.10463,86.558699,80.710993,84.4581073333333,2072,2678,2585,"Abca2",70.353022,71.44658,66.893322,9729,2082,3846,69.564308,1.21106703594873
"ABCA3",55.59978,54.652489,44.714698,51.6556556666667,4782,6902,6185,"Abca3",29.995284,25.735844,33.069807,7843,1645,2919,29.6003116666667,1.7207555347884
"ABCA4",0.709647,0.545438,0.159905,0.471663333333333,39,1,1,"Abca4",0.218113,0.144422,0.457021,16,3,4,0.273185333333333,1.15589089412487
"ABCA5",10.668791,9.107596,7.662206,9.14619766666667,513,604,633,"Abca5",22.448123,21.41967,24.32496,6816,1769,2833,22.7309176666667,0.427551846463923
"ABCA6",0.332708,0.201177,0.26943,0.267771666666667,9,14,15,"Abca6",20.340663,20.054591,22.962028,4456,1036,1929,21.119094,0.0573157140462745
"ABCA7",42.45405,52.111696,39.796489,44.7874116666667,1395,2369,1835,"Abca7",28.284582,28.185107,28.557071,8307,2009,3301,28.3422533333333,1.56045996694641
"ABCA8",0.244206,0.413915,0.141469,0.26653,6,7,6,"Abca8b",12.161258,12.465005,14.473483,3737,944,1732,13.0332486666667,0.0902520884567807
"ABCA9",4.035468,0.682386,0.739211,1.81902166666667,21,27,35,"Abca9",2.510507,2.960071,2.962372,676,194,314,2.81098333333333,0.739709786188167
"ABCB1",2.608253,0.395444,0.72192,1.24187233333333,71,28,37,"Abcb1b",1.29574,1.66082,2.204825,117,36,57,1.72046166666667,0.824077898542956
"ABCB1",2.608253,0.395444,0.72192,1.24187233333333,71,28,37,"Abcb1a",40.156561,54.850987,5.961506,1174,289,483,33.6563513333333,0.0646886428340494
"ABCB10",4.784184,6.526598,5.638334,5.64970533333333,213,397,298,"Abcb10",5.679646,5.373036,5.311046,963,220,368,5.454576,1.03023116209854
"ABCB11",1.713152,2.345963,2.257067,2.105394,8,17,14,"Abcb11",0,0,0.012404,0,0,1,0.00413466666666667,3.09260710050843
"ABCB4",2.613821,0.236469,0.112046,0.987445333333333,20,11,9,"Abcb4",2.85706,2.376162,2.887682,430,81,174,2.706968,0.536137709668207
"ABCB5",0.031732,0.170177,0.033162,0.078357,3,5,1,"Abcb5",0,0,0,0,0,0,0,1.078357
"ABCB6",39.80428,30.533985,38.474452,36.2709056666667,602,671,937,"Abcb6",11.693171,5.646987,10.839573,709,152,266,9.39324366666667,3.5860706110646
"ABCB7",6.507055,5.040312,4.209266,5.252211,171,274,200,"Abcb7",7.456802,7.129243,7.31946,1722,415,663,7.301835,0.753111932482397
"ABCB8",21.51191,19.464312,14.629305,18.5351756666667,551,761,665,"Abcb8",25.498487,22.60307,29.797684,1350,316,528,25.9664136666667,0.724426166124352
"ABCB9",13.522164,13.523465,13.352624,13.4660843333333,392,512,531,"Abcb9",15.429411,12.471241,16.112352,1637,348,695,14.6710013333333,0.923111677781748
"ABCC1",11.500209,10.367327,9.302465,10.3900003333333,903,1271,1197,"Abcc1",8.351031,6.08049,11.592946,994,209,349,8.67482233333333,1.17728263537105
"ABCC10",36.128396,35.014973,37.78168,36.3083496666667,526,739,582,"Abcc10",2.622562,2.513981,2.584121,288,85,131,2.57355466666667,10.440122831944
"ABCC12",0,0,0,0,0,0,0,"Abcc12",0.581075,0.452147,0.584976,67,15,32,0.539399333333333,0.649604023041022
"ABCC2",0.525342,0.194318,0.093136,0.270932,8,4,5,"Abcc2",0.140255,0.055143,0.014914,11,3,2,0.070104,1.18767147866002
"ABCC3",0.735677,0.386222,0.301105,0.474334666666667,6,5,4,"Abcc3",0.786365,0.247674,1.21136,64,13,30,0.748466333333333,0.843215930761416
"ABCC4",7.050166,6.396275,5.373786,6.273409,388,482,551,"Abcc4",7.38802,4.529168,6.372067,1235,251,481,6.09641833333333,1.02494084457159
"ABCC5",40.658816,35.616212,29.02946,35.101496,2274,2699,2335,"Abcc5",198.841532,203.71343,188.884774,9456,2400,3630,197.146578666667,0.182195908922212
"ABCC6",1.563937,2.080382,1.038311,1.56087666666667,47,91,70,"Abcc6",0.085526,0.0381,0.217017,4,2,4,0.113547666666667,2.29974588724386
"ABCC8",59.334917,46.332088,44.755074,50.140693,729,907,811,"Abcc8",7.000264,4.430874,5.406411,502,87,201,5.61251633333333,7.73392312729763
"ABCC9",2.011239,0.868414,0.975146,1.284933,245,158,167,"Abcc9",0.457331,0.586749,0.748134,144,44,89,0.597404666666667,1.43040335844768
"ABCD1",10.618352,6.729346,8.415782,8.58782666666667,351,364,475,"Abcd1",3.015163,2.892315,3.204815,439,97,175,3.037431,2.37473449494658
"ABCD2",1.015291,0.95263,0.78988,0.919267,101,128,108,"Abcd2",12.532056,12.875819,24.69632,1069,277,522,16.7013983333333,0.108424598094369
"ABCD3",11.715671,11.503515,12.736033,11.985073,658,873,979,"Abcd3",23.050902,26.579739,25.839073,2983,814,1204,25.1565713333333,0.49643635759906
"ABCD4",58.610022,52.354869,50.095508,53.6867996666667,722,999,947,"Abcd4",7.701302,7.200632,7.596608,671,162,279,7.499514,6.43410901689987
