"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"A1BG",18.566797,13.425058,13.989052,15.326969,182,164,192,"A1bg",0.092692,0.01888,0,1,1,0,0.0371906666666667,15.7415309689122
"A1CF",0.232084,0.063162,0.004811,0.100019,1,5,1,"A1cf",0,0,0,0,0,0,0,1.100019
"A2M",20.514891,0.866071,0.291101,7.224021,519,12,14,"A2m",0.013353,0.162079,0,2,4,0,0.0584773333333333,7.76967133920676
"A3GALT2",0.438529,0.497281,0.204317,0.380042333333333,5,8,4,"A3galt2",0.014454,0.028056,0.024393,1,3,2,0.022301,1.34993737982584
"A4GALT",13.724676,11.545392,14.652328,13.3074653333333,285,366,484,"A4galt",0.946044,0.571248,0.899671,44,34,32,0.805654333333333,7.92370115874891
"A4GNT",0.153016,0.028124,0,0.06038,4,1,0,"A4gnt",0,0,0,0,0,0,0,1.06038
"AAAS",13.508489,16.738215,19.022055,16.4229196666667,343,455,490,"Aaas",5.864166,6.572757,4.933001,74,62,46,5.78997466666667,2.56597712392054
"AACS",15.145339,10.858128,8.980095,11.6611873333333,461,652,560,"Aacs",0.197809,8.053353,2.171261,16,38,23,3.474141,2.82985881163185
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,0,"Aadacl2",0,0,0,0,0,0,0,1
"AADACL3",0,0.011945,0,0.00398166666666667,0,1,0,"Aadacl3",0,0,0,0,0,0,0,1.00398166666667
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1.014666
"AADAT",16.560745,15.539194,12.933418,15.011119,429,514,491,"Aadat",0,0,0,0,0,0,0,16.011119
"AAGAB",41.413864,42.849994,35.918127,40.0606616666667,993,1426,1315,"Aagab",4.548623,3.163708,3.717481,210,220,181,3.80993733333333,8.53663131577875
"AAK1",11.518232,13.289394,13.438405,12.748677,2499,3549,3550,"Aak1",4.08074,8.240314,8.396759,841,860,669,6.90593766666667,1.73903179858952
"AAMDC",9.532266,5.352023,7.306193,7.39682733333333,48,40,51,"Aamdc",23.704316,24.694122,27.234494,261,265,213,25.2109773333333,0.320355369681497
"AAMP",72.348646,70.27047,54.966626,65.861914,935,1376,1193,"Aamp",16.634288,17.584764,22.502302,744,720,645,18.907118,3.35869380992266
"AANAT",0.253842,0.182542,0.515652,0.317345333333333,1,1,6,"Aanat",0.023974,0,0,1,0,0,0.00799133333333333,1.30690144822674
"AAR2",9.862522,12.742074,9.815474,10.80669,384,679,543,"Aar2",2.235598,2.269025,2.79345,210,197,191,2.432691,3.43948523184872
"AARD",0.160926,0.129803,0.240983,0.177237333333333,5,6,12,"Aard",0,0.027521,0,0,1,0,0.00917366666666667,1.16653592163357
"AARS1",61.137205,66.203897,57.698854,61.6799853333333,2513,3252,3240,"Aars",5.966065,5.315623,6.3963,523,498,414,5.89266266666667,9.09372594664432
"AARS2",4.02726,4.870429,3.692426,4.196705,318,528,425,"Aars2",2.259474,2.382565,2.216271,236,236,186,2.28610333333333,1.58141862043291
"AARSD1",57.596898,71.665882,48.347544,59.2034413333333,392,756,544,"Aarsd1",5.291274,6.979547,7.711043,237,286,216,6.66062133333333,7.85881963273301
"AASDH",5.317648,4.075445,5.487073,4.96005533333333,154,175,182,"Aasdh",3.447906,4.855747,2.951467,154,158,113,3.75170666666667,1.25429782422035
"AASDHPPT",104.747918,110.344793,89.985303,101.692671333333,3116,4632,3686,"Aasdhppt",3.367854,3.157,3.978166,303,256,259,3.50100666666667,22.8154897200774
"AASS",2.628604,2.250706,1.439504,2.10627133333333,225,282,185,"Aass",0.008662,0,0.177648,1,0,3,0.0621033333333333,2.92464135630243
"AATF",16.465887,17.429714,15.691305,16.5289686666667,276,428,414,"Aatf",2.063696,1.49725,2.21789,90,70,80,1.92627866666667,5.99019118252124
"AATK",16.385879,16.887406,16.473264,16.582183,581,867,1089,"Aatk",0.725985,0.457374,0.57906,57,59,43,0.587473,11.0755792381981
"ABAT",59.088785,64.587057,41.158971,54.9449376666667,3015,4574,3152,"Abat",1.074213,3.316001,2.055263,167,195,173,2.14849233333333,17.7688022531842
"ABCA1",4.587007,4.124422,3.096802,3.936077,771,969,758,"Abca1",1.851094,1.818334,1.49918,577,504,336,1.72286933333333,1.81282184186094
"ABCA12",0.060479,0.006374,0,0.0222843333333333,9,1,0,"Abca12",0.370439,0.231995,0.471437,106,62,101,0.357957,0.752810533274127
"ABCA13",0.018797,0.084847,0.059631,0.054425,1,8,6,"Abca13",0,0,0,0,0,0,0,1.054425
"ABCA2",86.10463,86.558699,80.710993,84.4581073333333,2072,2678,2585,"Abca2",8.286462,6.684126,6.658147,789,757,638,7.20957833333333,10.4095611081933
"ABCA3",55.59978,54.652489,44.714698,51.6556556666667,4782,6902,6185,"Abca3",1.153333,1.46847,1.264998,231,222,189,1.29560033333333,22.9376407130103
"ABCA4",0.709647,0.545438,0.159905,0.471663333333333,39,1,1,"Abca4",0.723448,0.577212,0.748856,43,29,37,0.683172,0.874339243602753
"ABCA5",10.668791,9.107596,7.662206,9.14619766666667,513,604,633,"Abca5",0.467171,0.588468,0.652318,130,114,130,0.569319,6.46535068183503
"ABCA6",0.332708,0.201177,0.26943,0.267771666666667,9,14,15,"Abca6",1.363668,1.287738,1.481468,213,189,180,1.37762466666667,0.533209334694542
"ABCA7",42.45405,52.111696,39.796489,44.7874116666667,1395,2369,1835,"Abca7",0.693706,0.552311,0.58948,167,127,101,0.611832333333333,28.4070561929829
"ABCA8",0.244206,0.413915,0.141469,0.26653,6,7,6,"Abca8b",1.19705,1.355302,1.389084,299,302,226,1.313812,0.547378092947915
"ABCA9",4.035468,0.682386,0.739211,1.81902166666667,21,27,35,"Abca9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,1.02361535210306
"ABCB1",2.608253,0.395444,0.72192,1.24187233333333,71,28,37,"Abcb1b",1.448958,1.10462,1.336334,101,103,68,1.29663733333333,0.976154267282369
"ABCB1",2.608253,0.395444,0.72192,1.24187233333333,71,28,37,"Abcb1a",22.341597,11.92902,15.633074,306,260,232,16.6345636666667,0.127129447357463
"ABCB10",4.784184,6.526598,5.638334,5.64970533333333,213,397,298,"Abcb10",3.70404,4.009373,4.926604,497,533,463,4.213339,1.27551753939909
"ABCB11",1.713152,2.345963,2.257067,2.105394,8,17,14,"Abcb11",0,0,0,0,0,0,0,3.105394
"ABCB4",2.613821,0.236469,0.112046,0.987445333333333,20,11,9,"Abcb4",2.855218,3.428858,3.224924,367,397,282,3.16966666666667,0.476643696538492
"ABCB5",0.031732,0.170177,0.033162,0.078357,3,5,1,"Abcb5",0,0,0,0,0,0,0,1.078357
"ABCB6",39.80428,30.533985,38.474452,36.2709056666667,602,671,937,"Abcb6",4.179214,5.497167,4.20283,223,255,203,4.62640366666667,6.62428575601075
"ABCB7",6.507055,5.040312,4.209266,5.252211,171,274,200,"Abcb7",3.502681,3.231758,4.404847,659,544,597,3.71309533333333,1.32656153924604
"ABCB8",21.51191,19.464312,14.629305,18.5351756666667,551,761,665,"Abcb8",15.227893,15.429945,18.285769,744,727,657,16.3145356666667,1.12825293399436
"ABCB9",13.522164,13.523465,13.352624,13.4660843333333,392,512,531,"Abcb9",1.277403,0.974135,1.355097,117,101,104,1.20221166666667,6.56888915461502
"ABCC1",11.500209,10.367327,9.302465,10.3900003333333,903,1271,1197,"Abcc1",2.436638,4.138721,7.941157,446,428,346,4.83883866666667,1.95073044205823
"ABCC10",36.128396,35.014973,37.78168,36.3083496666667,526,739,582,"Abcc10",0.487548,0.662952,0.381423,47,52,34,0.510641,24.6970323635243
"ABCC12",0,0,0,0,0,0,0,"Abcc12",0,0,0,0,0,0,0,1
"ABCC2",0.525342,0.194318,0.093136,0.270932,8,4,5,"Abcc2",0.003846,0.018808,0,1,1,0,0.00755133333333333,1.26140669755784
"ABCC3",0.735677,0.386222,0.301105,0.474334666666667,6,5,4,"Abcc3",0.252275,0.270166,0.237298,18,12,7,0.253246333333333,1.17641251161317
"ABCC4",7.050166,6.396275,5.373786,6.273409,388,482,551,"Abcc4",1.07834,1.027357,0.899832,184,175,110,1.001843,3.63335636211231
"ABCC5",40.658816,35.616212,29.02946,35.101496,2274,2699,2335,"Abcc5",10.385666,13.130438,7.183393,582,426,255,10.2331656666667,3.21383099575641
"ABCC6",1.563937,2.080382,1.038311,1.56087666666667,47,91,70,"Abcc6",0,0,0,0,0,0,0,2.56087666666667
"ABCC8",59.334917,46.332088,44.755074,50.140693,729,907,811,"Abcc8",5.196664,5.907268,4.973336,286,348,267,5.35908933333333,8.04214099209593
"ABCC9",2.011239,0.868414,0.975146,1.284933,245,158,167,"Abcc9",19.684747,22.99213,23.672163,4837,5123,4198,22.1163466666667,0.0988449010974052
"ABCD1",10.618352,6.729346,8.415782,8.58782666666667,351,364,475,"Abcd1",2.313105,2.752033,3.025499,286,317,273,2.696879,2.59349215018037
"ABCD2",1.015291,0.95263,0.78988,0.919267,101,128,108,"Abcd2",0.907229,0.389841,2.345446,72,65,60,1.214172,0.866810256836416
"ABCD3",11.715671,11.503515,12.736033,11.985073,658,873,979,"Abcd3",13.628574,15.300532,16.369644,1441,1359,1208,15.0995833333333,0.806547146665286
"ABCD4",58.610022,52.354869,50.095508,53.6867996666667,722,999,947,"Abcd4",0.85394,1.106506,1.124445,67,57,53,1.028297,26.9619289811436
"ABCE1",47.293811,49.347163,47.386876,48.0092833333333,1200,1864,1735,"Abce1",6.423351,6.420801,6.784214,778,717,590,6.54278866666667,6.49750185232111
"ABCF1",49.941811,50.936379,55.648464,52.1755513333333,769,1208,1106,"Abcf1",14.572771,13.528038,17.357068,822,833,714,15.1526256666667,3.29206857328892
"ABCF2",19.522918,29.608502,27.332976,25.488132,499,751,734,"Abcf2",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,3.12921547000748
"ABCF3",46.460597,40.982435,31.451225,39.631419,710,879,744,"Abcf3",56.843927,45.142544,60.394936,472,407,364,54.1271356666667,0.737049340739978
"ABCG1",2.981022,2.516257,2.216058,2.57111233333333,133,150,148,"Abcg1",0.251662,0.952119,0.477321,40,67,36,0.560367333333333,2.28863566741336
"ABCG2",0,0.032841,0.010415,0.0144186666666667,0,3,1,"Abcg3",0.080428,0.035451,0.075727,7,3,5,0.0638686666666667,0.953518698736624
"ABCG4",12.913126,10.418173,10.808669,11.3799893333333,598,780,776,"Abcg4",0.127302,0.011319,0.156331,3,1,1,0.0983173333333333,11.271778162474
"ABCG5",0.106507,0.151389,0.042838,0.100244666666667,5,10,3,"Abcg5",0,0,0,0,0,0,0,1.10024466666667
"ABCG8",0.375379,0.464493,0.42013,0.420000666666667,27,45,55,"Abcg8",0,0,0,0,0,0,0,1.42000066666667
"ABHD1",0.400221,0.717874,0.22597,0.448021666666667,14,18,14,"Abhd1",0.884254,0.707662,0.256382,35,26,7,0.616099333333333,0.89599793577045
"ABHD10",22.938499,24.352688,21.626771,22.9726526666667,576,818,829,"Abhd10",2.955729,5.14223,4.358272,111,153,102,4.152077,4.6530074505227
"ABHD11",6.937606,7.064101,6.864255,6.95532066666667,76,110,135,"Abhd11",8.843995,9.876887,10.511257,261,260,220,9.74404633333333,0.740439906889208
"ABHD12",64.546737,62.306897,62.683147,63.178927,766,1044,1187,"Abhd12",14.072634,12.994731,16.910777,328,371,288,14.6593806666667,4.09843328840038
"ABHD12B",1.904262,0.479376,0.66991,1.01784933333333,10,10,16,"Abhd12b",0,0,0,0,0,0,0,2.01784933333333
"ABHD13",2.367033,2.196661,1.88721,2.15030133333333,196,246,214,"Abhd13",1.612849,1.579601,1.789031,270,250,213,1.66049366666667,1.18410405286939
"ABHD14A",22.540257,19.428712,18.954588,20.3078523333333,283,320,352,"Abhd14a",2.996884,2.658814,3.062354,93,81,73,2.90601733333333,5.45513511972809
"ABHD14B",3.320588,2.072545,1.528819,2.30731733333333,54,55,44,"Abhd14b",2.264105,1.928432,2.675018,78,66,63,2.289185,1.00551271312904
"ABHD15",0.626613,0.218831,0.501833,0.449092333333333,33,16,41,"Abhd15",0.151803,0.17299,0.243191,13,15,13,0.189328,1.21841269467576
"ABHD16A",37.200716,47.134845,37.037113,40.457558,666,1034,935,"Abhd16a",14.283377,10.868275,15.117416,382,329,324,13.4230226666667,2.87440150085969
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.017708,0,0.024841,1,0,1,0.014183,0.986015344370789
"ABHD17A",15.282057,19.663938,28.463204,21.1363996666667,503,831,1086,"Abhd17a",5.672737,6.770556,6.724789,179,222,144,6.38936066666667,2.99571243917268
"ABHD17B",10.201998,14.689547,11.447473,12.113006,457,762,669,"Abhd17b",1.521296,1.357875,1.700168,97,77,81,1.52644633333333,5.19029667362814
"ABHD17C",22.112876,26.685209,23.848278,24.2154543333333,525,820,771,"Abhd17c",4.881013,3.750363,3.185882,225,242,149,3.939086,5.10528756400138
