"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"A1BG",18.566797,13.425058,13.989052,15.326969,182,164,192,"A1bg",0,0,0,0,0,0,0,16.326969
"A1CF",0.232084,0.063162,0.004811,0.100019,1,5,1,"A1cf",0,0,0,0,0,0,0,1.100019
"A2M",20.514891,0.866071,0.291101,7.224021,519,12,14,"A2m",9.174995,13.394599,8.530091,939,2038,276,10.3665616666667,0.723527592703569
"A3GALT2",0.438529,0.497281,0.204317,0.380042333333333,5,8,4,"A3galt2",0.056162,0.071851,0.07206,3,8,1,0.066691,1.29376017359604
"A4GALT",13.724676,11.545392,14.652328,13.3074653333333,285,366,484,"A4galt",5.98487,2.435029,3.312794,65,77,18,3.91089766666667,2.91341141772248
"A4GNT",0.153016,0.028124,0,0.06038,4,1,0,"A4gnt",0,0,0,0,0,0,0,1.06038
"AAAS",13.508489,16.738215,19.022055,16.4229196666667,343,455,490,"Aaas",26.517031,23.542026,30.96651,193,273,81,27.0085223333333,0.622057795813505
"AACS",15.145339,10.858128,8.980095,11.6611873333333,461,652,560,"Aacs",92.666198,156.723171,157.539085,567,1030,238,135.642818,0.0926590033684268
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,0,"Aadacl2",0,0,0,0,0,0,0,1
"AADACL3",0,0.011945,0,0.00398166666666667,0,1,0,"Aadacl3",0,0,0,0,0,0,0,1.00398166666667
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1.014666
"AADACL4",0.043998,0,0,0.014666,1,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1.014666
"AADAT",16.560745,15.539194,12.933418,15.011119,429,514,491,"Aadat",0.102189,0.086571,0.345332,4,4,3,0.178030666666667,13.5914280103631
"AAGAB",41.413864,42.849994,35.918127,40.0606616666667,993,1426,1315,"Aagab",17.426509,15.6387,13.707991,736,985,210,15.5910666666667,2.47486569077335
"AAK1",11.518232,13.289394,13.438405,12.748677,2499,3549,3550,"Aak1",69.489029,46.415298,28.507961,7387,8738,1634,48.1374293333333,0.279800493972388
"AAMDC",9.532266,5.352023,7.306193,7.39682733333333,48,40,51,"Aamdc",38.24271,41.233439,42.468014,297,480,107,40.6480543333333,0.20161391612988
"AAMP",72.348646,70.27047,54.966626,65.861914,935,1376,1193,"Aamp",68.334942,59.931139,83.371171,1778,2358,678,70.5457506666667,0.934533684767824
"AANAT",0.253842,0.182542,0.515652,0.317345333333333,1,1,6,"Aanat",4.817009,2.713429,1.020571,21,20,6,2.85033633333333,0.342137730132493
"AAR2",9.862522,12.742074,9.815474,10.80669,384,679,543,"Aar2",11.180055,9.270863,11.847764,628,826,234,10.7662273333333,1.00343888193899
"AARD",0.160926,0.129803,0.240983,0.177237333333333,5,6,12,"Aard",8.095531,6.271673,6.228319,196,227,47,6.86517433333333,0.149677207833028
"AARS1",61.137205,66.203897,57.698854,61.6799853333333,2513,3252,3240,"Aars",50.223145,48.62845,48.05169,3323,4540,1025,48.9677616666667,1.25440850745866
"AARS2",4.02726,4.870429,3.692426,4.196705,318,528,425,"Aars2",9.453422,6.039625,6.693012,476,556,153,7.395353,0.61899779556619
"AARSD1",57.596898,71.665882,48.347544,59.2034413333333,392,756,544,"Aarsd1",20.364092,16.374867,24.548975,536,628,183,20.4293113333333,2.80939692353467
