"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"A1BG",12.383067,11.034331,14.333404,12.5836006666667,126,71,81,"A1bg",0,0,0,0,0,0,0,13.5836006666667
"A1CF",0,0.018194,0.01632,0.0115046666666667,0,2,2,"A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,0.976714424439603
"A2M",93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,"A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,7.81658394707475
"A3GALT2",0.251325,0.112836,0.205214,0.189791666666667,3,1,2,"A3galt2",0.295537,0.21946,0.13739,6,19,5,0.217462333333333,0.977271849888854
"A4GALT",1.677651,1.425484,2.068745,1.72396,11,6,11,"A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,0.763637535971248
"A4GNT",0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,"A4gnt",0,0,0,0,0,0,0,1.05810433333333
"AAAS",22.626138,22.03279,25.95966,23.5395293333333,485,382,454,"Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,0.769512424252608
"AACS",20.326116,20.425959,26.161884,22.304653,720,608,707,"Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,0.172520909486529
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0.013978,0.017282,0.015789,0.015683,1,1,1,"Aadacl2",0,0,0,0,0,0,0,1.015683
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",11.191628,12.930531,10.028336,11.3834983333333,298,198,233,"Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,10.0145687794924
"AAGAB",19.083715,24.987378,20.768264,21.613119,460,421,405,"Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,1.03172580848095
