"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"A1BG",12.383067,11.034331,14.333404,12.5836006666667,126,71,81,"A1bg",0.092692,0.01888,0,1,1,0,0.0371906666666667,13.0965319137722
"A1CF",0,0.018194,0.01632,0.0115046666666667,0,2,2,"A1cf",0,0,0,0,0,0,0,1.01150466666667
"A2M",93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,"A2m",0.013353,0.162079,0,2,4,0,0.0584773333333333,99.1675167347309
"A3GALT2",0.251325,0.112836,0.205214,0.189791666666667,3,1,2,"A3galt2",0.014454,0.028056,0.024393,1,3,2,0.022301,1.16383693908806
"A4GALT",1.677651,1.425484,2.068745,1.72396,11,6,11,"A4galt",0.946044,0.571248,0.899671,44,34,32,0.805654333333333,1.50857223872491
"A4GNT",0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,"A4gnt",0,0,0,0,0,0,0,1.05810433333333
"AAAS",22.626138,22.03279,25.95966,23.5395293333333,485,382,454,"Aaas",5.864166,6.572757,4.933001,74,62,46,5.78997466666667,3.61408260531556
"AACS",20.326116,20.425959,26.161884,22.304653,720,608,707,"Aacs",0.197809,8.053353,2.171261,16,38,23,3.474141,5.20874353311619
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0.013978,0.017282,0.015789,0.015683,1,1,1,"Aadacl2",0,0,0,0,0,0,0,1.015683
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",11.191628,12.930531,10.028336,11.3834983333333,298,198,233,"Aadat",0,0,0,0,0,0,0,12.3834983333333
"AAGAB",19.083715,24.987378,20.768264,21.613119,460,421,405,"Aagab",4.548623,3.163708,3.717481,210,220,181,3.80993733333333,4.70133339228536
"AAK1",8.82358,11.990978,8.52265,9.77906933333333,1360,1207,1223,"Aak1",4.08074,8.240314,8.396759,841,860,669,6.90593766666667,1.36341440924591
"AAMDC",11.840577,16.196803,14.120167,14.0525156666667,61,65,52,"Aamdc",23.704316,24.694122,27.234494,261,265,213,25.2109773333333,0.574282884428117
"AAMP",50.785242,57.93435,59.245556,55.9883826666667,665,551,649,"Aamp",16.634288,17.584764,22.502302,744,720,645,18.907118,2.86271386278349
"AANAT",0.527125,0,0.383865,0.303663333333333,5,0,3,"Aanat",0.023974,0,0,1,0,0,0.00799133333333333,1.2933279188247
"AAR2",9.802296,9.159607,9.720694,9.56086566666667,356,271,317,"Aar2",2.235598,2.269025,2.79345,210,197,191,2.432691,3.07655587603623
"AARD",0.430968,0.085659,1.087127,0.534584666666667,14,2,11,"Aard",0,0.027521,0,0,1,0,0.00917366666666667,1.52063486925442
"AARS1",28.854614,28.801712,24.508809,27.3883783333333,1167,916,940,"Aars",5.966065,5.315623,6.3963,523,498,414,5.89266266666667,4.11863741288562
"AARS2",5.386935,4.813326,4.864937,5.02173266666667,386,295,304,"Aars2",2.259474,2.382565,2.216271,236,236,186,2.28610333333333,1.83248426961619
"AARSD1",74.878567,67.118873,80.955658,74.3176993333333,446,311,417,"Aarsd1",5.291274,6.979547,7.711043,237,286,216,6.66062133333333,9.8318003274234
