"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"A1BG",12.383067,11.034331,14.333404,12.5836006666667,126,71,81,"A1bg",0,0,0,0,0,0,0,13.5836006666667
"A1CF",0,0.018194,0.01632,0.0115046666666667,0,2,2,"A1cf",0,0,0,0,0,0,0,1.01150466666667
"A2M",93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,"A2m",9.174995,13.394599,8.530091,939,2038,276,10.3665616666667,9.23468078957328
"A3GALT2",0.251325,0.112836,0.205214,0.189791666666667,3,1,2,"A3galt2",0.056162,0.071851,0.07206,3,8,1,0.066691,1.11540424234072
"A4GALT",1.677651,1.425484,2.068745,1.72396,11,6,11,"A4galt",5.98487,2.435029,3.312794,65,77,18,3.91089766666667,0.554676595785984
"A4GNT",0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,"A4gnt",0,0,0,0,0,0,0,1.05810433333333
"AAAS",22.626138,22.03279,25.95966,23.5395293333333,485,382,454,"Aaas",26.517031,23.542026,30.96651,193,273,81,27.0085223333333,0.876145090458003
"AACS",20.326116,20.425959,26.161884,22.304653,720,608,707,"Aacs",92.666198,156.723171,157.539085,567,1030,238,135.642818,0.170551612891941
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0.013978,0.017282,0.015789,0.015683,1,1,1,"Aadacl2",0,0,0,0,0,0,0,1.015683
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",11.191628,12.930531,10.028336,11.3834983333333,298,198,233,"Aadat",0.102189,0.086571,0.345332,4,4,3,0.178030666666667,10.5120339255458
"AAGAB",19.083715,24.987378,20.768264,21.613119,460,421,405,"Aagab",17.426509,15.6387,13.707991,736,985,210,15.5910666666667,1.36296956996938
"AAK1",8.82358,11.990978,8.52265,9.77906933333333,1360,1207,1223,"Aak1",69.489029,46.415298,28.507961,7387,8738,1634,48.1374293333333,0.219365755994507
"AAMDC",11.840577,16.196803,14.120167,14.0525156666667,61,65,52,"Aamdc",38.24271,41.233439,42.468014,297,480,107,40.6480543333333,0.361421821682058
"AAMP",50.785242,57.93435,59.245556,55.9883826666667,665,551,649,"Aamp",68.334942,59.931139,83.371171,1778,2358,678,70.5457506666667,0.79653064138186
"AANAT",0.527125,0,0.383865,0.303663333333333,5,0,3,"Aanat",4.817009,2.713429,1.020571,21,20,6,2.85033633333333,0.338584274326165
"AAR2",9.802296,9.159607,9.720694,9.56086566666667,356,271,317,"Aar2",11.180055,9.270863,11.847764,628,826,234,10.7662273333333,0.897557506538063
"AARD",0.430968,0.085659,1.087127,0.534584666666667,14,2,11,"Aard",8.095531,6.271673,6.228319,196,227,47,6.86517433333333,0.195111335315602
"AARS1",28.854614,28.801712,24.508809,27.3883783333333,1167,916,940,"Aars",50.223145,48.62845,48.05169,3323,4540,1025,48.9677616666667,0.568133880454988
"AARS2",5.386935,4.813326,4.864937,5.02173266666667,386,295,304,"Aars2",9.453422,6.039625,6.693012,476,556,153,7.395353,0.717269740375023
"AARSD1",74.878567,67.118873,80.955658,74.3176993333333,446,311,417,"Aarsd1",20.364092,16.374867,24.548975,536,628,183,20.4293113333333,3.51470461004393
"AASDH",5.458335,2.72435,3.019545,3.73407666666667,133,107,128,"Aasdh",10.338272,7.965028,6.807299,253,277,58,8.37019966666667,0.505226871899813
"AASDHPPT",49.305585,36.802533,43.42734,43.178486,1280,906,1184,"Aasdhppt",7.37912,6.932505,6.263653,392,582,102,6.858426,5.62179830922885
"AASS",9.710755,9.041474,7.927698,8.893309,771,591,561,"Aass",0.727559,1.359941,0.620717,39,83,12,0.902739,5.19950923379402
"AATF",15.593698,15.462792,19.291505,16.782665,279,197,205,"Aatf",5.791477,4.306441,4.535828,176,197,48,4.87791533333333,3.02533534281372
"AATK",5.175648,2.801113,2.12947,3.36874366666667,197,66,153,"Aatk",118.038677,125.518116,98.177824,7807,12349,2727,113.911539,0.0380183200458804
"ABAT",19.311736,14.714566,12.931931,15.6527443333333,1137,753,789,"Abat",168.964922,122.107798,135.354847,10783,12924,3096,142.142522333333,0.116336809369297
"ABCA1",13.944394,12.167811,12.461129,12.857778,2286,1610,1812,"Abca1",6.043864,5.208708,5.365657,945,1230,203,5.53940966666667,2.11911758191833
"ABCA12",0.045246,0.050407,0.030483,0.0420453333333333,6,6,4,"Abca12",0.045234,0.074347,0,5,9,0,0.0398603333333333,1.00210124372472
"ABCA13",0.064986,0.353211,0.084842,0.167679666666667,4,8,5,"Abca13",0.047409,0.010958,0,7,6,0,0.0194556666666667,1.14539523870091
"ABCA2",50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,"Abca2",187.735036,204.759133,180.525361,10708,19126,3021,191.00651,0.215025877681613
"ABCA3",21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,"Abca3",14.947317,12.397739,14.833255,1948,2418,589,14.059437,1.47807320641093
"ABCA4",1.22204,0.556301,1.285668,1.02133633333333,23,10,13,"Abca4",0.320539,0.548091,0.211687,20,22,5,0.360105666666667,1.48616124678548
"ABCA5",6.679427,7.075997,6.759744,6.83838933333333,323,230,276,"Abca5",10.426741,9.657139,7.69426,1834,2418,419,9.25938,0.764021737505905
"ABCA6",1.179883,0.523131,0.304506,0.669173333333333,17,18,12,"Abca6",1.102142,1.064141,0.65707,128,183,24,0.941117666666667,0.859903220704635
"ABCA7",24.152072,12.964013,24.639795,20.5852933333333,710,377,537,"Abca7",6.531162,5.344626,6.635365,985,1230,314,6.17038433333333,3.01033979908004
"ABCA8",8.680828,3.745783,8.184944,6.87051833333333,258,141,202,"Abca8b",2.986576,2.668696,2.137732,492,660,110,2.597668,2.1876722180405
"ABCA9",2.080644,1.631188,5.048676,2.92016933333333,56,70,42,"Abca9",1.374692,1.128702,1.013082,182,236,45,1.17215866666667,1.80473433800723
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,"Abcb1b",2.49553,1.937662,4.193703,104,138,26,2.87563166666667,0.341979092440415
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,"Abcb1a",51.550946,45.585615,82.118006,956,1215,296,59.7515223333333,0.0218164903379349
"ABCB10",4.487977,5.694735,6.12157,5.43476066666667,229,188,232,"Abcb10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,0.695282216742277
"ABCB11",1.580405,3.39585,0.543683,1.83997933333333,8,15,6,"Abcb11",0.107312,0.072965,0,3,3,0,0.0600923333333333,2.67899242738919
"ABCB4",0.391427,0.466284,0.700631,0.519447333333333,11,23,7,"Abcb4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,0.662814642480643
"ABCB5",0.218901,0.076822,0,0.0985743333333333,4,2,0,"Abcb5",0,0,0,0,0,0,0,1.09857433333333
"ABCB6",17.599676,11.88309,16.193697,15.2254876666667,250,162,216,"Abcb6",11.256848,9.906954,10.797514,311,438,107,10.653772,1.39229492963022
"ABCB7",5.349743,5.631146,5.087587,5.35615866666667,135,114,121,"Abcb7",7.537502,7.121689,6.273685,852,1270,219,6.97762533333333,0.796748205272112
"ABCB8",25.451568,21.496367,20.678115,22.5420166666667,717,431,556,"Abcb8",32.393634,22.982948,29.272752,764,1061,243,28.2164446666667,0.805779653727888
"ABCB9",20.038858,11.346602,23.406662,18.2640406666667,473,230,418,"Abcb9",13.338002,13.437693,14.346582,897,1194,345,13.7074256666667,1.30981730611954
"ABCC1",8.866004,11.470193,9.218329,9.85150866666667,759,724,593,"Abcc1",6.382838,7.348494,2.504568,439,657,118,5.41196666666667,1.69238382399576
"ABCC10",67.229562,58.653056,74.269479,66.7173656666667,908,586,738,"Abcc10",4.048571,3.606159,3.043047,272,388,93,3.56592566666667,14.8310267425145
"ABCC12",0,0,0,0,0,0,0,"Abcc12",0.455108,0.934647,0.773761,35,106,17,0.721172,0.580999458508505
"ABCC2",1.027977,1.07924,0.751123,0.95278,20,15,18,"Abcc2",0.077074,0.105317,0.017706,5,9,1,0.066699,1.8306757576411
"ABCC3",0.387771,0.982346,0.063447,0.477854666666667,3,5,1,"Abcc3",0.811729,0.712912,0.426075,31,43,6,0.650238666666667,0.895539958260583
"ABCC4",3.039078,1.546278,3.664319,2.74989166666667,130,109,125,"Abcc4",3.071147,2.167471,3.352535,318,388,87,2.86371766666667,0.970539772876779
"ABCC5",47.052923,36.864191,46.334162,43.417092,2382,1605,1925,"Abcc5",183.364476,141.300881,150.092514,4295,5403,1092,158.252623666667,0.278909640402345
"ABCC6",0.700877,0.769524,0.372597,0.614332666666667,31,27,18,"Abcc6",1.008744,1.57666,0.876534,63,89,18,1.15397933333333,0.749465253303266
"ABCC8",29.752164,6.667184,22.439929,19.619759,265,116,210,"Abcc8",11.549855,10.608686,22.413235,564,647,172,14.8572586666667,1.3003356654164
"ABCC9",0.152849,0.551804,0.203548,0.302733666666667,19,57,23,"Abcc9",2.029741,1.735282,2.238094,334,424,115,2.001039,0.43409421425935
"ABCD1",7.294446,8.044954,7.763412,7.70093733333333,256,196,196,"Abcd1",3.751694,3.290507,2.928051,253,362,74,3.32341733333333,2.01251386634585
"ABCD2",0.010725,0,0.024448,0.0117243333333333,1,0,2,"Abcd2",26.320987,26.081769,26.769714,1181,1617,306,26.3908233333333,0.0369366163631202
