"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"A1BG",8.512248,7.362639,11.019571,8.96481933333333,104,79,86,"A1bg",0,0,0,0,0,0,0,9.96481933333333
"A1CF",0.012027,0,0.110455,0.0408273333333333,2,0,3,"A1cf",0,0,0,0,0,0,0,1.04082733333333
"A2M",166.022861,193.59196,157.990809,172.53521,4945,3898,3159,"A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,123.167764463006
"A3GALT2",0.144755,0.097166,0.113413,0.118444666666667,2,1,1,"A3galt2",0.088979,0.036608,0.075161,3,1,4,0.066916,1.04829683561468
"A4GALT",4.719891,2.211286,2.676825,3.20266733333333,75,26,24,"A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,1.75624132100306
"A4GNT",0.099138,0,0,0.033046,3,0,0,"A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,0.975225835442452
"AAAS",22.215928,24.455156,21.480131,22.7170716666667,578,403,355,"Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,0.909469198357303
"AACS",17.933589,18.199238,25.629245,20.5873573333333,910,792,813,"Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,0.185493595497171
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0.10568,0,0,1,0.0352266666666667,0.965972025450143
"AADACL2",0,0,0.016678,0.00555933333333333,0,0,1,"Aadacl2",0,0,0,0,0,0,0,1.00555933333333
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",13.595651,16.190365,22.775181,17.520399,324,335,359,"Aadat",0.050276,0.175652,0.090191,1,3,2,0.105373,16.754886359627
"AAGAB",22.912872,27.695939,31.184347,27.264386,656,567,572,"Aagab",20.4929,19.292215,18.876059,550,534,1046,19.5537246666667,1.37514666846921
"AAK1",11.479212,14.408764,9.576512,11.821496,2755,2090,1905,"Aak1",85.827432,87.609949,74.268329,5477,5459,10550,82.56857,0.153424858173354
"AAMDC",13.752073,7.993795,9.099596,10.2818213333333,71,41,35,"Aamdc",29.578734,27.920242,22.8832,130,139,241,26.7940586666667,0.405907660649202
"AAMP",63.531145,62.598294,71.307854,65.812431,995,729,745,"Aamp",66.955059,76.234053,61.399198,1094,1097,2029,68.1961033333333,0.965551928237192
"AANAT",0.21683,0.243358,0.326805,0.262331,4,5,1,"Aanat",0.376031,0.132462,0.649323,4,1,15,0.385938666666667,0.910813032611352
"AAR2",10.815465,10.804659,13.984677,11.868267,486,364,414,"Aar2",9.82204,8.789412,9.62101,377,335,665,9.41082066666667,1.2360473215336
"AARD",1.609116,1.070727,1.582262,1.42070166666667,36,32,31,"Aard",1.351779,1.162396,1.36039,19,17,40,1.29152166666667,1.05637302142026
"AARS1",44.0177,45.687718,47.566252,45.7572233333333,2192,1394,1433,"Aars",36.787153,42.125397,33.744357,1529,1639,2689,37.5523023333333,1.21282570698523
"AARS2",5.079803,4.491045,5.615728,5.062192,446,312,330,"Aars2",6.80901,5.980452,5.852712,241,219,431,6.214058,0.840330366071357
"AARSD1",51.795203,58.156602,82.475187,64.1423306666667,415,381,422,"Aarsd1",22.702986,25.557626,22.475152,387,429,691,23.578588,2.65036912074309
"AASDH",6.432077,7.774202,3.850395,6.01889133333333,231,167,150,"Aasdh",6.537996,7.343371,6.986914,109,91,250,6.95609366666667,0.882203205165885
"AASDHPPT",58.628575,94.077285,98.573128,83.7596626666667,1977,2473,2685,"Aasdhppt",8.996606,9.015932,8.052601,340,329,564,8.68837966666667,8.74859012372176
"AASS",13.774036,8.645864,8.691924,10.370608,1272,600,554,"Aass",1.474846,1.173919,1.034894,75,45,94,1.22788633333333,5.10376486891387
"AATF",15.556557,12.511396,24.184485,17.4174793333333,282,197,252,"Aatf",4.99222,5.135437,5.246998,100,114,223,5.124885,3.00699185916688
"AATK",10.041919,13.414946,14.753141,12.7366686666667,524,498,547,"Aatk",65.676983,50.720205,56.212236,2661,2699,4866,57.5364746666667,0.234668533506493
"ABAT",20.235765,20.679629,22.875907,21.263767,1501,1015,1095,"Abat",95.113338,98.889623,83.218181,3838,4067,6917,92.4070473333333,0.238352111918807
"ABCA1",9.443781,4.284659,2.688057,5.47216566666667,1855,645,360,"Abca1",5.357066,5.86588,4.405995,646,638,1144,5.209647,1.04227594043054
"ABCA12",0.045172,0.022129,0.054667,0.040656,8,3,5,"Abca12",0.051568,0.062896,0.025504,6,4,4,0.046656,0.994267457502752
"ABCA13",0.473253,0.153458,0.298046,0.308252333333333,16,13,6,"Abca13",0,0.008671,0.020031,0,2,9,0.00956733333333333,1.29585446174632
"ABCA2",65.073528,68.481942,65.791533,66.449001,2021,1255,1196,"Abca2",70.793903,64.467713,73.797361,3005,3072,5630,69.6863256666667,0.954201542715166
"ABCA3",27.609577,42.459618,39.449413,36.5062026666667,3105,3571,2969,"Abca3",12.440613,14.573469,13.367221,1059,1205,2137,13.4604343333333,2.59371204225931
"ABCA4",1.143229,0.018773,0.021485,0.394495666666667,17,1,2,"Abca4",0.439082,0.77363,1.185749,28,34,93,0.799487,0.774940672906593
"ABCA5",12.626236,11.918269,12.828291,12.4575986666667,670,562,506,"Abca5",8.935283,8.340698,7.057679,796,757,1332,8.11122,1.47703585981533
"ABCA6",1.147123,0.606076,1.259058,1.00408566666667,36,30,11,"Abca6",0.966663,0.329321,0.453163,46,18,64,0.583049,1.26596565656949
"ABCA7",22.668326,32.522392,34.714621,29.9684463333333,715,882,818,"Abca7",2.309955,1.912394,2.638304,217,179,482,2.28688433333333,9.42182419359042
"ABCA8",41.403634,26.861255,35.063602,34.4428303333333,1731,991,983,"Abca8b",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,8.74009069010542
"ABCA9",1.381284,1.137468,5.074584,2.531112,58,43,31,"Abca9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,1.28629165972017
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1b",2.074675,1.93475,1.983411,34,29,83,1.997612,0.435091777499334
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1a",6.998046,68.504253,8.673734,480,533,1140,28.0586776666667,0.0448828521481357
"ABCB10",4.896031,7.84716,8.051324,6.931505,306,313,320,"Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,1.28562793736446
"ABCB11",1.175122,1.322998,0.805546,1.101222,11,4,8,"Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,2.09589981174471
"ABCB4",2.033786,0.852535,0.451585,1.11263533333333,44,12,10,"Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,0.974628826682036
"ABCB5",0.028091,0.34729,0.350931,0.242104,3,10,12,"Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,1.23809916191094
"ABCB6",54.080406,38.532465,32.137188,41.583353,870,459,384,"Abcb6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,5.34711638622327
"ABCB7",11.18593,7.852267,6.075745,8.371314,297,164,171,"Abcb7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,1.08243444066007
"ABCB8",18.529731,23.651367,21.054635,21.0785776666667,617,605,535,"Abcb8",22.042302,24.258646,16.042844,379,360,657,20.781264,1.01364997305329
"ABCB9",15.865448,14.222772,16.455124,15.514448,442,382,371,"Abcb9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,1.01583946472933
"ABCC1",5.953924,4.982028,4.693158,5.20970333333333,660,375,308,"Abcc1",5.026846,16.533466,9.187015,253,247,546,10.249109,0.552017349403702
"ABCC10",35.009112,58.850277,42.406563,45.421984,641,664,643,"Abcc10",1.786212,1.580769,1.672029,107,92,172,1.67967,17.3237689715525
"ABCC12",0,0.024085,0,0.00802833333333333,0,1,0,"Abcc12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0.691890601991967
"ABCC2",0.146712,0.308158,0.143396,0.199422,16,10,4,"Abcc2",0.040083,0.193498,0.02102,1,2,3,0.084867,1.10559358889154
"ABCC3",0.822929,0,0.384356,0.402428333333333,11,0,3,"Abcc3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,0.764975791347213
"ABCC4",3.767094,1.945293,3.623133,3.11184,163,129,110,"Abcc4",2.296067,3.830219,3.108326,181,142,318,3.078204,1.0082477482735
"ABCC5",24.407761,29.952643,29.4664,27.942268,1378,1518,1344,"Abcc5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,0.254293254447567
"ABCC6",0.709936,0.292227,1.18336,0.728507666666667,40,15,21,"Abcc6",0.333086,0.501555,0.344182,20,11,39,0.392941,1.24090515439395
"ABCC8",14.908165,22.713792,23.804669,20.475542,270,363,349,"Abcc8",10.666096,8.249144,8.684561,287,311,529,9.19993366666667,2.10545898648164
"ABCC9",1.933667,0.299867,0.41351,0.882348,229,35,44,"Abcc9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,0.771831262353202
