"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"A1BG",8.512248,7.362639,11.019571,8.96481933333333,104,79,86,"A1bg",0,0,0,0,0,0,0,9.96481933333333
"A1CF",0.012027,0,0.110455,0.0408273333333333,2,0,3,"A1cf",0,0,0,0,0,0,0,1.04082733333333
"A2M",166.022861,193.59196,157.990809,172.53521,4945,3898,3159,"A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,76.2563530405391
"A3GALT2",0.144755,0.097166,0.113413,0.118444666666667,2,1,1,"A3galt2",0.033486,0.010958,0.032371,1,1,3,0.025605,1.09052185458014
"A4GALT",4.719891,2.211286,2.676825,3.20266733333333,75,26,24,"A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,1.63346641522067
"A4GNT",0.099138,0,0,0.033046,3,0,0,"A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,1.01051093253061
"AAAS",22.215928,24.455156,21.480131,22.7170716666667,578,403,355,"Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,0.830169661145816
"AACS",17.933589,18.199238,25.629245,20.5873573333333,910,792,813,"Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,0.168561384631772
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0,0,0.016678,0.00555933333333333,0,0,1,"Aadacl2",0,0,0,0,0,0,0,1.00555933333333
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",13.595651,16.190365,22.775181,17.520399,324,335,359,"Aadat",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,16.6117777238946
"AAGAB",22.912872,27.695939,31.184347,27.264386,656,567,572,"Aagab",21.079518,26.048134,22.59244,670,1295,1199,23.2400306666667,1.16602104958833
"AAK1",11.479212,14.408764,9.576512,11.821496,2755,2090,1905,"Aak1",82.715044,26.539293,25.921292,6850,3633,3509,45.058543,0.278373894719162
"AAMDC",13.752073,7.993795,9.099596,10.2818213333333,71,41,35,"Aamdc",38.562599,38.491906,39.33926,192,352,347,38.7979216666667,0.28347765061266
"AAMP",63.531145,62.598294,71.307854,65.812431,995,729,745,"Aamp",82.307746,98.461157,85.878375,1345,3160,2913,88.882426,0.743331416087946
"AANAT",0.21683,0.243358,0.326805,0.262331,4,5,1,"Aanat",0.244063,0.064919,0.0342,3,2,1,0.114394,1.13275107367771
"AAR2",10.815465,10.804659,13.984677,11.868267,486,364,414,"Aar2",11.718708,16.213584,14.984093,491,1177,1117,14.3054616666667,0.840763074009419
"AARD",1.609116,1.070727,1.582262,1.42070166666667,36,32,31,"Aard",2.104585,1.541737,1.671519,33,45,50,1.77261366666667,0.873075717605085
"AARS1",44.0177,45.687718,47.566252,45.7572233333333,2192,1394,1433,"Aars",48.151786,34.848517,36.733042,2200,2892,2779,39.911115,1.14289780010477
"AARS2",5.079803,4.491045,5.615728,5.062192,446,312,330,"Aars2",5.164266,4.56226,4.257956,233,405,383,4.661494,1.07077601777905
"AARSD1",51.795203,58.156602,82.475187,64.1423306666667,415,381,422,"Aarsd1",23.052058,29.886603,28.107158,434,942,908,27.015273,2.3252434722541
"AASDH",6.432077,7.774202,3.850395,6.01889133333333,231,167,150,"Aasdh",8.513966,4.798371,4.811556,118,124,106,6.04129766666667,0.996817868751749
"AASDHPPT",58.628575,94.077285,98.573128,83.7596626666667,1977,2473,2685,"Aasdhppt",8.740871,8.636899,7.297884,349,593,469,8.225218,9.1878221920248
"AASS",13.774036,8.645864,8.691924,10.370608,1272,600,554,"Aass",1.242648,2.330083,1.757991,68,115,68,1.77690733333333,4.09470199581741
"AATF",15.556557,12.511396,24.184485,17.4174793333333,282,197,252,"Aatf",6.824327,5.505632,5.292745,157,190,211,5.87423466666667,2.67920433712281
"AATK",10.041919,13.414946,14.753141,12.7366686666667,524,498,547,"Aatk",72.38769,42.439677,45.445618,3644,4693,4919,53.4243283333333,0.252399415616735
"ABAT",20.235765,20.679629,22.875907,21.263767,1501,1015,1095,"Abat",95.574803,80.308695,82.095365,4975,7100,7065,85.9929543333333,0.255926093907459
"ABCA1",9.443781,4.284659,2.688057,5.47216566666667,1855,645,360,"Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,1.43881793787157
"ABCA12",0.045172,0.022129,0.054667,0.040656,8,3,5,"Abca12",0.056593,0.012085,0.019841,6,3,5,0.0295063333333333,1.01083010983581
"ABCA13",0.473253,0.153458,0.298046,0.308252333333333,16,13,6,"Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,1.29708057831233
"ABCA2",65.073528,68.481942,65.791533,66.449001,2021,1255,1196,"Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,1.07942669414861
"ABCA3",27.609577,42.459618,39.449413,36.5062026666667,3105,3571,2969,"Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,3.77481266354607
"ABCA4",1.143229,0.018773,0.021485,0.394495666666667,17,1,2,"Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,0.706887899244632
"ABCA5",12.626236,11.918269,12.828291,12.4575986666667,670,562,506,"Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,2.26062070990557
"ABCA6",1.147123,0.606076,1.259058,1.00408566666667,36,30,11,"Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,1.39917970429047
"ABCA7",22.668326,32.522392,34.714621,29.9684463333333,715,882,818,"Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,12.3581112304433
"ABCA8",41.403634,26.861255,35.063602,34.4428303333333,1731,991,983,"Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,13.9725112269203
"ABCA9",1.381284,1.137468,5.074584,2.531112,58,43,31,"Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,1.61994904043276
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1b",2.4332,1.327262,2.14074,30,60,49,1.96706733333333,0.439570857958285
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,0.0335436789012725
"ABCB10",4.896031,7.84716,8.051324,6.931505,306,313,320,"Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,1.05753009888897
"ABCB11",1.175122,1.322998,0.805546,1.101222,11,4,8,"Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,1.99517006529274
"ABCB4",2.033786,0.852535,0.451585,1.11263533333333,44,12,10,"Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,1.04085079729401
"ABCB5",0.028091,0.34729,0.350931,0.242104,3,10,12,"Abcb5",0,0,0,0,0,0,0,1.242104
"ABCB6",54.080406,38.532465,32.137188,41.583353,870,459,384,"Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,4.25707123364835
"ABCB7",11.18593,7.852267,6.075745,8.371314,297,164,171,"Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,1.13757651516712
"ABCB8",18.529731,23.651367,21.054635,21.0785776666667,617,605,535,"Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,0.961602763485242
"ABCB9",15.865448,14.222772,16.455124,15.514448,442,382,371,"Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,1.25536697773544
"ABCC1",5.953924,4.982028,4.693158,5.20970333333333,660,375,308,"Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,1.08998741100936
"ABCC10",35.009112,58.850277,42.406563,45.421984,641,664,643,"Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,20.6982302922285
"ABCC12",0,0.024085,0,0.00802833333333333,0,1,0,"Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0.914880118979478
"ABCC2",0.146712,0.308158,0.143396,0.199422,16,10,4,"Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,1.1903282886508
"ABCC3",0.822929,0,0.384356,0.402428333333333,11,0,3,"Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,0.842525153389467
"ABCC4",3.767094,1.945293,3.623133,3.11184,163,129,110,"Abcc4",2.782009,1.147171,1.115621,203,176,168,1.68160033333333,1.53335303135528
"ABCC5",24.407761,29.952643,29.4664,27.942268,1378,1518,1344,"Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,0.540794058901673
"ABCC6",0.709936,0.292227,1.18336,0.728507666666667,40,15,21,"Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,1.40280792992132
"ABCC8",14.908165,22.713792,23.804669,20.475542,270,363,349,"Abcc8",9.077188,3.798732,7.06148,338,209,235,6.6458,2.80880247979283
"ABCC9",1.933667,0.299867,0.41351,0.882348,229,35,44,"Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,0.897960832230039
"ABCD1",7.188261,4.56707,5.591021,5.78211733333333,256,128,147,"Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,2.21887166449793
