"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"A1BG",8.512248,7.362639,11.019571,8.96481933333333,104,79,86,"A1bg",0,0,0,0,0,0,0,9.96481933333333
"A1CF",0.012027,0,0.110455,0.0408273333333333,2,0,3,"A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,1.00502855134398
"A2M",166.022861,193.59196,157.990809,172.53521,4945,3898,3159,"A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,12.9227100968292
"A3GALT2",0.144755,0.097166,0.113413,0.118444666666667,2,1,1,"A3galt2",0.295537,0.21946,0.13739,6,19,5,0.217462333333333,0.918668804811757
"A4GALT",4.719891,2.211286,2.676825,3.20266733333333,75,26,24,"A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,1.17817975555204
"A4GNT",0.099138,0,0,0.033046,3,0,0,"A4gnt",0,0,0,0,0,0,0,1.033046
"AAAS",22.215928,24.455156,21.480131,22.7170716666667,578,403,355,"Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,0.743721734287657
"AACS",17.933589,18.199238,25.629245,20.5873573333333,910,792,813,"Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,0.159808022911019
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0,0,0.016678,0.00555933333333333,0,0,1,"Aadacl2",0,0,0,0,0,0,0,1.00555933333333
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",13.595651,16.190365,22.775181,17.520399,324,335,359,"Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,14.9774970381263
"AAGAB",22.912872,27.695939,31.184347,27.264386,656,567,572,"Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,1.2895654286818
"AAK1",11.479212,14.408764,9.576512,11.821496,2755,2090,1905,"Aak1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,0.180492961957133
"AAMDC",13.752073,7.993795,9.099596,10.2818213333333,71,41,35,"Aamdc",39.367271,42.59234,32.940334,111,326,172,38.2999816666667,0.287069379039999
"AAMP",63.531145,62.598294,71.307854,65.812431,995,729,745,"Aamp",65.096573,79.392539,83.921256,534,2470,1441,76.1367893333333,0.866155197506103
"AANAT",0.21683,0.243358,0.326805,0.262331,4,5,1,"Aanat",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,0.681566060647073
"AAR2",10.815465,10.804659,13.984677,11.868267,486,364,414,"Aar2",12.339668,13.071238,13.550136,202,925,555,12.987014,0.920015308485428
"AARD",1.609116,1.070727,1.582262,1.42070166666667,36,32,31,"Aard",4.451434,4.143749,3.926091,34,113,61,4.173758,0.467880729378272
"AARS1",44.0177,45.687718,47.566252,45.7572233333333,2192,1394,1433,"Aars",49.021279,58.791273,58.30389,1011,4453,2654,55.3721473333333,0.829438393695629
"AARS2",5.079803,4.491045,5.615728,5.062192,446,312,330,"Aars2",6.321746,7.514301,7.689306,145,596,317,7.17511766666667,0.741541864861232
"AARSD1",51.795203,58.156602,82.475187,64.1423306666667,415,381,422,"Aarsd1",21.056024,22.564554,24.188203,183,700,420,22.602927,2.75992594760246
"AASDH",6.432077,7.774202,3.850395,6.01889133333333,231,167,150,"Aasdh",6.138434,5.01604,4.982049,50,191,89,5.378841,1.10033959669685
"AASDHPPT",58.628575,94.077285,98.573128,83.7596626666667,1977,2473,2685,"Aasdhppt",9.548443,9.817572,9.275441,175,650,352,9.547152,8.03626065753738
