"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"A1BG",8.512248,7.362639,11.019571,8.96481933333333,104,79,86,"A1bg",0,0,0,0,0,0,0,9.96481933333333
"A1CF",0.012027,0,0.110455,0.0408273333333333,2,0,3,"A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,1.01919525380311
"A2M",166.022861,193.59196,157.990809,172.53521,4945,3898,3159,"A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,40.64247754988
"A3GALT2",0.144755,0.097166,0.113413,0.118444666666667,2,1,1,"A3galt2",17.905758,17.130012,16.379825,2525,593,913,17.1385316666667,0.0616612572186337
"A4GALT",4.719891,2.211286,2.676825,3.20266733333333,75,26,24,"A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,0.176160101338988
"A4GNT",0.099138,0,0,0.033046,3,0,0,"A4gnt",0,0,0,0,0,0,0,1.033046
"AAAS",22.215928,24.455156,21.480131,22.7170716666667,578,403,355,"Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,0.691482152445818
"AACS",17.933589,18.199238,25.629245,20.5873573333333,910,792,813,"Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,0.0402685295469702
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0,0,0.016678,0.00555933333333333,0,0,1,"Aadacl2",0,0,0,0,0,0,0,1.00555933333333
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",13.595651,16.190365,22.775181,17.520399,324,335,359,"Aadat",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,15.9340434861537
"AAGAB",22.912872,27.695939,31.184347,27.264386,656,567,572,"Aagab",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,1.23219573985679
"AAK1",11.479212,14.408764,9.576512,11.821496,2755,2090,1905,"Aak1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,0.219647674957726
"AAMDC",13.752073,7.993795,9.099596,10.2818213333333,71,41,35,"Aamdc",35.667489,38.821012,35.238074,533,133,194,36.575525,0.300243877719162
"AAMP",63.531145,62.598294,71.307854,65.812431,995,729,745,"Aamp",62.494553,70.914614,59.527656,3302,855,1226,64.3122743333333,1.02296898526317
"AANAT",0.21683,0.243358,0.326805,0.262331,4,5,1,"Aanat",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,0.577057773997427
"AAR2",10.815465,10.804659,13.984677,11.868267,486,364,414,"Aar2",13.047905,11.955033,10.001512,1331,273,464,11.66815,1.01579686063079
"AARD",1.609116,1.070727,1.582262,1.42070166666667,36,32,31,"Aard",2.57551,1.792836,2.300635,113,19,43,2.22299366666667,0.751072424281318
"AARS1",44.0177,45.687718,47.566252,45.7572233333333,2192,1394,1433,"Aars",50.684771,56.584857,47.574575,6348,1491,2318,51.6147343333333,0.888671660624749
"AARS2",5.079803,4.491045,5.615728,5.062192,446,312,330,"Aars2",6.79198,7.088157,7.718581,883,233,341,7.19957266666667,0.739330236640788
"AARSD1",51.795203,58.156602,82.475187,64.1423306666667,415,381,422,"Aarsd1",20.141048,21.056957,18.232245,980,245,334,19.8100833333333,3.1303253150516
"AASDH",6.432077,7.774202,3.850395,6.01889133333333,231,167,150,"Aasdh",6.960489,8.130195,6.147941,341,79,114,7.07954166666667,0.868723947831199
"AASDHPPT",58.628575,94.077285,98.573128,83.7596626666667,1977,2473,2685,"Aasdhppt",9.569516,9.23858,10.046699,1046,255,433,9.618265,7.98243994349987
"AASS",13.774036,8.645864,8.691924,10.370608,1272,600,554,"Aass",0.446771,0.225671,0.515404,40,8,17,0.395948666666667,8.14543419218376
"AATF",15.556557,12.511396,24.184485,17.4174793333333,282,197,252,"Aatf",8.28501,7.465639,8.82369,481,118,197,8.19144633333333,2.00376291885002
"AATK",10.041919,13.414946,14.753141,12.7366686666667,524,498,547,"Aatk",101.175735,106.182921,113.743123,10769,2643,4798,107.033926333333,0.127151434117861
"ABAT",20.235765,20.679629,22.875907,21.263767,1501,1015,1095,"Abat",24.548925,25.806704,29.076187,2980,710,1214,26.477272,0.810261186044961
"ABCA1",9.443781,4.284659,2.688057,5.47216566666667,1855,645,360,"Abca1",14.538765,14.680589,13.673699,4922,1115,1967,14.2976843333333,0.423081397526549
"ABCA12",0.045172,0.022129,0.054667,0.040656,8,3,5,"Abca12",0.117098,0.556601,0.159654,27,10,17,0.277784333333333,0.814422256442336
"ABCA13",0.473253,0.153458,0.298046,0.308252333333333,16,13,6,"Abca13",0.026318,0.017482,0.051169,15,3,14,0.0316563333333333,1.26810866280082
"ABCA2",65.073528,68.481942,65.791533,66.449001,2021,1255,1196,"Abca2",70.353022,71.44658,66.893322,9729,2082,3846,69.564308,0.955851519156115
"ABCA3",27.609577,42.459618,39.449413,36.5062026666667,3105,3571,2969,"Abca3",29.995284,25.735844,33.069807,7843,1645,2919,29.6003116666667,1.22568041382149
"ABCA4",1.143229,0.018773,0.021485,0.394495666666667,17,1,2,"Abca4",0.218113,0.144422,0.457021,16,3,4,0.273185333333333,1.09528096983
"ABCA5",12.626236,11.918269,12.828291,12.4575986666667,670,562,506,"Abca5",22.448123,21.41967,24.32496,6816,1769,2833,22.7309176666667,0.567091372347969
"ABCA6",1.147123,0.606076,1.259058,1.00408566666667,36,30,11,"Abca6",20.340663,20.054591,22.962028,4456,1036,1929,21.119094,0.0906043288512028
"ABCA7",22.668326,32.522392,34.714621,29.9684463333333,715,882,818,"Abca7",28.284582,28.185107,28.557071,8307,2009,3301,28.3422533333333,1.05542154453941
"ABCA8",41.403634,26.861255,35.063602,34.4428303333333,1731,991,983,"Abca8b",12.161258,12.465005,14.473483,3737,944,1732,13.0332486666667,2.52563260120382
"ABCA9",1.381284,1.137468,5.074584,2.531112,58,43,31,"Abca9",2.510507,2.960071,2.962372,676,194,314,2.81098333333333,0.92656191096786
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1b",1.29574,1.66082,2.204825,117,36,57,1.72046166666667,0.479417280277796
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1a",40.156561,54.850987,5.961506,1174,289,483,33.6563513333333,0.0376334000307438
"ABCB10",4.896031,7.84716,8.051324,6.931505,306,313,320,"Abcb10",5.679646,5.373036,5.311046,963,220,368,5.454576,1.22881890305421
"ABCB11",1.175122,1.322998,0.805546,1.101222,11,4,8,"Abcb11",0,0,0.012404,0,0,1,0.00413466666666667,2.09256992090038
"ABCB4",2.033786,0.852535,0.451585,1.11263533333333,44,12,10,"Abcb4",2.85706,2.376162,2.887682,430,81,174,2.706968,0.569909244788014
"ABCB5",0.028091,0.34729,0.350931,0.242104,3,10,12,"Abcb5",0,0,0,0,0,0,0,1.242104
"ABCB6",54.080406,38.532465,32.137188,41.583353,870,459,384,"Abcb6",11.693171,5.646987,10.839573,709,152,266,9.39324366666667,4.09721491824288
