"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"A1BG",8.512248,7.362639,11.019571,8.96481933333333,104,79,86,"A1bg",0.092692,0.01888,0,1,1,0,0.0371906666666667,9.60750964464264
"A1CF",0.012027,0,0.110455,0.0408273333333333,2,0,3,"A1cf",0,0,0,0,0,0,0,1.04082733333333
"A2M",166.022861,193.59196,157.990809,172.53521,4945,3898,3159,"A2m",0.013353,0.162079,0,2,4,0,0.0584773333333333,163.947969914015
"A3GALT2",0.144755,0.097166,0.113413,0.118444666666667,2,1,1,"A3galt2",0.014454,0.028056,0.024393,1,3,2,0.022301,1.09404633925494
"A4GALT",4.719891,2.211286,2.676825,3.20266733333333,75,26,24,"A4galt",0.946044,0.571248,0.899671,44,34,32,0.805654333333333,2.32750380609947
"A4GNT",0.099138,0,0,0.033046,3,0,0,"A4gnt",0,0,0,0,0,0,0,1.033046
"AAAS",22.215928,24.455156,21.480131,22.7170716666667,578,403,355,"Aaas",5.864166,6.572757,4.933001,74,62,46,5.78997466666667,3.49295436742916
"AACS",17.933589,18.199238,25.629245,20.5873573333333,910,792,813,"Aacs",0.197809,8.053353,2.171261,16,38,23,3.474141,4.82491663390433
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0,0,0.016678,0.00555933333333333,0,0,1,"Aadacl2",0,0,0,0,0,0,0,1.00555933333333
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",13.595651,16.190365,22.775181,17.520399,324,335,359,"Aadat",0,0,0,0,0,0,0,18.520399
"AAGAB",22.912872,27.695939,31.184347,27.264386,656,567,572,"Aagab",4.548623,3.163708,3.717481,210,220,181,3.80993733333333,5.87624828376142
"AAK1",11.479212,14.408764,9.576512,11.821496,2755,2090,1905,"Aak1",4.08074,8.240314,8.396759,841,860,669,6.90593766666667,1.62175526048713
"AAMDC",13.752073,7.993795,9.099596,10.2818213333333,71,41,35,"Aamdc",23.704316,24.694122,27.234494,261,265,213,25.2109773333333,0.430423527892868
"AAMP",63.531145,62.598294,71.307854,65.812431,995,729,745,"Aamp",16.634288,17.584764,22.502302,744,720,645,18.907118,3.35620811611204
"AANAT",0.21683,0.243358,0.326805,0.262331,4,5,1,"Aanat",0.023974,0,0,1,0,0,0.00799133333333333,1.25232326732968
