"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"A1BG",8.512248,7.362639,11.019571,8.96481933333333,104,79,86,"A1bg",0,0,0,0,0,0,0,9.96481933333333
"A1CF",0.012027,0,0.110455,0.0408273333333333,2,0,3,"A1cf",0,0,0,0,0,0,0,1.04082733333333
"A2M",166.022861,193.59196,157.990809,172.53521,4945,3898,3159,"A2m",9.174995,13.394599,8.530091,939,2038,276,10.3665616666667,15.2671683037541
"A3GALT2",0.144755,0.097166,0.113413,0.118444666666667,2,1,1,"A3galt2",0.056162,0.071851,0.07206,3,8,1,0.066691,1.04851795568414
"A4GALT",4.719891,2.211286,2.676825,3.20266733333333,75,26,24,"A4galt",5.98487,2.435029,3.312794,65,77,18,3.91089766666667,0.855783935767887
"A4GNT",0.099138,0,0,0.033046,3,0,0,"A4gnt",0,0,0,0,0,0,0,1.033046
"AAAS",22.215928,24.455156,21.480131,22.7170716666667,578,403,355,"Aaas",26.517031,23.542026,30.96651,193,273,81,27.0085223333333,0.846780540023015
"AACS",17.933589,18.199238,25.629245,20.5873573333333,910,792,813,"Aacs",92.666198,156.723171,157.539085,567,1030,238,135.642818,0.157983841736441
"AADAC",0,0,0,0,0,0,0,"Aadac",0,0,0,0,0,0,0,1
"AADACL2",0,0,0.016678,0.00555933333333333,0,0,1,"Aadacl2",0,0,0,0,0,0,0,1.00555933333333
"AADACL3",0,0,0,0,0,0,0,"Aadacl3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm1",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"AAdacl4fm3",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",13.595651,16.190365,22.775181,17.520399,324,335,359,"Aadat",0.102189,0.086571,0.345332,4,4,3,0.178030666666667,15.7214914042985
"AAGAB",22.912872,27.695939,31.184347,27.264386,656,567,572,"Aagab",17.426509,15.6387,13.707991,736,985,210,15.5910666666667,1.70359064717559
"AAK1",11.479212,14.408764,9.576512,11.821496,2755,2090,1905,"Aak1",69.489029,46.415298,28.507961,7387,8738,1634,48.1374293333333,0.260931354650706
"AAMDC",13.752073,7.993795,9.099596,10.2818213333333,71,41,35,"Aamdc",38.24271,41.233439,42.468014,297,480,107,40.6480543333333,0.270884715118705
"AAMP",63.531145,62.598294,71.307854,65.812431,995,729,745,"Aamp",68.334942,59.931139,83.371171,1778,2358,678,70.5457506666667,0.933842057388994
"AANAT",0.21683,0.243358,0.326805,0.262331,4,5,1,"Aanat",4.817009,2.713429,1.020571,21,20,6,2.85033633333333,0.327849541109352
"AAR2",10.815465,10.804659,13.984677,11.868267,486,364,414,"Aar2",11.180055,9.270863,11.847764,628,826,234,10.7662273333333,1.09366125908044
"AARD",1.609116,1.070727,1.582262,1.42070166666667,36,32,31,"Aard",8.095531,6.271673,6.228319,196,227,47,6.86517433333333,0.307774699463114
"AARS1",44.0177,45.687718,47.566252,45.7572233333333,2192,1394,1433,"Aars",50.223145,48.62845,48.05169,3323,4540,1025,48.9677616666667,0.935747805660163
"AARS2",5.079803,4.491045,5.615728,5.062192,446,312,330,"Aars2",9.453422,6.039625,6.693012,476,556,153,7.395353,0.722088993756427
"AARSD1",51.795203,58.156602,82.475187,64.1423306666667,415,381,422,"Aarsd1",20.364092,16.374867,24.548975,536,628,183,20.4293113333333,3.03987046776149
"AASDH",6.432077,7.774202,3.850395,6.01889133333333,231,167,150,"Aasdh",10.338272,7.965028,6.807299,253,277,58,8.37019966666667,0.74906529028428
"AASDHPPT",58.628575,94.077285,98.573128,83.7596626666667,1977,2473,2685,"Aasdhppt",7.37912,6.932505,6.263653,392,582,102,6.858426,10.7858320058835
"AASS",13.774036,8.645864,8.691924,10.370608,1272,600,554,"Aass",0.727559,1.359941,0.620717,39,83,12,0.902739,5.9759157719477
"AATF",15.556557,12.511396,24.184485,17.4174793333333,282,197,252,"Aatf",5.791477,4.306441,4.535828,176,197,48,4.87791533333333,3.1333352538933
"AATK",10.041919,13.414946,14.753141,12.7366686666667,524,498,547,"Aatk",118.038677,125.518116,98.177824,7807,12349,2727,113.911539,0.119541246999282
"ABAT",20.235765,20.679629,22.875907,21.263767,1501,1015,1095,"Abat",168.964922,122.107798,135.354847,10783,12924,3096,142.142522333333,0.155535662199348
"ABCA1",9.443781,4.284659,2.688057,5.47216566666667,1855,645,360,"Abca1",6.043864,5.208708,5.365657,945,1230,203,5.53940966666667,0.989717114628441
"ABCA12",0.045172,0.022129,0.054667,0.040656,8,3,5,"Abca12",0.045234,0.074347,0,5,9,0,0.0398603333333333,1.00076516686055
"ABCA13",0.473253,0.153458,0.298046,0.308252333333333,16,13,6,"Abca13",0.047409,0.010958,0,7,6,0,0.0194556666666667,1.28328516492625
"ABCA2",65.073528,68.481942,65.791533,66.449001,2021,1255,1196,"Abca2",187.735036,204.759133,180.525361,10708,19126,3021,191.00651,0.351284969452338
"ABCA3",27.609577,42.459618,39.449413,36.5062026666667,3105,3571,2969,"Abca3",14.947317,12.397739,14.833255,1948,2418,589,14.059437,2.49054481031838
"ABCA4",1.143229,0.018773,0.021485,0.394495666666667,17,1,2,"Abca4",0.320539,0.548091,0.211687,20,22,5,0.360105666666667,1.02528480017606
"ABCA5",12.626236,11.918269,12.828291,12.4575986666667,670,562,506,"Abca5",10.426741,9.657139,7.69426,1834,2418,419,9.25938,1.31173605682475
"ABCA6",1.147123,0.606076,1.259058,1.00408566666667,36,30,11,"Abca6",1.102142,1.064141,0.65707,128,183,24,0.941117666666667,1.03243904327971
"ABCA7",22.668326,32.522392,34.714621,29.9684463333333,715,882,818,"Abca7",6.531162,5.344626,6.635365,985,1230,314,6.17038433333333,4.31893813409258
"ABCA8",41.403634,26.861255,35.063602,34.4428303333333,1731,991,983,"Abca8b",2.986576,2.668696,2.137732,492,660,110,2.597668,9.85161230367375
"ABCA9",1.381284,1.137468,5.074584,2.531112,58,43,31,"Abca9",1.374692,1.128702,1.013082,182,236,45,1.17215866666667,1.62562341977474
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1b",2.49553,1.937662,4.193703,104,138,26,2.87563166666667,0.336522261532421
"ABCB1",0.30007,0.314046,0.298593,0.304236333333333,3,1,5,"Abcb1a",51.550946,45.585615,82.118006,956,1215,296,59.7515223333333,0.0214683728611311
"ABCB10",4.896031,7.84716,8.051324,6.931505,306,313,320,"Abcb10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,0.857006913570127
"ABCB11",1.175122,1.322998,0.805546,1.101222,11,4,8,"Abcb11",0.107312,0.072965,0,3,3,0,0.0600923333333333,1.98211224997068
"ABCB4",2.033786,0.852535,0.451585,1.11263533333333,44,12,10,"Abcb4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,0.921575629793886
"ABCB5",0.028091,0.34729,0.350931,0.242104,3,10,12,"Abcb5",0,0,0,0,0,0,0,1.242104
"ABCB6",54.080406,38.532465,32.137188,41.583353,870,459,384,"Abcb6",11.256848,9.906954,10.797514,311,438,107,10.653772,3.65404033990025
"ABCB7",11.18593,7.852267,6.075745,8.371314,297,164,171,"Abcb7",7.537502,7.121689,6.273685,852,1270,219,6.97762533333333,1.17469968924754
"ABCB8",18.529731,23.651367,21.054635,21.0785776666667,617,605,535,"Abcb8",32.393634,22.982948,29.272752,764,1061,243,28.2164446666667,0.755690088871639
"ABCB9",15.865448,14.222772,16.455124,15.514448,442,382,371,"Abcb9",13.338002,13.437693,14.346582,897,1194,345,13.7074256666667,1.12286462459768
"ABCC1",5.953924,4.982028,4.693158,5.20970333333333,660,375,308,"Abcc1",6.382838,7.348494,2.504568,439,657,118,5.41196666666667,0.968455336116324
"ABCC10",35.009112,58.850277,42.406563,45.421984,641,664,643,"Abcc10",4.048571,3.606159,3.043047,272,388,93,3.56592566666667,10.1670476895631
"ABCC12",0,0.024085,0,0.00802833333333333,0,1,0,"Abcc12",0.455108,0.934647,0.773761,35,106,17,0.721172,0.585663915827897
"ABCC2",0.146712,0.308158,0.143396,0.199422,16,10,4,"Abcc2",0.077074,0.105317,0.017706,5,9,1,0.066699,1.12442404089626
"ABCC3",0.822929,0,0.384356,0.402428333333333,11,0,3,"Abcc3",0.811729,0.712912,0.426075,31,43,6,0.650238666666667,0.84983364022497
"ABCC4",3.767094,1.945293,3.623133,3.11184,163,129,110,"Abcc4",3.071147,2.167471,3.352535,318,388,87,2.86371766666667,1.06421854667952
"ABCC5",24.407761,29.952643,29.4664,27.942268,1378,1518,1344,"Abcc5",183.364476,141.300881,150.092514,4295,5403,1092,158.252623666667,0.181738092181008
"ABCC6",0.709936,0.292227,1.18336,0.728507666666667,40,15,21,"Abcc6",1.008744,1.57666,0.876534,63,89,18,1.15397933333333,0.802471797160542
"ABCC8",14.908165,22.713792,23.804669,20.475542,270,363,349,"Abcc8",11.549855,10.608686,22.413235,564,647,172,14.8572586666667,1.35430356856973
"ABCC9",1.933667,0.299867,0.41351,0.882348,229,35,44,"Abcc9",2.029741,1.735282,2.238094,334,424,115,2.001039,0.627232101948692
"ABCD1",7.188261,4.56707,5.591021,5.78211733333333,256,128,147,"Abcd1",3.751694,3.290507,2.928051,253,362,74,3.32341733333333,1.56869365375476
