"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"A1BG",6.75886,8.70448,4.91589,6.79307666666667,8.87899,8.87899,0.788853583885262
"A1CF",0.31475,0,0,0.104916666666667,0,0,1.10491666666667
"A2LD1",26.88636,21.49868,30.41298,26.2660066666667,21.24319,21.24319,1.22581368349893
"A2M",159.87694,155.32662,76.33832,130.51396,91.00966,91.00966,1.42934948352162
"A2ML1",3.56166,4.97399,6.07386,4.86983666666667,3.36074,3.36074,1.34606435299208
"A2MP1",1.42466,2.23829,0.6336,1.43218333333333,0.6846,0.6846,1.44377498120226
"A3GALT2P",0,0.44213,0,0.147376666666667,0.93354,0.93354,0.593407256465688
"A4GALT",6.29502,7.57152,5.00328,6.28994,3.21552,3.21552,1.72930978859073
"A4GNT",0.14909,0.2487,0.21848,0.205423333333333,0.14522,0.14522,1.05256922978409
"AAAS",48.33913,49.18722,50.49166,49.3393366666667,41.49062,41.49062,1.18471645428254
"AACP",0.14909,0,0,0.0496966666666667,0,0,1.04969666666667
"AACS",17.37757,11.05331,37.49186,21.9742466666667,19.77028,19.77028,1.10611155298179
"AACSP1",0.24849,0,0.69915,0.31588,0,0,1.31588
"AADAC",0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,1
"AADAT",8.6805,8.26235,7.23182,8.05822333333333,9.04495,9.04495,0.901768882207809
"AAED1",7.12331,9.61638,4.52262,7.08743666666667,4.06608,4.06608,1.59638945035741
"AAGAB",21.83378,19.06696,20.31902,20.4065866666667,13.06954,13.06954,1.5214844740245
"AAK1",20.98892,46.94893,36.53053,34.8227933333333,24.23052,24.23052,1.41981985838315
"AAMP",162.21272,137.94529,160.34544,153.50115,147.04274,147.04274,1.04362530712415
"AANAT",1.50749,0.9948,0.34957,0.95062,1.70112,1.70112,0.722152292382419
"AAR2",11.49669,10.25194,7.60324,9.78395666666667,10.64234,10.64234,0.926270549276749
"AARD",0.76203,1.21586,1.52939,1.16909333333333,3.92086,3.92086,0.440795579092544
"AARS",146.02789,107.46579,95.49937,116.331016666667,80.9067,80.9067,1.43249595779914
"AARS2",11.72862,11.93757,21.2148,14.96033,13.38072,13.38072,1.10984220539723
"AARSD1",36.04727,17.10499,12.82501,21.9924233333333,16.24358,16.24358,1.33339035938786
"AASDH",4.655,3.06729,8.08391,5.26873333333333,2.40646,2.40646,1.84024862565048
"AASDHPPT",42.17663,30.00973,45.9035,39.3632866666667,24.45872,24.45872,1.58544053537125
"AASS",11.31447,10.69408,7.86543,9.95799333333333,13.17327,13.17327,0.773145035220054
"AATF",65.91548,48.41349,45.72871,53.35256,41.20018,41.20018,1.28796986173993
"AATK",110.09658,87.6251,129.53919,109.086956666667,483.11672,483.11672,0.227397551290248
"AB019438.63",0,0,0,0,0,0,1
"AB019438.66",0,0,0,0,0,0,1
"AB019439.68",0,0,0,0,0,0,1
"AB019441.29",1.09335,3.01203,1.26721,1.79086333333333,1.12025,1.12025,1.31628974570609
"ABAT",184.41095,210.86949,239.78623,211.68889,82.52483,82.52483,2.54641511991105
"ABC11-48400900C8.1",0.23192,0.30397,0,0.17863,1.12025,1.12025,0.555891993868648
"ABC12-47043100G14.2",0,0,0,0,0,0,1
"ABC7-42389800N19.1",40.7851,36.44828,19.02996,32.08778,25.76567,25.76567,1.23620219482643
"ABCA1",8.0013,11.27437,2.40332,7.22633,2.48944,2.48944,2.3574928928424
"ABCA10",4.6053,2.12776,11.16453,5.96586333333333,5.33154,5.33154,1.10018468387364
"ABCA11P",3.11438,5.25032,6.59822,4.98764,6.26508,6.26508,0.824167111717972
"ABCA12",0.0497,0.02763,0.10924,0.06219,0.20745,0.20745,0.879696881858462
