"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"A1BG",6.75886,8.70448,4.91589,6.79307666666667,14.4996,14.4996,0.502792115065335
"A1CF",0.31475,0,0,0.104916666666667,0,0,1.10491666666667
"A2LD1",26.88636,21.49868,30.41298,26.2660066666667,7.64182,7.64182,3.15512318778529
"A2M",159.87694,155.32662,76.33832,130.51396,162.84087,162.84087,0.802693247417448
"A2ML1",3.56166,4.97399,6.07386,4.86983666666667,1.18129,1.18129,2.69099325017153
"A2MP1",1.42466,2.23829,0.6336,1.43218333333333,0.39725,0.39725,1.74069302797161
"A3GALT2P",0,0.44213,0,0.147376666666667,0.08363,0.08363,1.05882696738432
"A4GALT",6.29502,7.57152,5.00328,6.28994,72.86389,72.86389,0.0986942334068785
"A4GNT",0.14909,0.2487,0.21848,0.205423333333333,0.02091,0.02091,1.18073418159616
"AAAS",48.33913,49.18722,50.49166,49.3393366666667,30.26413,30.26413,1.61013073661946
"AACP",0.14909,0,0,0.0496966666666667,0,0,1.04969666666667
"AACS",17.37757,11.05331,37.49186,21.9742466666667,31.73813,31.73813,0.701758062133258
"AACSP1",0.24849,0,0.69915,0.31588,0,0,1.31588
"AADAC",0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0.01045,0.01045,0.989658073135732
"AADAT",8.6805,8.26235,7.23182,8.05822333333333,3.94113,3.94113,1.83322910616263
"AAED1",7.12331,9.61638,4.52262,7.08743666666667,8.04953,8.04953,0.893685823094311
"AAGAB",21.83378,19.06696,20.31902,20.4065866666667,29.97142,29.97142,0.691172270004626
"AAK1",20.98892,46.94893,36.53053,34.8227933333333,5.18515,5.18515,5.79174204883201
"AAMP",162.21272,137.94529,160.34544,153.50115,123.36683,123.36683,1.24230190638452
"AANAT",1.50749,0.9948,0.34957,0.95062,1.03494,1.03494,0.958563888861588
"AAR2",11.49669,10.25194,7.60324,9.78395666666667,18.44073,18.44073,0.554709451068281
"AARD",0.76203,1.21586,1.52939,1.16909333333333,4.22339,4.22339,0.415265437452178
"AARS",146.02789,107.46579,95.49937,116.331016666667,84.87546,84.87546,1.36629272980508
"AARS2",11.72862,11.93757,21.2148,14.96033,8.61404,8.61404,1.66010646928867
"AARSD1",36.04727,17.10499,12.82501,21.9924233333333,51.0779,51.0779,0.441500585341063
"AASDH",4.655,3.06729,8.08391,5.26873333333333,3.3348,3.3348,1.4461413060195
"AASDHPPT",42.17663,30.00973,45.9035,39.3632866666667,24.47265,24.47265,1.58457351970316
"AASS",11.31447,10.69408,7.86543,9.95799333333333,7.33866,7.33866,1.31411921499777
"AATF",65.91548,48.41349,45.72871,53.35256,42.6834,42.6834,1.24423831478319
"AATK",110.09658,87.6251,129.53919,109.086956666667,173.04391,173.04391,0.632524037564237
"AB019438.63",0,0,0,0,0,0,1
"AB019438.66",0,0,0,0,0,0,1
"AB019439.68",0,0,0,0,0,0,1
"AB019441.29",1.09335,3.01203,1.26721,1.79086333333333,7.86136,7.86136,0.314947517461578
"ABAT",184.41095,210.86949,239.78623,211.68889,14.94912,14.94912,13.3354623954174
"ABC11-48400900C8.1",0.23192,0.30397,0,0.17863,0.08363,0.08363,1.08766830006552
"ABC12-47043100G14.2",0,0,0,0,0,0,1
"ABC7-42389800N19.1",40.7851,36.44828,19.02996,32.08778,18.97388,18.97388,1.65655245750951
"ABCA1",8.0013,11.27437,2.40332,7.22633,3.21981,3.21981,1.94945507025198
"ABCA10",4.6053,2.12776,11.16453,5.96586333333333,17.14445,17.14445,0.383911517479633
"ABCA11P",3.11438,5.25032,6.59822,4.98764,2.91665,2.91665,1.52876565432193
