"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Heart","dHs_Avg__TPM","FoldChange"
"A1BG",6.75886,8.70448,4.91589,6.79307666666667,0,0,7.79307666666667
"A1CF",0.31475,0,0,0.104916666666667,0,0,1.10491666666667
"A2LD1",26.88636,21.49868,30.41298,26.2660066666667,3.99765,3.99765,5.45576554313861
"A2M",159.87694,155.32662,76.33832,130.51396,723.94074,723.94074,0.181413393872718
"A2ML1",3.56166,4.97399,6.07386,4.86983666666667,0.46808,0.46808,3.99830844822262
"A2MP1",1.42466,2.23829,0.6336,1.43218333333333,2.11268,2.11268,0.781379175929853
"A3GALT2P",0,0.44213,0,0.147376666666667,0,0,1.14737666666667
"A4GALT",6.29502,7.57152,5.00328,6.28994,7.94469,7.94469,0.815001973237753
"A4GNT",0.14909,0.2487,0.21848,0.205423333333333,0.10121,0.10121,1.09463529511477
"AAAS",48.33913,49.18722,50.49166,49.3393366666667,40.00176,40.00176,1.22773599637349
"AACP",0.14909,0,0,0.0496966666666667,0,0,1.04969666666667
"AACS",17.37757,11.05331,37.49186,21.9742466666667,7.10974,7.10974,2.83292024980661
"AACSP1",0.24849,0,0.69915,0.31588,0,0,1.31588
"AADAC",0,0,0,0,0.11386,0.11386,0.897778895013736
"AADACL2",0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0.06325,0.06325,0.940512579355749
"AADAT",8.6805,8.26235,7.23182,8.05822333333333,4.46572,4.46572,1.65727906539913
"AAED1",7.12331,9.61638,4.52262,7.08743666666667,18.7358,18.7358,0.409785094430764
"AAGAB",21.83378,19.06696,20.31902,20.4065866666667,32.38599,32.38599,0.641184720497031
"AAK1",20.98892,46.94893,36.53053,34.8227933333333,11.08208,11.08208,2.96495250265959
"AAMP",162.21272,137.94529,160.34544,153.50115,28.35039,28.35039,5.26402374891782
"AANAT",1.50749,0.9948,0.34957,0.95062,0.08856,0.08856,1.7919269493643
"AAR2",11.49669,10.25194,7.60324,9.78395666666667,11.34775,11.34775,0.873353984869038
"AARD",0.76203,1.21586,1.52939,1.16909333333333,0.11386,0.11386,1.94736621598166
"AARS",146.02789,107.46579,95.49937,116.331016666667,45.03677,45.03677,2.54863702789459
"AARS2",11.72862,11.93757,21.2148,14.96033,2.13798,2.13798,5.08617964422973
"AARSD1",36.04727,17.10499,12.82501,21.9924233333333,28.29979,28.29979,0.78472997019205
"AASDH",4.655,3.06729,8.08391,5.26873333333333,8.52662,8.52662,0.658022817466566
"AASDHPPT",42.17663,30.00973,45.9035,39.3632866666667,40.52044,40.52044,0.972130513710035
"AASS",11.31447,10.69408,7.86543,9.95799333333333,43.22771,43.22771,0.247763072818677
"AATF",65.91548,48.41349,45.72871,53.35256,24.35275,24.35275,2.14385263926004
"AATK",110.09658,87.6251,129.53919,109.086956666667,0.83495,0.83495,59.994526644686
"AB019438.63",0,0,0,0,0,0,1
"AB019438.66",0,0,0,0,0,0,1
"AB019439.68",0,0,0,0,0,0,1
"AB019441.29",1.09335,3.01203,1.26721,1.79086333333333,0.17711,0.17711,2.37094522460376
"ABAT",184.41095,210.86949,239.78623,211.68889,46.07413,46.07413,4.51816932145108
"ABC11-48400900C8.1",0.23192,0.30397,0,0.17863,0,0,1.17863
"ABC12-47043100G14.2",0,0,0,0,0,0,1
"ABC7-42389800N19.1",40.7851,36.44828,19.02996,32.08778,2.56811,2.56811,9.2731950528431
"ABCA1",8.0013,11.27437,2.40332,7.22633,15.72492,15.72492,0.491860648660801
"ABCA10",4.6053,2.12776,11.16453,5.96586333333333,28.56546,28.56546,0.235608149960573
"ABCA11P",3.11438,5.25032,6.59822,4.98764,9.27302,9.27302,0.5828510019449
"ABCA12",0.0497,0.02763,0.10924,0.06219,0,0,1.06219
"ABCA13",0.61294,0.35923,0.24033,0.404166666666667,0.0253,0.0253,1.36951786469001
"ABCA17P",11.9771,6.54909,7.55955,8.69524666666667,1.08797,1.08797,4.6433840843818
"ABCA2",653.80406,399.10733,391.13012,481.34717,0.78435,0.78435,270.320940398464
"ABCA3",59.28915,43.854,59.47136,54.2048366666667,1.10062,1.10062,26.2802585268476
"ABCA4",0.14909,1.2435,4.87219,2.08826,0.0506,0.0506,2.93952027412907
"ABCA5",13.94844,10.58354,13.54601,12.6926633333333,33.05648,33.05648,0.402057503691906
"ABCA6",3.2966,1.10533,0.74285,1.71492666666667,30.9185,30.9185,0.0850580906579779
"ABCA7",25.04755,30.28607,84.07266,46.46876,1.44219,1.44219,19.436964363952
"ABCA8",21.83378,9.45058,8.78306,13.3558066666667,93.07177,93.07177,0.152604832104963
