"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"A1BG",6.75886,8.70448,4.91589,6.79307666666667,16.26198,16.26198,0.4514590253648
"A1CF",0.31475,0,0,0.104916666666667,0,0,1.10491666666667
"A2LD1",26.88636,21.49868,30.41298,26.2660066666667,24.54814,24.54814,1.06724038096968
"A2M",159.87694,155.32662,76.33832,130.51396,200.41955,200.41955,0.652935427568972
"A2ML1",3.56166,4.97399,6.07386,4.86983666666667,1.36551,1.36551,2.48142542904772
"A2MP1",1.42466,2.23829,0.6336,1.43218333333333,1.05517,1.05517,1.18344630046825
"A3GALT2P",0,0.44213,0,0.147376666666667,0,0,1.14737666666667
"A4GALT",6.29502,7.57152,5.00328,6.28994,6.95168,6.95168,0.916779850295787
"A4GNT",0.14909,0.2487,0.21848,0.205423333333333,0,0,1.20542333333333
"AAAS",48.33913,49.18722,50.49166,49.3393366666667,45.86871,45.86871,1.07404997207447
"AACP",0.14909,0,0,0.0496966666666667,0,0,1.04969666666667
"AACS",17.37757,11.05331,37.49186,21.9742466666667,9.62064,9.62064,2.16316970226527
"AACSP1",0.24849,0,0.69915,0.31588,0,0,1.31588
"AADAC",0,0,0,0,0.46551,0.46551,0.682356312819428
"AADACL2",0,0,0,0,0.12414,0.12414,0.889568914903838
"AADACL3",0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0.12414,0.12414,0.889568914903838
"AADAT",8.6805,8.26235,7.23182,8.05822333333333,6.67238,6.67238,1.18062756710869
"AAED1",7.12331,9.61638,4.52262,7.08743666666667,8.06892,8.06892,0.891775058845669
"AAGAB",21.83378,19.06696,20.31902,20.4065866666667,10.5827,10.5827,1.84815169750288
"AAK1",20.98892,46.94893,36.53053,34.8227933333333,15.29991,15.29991,2.19772951711594
"AAMP",162.21272,137.94529,160.34544,153.50115,105.08216,105.08216,1.45642914887857
"AANAT",1.50749,0.9948,0.34957,0.95062,0.24827,0.24827,1.56265871966802
"AAR2",11.49669,10.25194,7.60324,9.78395666666667,9.86891,9.86891,0.992183822174134
"AARD",0.76203,1.21586,1.52939,1.16909333333333,1.0862,1.0862,1.03973412584284
"AARS",146.02789,107.46579,95.49937,116.331016666667,80.00644,80.00644,1.44841591195301
"AARS2",11.72862,11.93757,21.2148,14.96033,9.43443,9.43443,1.52958331216942
"AARSD1",36.04727,17.10499,12.82501,21.9924233333333,4.28273,4.28273,4.35237525547081
"AASDH",4.655,3.06729,8.08391,5.26873333333333,2.54481,2.54481,1.76842576423936
"AASDHPPT",42.17663,30.00973,45.9035,39.3632866666667,19.98609,19.98609,1.92333525047623
"AASS",11.31447,10.69408,7.86543,9.95799333333333,11.73097,11.73097,0.860735146916011
"AATF",65.91548,48.41349,45.72871,53.35256,73.61338,73.61338,0.728455941816334
"AATK",110.09658,87.6251,129.53919,109.086956666667,251.03651,251.03651,0.436789720134859
"AB019438.63",0,0,0,0,0,0,1
"AB019438.66",0,0,0,0,0,0,1
"AB019439.68",0,0,0,0,0,0,1
"AB019441.29",1.09335,3.01203,1.26721,1.79086333333333,1.55172,1.55172,1.09371848530926
"ABAT",184.41095,210.86949,239.78623,211.68889,65.91687,65.91687,3.17840463847158
"ABC11-48400900C8.1",0.23192,0.30397,0,0.17863,0,0,1.17863
"ABC12-47043100G14.2",0,0,0,0,0,0,1
"ABC7-42389800N19.1",40.7851,36.44828,19.02996,32.08778,22.93435,22.93435,1.38243904680929
"ABCA1",8.0013,11.27437,2.40332,7.22633,3.19653,3.19653,1.96026955603796
"ABCA10",4.6053,2.12776,11.16453,5.96586333333333,3.38274,3.38274,1.5893854833582
"ABCA11P",3.11438,5.25032,6.59822,4.98764,4.59308,4.59308,1.07054431547555
"ABCA12",0.0497,0.02763,0.10924,0.06219,0,0,1.06219
"ABCA13",0.61294,0.35923,0.24033,0.404166666666667,0.43448,0.43448,0.978868068336029
"ABCA17P",11.9771,6.54909,7.55955,8.69524666666667,11.82407,11.82407,0.756019474836512
"ABCA2",653.80406,399.10733,391.13012,481.34717,1386.02317,1386.02317,0.347757110647258
"ABCA3",59.28915,43.854,59.47136,54.2048366666667,35.31704,35.31704,1.52008083992161
"ABCA4",0.14909,1.2435,4.87219,2.08826,2.54481,2.54481,0.871206073104059
"ABCA5",13.94844,10.58354,13.54601,12.6926633333333,14.95854,14.95854,0.858014789155733
"ABCA6",3.2966,1.10533,0.74285,1.71492666666667,19.48954,19.48954,0.132503056030866
"ABCA7",25.04755,30.28607,84.07266,46.46876,38.79288,38.79288,1.19289581452762
"ABCA8",21.83378,9.45058,8.78306,13.3558066666667,53.1928,53.1928,0.264902471669053
"ABCA9",4.27399,5.11216,7.20997,5.53204,5.27583,5.27583,1.04082487894032
"ABCB1",56.67174,57.67064,29.77937,48.0405833333333,34.57222,34.57222,1.37862026416494
"ABCB10",4.88692,5.44375,6.03016,5.45361,5.12066,5.12066,1.05439772834956
