"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg__TPM","FoldChange"
"A1BG",8.87899,8.87899,6.75886,8.70448,4.91589,6.79307666666667,1.26766236527037
"A1CF",0,0,0.31475,0,0,0.104916666666667,0.905045629383815
"A2LD1",21.24319,21.24319,26.88636,21.49868,30.41298,26.2660066666667,0.815784660802303
"A2M",91.00966,91.00966,159.87694,155.32662,76.33832,130.51396,0.699618960603118
"A2ML1",3.36074,3.36074,3.56166,4.97399,6.07386,4.86983666666667,0.742906531754717
"A2MP1",0.6846,0.6846,1.42466,2.23829,0.6336,1.43218333333333,0.692628708088069
"A3GALT2P",0.93354,0.93354,0,0.44213,0,0.147376666666667,1.68518330219951
"A4GALT",3.21552,3.21552,6.29502,7.57152,5.00328,6.28994,0.578265390387301
"A4GNT",0.14522,0.14522,0.14909,0.2487,0.21848,0.205423333333333,0.950056273453033
"AAAS",41.49062,41.49062,48.33913,49.18722,50.49166,49.3393366666667,0.844083828147384
"AACP",0,0,0.14909,0,0,0.0496966666666667,0.95265616416171
"AACS",19.77028,19.77028,17.37757,11.05331,37.49186,21.9742466666667,0.904067946225005
"AACSP1",0,0,0.24849,0,0.69915,0.31588,0.759947715597167
"AADAC",0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,1
"AADAT",9.04495,9.04495,8.6805,8.26235,7.23182,8.05822333333333,1.10893158960164
"AAED1",4.06608,4.06608,7.12331,9.61638,4.52262,7.08743666666667,0.626413560786257
"AAGAB",13.06954,13.06954,21.83378,19.06696,20.31902,20.4065866666667,0.657252845541621
"AAK1",24.23052,24.23052,20.98892,46.94893,36.53053,34.8227933333333,0.704314701682486
"AAMP",147.04274,147.04274,162.21272,137.94529,160.34544,153.50115,0.958198304672813
"AANAT",1.70112,1.70112,1.50749,0.9948,0.34957,0.95062,1.3847494642729
"AAR2",10.64234,10.64234,11.49669,10.25194,7.60324,9.78395666666667,1.07959818087795
"AARD",3.92086,3.92086,0.76203,1.21586,1.52939,1.16909333333333,2.26862529351741
"AARS",80.9067,80.9067,146.02789,107.46579,95.49937,116.331016666667,0.698082249067134
"AARS2",13.38072,13.38072,11.72862,11.93757,21.2148,14.96033,0.90102898874898
"AARSD1",16.24358,16.24358,36.04727,17.10499,12.82501,21.9924233333333,0.749967924216195
"AASDH",2.40646,2.40646,4.655,3.06729,8.08391,5.26873333333333,0.543404834575831
"AASDHPPT",24.45872,24.45872,42.17663,30.00973,45.9035,39.3632866666667,0.630739518569102
"AASS",13.17327,13.17327,11.31447,10.69408,7.86543,9.95799333333333,1.29341838134598
"AATF",41.20018,41.20018,65.91548,48.41349,45.72871,53.35256,0.77641568308834
"AATK",483.11672,483.11672,110.09658,87.6251,129.53919,109.086956666667,4.39758473354715
"AB019438.63",0,0,0,0,0,0,1
"AB019438.66",0,0,0,0,0,0,1
"AB019439.68",0,0,0,0,0,0,1
"AB019441.29",1.12025,1.12025,1.09335,3.01203,1.26721,1.79086333333333,0.759711152701852
"ABAT",82.52483,82.52483,184.41095,210.86949,239.78623,211.68889,0.392708946856604
"ABC11-48400900C8.1",1.12025,1.12025,0.23192,0.30397,0,0.17863,1.79891059959444
"ABC12-47043100G14.2",0,0,0,0,0,0,1
"ABC7-42389800N19.1",25.76567,25.76567,40.7851,36.44828,19.02996,32.08778,0.808929157531874
"ABCA1",2.48944,2.48944,8.0013,11.27437,2.40332,7.22633,0.424179433599187
"ABCA10",5.33154,5.33154,4.6053,2.12776,11.16453,5.96586333333333,0.90893830341202
"ABCA11P",6.26508,6.26508,3.11438,5.25032,6.59822,4.98764,1.21334615975576
"ABCA12",0.20745,0.20745,0.0497,0.02763,0.10924,0.06219,1.13675519445674
"ABCA13",0.37342,0.37342,0.61294,0.35923,0.24033,0.404166666666667,0.978103264094955
"ABCA17P",10.01998,10.01998,11.9771,6.54909,7.55955,8.69524666666667,1.13663740375868
"ABCA2",1729.4948,1729.4948,653.80406,399.10733,391.13012,481.34717,3.58765409570041
"ABCA3",41.46987,41.46987,59.28915,43.854,59.47136,54.2048366666667,0.769314294985385
"ABCA4",0.04149,0.04149,0.14909,1.2435,4.87219,2.08826,0.337241683018917
"ABCA5",15.64196,15.64196,13.94844,10.58354,13.54601,12.6926633333333,1.21539247660365
"ABCA6",9.25241,9.25241,3.2966,1.10533,0.74285,1.71492666666667,3.77631194458291
"ABCA7",20.53785,20.53785,25.04755,30.28607,84.07266,46.46876,0.453726830024631
"ABCA8",43.39918,43.39918,21.83378,9.45058,8.78306,13.3558066666667,3.0927680367201
"ABCA9",3.17403,3.17403,4.27399,5.11216,7.20997,5.53204,0.639008640485974
"ABCB1",22.50866,22.50866,56.67174,57.67064,29.77937,48.0405833333333,0.479371540917641
"ABCB10",4.64695,4.64695,4.88692,5.44375,6.03016,5.45361,0.875006391771427
"ABCB10P1",0,0,0.11596,0,0,0.0386533333333333,0.962785144867071
"ABCB10P3",0,0,0,0,0,0,1
"ABCB10P4",0,0,0,0,0,0,1
"ABCB11",0.14522,0.14522,0,0.13817,0,0.0460566666666667,1.09479728631655
"ABCB4",2.38571,2.38571,0.6295,3.48179,2.20669,2.10599333333333,1.09005707245562
"ABCB5",0.08298,0.08298,0.08283,0,0.08739,0.05674,1.02483108427806
"ABCB6",42.36192,42.36192,81.18919,69.71874,70.61404,73.8406566666667,0.579389892223019
"ABCB7",9.43911,9.43911,9.39283,10.44538,6.99149,8.94323333333333,1.04987076638384
"ABCB8",23.23474,23.23474,32.81693,34.40342,28.81804,32.0127966666667,0.734101392399452
"ABCB9",23.31773,23.31773,28.26133,22.82508,50.88493,33.9904466666667,0.694981982701183
"ABCC1",2.15751,2.15751,4.15803,4.17262,3.45205,3.92756666666667,0.640784836328952
"ABCC10",32.79833,32.79833,43.66756,37.52598,47.14886,42.7808,0.771989776340314
"ABCC11",0.70534,0.70534,0.89456,2.32119,0.45882,1.22485666666667,0.766494320982475
"ABCC12",0.85056,0.85056,0.19879,0.11053,5.26547,1.85826333333333,0.647442094791826
"ABCC13",0,0,0,0.11053,0.41512,0.175216666666667,0.850906924964191
"ABCC2",0.47714,0.47714,0.76203,0.4974,0.26218,0.507203333333333,0.980053564991231
"ABCC3",3.25701,3.25701,0.34788,1.1606,1.76972,1.09273333333333,2.03418655028511
"ABCC4",2.67614,2.67614,2.20326,1.54746,0.76469,1.50513666666667,1.46744089810137
"ABCC5",24.9566,24.9566,56.07537,36.86278,41.27163,44.7365933333333,0.567523685265001
"ABCC6",0.18671,0.18671,1.49093,1.93433,0.74285,1.38937,0.496662300104212
"ABCC6P1",0.4564,0.4564,0.23192,1.46456,0.89578,0.864086666666667,0.781294145837282
"ABCC6P2",0.58087,0.58087,0.59637,0.4974,1.17981,0.75786,0.899315076285939
"ABCC8",42.46564,42.46564,81.60333,51.53605,127.72577,86.95505,0.494180152248222
"ABCC9",2.36497,2.36497,4.50591,6.68725,4.85035,5.34783666666667,0.530097130203413
"ABCD1",4.41875,4.41875,5.74835,9.11898,4.91589,6.59440666666667,0.713518545666504
"ABCD1P2",0,0,0,0,0,0,1
"ABCD1P3",0,0,0,0,0,0,1
"ABCD1P4",0,0,0,0,0,0,1
"ABCD1P5",0,0,0,0,0,0,1
"ABCD2",0.6846,0.6846,2.31922,2.81859,2.81844,2.65208333333333,0.461270964061609
"ABCD3",18.04842,18.04842,15.57189,20.36572,16.73588,17.55783,1.02643574167885
"ABCD4",110.40653,110.40653,152.14069,105.3933,111.73274,123.08891,0.897796023834846
"ABCE1",12.79985,12.79985,13.71652,12.73894,10.83681,12.4307566666667,1.02748120172926
"ABCF1",50.45259,50.45259,49.05146,56.31661,38.89016,48.0860766666667,1.04821149894305
"ABCF2",18.83674,18.83674,28.19506,21.08419,28.0315,25.77025,0.740999430337782
"ABCF3",38.0054,38.0054,78.67118,63.80522,52.65465,65.0436833333333,0.590600009438198
"ABCG1",17.71649,17.71649,18.12303,12.51787,7.14443,12.59511,1.37670750733168
"ABCG2",17.34308,17.34308,17.85798,27.32931,8.2587,17.81533,0.974900785689116
"ABCG4",5.18633,5.18633,5.40046,4.36606,10.35614,6.70755333333333,0.80263213661404
"ABCG5",0.10373,0.10373,0.28162,0.1658,0.28403,0.243816666666667,0.887373541116724
"ABCG8",0.18671,0.18671,0.29819,0,0.15294,0.150376666666667,1.0315838580407
"ABHD1",7.0949,7.0949,10.0886,9.45058,8.8923,9.47716,0.772623497207258
"ABHD10",14.95737,14.95737,22.52954,22.41058,17.95939,20.9665033333333,0.726441061549623
"ABHD11",16.18134,16.18134,16.91372,21.94082,33.27512,24.04322,0.686067526460255
"ABHD12",147.18796,147.18796,139.31873,160.19007,140.39784,146.635546666667,1.00374173663326
"ABHD12B",6.05763,6.05763,20.59134,26.11344,20.07868,22.2611533333333,0.303408429447322
"ABHD13",1.72186,1.72186,2.55114,2.18303,2.97138,2.56851666666667,0.762742689539538
"ABHD14A",73.3969,73.3969,100.62092,85.88421,147.54227,111.349133333333,0.6621938041949
"ABHD14A-ACY1",0.78832,0.78832,1.17617,2.54226,0.61176,1.44339666666667,0.73189917314558
"ABHD14B",11.78333,11.78333,17.4604,16.66286,17.12915,17.0841366666667,0.706880855615446
"ABHD15",2.28198,2.28198,2.79963,4.11736,1.83527,2.91742,0.83779119930975
"ABHD16A",50.39035,50.39035,76.41823,54.02305,65.08639,65.17589,0.776572102014797
"ABHD16B",4.23204,4.23204,8.61424,10.05851,6.77301,8.48192,0.551791198407074
"ABHD2",9.37688,9.37688,19.76305,20.08939,15.7964,18.5496133333333,0.530797199057987
"ABHD3",4.41875,4.41875,9.04495,19.39856,10.05027,12.83126,0.391775586605993
"ABHD4",21.57512,21.57512,36.0804,28.37937,21.43328,28.6310166666667,0.761874634743661
"ABHD5",4.89589,4.89589,7.91847,8.78738,8.08391,8.26325333333333,0.636481567311125
"ABHD6",33.79411,33.79411,19.4483,16.1931,16.18967,17.2770233333333,1.90370769711406
"ABHD8",42.59012,42.59012,83.24335,93.48336,137.25167,104.65946,0.41255293184349
"ABI1",26.90666,26.90666,43.51847,43.99217,49.00597,45.5055366666667,0.600071776399957
"ABI2",41.15869,41.15869,73.75113,74.22297,58.16045,68.7115166666667,0.604759328384526
"ABI3",5.29005,5.29005,6.44411,3.67523,2.97138,4.36357333333333,1.17273496773295
"ABI3BP",6.14061,6.14061,23.63946,15.9444,9.15448,16.2461133333333,0.414041695191612
"ABL1",41.69807,41.69807,25.67705,28.43464,26.69875,26.9368133333333,1.5283801158901
"ABL2",4.06608,4.06608,8.54797,5.94115,4.17305,6.22072333333333,0.701602840343327
"ABLIM1",28.96045,28.96045,67.88682,57.25614,45.24804,56.797,0.518373791027216
"ABLIM2",57.71345,57.71345,193.90317,178.5662,144.28686,172.252076666667,0.33889031017483
"ABLIM3",20.45487,20.45487,18.85193,25.06338,17.26024,20.39185,1.00294598176408
"ABO",1.24472,1.24472,0.89456,2.68043,0.69915,1.42471333333333,0.925767169727281
"ABP1",0.31118,0.31118,0.21536,0.38687,0.15294,0.251723333333333,1.04749984687777
"ABR",149.67739,149.67739,299.60981,317.03652,304.52305,307.05646,0.489122643297271
"ABRA",0.26969,0.26969,0.14909,0.05527,0,0.06812,1.18871475115156
"ABRACL",10.60085,10.60085,18.95132,11.68887,21.1711,17.27043,0.634952215136699
"ABT1",5.91241,5.91241,8.41545,8.04128,6.16125,7.53932666666667,0.809479513997591
"ABT1P1",0,0,0,0,0,0,1
"ABTB1",51.5106,51.5106,115.24856,79.80489,91.19524,95.41623,0.544624074183361
"ABTB2",17.65426,17.65426,6.80856,6.24512,9.94102,7.6649,2.15285346628351
"AC000041.8",0,0,0,0,0,0,1
"AC000059.1",0,0,0,0,0,0,1
"AC000077.2",0,0,0,0,0,0,1
"AC000078.5",0.93354,0.93354,0.61294,1.29876,0.85209,0.921263333333333,1.00638989276153
"AC000081.2",0,0,0,0,0,0,1
"AC000089.3",0.39416,0.39416,0.38101,0.22107,1.02687,0.542983333333333,0.903548320893507
"AC000094.3",0,0,0,0,0,0,1
"AC000110.1",0,0,0,0,0,0,1
"AC000111.4",0,0,0,0,0,0,1
"AC000111.5",0,0,0,0,0,0,1
"AC000362.1",0,0,0,0,0,0,1
"AC000367.1",0,0,0,0,0,0,1
"AC000374.1",0,0,0,0,0,0,1
"AC002055.4",14.21054,14.21054,12.32499,16.1931,10.57463,13.0309066666667,1.08407392062095
"AC002056.3",0,0,0,0,0,0,1
"AC002069.5",0,0,0,0,0,0,1
"AC002069.6",0,0,0,0,0,0,1
"AC002075.3",0,0,0,0,0,0,1
"AC002075.4",0,0,1.72285,6.57672,0,2.76652333333333,0.265496828640382
"AC002076.9",0,0,0.6792,0,0,0.2264,0.815394651011089
"AC002127.2",0,0,0,0,0,0,1
"AC002128.4",0.43565,0.43565,0,0,1.17981,0.39327,1.03041765056306
"AC002310.10",0,0,0.44728,0,0,0.149093333333333,0.870251328583695
"AC002310.11",2.92509,2.92509,0.76203,0,0.85209,0.53804,2.55200775012353
"AC002310.13",0,0,0.66263,2.18303,1.63863,1.49476333333333,0.400839625402009
"AC002310.17",0,0,0,2.01723,0,0.67241,0.597939500481341
"AC002314.4",0,0,0,0,0,0,1
"AC002365.1",0,0,0,0,0,0,1
"AC002366.3",0,0,0,0,0,0,1
"AC002398.9",3.73416,3.73416,12.39125,3.03966,5.39656,6.94249,0.596054889587522
"AC002400.1",0,0,0.18222,0,0.96133,0.381183333333333,0.724016845458604
"AC002429.4",32.42492,32.42492,0,0,0,0,33.42492
"AC002472.13",1.05801,1.05801,0.97738,11.63361,0.41512,4.34203666666667,0.385248198096731
"AC002486.2",0,0,0,0,0,0,1
"AC002486.3",0,0,0,0,0,0,1
"AC002511.4",0.06224,0.06224,0,0,0,0,1.06224
"AC002519.6",0,0,0.29819,0,0,0.0993966666666667,0.909589805317462
"AC002523.1",0,0,0,0,0,0,1
"AC002542.2",0,0,0,0,0,0,1
"AC002543.2",0,0,0,0,0,0,1
"AC002553.1",0,0,0,0,0,0,1
"AC002553.4",0,0,0,0,0,0,1
"AC002984.2",0,0,0.39758,0,0.83024,0.409273333333333,0.709585554730334
"AC002994.1",1.07876,1.07876,0.29819,0,0,0.0993966666666667,1.89081890370173
"AC003009.2",0,0,0,0,0,0,1
"AC003029.1",7.65502,7.65502,13.07045,15.22593,15.42497,14.5737833333333,0.555742931229513
"AC003045.1",0,0,0,0,0,0,1
"AC003079.1",2.6554,2.6554,1.15961,4.89109,0,2.0169,1.21164108853459
"AC003080.4",0,0,0,0,0,0,1
"AC003087.4",0,0,0,0,0,0,1
"AC003101.1",0,0,0,0,0,0,1
"AC003102.1",0.43565,0.43565,0.18222,1.18823,0.87394,0.74813,0.821248991779787
"AC003682.1",0.02075,0.02075,0.48041,1.51983,0,0.666746666666667,0.612420603811017
"AC003958.6",0,0,0,0,0,0,1
"AC003989.3",0,0,0,0,0,0,1
"AC003989.4",0,0,0.26505,0,0,0.08835,0.918822070106124
"AC004006.2",0,0,0,0,0,0,1
"AC004014.4",0,0,0,0,0,0,1
"AC004016.2",0,0,0,0,0,0,1
"AC004017.1",1.65962,1.65962,3.87641,3.61996,3.86717,3.78784666666667,0.555493979896321
"AC004019.10",0.24894,0.24894,0.0994,0,0,0.0331333333333333,1.2088855907595
"AC004022.7",0,0,0.87799,0,0,0.292663333333333,0.773596631244536
"AC004022.8",0,0,0,0,0,0,1
"AC004057.1",0,0,0,0,0,0,1
"AC004062.2",0,0,0,0,0,0,1
"AC004066.2",0,0,0,0,0,0,1
"AC004069.1",0,0,0,0,0,0,1
"AC004074.3",0,0,0,0,0,0,1
"AC004074.4",0,0,0,0,0,0,1
"AC004112.5",0,0,0,0,0,0,1
"AC004112.7",0,0,0,0,0,0,1
"AC004129.7",0,0,2.70023,0,0,0.900076666666667,0.526294553026808
"AC004129.9",0,0,0,0,0,0,1
"AC004148.1",12.57166,12.57166,13.15328,11.52307,13.06535,12.5805666666667,0.999344160896575
"AC004152.5",18.85748,18.85748,5.13541,5.49902,11.57965,7.40469333333333,2.36266562174785
"AC004159.1",0,0,0,0,0,0,1
"AC004161.4",0,0,0,0,0,0,1
"AC004166.6",4.83366,4.83366,4.34025,3.09493,3.32096,3.58538,1.27223043673589
"AC004166.7",19.33463,19.33463,15.05835,18.73536,17.8283,17.2073366666667,1.1168371504454
"AC004258.1",28.85672,28.85672,30.66337,29.6505,28.99283,29.7689,0.970353831303686
"AC004381.6",1.38994,1.38994,4.85379,3.56469,3.51759,3.97869,0.480033904500983
"AC004383.3",5.16558,5.16558,0,0,2.31593,0.771976666666667,3.4794927698446
"AC004386.3",0,0,0,0,0,0,1
"AC004386.4",0,0,0,0,0,0,1
"AC004453.8",4.58471,4.58471,3.90954,4.69766,1.37645,3.32788333333333,1.29040215963924
"AC004461.4",0,0,0.46384,0.2487,0.41512,0.375886666666667,0.726804048783088
"AC004478.2",0,0,0,0,0,0,1
"AC004507.1",0.16596,0.16596,0.03313,0.1658,0,0.06631,1.09345312338813
"AC004510.2",0,0,0,0,0,0,1
"AC004593.2",0,0,0,0,0,0,1
"AC004659.1",0,0,0,0,0,0,1
"AC004692.5",0,0,0,0,0,0,1
"AC004706.1",8.02843,8.02843,3.47883,3.73049,5.17807,4.12913,1.76022639316999
"AC004771.1",1.22397,1.22397,0.6295,0.60793,0.91763,0.718353333333333,1.29424487784817
