"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"A1BG",8.87899,8.87899,14.4996,14.4996,0.637370641823015
"A1CF",0,0,0,0,1
"A2LD1",21.24319,21.24319,7.64182,7.64182,2.5739010995369
"A2M",91.00966,91.00966,162.84087,162.84087,0.561579415441336
"A2ML1",3.36074,3.36074,1.18129,1.18129,1.99915646246029
"A2MP1",0.6846,0.6846,0.39725,0.39725,1.20565396314189
"A3GALT2P",0.93354,0.93354,0.08363,0.08363,1.7843175253546
"A4GALT",3.21552,3.21552,72.86389,72.86389,0.057071459410004
"A4GNT",0.14522,0.14522,0.02091,0.02091,1.12176391650586
"AAAS",41.49062,41.49062,30.26413,30.26413,1.35908531598352
"AACP",0,0,0,0,1
"AACS",19.77028,19.77028,31.73813,31.73813,0.634436969979654
"AACSP1",0,0,0,0,1
"AADAC",0,0,0,0,1
"AADACL2",0,0,0,0,1
"AADACL3",0,0,0,0,1
"AADACL4",0,0,0.01045,0.01045,0.989658073135732
"AADAT",9.04495,9.04495,3.94113,3.94113,2.03292566680091
"AAED1",4.06608,4.06608,8.04953,8.04953,0.559816918668704
"AAGAB",13.06954,13.06954,29.97142,29.97142,0.454274941220002
"AAK1",24.23052,24.23052,5.18515,5.18515,4.07920907334503
"AAMP",147.04274,147.04274,123.36683,123.36683,1.19037158058945
"AANAT",1.70112,1.70112,1.03494,1.03494,1.32737083157243
"AAR2",10.64234,10.64234,18.44073,18.44073,0.598863314289124
"AARD",3.92086,3.92086,4.22339,4.22339,0.942081674927585
"AARS",80.9067,80.9067,84.87546,84.87546,0.953784701706401
"AARS2",13.38072,13.38072,8.61404,8.61404,1.49580405323881
"AARSD1",16.24358,16.24358,51.0779,51.0779,0.331111277528472
"AASDH",2.40646,2.40646,3.3348,3.3348,0.785840177170804
"AASDHPPT",24.45872,24.45872,24.47265,24.47265,0.999453138954918
"AASS",13.17327,13.17327,7.33866,7.33866,1.69970594795807
"AATF",41.20018,41.20018,42.6834,42.6834,0.966046141097076
"AATK",483.11672,483.11672,173.04391,173.04391,2.78157805119409
"AB019438.63",0,0,0,0,1
"AB019438.66",0,0,0,0,1
"AB019439.68",0,0,0,0,1
"AB019441.29",1.12025,1.12025,7.86136,7.86136,0.239269141531322
"ABAT",82.52483,82.52483,14.94912,14.94912,5.23695539315022
"ABC11-48400900C8.1",1.12025,1.12025,0.08363,0.08363,1.95661803383074
"ABC12-47043100G14.2",0,0,0,0,1
"ABC7-42389800N19.1",25.76567,25.76567,18.97388,18.97388,1.34003358386052
"ABCA1",2.48944,2.48944,3.21981,3.21981,0.826918747526547
"ABCA10",5.33154,5.33154,17.14445,17.14445,0.348951883358272
"ABCA11P",6.26508,6.26508,2.91665,2.91665,1.85492193583802
"ABCA12",0.20745,0.20745,0.04182,0.04182,1.15898139793822
"ABCA13",0.37342,0.37342,0.31362,0.31362,1.04552305841872
"ABCA17P",10.01998,10.01998,3.9934,3.9934,2.20690912003845
"ABCA2",1729.4948,1729.4948,190.96195,190.96195,9.01478027286137
"ABCA3",41.46987,41.46987,75.62373,75.62373,0.554265238719128
"ABCA4",0.04149,0.04149,0.33453,0.33453,0.780417075674582
"ABCA5",15.64196,15.64196,12.96287,12.96287,1.1918724445619
"ABCA6",9.25241,9.25241,12.28337,12.28337,0.771822963600351
"ABCA7",20.53785,20.53785,45.76731,45.76731,0.46053215376296
"ABCA8",43.39918,43.39918,65.06526,65.06526,0.672050333261384
"ABCA9",3.17403,3.17403,5.22697,5.22697,0.670314775886185
"ABCB1",22.50866,22.50866,8.45723,8.45723,2.48578706449986
"ABCB10",4.64695,4.64695,3.61706,3.61706,1.22306186187747
"ABCB10P1",0,0,0.05227,0.05227,0.950326437131155
"ABCB10P3",0,0,0,0,1
"ABCB10P4",0,0,0.01045,0.01045,0.989658073135732
"ABCB11",0.14522,0.14522,0,0,1.14522
"ABCB4",2.38571,2.38571,0.57497,0.57497,2.14969808948742
"ABCB5",0.08298,0.08298,0.01045,0.01045,1.07177990004453
"ABCB6",42.36192,42.36192,58.67791,58.67791,0.726599172122482
"ABCB7",9.43911,9.43911,7.97635,7.97635,1.16295710394537
"ABCB8",23.23474,23.23474,33.23304,33.23304,0.707934206252205
"ABCB9",23.31773,23.31773,31.39315,31.39315,0.750705936285912
"ABCC1",2.15751,2.15751,3.54388,3.54388,0.694892910904337
"ABCC10",32.79833,32.79833,18.64981,18.64981,1.72003342525958
"ABCC11",0.70534,0.70534,0.16726,0.16726,1.46097698884567
"ABCC12",0.85056,0.85056,0.15681,0.15681,1.5997095460793
"ABCC13",0,0,0.35543,0.35543,0.737773252768494
"ABCC2",0.47714,0.47714,0.06272,0.06272,1.38996160794941
"ABCC3",3.25701,3.25701,1.82944,1.82944,1.50454153472065
"ABCC4",2.67614,2.67614,3.8575,3.8575,0.75679670612455
"ABCC5",24.9566,24.9566,25.43441,25.43441,0.981924695879348
"ABCC6",0.18671,0.18671,0.45997,0.45997,0.812831770515832
"ABCC6P1",0.4564,0.4564,0.07318,0.07318,1.35708827969213
"ABCC6P2",0.58087,0.58087,0.09409,0.09409,1.44491769415679
"ABCC8",42.46564,42.46564,10.87209,10.87209,3.66116159833694
"ABCC9",2.36497,2.36497,0.7945,0.7945,1.8751574254667
"ABCD1",4.41875,4.41875,6.76369,6.76369,0.697960634698191
"ABCD1P2",0,0,0,0,1
"ABCD1P3",0,0,0,0,1
"ABCD1P4",0,0,0,0,1
"ABCD1P5",0,0,0,0,1
"ABCD2",0.6846,0.6846,1.589,1.589,0.650675936655079
"ABCD3",18.04842,18.04842,23.9395,23.9395,0.763785160087412
"ABCD4",110.40653,110.40653,25.36124,25.36124,4.22614907341233
"ABCE1",12.79985,12.79985,15.03275,15.03275,0.86072882069514
"ABCF1",50.45259,50.45259,40.28945,40.28945,1.24614374858469
"ABCF2",18.83674,18.83674,29.98187,29.98187,0.640269292976828
"ABCF3",38.0054,38.0054,62.56677,62.56677,0.613613056003947
"ABCG1",17.71649,17.71649,9.4399,9.4399,1.79278441364381
"ABCG2",17.34308,17.34308,4.96562,4.96562,3.07479859595482
"ABCG4",5.18633,5.18633,11.76067,11.76067,0.484796644690287
"ABCG5",0.10373,0.10373,0.09409,0.09409,1.0088109753311
"ABCG8",0.18671,0.18671,0.21953,0.21953,0.973087992915303
"ABHD1",7.0949,7.0949,2.06988,2.06988,2.6368783144618
