"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Heart","dHs_Avg__TPM","FoldChange"
"A1BG",8.87899,8.87899,0,0,9.87899
"A1CF",0,0,0,0,1
"A2LD1",21.24319,21.24319,3.99765,3.99765,4.45072984302622
"A2M",91.00966,91.00966,723.94074,723.94074,0.126920250060715
"A2ML1",3.36074,3.36074,0.46808,0.46808,2.97036946215465
"A2MP1",0.6846,0.6846,2.11268,2.11268,0.541205649151214
"A3GALT2P",0.93354,0.93354,0,0,1.93354
"A4GALT",3.21552,3.21552,7.94469,7.94469,0.47128743422075
"A4GNT",0.14522,0.14522,0.10121,0.10121,1.0399651292669
"AAAS",41.49062,41.49062,40.00176,40.00176,1.03631209977328
"AACP",0,0,0,0,1
"AACS",19.77028,19.77028,7.10974,7.10974,2.56115239206189
"AACSP1",0,0,0,0,1
"AADAC",0,0,0.11386,0.11386,0.897778895013736
"AADACL2",0,0,0,0,1
"AADACL3",0,0,0,0,1
"AADACL4",0,0,0.06325,0.06325,0.940512579355749
"AADAT",9.04495,9.04495,4.46572,4.46572,1.83780910840658
"AAED1",4.06608,4.06608,18.7358,18.7358,0.256694940159507
"AAGAB",13.06954,13.06954,32.38599,32.38599,0.421420482064483
"AAK1",24.23052,24.23052,11.08208,11.08208,2.08825963741343
"AAMP",147.04274,147.04274,28.35039,28.35039,5.04397863197048
"AANAT",1.70112,1.70112,0.08856,0.08856,2.48136988314838
"AAR2",10.64234,10.64234,11.34775,11.34775,0.942871373327124
"AARD",3.92086,3.92086,0.11386,0.11386,4.41784425331729
"AARS",80.9067,80.9067,45.03677,45.03677,1.77915826848843
"AARS2",13.38072,13.38072,2.13798,2.13798,4.58279530143596
"AARSD1",16.24358,16.24358,28.29979,28.29979,0.588522306815168
"AASDH",2.40646,2.40646,8.52662,8.52662,0.357572780272542
"AASDHPPT",24.45872,24.45872,40.52044,40.52044,0.613161132203801
"AASS",13.17327,13.17327,43.22771,43.22771,0.320461312602439
"AATF",41.20018,41.20018,24.35275,24.35275,1.66452081135183
"AATK",483.11672,483.11672,0.83495,0.83495,263.831014469059
"AB019438.63",0,0,0,0,1
"AB019438.66",0,0,0,0,1
"AB019439.68",0,0,0,0,1
"AB019441.29",1.12025,1.12025,0.17711,0.17711,1.80123352957668
"ABAT",82.52483,82.52483,46.07413,46.07413,1.77432551594687
"ABC11-48400900C8.1",1.12025,1.12025,0,0,2.12025
"ABC12-47043100G14.2",0,0,0,0,1
"ABC7-42389800N19.1",25.76567,25.76567,2.56811,2.56811,7.50135786172511
