"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"A1BG",8.87899,8.87899,16.26198,16.26198,0.572297615916598
"A1CF",0,0,0,0,1
"A2LD1",21.24319,21.24319,24.54814,24.54814,0.870638332183869
"A2M",91.00966,91.00966,200.41955,200.41955,0.456806005176757
"A2ML1",3.36074,3.36074,1.36551,1.36551,1.8434671593018
"A2MP1",0.6846,0.6846,1.05517,1.05517,0.819688882184929
"A3GALT2P",0.93354,0.93354,0,0,1.93354
"A4GALT",3.21552,3.21552,6.95168,6.95168,0.530142058030504
"A4GNT",0.14522,0.14522,0,0,1.14522
"AAAS",41.49062,41.49062,45.86871,45.86871,0.906588212050214
"AACP",0,0,0,0,1
"AACS",19.77028,19.77028,9.62064,9.62064,1.95565239006312
"AACSP1",0,0,0,0,1
"AADAC",0,0,0.46551,0.46551,0.682356312819428
"AADACL2",0,0,0.12414,0.12414,0.889568914903838
"AADACL3",0,0,0,0,1
"AADACL4",0,0,0.12414,0.12414,0.889568914903838
"AADAT",9.04495,9.04495,6.67238,6.67238,1.30923520472135
"AAED1",4.06608,4.06608,8.06892,8.06892,0.558619990031889
"AAGAB",13.06954,13.06954,10.5827,10.5827,1.21470296217635
"AAK1",24.23052,24.23052,15.29991,15.29991,1.54789320922631
"AAMP",147.04274,147.04274,105.08216,105.08216,1.39554794133151
"AANAT",1.70112,1.70112,0.24827,0.24827,2.16389082490166
"AAR2",10.64234,10.64234,9.86891,9.86891,1.07115984951573
"AARD",3.92086,3.92086,1.0862,1.0862,2.35876713642029
"AARS",80.9067,80.9067,80.00644,80.00644,1.01111343740078
"AARS2",13.38072,13.38072,9.43443,9.43443,1.37819890497133
"AARSD1",16.24358,16.24358,4.28273,4.28273,3.26414183575538
"AASDH",2.40646,2.40646,2.54481,2.54481,0.960971109876129
"AASDHPPT",24.45872,24.45872,19.98609,19.98609,1.21312354993236
"AASS",13.17327,13.17327,11.73097,11.73097,1.1132906604917
"AATF",41.20018,41.20018,73.61338,73.61338,0.565584617665089
"AATK",483.11672,483.11672,251.03651,251.03651,1.92081980503539
"AB019438.63",0,0,0,0,1
"AB019438.66",0,0,0,0,1
"AB019439.68",0,0,0,0,1
"AB019441.29",1.12025,1.12025,1.55172,1.55172,0.830910131205618
"ABAT",82.52483,82.52483,65.91687,65.91687,1.24818793825832
"ABC11-48400900C8.1",1.12025,1.12025,0,0,2.12025
"ABC12-47043100G14.2",0,0,0,0,1
"ABC7-42389800N19.1",25.76567,25.76567,22.93435,22.93435,1.11829525347461
"ABCA1",2.48944,2.48944,3.19653,3.19653,0.831506029981914
"ABCA10",5.33154,5.33154,3.38274,3.38274,1.4446533447113
"ABCA11P",6.26508,6.26508,4.59308,4.59308,1.29894083403062
"ABCA12",0.20745,0.20745,0,0,1.20745
"ABCA13",0.37342,0.37342,0.43448,0.43448,0.957434052757794
"ABCA17P",10.01998,10.01998,11.82407,11.82407,0.859320013069174
"ABCA2",1729.4948,1729.4948,1386.02317,1386.02317,1.24763222232257
"ABCA3",41.46987,41.46987,35.31704,35.31704,1.16941991968508
"ABCA4",0.04149,0.04149,2.54481,2.54481,0.293807002349914
"ABCA5",15.64196,15.64196,14.95854,14.95854,1.04282471955455
"ABCA6",9.25241,9.25241,19.48954,19.48954,0.500372873183097
"ABCA7",20.53785,20.53785,38.79288,38.79288,0.541248836475269
"ABCA8",43.39918,43.39918,53.1928,53.1928,0.8192818972262
"ABCA9",3.17403,3.17403,5.27583,5.27583,0.665096090875629
"ABCB1",22.50866,22.50866,34.57222,34.57222,0.660871320373033
"ABCB10",4.64695,4.64695,5.12066,5.12066,0.922604751775135
"ABCB10P1",0,0,0.24827,0.24827,0.801108734488532
"ABCB10P3",0,0,0,0,1
"ABCB10P4",0,0,0,0,1
"ABCB11",0.14522,0.14522,0,0,1.14522
"ABCB4",2.38571,2.38571,4.43791,4.43791,0.622612363941294
"ABCB5",0.08298,0.08298,0.18621,0.18621,0.912974936984177
"ABCB6",42.36192,42.36192,28.7688,28.7688,1.45662304157373
"ABCB7",9.43911,9.43911,9.12409,9.12409,1.03111588300776
"ABCB8",23.23474,23.23474,16.97577,16.97577,1.34818925698315
"ABCB9",23.31773,23.31773,19.58265,19.58265,1.18146740094206
"ABCC1",2.15751,2.15751,4.2517,4.2517,0.601235790315517
"ABCC10",32.79833,32.79833,35.25497,35.25497,0.932239910831536
"ABCC11",0.70534,0.70534,1.45861,1.45861,0.693619565526863
"ABCC12",0.85056,0.85056,0.83793,0.83793,1.00687186127872
"ABCC13",0,0,0.49655,0.49655,0.668203534796699
"ABCC2",0.47714,0.47714,0.83793,0.83793,0.803697638103736
"ABCC3",3.25701,3.25701,9.86891,9.86891,0.391668529778975
"ABCC4",2.67614,2.67614,2.23447,2.23447,1.1365509650731
"ABCC5",24.9566,24.9566,21.22747,21.22747,1.16777123082384
"ABCC6",0.18671,0.18671,1.48965,1.48965,0.476657361476513
"ABCC6P1",0.4564,0.4564,0.62069,0.62069,0.898629596036256
"ABCC6P2",0.58087,0.58087,0,0,1.58087
"ABCC8",42.46564,42.46564,40.15839,40.15839,1.05605782927855
"ABCC9",2.36497,2.36497,2.14137,2.14137,1.07117913521807
"ABCD1",4.41875,4.41875,6.26893,6.26893,0.745467352141237
"ABCD1P2",0,0,0,0,1
"ABCD1P3",0,0,0,0,1
"ABCD1P4",0,0,0,0,1
"ABCD1P5",0,0,0,0,1
"ABCD2",0.6846,0.6846,0.62069,0.62069,1.03943382139706
"ABCD3",18.04842,18.04842,22.4378,22.4378,0.812722183822714
"ABCD4",110.40653,110.40653,114.29935,114.29935,0.966237277139897
"ABCE1",12.79985,12.79985,12.13441,12.13441,1.05066386689619
"ABCF1",50.45259,50.45259,29.32742,29.32742,1.696569968695
"ABCF2",18.83674,18.83674,13.28268,13.28268,1.38886679530732
"ABCF3",38.0054,38.0054,52.78936,52.78936,0.725150847676938
"ABCG1",17.71649,17.71649,10.27236,10.27236,1.66038788683115
"ABCG2",17.34308,17.34308,26.44123,26.44123,0.668449628533415
"ABCG4",5.18633,5.18633,1.36551,1.36551,2.61522039644728
"ABCG5",0.10373,0.10373,0.06207,0.06207,1.03922528646888
"ABCG8",0.18671,0.18671,0,0,1.18671
"ABHD1",7.0949,7.0949,8.37926,8.37926,0.863063823798466
"ABHD10",14.95737,14.95737,12.59993,12.59993,1.17334206867241
"ABHD11",16.18134,16.18134,12.19648,12.19648,1.30196385702854
"ABHD12",147.18796,147.18796,242.09863,242.09863,0.609579576816208
"ABHD12B",6.05763,6.05763,3.19653,3.19653,1.68177756384441
"ABHD13",1.72186,1.72186,2.0793,2.0793,0.883921670509531
"ABHD14A",73.3969,73.3969,68.67892,68.67892,1.06771029172094
"ABHD14A-ACY1",0.78832,0.78832,2.66895,2.66895,0.48742010657
"ABHD14B",11.78333,11.78333,19.67575,19.67575,0.618276483319831
"ABHD15",2.28198,2.28198,2.48274,2.48274,0.942355731406881
"ABHD16A",50.39035,50.39035,94.22016,94.22016,0.539700311362636
"ABHD16B",4.23204,4.23204,4.31377,4.31377,0.984619206326205
"ABHD2",9.37688,9.37688,5.2448,5.2448,1.66168332052267
"ABHD3",4.41875,4.41875,7.97582,7.97582,0.603705288207651
"ABHD4",21.57512,21.57512,24.02055,24.02055,0.902263139699167
"ABHD5",4.89589,4.89589,29.73087,29.73087,0.191855616193098
"ABHD6",33.79411,33.79411,34.57222,34.57222,0.978125908363324
"ABHD8",42.59012,42.59012,21.91022,21.91022,1.90264955989074
"ABI1",26.90666,26.90666,28.64467,28.64467,0.941371922844815
"ABI2",41.15869,41.15869,34.38601,34.38601,1.19139428265577
"ABI3",5.29005,5.29005,12.78613,12.78613,0.456259298294735
"ABI3BP",6.14061,6.14061,4.40687,4.40687,1.32065501852273
