"Hs_symbol","DRG","dHs_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg__TPM","FoldChange"
"A1BG",14.4996,14.4996,6.75886,8.70448,4.91589,6.79307666666667,1.98889356065191
"A1CF",0,0,0.31475,0,0,0.104916666666667,0.905045629383815
"A2LD1",7.64182,7.64182,26.88636,21.49868,30.41298,26.2660066666667,0.31694483558404
"A2M",162.84087,162.84087,159.87694,155.32662,76.33832,130.51396,1.24580592052737
"A2ML1",1.18129,1.18129,3.56166,4.97399,6.07386,4.86983666666667,0.371609999369659
"A2MP1",0.39725,0.39725,1.42466,2.23829,0.6336,1.43218333333333,0.574483831399771
"A3GALT2P",0.08363,0.08363,0,0.44213,0,0.147376666666667,0.944441377867774
"A4GALT",72.86389,72.86389,6.29502,7.57152,5.00328,6.28994,10.1323042439307
"A4GNT",0.02091,0.02091,0.14909,0.2487,0.21848,0.205423333333333,0.84693067718948
"AAAS",30.26413,30.26413,48.33913,49.18722,50.49166,49.3393366666667,0.621067579952881
"AACP",0,0,0.14909,0,0,0.0496966666666667,0.95265616416171
"AACS",31.73813,31.73813,17.37757,11.05331,37.49186,21.9742466666667,1.42499253511976
"AACSP1",0,0,0.24849,0,0.69915,0.31588,0.759947715597167
"AADAC",0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,1
"AADACL4",0.01045,0.01045,0,0,0,0,1.01045
"AADAT",3.94113,3.94113,8.6805,8.26235,7.23182,8.05822333333333,0.545485556954325
"AAED1",8.04953,8.04953,7.12331,9.61638,4.52262,7.08743666666667,1.11896146739531
"AAGAB",29.97142,29.97142,21.83378,19.06696,20.31902,20.4065866666667,1.44681730358382
"AAK1",5.18515,5.18515,20.98892,46.94893,36.53053,34.8227933333333,0.172659623230573
"AAMP",123.36683,123.36683,162.21272,137.94529,160.34544,153.50115,0.804957309379251
"AANAT",1.03494,1.03494,1.50749,0.9948,0.34957,0.95062,1.04322728158227
"AAR2",18.44073,18.44073,11.49669,10.25194,7.60324,9.78395666666667,1.8027455599939
"AARD",4.22339,4.22339,0.76203,1.21586,1.52939,1.16909333333333,2.40809831450314
"AARS",84.87546,84.87546,146.02789,107.46579,95.49937,116.331016666667,0.731907576016061
"AARS2",8.61404,8.61404,11.72862,11.93757,21.2148,14.96033,0.602371003607068
"AARSD1",51.0779,51.0779,36.04727,17.10499,12.82501,21.9924233333333,2.26500265957177
"AASDH",3.3348,3.3348,4.655,3.06729,8.08391,5.26873333333333,0.691495357913879
"AASDHPPT",24.47265,24.47265,42.17663,30.00973,45.9035,39.3632866666667,0.63108463417168
"AASS",7.33866,7.33866,11.31447,10.69408,7.86543,9.95799333333333,0.760965967613292
