"Hs_symbol","DRG","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"A1BG",14.4996,14.4996,8.87899,8.87899,1.56894581328658
"A1CF",0,0,0,0,1
"A2LD1",7.64182,7.64182,21.24319,21.24319,0.388515316373236
"A2M",162.84087,162.84087,91.00966,91.00966,1.78069204907398
"A2ML1",1.18129,1.18129,3.36074,3.36074,0.500210973366906
"A2MP1",0.39725,0.39725,0.6846,0.6846,0.829425382880209
"A3GALT2P",0.08363,0.08363,0.93354,0.93354,0.56043836693319
"A4GALT",72.86389,72.86389,3.21552,3.21552,17.5218929100087
"A4GNT",0.02091,0.02091,0.14522,0.14522,0.891453170569847
"AAAS",30.26413,30.26413,41.49062,41.49062,0.735788981191614
"AACP",0,0,0,0,1
"AACS",31.73813,31.73813,19.77028,19.77028,1.57620070600878
"AACSP1",0,0,0,0,1
"AADAC",0,0,0,0,1
"AADACL2",0,0,0,0,1
"AADACL3",0,0,0,0,1
"AADACL4",0.01045,0.01045,0,0,1.01045
"AADAT",3.94113,3.94113,9.04495,9.04495,0.491901900955206
"AAED1",8.04953,8.04953,4.06608,4.06608,1.78629828190633
"AAGAB",29.97142,29.97142,13.06954,13.06954,2.20131006415277
"AAK1",5.18515,5.18515,24.23052,24.23052,0.24514556180372
"AAMP",123.36683,123.36683,147.04274,147.04274,0.840073819222746
"AANAT",1.03494,1.03494,1.70112,1.70112,0.753368972870513
"AAR2",18.44073,18.44073,10.64234,10.64234,1.66983012006177
"AARD",4.22339,4.22339,3.92086,3.92086,1.06147909105319
"AARS",84.87546,84.87546,80.9067,80.9067,1.04845464412557
"AARS2",8.61404,8.61404,13.38072,13.38072,0.668536763110609
"AARSD1",51.0779,51.0779,16.24358,16.24358,3.02013271026086
"AASDH",3.3348,3.3348,2.40646,2.40646,1.2725233820447
"AASDHPPT",24.47265,24.47265,24.45872,24.45872,1.00054716026572
"AASS",7.33866,7.33866,13.17327,13.17327,0.588337059831641
"AATF",42.6834,42.6834,41.20018,41.20018,1.03514724344778
"AATK",173.04391,173.04391,483.11672,483.11672,0.35950815745426
"AB019438.63",0,0,0,0,1
"AB019438.66",0,0,0,0,1
"AB019439.68",0,0,0,0,1
"AB019441.29",7.86136,7.86136,1.12025,1.12025,4.17939393939394
"ABAT",14.94912,14.94912,82.52483,82.52483,0.190950643060273
"ABC11-48400900C8.1",0.08363,0.08363,1.12025,1.12025,0.511085956844712
"ABC12-47043100G14.2",0,0,0,0,1
"ABC7-42389800N19.1",18.97388,18.97388,25.76567,25.76567,0.746249953765402
"ABCA1",3.21981,3.21981,2.48944,2.48944,1.20930865697648
"ABCA10",17.14445,17.14445,5.33154,5.33154,2.86572461044232
"ABCA11P",2.91665,2.91665,6.26508,6.26508,0.539106245216845
"ABCA12",0.04182,0.04182,0.20745,0.20745,0.862826618079424
"ABCA13",0.31362,0.31362,0.37342,0.37342,0.956459058408935
"ABCA17P",3.9934,3.9934,10.01998,10.01998,0.453122419459926
"ABCA2",190.96195,190.96195,1729.4948,1729.4948,0.110928937781263
"ABCA3",75.62373,75.62373,41.46987,41.46987,1.8041903589533
"ABCA4",0.33453,0.33453,0.04149,0.04149,1.2813661196939
"ABCA5",12.96287,12.96287,15.64196,15.64196,0.839015957255035
"ABCA6",12.28337,12.28337,9.25241,9.25241,1.29563390461365
"ABCA7",45.76731,45.76731,20.53785,20.53785,2.17140104513682
"ABCA8",65.06526,65.06526,43.39918,43.39918,1.48798378708796
"ABCA9",5.22697,5.22697,3.17403,3.17403,1.49183642666679
"ABCB1",8.45723,8.45723,22.50866,22.50866,0.402287072083224
"ABCB10",3.61706,3.61706,4.64695,4.64695,0.817620131221279
"ABCB10P1",0.05227,0.05227,0,0,1.05227
"ABCB10P3",0,0,0,0,1
"ABCB10P4",0.01045,0.01045,0,0,1.01045
"ABCB11",0,0,0.14522,0.14522,0.873194670019734
"ABCB4",0.57497,0.57497,2.38571,2.38571,0.465181601495698
"ABCB5",0.01045,0.01045,0.08298,0.08298,0.933027387394042
"ABCB6",58.67791,58.67791,42.36192,42.36192,1.376274620681
"ABCB7",7.97635,7.97635,9.43911,9.43911,0.859876943532543
"ABCB8",33.23304,33.23304,23.23474,23.23474,1.4125606464109
"ABCB9",31.39315,31.39315,23.31773,23.31773,1.33207951564558
"ABCC1",3.54388,3.54388,2.15751,2.15751,1.43907066010876
"ABCC10",18.64981,18.64981,32.79833,32.79833,0.581384050632087
"ABCC11",0.16726,0.16726,0.70534,0.70534,0.684473477429721
"ABCC12",0.15681,0.15681,0.85056,0.85056,0.625113479163064
"ABCC13",0.35543,0.35543,0,0,1.35543
"ABCC2",0.06272,0.06272,0.47714,0.47714,0.719444331613794
"ABCC3",1.82944,1.82944,3.25701,3.25701,0.664654299614048
"ABCC4",3.8575,3.8575,2.67614,2.67614,1.32135881658479
"ABCC5",25.43441,25.43441,24.9566,24.9566,1.01840803495065
"ABCC6",0.45997,0.45997,0.18671,0.18671,1.23026687227714
"ABCC6P1",0.07318,0.07318,0.4564,0.4564,0.73687173853337
"ABCC6P2",0.09409,0.09409,0.58087,0.58087,0.692080942772018
"ABCC8",10.87209,10.87209,42.46564,42.46564,0.27313735631179
"ABCC9",0.7945,0.7945,2.36497,2.36497,0.533288558293239
"ABCD1",6.76369,6.76369,4.41875,4.41875,1.43274555940023
"ABCD1P2",0,0,0,0,1
"ABCD1P3",0,0,0,0,1
"ABCD1P4",0,0,0,0,1
"ABCD1P5",0,0,0,0,1
"ABCD2",1.589,1.589,0.6846,0.6846,1.53686335035023
"ABCD3",23.9395,23.9395,18.04842,18.04842,1.30926869525136
"ABCD4",25.36124,25.36124,110.40653,110.40653,0.236622036428206
"ABCE1",15.03275,15.03275,12.79985,12.79985,1.16180610658812
"ABCF1",40.28945,40.28945,50.45259,50.45259,0.802475638252613
"ABCF2",29.98187,29.98187,18.83674,18.83674,1.56184282296385
"ABCF3",62.56677,62.56677,38.0054,38.0054,1.62969152989073
"ABCG1",9.4399,9.4399,17.71649,17.71649,0.557791551727915
"ABCG2",4.96562,4.96562,17.34308,17.34308,0.325224553346548
"ABCG4",11.76067,11.76067,5.18633,5.18633,2.06272054675389
"ABCG5",0.09409,0.09409,0.10373,0.10373,0.991265979904506
"ABCG8",0.21953,0.21953,0.18671,0.18671,1.02765629344996
"ABHD1",2.06988,2.06988,7.0949,7.0949,0.379236309281152
"ABHD10",33.57802,33.57802,14.95737,14.95737,2.16689968334381
"ABHD11",27.69246,27.69246,16.18134,16.18134,1.66997801102824
"ABHD12",152.8051,152.8051,147.18796,147.18796,1.03790550865266
"ABHD12B",1.73535,1.73535,6.05763,6.05763,0.387573448877314
"ABHD13",2.89574,2.89574,1.72186,1.72186,1.43127861094987
"ABHD14A",66.64381,66.64381,73.3969,73.3969,0.909228879160288
"ABHD14A-ACY1",2.09079,2.09079,0.78832,0.78832,1.72832043482151
"ABHD14B",32.82534,32.82534,11.78333,11.78333,2.64605075516317
"ABHD15",5.26878,5.26878,2.28198,2.28198,1.9100603903741
"ABHD16A",86.71535,86.71535,50.39035,50.39035,1.70684476754877
"ABHD16B",14.72959,14.72959,4.23204,4.23204,3.00639712234616
"ABHD2",40.91668,40.91668,9.37688,9.37688,4.03942996353432
"ABHD3",21.57691,21.57691,4.41875,4.41875,4.16644244521338
"ABHD4",20.10291,20.10291,21.57512,21.57512,0.934786171679265
"ABHD5",9.24127,9.24127,4.89589,4.89589,1.7370184993275
"ABHD6",13.96645,13.96645,33.79411,33.79411,0.430143205272387
"ABHD8",33.32713,33.32713,42.59012,42.59012,0.787497946782436
"ABI1",20.06109,20.06109,26.90666,26.90666,0.754697624151368
"ABI2",14.84458,14.84458,41.15869,41.15869,0.37583188661697
"ABI3",28.44514,28.44514,5.29005,5.29005,4.68122510949833
"ABI3BP",4.23384,4.23384,6.14061,6.14061,0.732968191793138
"ABL1",12.37745,12.37745,41.69807,41.69807,0.31330338818593
"ABL2",3.27208,3.27208,4.06608,4.06608,0.843271326153554
"ABLIM1",43.05974,43.05974,28.96045,28.96045,1.47059673669788
"ABLIM2",16.78901,16.78901,57.71345,57.71345,0.302980151907272
"ABLIM3",33.63029,33.63029,20.45487,20.45487,1.61409926976952
"ABO",0.56451,0.56451,1.24472,1.24472,0.696973341886739
"ABP1",0.08363,0.08363,0.31118,0.31118,0.826454033771107
"ABR",47.79537,47.79537,149.67739,149.67739,0.323840026695445
"ABRA",1.81898,1.81898,0.26969,0.26969,2.22021123266309
"ABRACL",15.0223,15.0223,10.60085,10.60085,1.38113155501537
"ABT1",17.48943,17.48943,5.91241,5.91241,2.67481674264113
"ABT1P1",0.01045,0.01045,0,0,1.01045
"ABTB1",128.13382,128.13382,51.5106,51.5106,2.45919528628505
"ABTB2",3.15709,3.15709,17.65426,17.65426,0.222849365238825
"AC000041.8",0,0,0,0,1
"AC000059.1",0,0,0,0,1
"AC000077.2",0,0,0,0,1
"AC000078.5",0.10454,0.10454,0.93354,0.93354,0.571252728156645
"AC000081.2",0,0,0,0,1
"AC000089.3",0.03136,0.03136,0.39416,0.39416,0.739771618752511
"AC000094.3",0.01045,0.01045,0,0,1.01045
"AC000110.1",0,0,0,0,1
"AC000111.4",0,0,0,0,1
"AC000111.5",0,0,0,0,1
"AC000362.1",0,0,0,0,1
"AC000367.1",0.01045,0.01045,0,0,1.01045
"AC000374.1",0,0,0,0,1
"AC002055.4",30.77637,30.77637,14.21054,14.21054,2.08910203056565
"AC002056.3",0.2718,0.2718,0,0,1.2718
"AC002069.5",0.01045,0.01045,0,0,1.01045
"AC002069.6",0,0,0,0,1
"AC002075.3",0,0,0,0,1
"AC002075.4",0.39725,0.39725,0,0,1.39725
"AC002076.9",0,0,0,0,1
"AC002127.2",0,0,0,0,1
"AC002128.4",0.04182,0.04182,0.43565,0.43565,0.725678264200885
"AC002310.10",0,0,0,0,1
"AC002310.11",0.61678,0.61678,2.92509,2.92509,0.411909026289843
"AC002310.13",0,0,0,0,1
"AC002310.17",0.19862,0.19862,0,0,1.19862
"AC002314.4",0,0,0,0,1
"AC002365.1",0.04182,0.04182,0,0,1.04182
"AC002366.3",0,0,0,0,1
"AC002398.9",1.34856,1.34856,3.73416,3.73416,0.496088007164946
"AC002400.1",0.03136,0.03136,0,0,1.03136
"AC002429.4",0,0,32.42492,32.42492,0.0299177978586037
"AC002472.13",0.06272,0.06272,1.05801,1.05801,0.516382330503739
"AC002486.2",0,0,0,0,1
"AC002486.3",0,0,0,0,1
"AC002511.4",0,0,0.06224,0.06224,0.941406838379274
"AC002519.6",0,0,0,0,1
"AC002523.1",0,0,0,0,1
"AC002542.2",0,0,0,0,1
"AC002543.2",0,0,0,0,1
"AC002553.1",0,0,0,0,1
"AC002553.4",0,0,0,0,1
"AC002984.2",0,0,0,0,1
"AC002994.1",0,0,1.07876,1.07876,0.481056014162289
"AC003009.2",0,0,0,0,1
"AC003029.1",11.66659,11.66659,7.65502,7.65502,1.46349632929791
"AC003045.1",0,0,0,0,1
"AC003079.1",0,0,2.6554,2.6554,0.27356787218909
"AC003080.4",0,0,0,0,1
"AC003087.4",0,0,0,0,1
"AC003101.1",0.03136,0.03136,0,0,1.03136
"AC003102.1",0.01045,0.01045,0.43565,0.43565,0.703827534566224
"AC003682.1",0.05227,0.05227,0.02075,0.02075,1.03087925544942
"AC003958.6",0,0,0,0,1
"AC003989.3",0,0,0,0,1
"AC003989.4",0,0,0,0,1
"AC004006.2",0,0,0,0,1
"AC004014.4",0,0,0,0,1
"AC004016.2",0,0,0,0,1
"AC004017.1",0.60633,0.60633,1.65962,1.65962,0.60396974003805
"AC004019.10",0.06272,0.06272,0.24894,0.24894,0.85089756113184
"AC004022.7",0,0,0,0,1
"AC004022.8",0,0,0,0,1
"AC004057.1",18.30483,18.30483,0,0,19.30483
"AC004062.2",0,0,0,0,1
"AC004066.2",0.01045,0.01045,0,0,1.01045
"AC004069.1",0,0,0,0,1
"AC004074.3",1.60991,1.60991,0,0,2.60991
"AC004074.4",0,0,0,0,1
"AC004112.5",0,0,0,0,1
"AC004112.7",0.01045,0.01045,0,0,1.01045
"AC004129.7",0,0,0,0,1
"AC004129.9",0,0,0,0,1
"AC004148.1",1.57854,1.57854,12.57166,12.57166,0.189994444305266
"AC004152.5",4.69381,4.69381,18.85748,18.85748,0.286733764808022
"AC004159.1",0,0,0,0,1
"AC004161.4",0,0,0,0,1
"AC004166.6",1.90262,1.90262,4.83366,4.83366,0.497564136408361
"AC004166.7",1.93398,1.93398,19.33463,19.33463,0.144284897241799
"AC004258.1",86.02539,86.02539,28.85672,28.85672,2.91476726177557
"AC004381.6",1.9967,1.9967,1.38994,1.38994,1.25388085056529
"AC004383.3",0.26135,0.26135,5.16558,5.16558,0.204579293432248
"AC004386.3",0,0,0,0,1
"AC004386.4",0,0,0,0,1
"AC004453.8",0.39725,0.39725,4.58471,4.58471,0.250192042200938
"AC004461.4",0.02091,0.02091,0,0,1.02091
"AC004478.2",0,0,0,0,1
"AC004507.1",0.36589,0.36589,0.16596,0.16596,1.17147243473189
"AC004510.2",0.14636,0.14636,0,0,1.14636
"AC004593.2",0.01045,0.01045,0,0,1.01045
"AC004659.1",0,0,0,0,1
"AC004692.5",0.12545,0.12545,0,0,1.12545
"AC004706.1",1.64127,1.64127,8.02843,8.02843,0.292550310519105
"AC004771.1",0.5227,0.5227,1.22397,1.22397,0.684676501931231
"AC004790.4",0,0,0,0,1
"AC004790.5",0,0,0,0,1
"AC004797.1",2.81211,2.81211,0.51863,0.51863,2.51022961485023
"AC004832.1",0.09409,0.09409,0,0,1.09409
"AC004837.3",0.03136,0.03136,0.62236,0.62236,0.635715870706872
"AC004854.5",0.06272,0.06272,0,0,1.06272
"AC004866.1",0,0,0,0,1
"AC004866.3",0,0,0,0,1
"AC004870.5",0.07318,0.07318,0,0,1.07318
"AC004876.1",0.02091,0.02091,0,0,1.02091
"AC004878.3",0.29271,0.29271,0.76758,0.76758,0.731344550175947
"AC004878.5",0,0,0,0,1
"AC004878.6",0,0,0,0,1
"AC004889.1",0,0,0,0,1
"AC004893.10",0,0,0,0,1
