"Hs_symbol","DRG","dHs_Avg_TPM","Heart","dHs_Avg__TPM","FoldChange"
"A1BG",14.4996,14.4996,0,0,15.4996
"A1CF",0,0,0,0,1
"A2LD1",7.64182,7.64182,3.99765,3.99765,1.72917671305514
"A2M",162.84087,162.84087,723.94074,723.94074,0.226005880149597
"A2ML1",1.18129,1.18129,0.46808,0.46808,1.48581139992371
"A2MP1",0.39725,0.39725,2.11268,2.11268,0.448889702764178
"A3GALT2P",0.08363,0.08363,0,0,1.08363
"A4GALT",72.86389,72.86389,7.94469,7.94469,8.25784795224877
"A4GNT",0.02091,0.02091,0.10121,0.10121,0.927080211767056
"AAAS",30.26413,30.26413,40.00176,40.00176,0.762507024088722
"AACP",0,0,0,0,1
"AACS",31.73813,31.73813,7.10974,7.10974,4.03689020856402
"AACSP1",0,0,0,0,1
"AADAC",0,0,0.11386,0.11386,0.897778895013736
"AADACL2",0,0,0,0,1
"AADACL3",0,0,0,0,1
"AADACL4",0.01045,0.01045,0.06325,0.06325,0.950340935810017
"AADAT",3.94113,3.94113,4.46572,4.46572,0.904021794017988
"AAED1",8.04953,8.04953,18.7358,18.7358,0.458533730580975
"AAGAB",29.97142,29.97142,32.38599,32.38599,0.927677148408659
"AAK1",5.18515,5.18515,11.08208,11.08208,0.511927582005747
"AAMP",123.36683,123.36683,28.35039,28.35039,4.23731439343736
"AANAT",1.03494,1.03494,0.08856,0.08856,1.86938708017932
"AAR2",18.44073,18.44073,11.34775,11.34775,1.57443501852564
"AARD",4.22339,4.22339,0.11386,0.11386,4.6894493024258
"AARS",84.87546,84.87546,45.03677,45.03677,1.8653667492311
"AARS2",8.61404,8.61404,2.13798,2.13798,3.0637671368205
"AARSD1",51.0779,51.0779,28.29979,28.29979,1.77741546953067
"AASDH",3.3348,3.3348,8.52662,8.52662,0.455019723679542
"AASDHPPT",24.47265,24.47265,40.52044,40.52044,0.613496629611825
"AASS",7.33866,7.33866,43.22771,43.22771,0.188539266446307
"AATF",42.6834,42.6834,24.35275,24.35275,1.7230241295323
"AATK",173.04391,173.04391,0.83495,0.83495,94.8494018910597
"AB019438.63",0,0,0,0,1
"AB019438.66",0,0,0,0,1
"AB019439.68",0,0,0,0,1
"AB019441.29",7.86136,7.86136,0.17711,0.17711,7.52806449694591
"ABAT",14.94912,14.94912,46.07413,46.07413,0.338808598268306
"ABC11-48400900C8.1",0.08363,0.08363,0,0,1.08363
"ABC12-47043100G14.2",0,0,0,0,1
"ABC7-42389800N19.1",18.97388,18.97388,2.56811,2.56811,5.5978879574901
"ABCA1",3.21981,3.21981,15.72492,15.72492,0.252306737491121
"ABCA10",17.14445,17.14445,28.56546,28.56546,0.61370430224999
"ABCA11P",2.91665,2.91665,9.27302,9.27302,0.381255950051689
"ABCA12",0.04182,0.04182,0,0,1.04182
"ABCA13",0.31362,0.31362,0.0253,0.0253,1.28120550082903
"ABCA17P",3.9934,3.9934,1.08797,1.08797,2.39150945655349
"ABCA2",190.96195,190.96195,0.78435,0.78435,107.58088379522
"ABCA3",75.62373,75.62373,1.10062,1.10062,36.4767211585151
"ABCA4",0.33453,0.33453,0.0506,0.0506,1.27025509232819
"ABCA5",12.96287,12.96287,33.05648,33.05648,0.409991578695156
"ABCA6",12.28337,12.28337,30.9185,30.9185,0.416165233328634
"ABCA7",45.76731,45.76731,1.44219,1.44219,19.1497426490158
"ABCA8",65.06526,65.06526,93.07177,93.07177,0.702285712281166
"ABCA9",5.22697,5.22697,44.49278,44.49278,0.136878203530318
"ABCB1",8.45723,8.45723,11.91703,11.91703,0.732152050432646
"ABCB10",3.61706,3.61706,14.34598,14.34598,0.30086446092071
"ABCB10P1",0.05227,0.05227,0.0759,0.0759,0.978036992285528
"ABCB10P3",0,0,0,0,1
"ABCB10P4",0.01045,0.01045,0.20241,0.20241,0.840353955805424
"ABCB11",0,0,0.06325,0.06325,0.940512579355749
"ABCB4",0.57497,0.57497,7.66637,7.66637,0.181733528570786
"ABCB5",0.01045,0.01045,0,0,1.01045
"ABCB6",58.67791,58.67791,17.10385,17.10385,3.29642092704038
"ABCB7",7.97635,7.97635,55.72667,55.72667,0.158238620387906
"ABCB8",33.23304,33.23304,6.61636,6.61636,4.49467199554643
"ABCB9",31.39315,31.39315,0.8223,0.8223,17.7759699281128
"ABCC1",3.54388,3.54388,6.17358,6.17358,0.633418739318443
"ABCC10",18.64981,18.64981,5.79406,5.79406,2.89220436675567
"ABCC11",0.16726,0.16726,0.10121,0.10121,1.05997947712062
"ABCC12",0.15681,0.15681,0.24036,0.24036,0.93264052371892
"ABCC13",0.35543,0.35543,0,0,1.35543
"ABCC2",0.06272,0.06272,0.22771,0.22771,0.865611585797949
"ABCC3",1.82944,1.82944,1.12592,1.12592,1.33092496425077
"ABCC4",3.8575,3.8575,2.60606,2.60606,1.347038041519
"ABCC5",25.43441,25.43441,58.93997,58.93997,0.44101473524261
"ABCC6",0.45997,0.45997,0.55663,0.55663,0.937904318945414
"ABCC6P1",0.07318,0.07318,0.16446,0.16446,0.92161173419439
"ABCC6P2",0.09409,0.09409,0.15181,0.15181,0.949887568262127
"ABCC8",10.87209,10.87209,1.54339,1.54339,4.6678212936278
"ABCC9",0.7945,0.7945,61.837,61.837,0.0285580151821379
"ABCD1",6.76369,6.76369,0.64519,0.64519,4.71902333469083
"ABCD1P2",0,0,0,0,1
"ABCD1P3",0,0,0,0,1
"ABCD1P4",0,0,0,0,1
"ABCD1P5",0,0,0,0,1
"ABCD2",1.589,1.589,4.75669,4.75669,0.449737609633314
"ABCD3",23.9395,23.9395,69.59193,69.59193,0.353291091488786
"ABCD4",25.36124,25.36124,31.47513,31.47513,0.811736242472316
"ABCE1",15.03275,15.03275,44.60664,44.60664,0.351544204966645
"ABCF1",40.28945,40.28945,71.80581,71.80581,0.567117514385184
"ABCF2",29.98187,29.98187,34.68843,34.68843,0.868120844766777
"ABCF3",62.56677,62.56677,31.91791,31.91791,1.93106943909865
"ABCG1",9.4399,9.4399,14.34598,14.34598,0.680301942267617
"ABCG2",4.96562,4.96562,2.97293,2.97293,1.5015668536823
"ABCG4",11.76067,11.76067,1.02471,1.02471,6.30246800776407
"ABCG5",0.09409,0.09409,0.06325,0.06325,1.02900540794733
"ABCG8",0.21953,0.21953,0,0,1.21953
"ABHD1",2.06988,2.06988,11.14533,11.14533,0.252762172785754
"ABHD10",33.57802,33.57802,71.17327,71.17327,0.479097316776696
"ABHD11",27.69246,27.69246,9.04531,9.04531,2.85630408618549
"ABHD12",152.8051,152.8051,28.31244,28.31244,5.24709304309024
"ABHD12B",1.73535,1.73535,0.43013,0.43013,1.91265828980582
"ABHD13",2.89574,2.89574,8.53927,8.53927,0.408389740514735
"ABHD14A",66.64381,66.64381,3.30185,3.30185,15.7243534758302
"ABHD14A-ACY1",2.09079,2.09079,0.29097,0.29097,2.39416097972842
"ABHD14B",32.82534,32.82534,13.7514,13.7514,2.29302574670879
"ABHD15",5.26878,5.26878,4.35187,4.35187,1.17132516298042
"ABHD16A",86.71535,86.71535,17.74904,17.74904,4.67839153364652
"ABHD16B",14.72959,14.72959,0.0506,0.0506,14.9720064724919
"ABHD2",40.91668,40.91668,18.11591,18.11591,2.19276403791397
"ABHD3",21.57691,21.57691,11.79052,11.79052,1.7651283919653
"ABHD4",20.10291,20.10291,10.93027,10.93027,1.76885435115886
"ABHD5",9.24127,9.24127,29.64077,29.64077,0.334236704886986
"ABHD6",13.96645,13.96645,6.11033,6.11033,2.10488824006762
"ABHD8",33.32713,33.32713,0.37952,0.37952,24.8833869751798
"ABI1",20.06109,20.06109,24.88408,24.88408,0.813669637862346
"ABI2",14.84458,14.84458,57.51043,57.51043,0.270799240408932
"ABI3",28.44514,28.44514,1.26508,1.26508,12.9996026630406
"ABI3BP",4.23384,4.23384,33.27154,33.27154,0.152716802338033
"ABL1",12.37745,12.37745,13.83995,13.83995,0.90144845501501
"ABL2",3.27208,3.27208,3.52957,3.52957,0.943153544376177
"ABLIM1",43.05974,43.05974,752.16463,752.16463,0.0584994810497142
"ABLIM2",16.78901,16.78901,7.41336,7.41336,2.11437642036
"ABLIM3",33.63029,33.63029,133.68077,133.68077,0.257128690309686
"ABO",0.56451,0.56451,0.17711,0.17711,1.32911112810188
"ABP1",0.08363,0.08363,0.0253,0.0253,1.05689066614649
"ABR",47.79537,47.79537,99.67548,99.67548,0.484679784988361
"ABRA",1.81898,1.81898,26.17446,26.17446,0.103736375994224
"ABRACL",15.0223,15.0223,12.22065,12.22065,1.21191469405816
"ABT1",17.48943,17.48943,6.18623,6.18623,2.57289705450563
"ABT1P1",0.01045,0.01045,0,0,1.01045
"ABTB1",128.13382,128.13382,4.75669,4.75669,22.4319565583695
"ABTB2",3.15709,3.15709,9.24772,9.24772,0.405659990710129
"AC000041.8",0,0,0,0,1
"AC000059.1",0,0,0.17711,0.17711,0.849538275947023
"AC000077.2",0,0,0,0,1
"AC000078.5",0.10454,0.10454,0,0,1.10454
"AC000081.2",0,0,0,0,1
"AC000089.3",0.03136,0.03136,0,0,1.03136
"AC000094.3",0.01045,0.01045,0,0,1.01045
"AC000110.1",0,0,0,0,1
"AC000111.4",0,0,0,0,1
"AC000111.5",0,0,0,0,1
"AC000362.1",0,0,0,0,1
"AC000367.1",0.01045,0.01045,0,0,1.01045
"AC000374.1",0,0,0.36687,0.36687,0.731598469496002
"AC002055.4",30.77637,30.77637,16.2436,16.2436,1.84279210837644
"AC002056.3",0.2718,0.2718,0,0,1.2718
"AC002069.5",0.01045,0.01045,0,0,1.01045
"AC002069.6",0,0,0,0,1
"AC002075.3",0,0,0,0,1
"AC002075.4",0.39725,0.39725,0,0,1.39725
"AC002076.9",0,0,0,0,1
"AC002127.2",0,0,0,0,1
"AC002128.4",0.04182,0.04182,0.15181,0.15181,0.904506819701166
"AC002310.10",0,0,0.15181,0.15181,0.868198748057405
"AC002310.11",0.61678,0.61678,0,0,1.61678
"AC002310.13",0,0,0,0,1
"AC002310.17",0.19862,0.19862,0.92351,0.92351,0.623142068406195
"AC002314.4",0,0,0,0,1
"AC002365.1",0.04182,0.04182,0,0,1.04182
"AC002366.3",0,0,0,0,1
"AC002398.9",1.34856,1.34856,0,0,2.34856
"AC002400.1",0.03136,0.03136,0.55663,0.55663,0.66255950354291
"AC002429.4",0,0,0,0,1
"AC002472.13",0.06272,0.06272,0,0,1.06272
"AC002486.2",0,0,0,0,1
"AC002486.3",0,0,0,0,1
"AC002511.4",0,0,0.0759,0.0759,0.929454410261177
"AC002519.6",0,0,0,0,1
"AC002523.1",0,0,0,0,1
"AC002542.2",0,0,0,0,1
"AC002543.2",0,0,0.0506,0.0506,0.951837045497811
"AC002553.1",0,0,0,0,1
"AC002553.4",0,0,0,0,1
"AC002984.2",0,0,0.30362,0.30362,0.767094705512343
"AC002994.1",0,0,0.17711,0.17711,0.849538275947023
"AC003009.2",0,0,0,0,1
"AC003029.1",11.66659,11.66659,3.39041,3.39041,2.88505857083963
"AC003045.1",0,0,0,0,1
"AC003079.1",0,0,0,0,1
"AC003080.4",0,0,0,0,1
"AC003087.4",0,0,0,0,1
"AC003101.1",0.03136,0.03136,0,0,1.03136
"AC003102.1",0.01045,0.01045,0.03795,0.03795,0.973505467508069
"AC003682.1",0.05227,0.05227,0.48073,0.48073,0.710642723521506
"AC003958.6",0,0,0,0,1
"AC003989.3",0,0,0,0,1
"AC003989.4",0,0,0.24036,0.24036,0.806217549743623
"AC004006.2",0,0,0,0,1
"AC004014.4",0,0,0,0,1
"AC004016.2",0,0,0,0,1
"AC004017.1",0.60633,0.60633,4.87055,4.87055,0.273625128820979
"AC004019.10",0.06272,0.06272,0,0,1.06272
"AC004022.7",0,0,0,0,1
"AC004022.8",0,0,0,0,1
"AC004057.1",18.30483,18.30483,11.71462,11.71462,1.51831749592202
"AC004062.2",0,0,0,0,1
"AC004066.2",0.01045,0.01045,0,0,1.01045
"AC004069.1",0,0,0,0,1
"AC004074.3",1.60991,1.60991,0,0,2.60991
"AC004074.4",0,0,0,0,1
"AC004112.5",0,0,0,0,1
"AC004112.7",0.01045,0.01045,0,0,1.01045
"AC004129.7",0,0,0,0,1
"AC004129.9",0,0,0,0,1
"AC004148.1",1.57854,1.57854,5.95852,5.95852,0.37055868201859
"AC004152.5",4.69381,4.69381,0,0,5.69381
"AC004159.1",0,0,0,0,1
"AC004161.4",0,0,0,0,1
"AC004166.6",1.90262,1.90262,0.75905,0.75905,1.65010659162616
"AC004166.7",1.93398,1.93398,13.30862,13.30862,0.20504982311362
"AC004258.1",86.02539,86.02539,0,0,87.02539
"AC004381.6",1.9967,1.9967,10.17123,10.17123,0.268251571223581
"AC004383.3",0.26135,0.26135,3.49161,3.49161,0.280823579963532
"AC004386.3",0,0,0,0,1
"AC004386.4",0,0,0,0,1
"AC004453.8",0.39725,0.39725,0,0,1.39725
"AC004461.4",0.02091,0.02091,0,0,1.02091
"AC004478.2",0,0,0,0,1
"AC004507.1",0.36589,0.36589,2.74522,2.74522,0.364702207079958
"AC004510.2",0.14636,0.14636,0,0,1.14636
"AC004593.2",0.01045,0.01045,0.11386,0.11386,0.90716068446663
"AC004659.1",0,0,0,0,1
"AC004692.5",0.12545,0.12545,0,0,1.12545
"AC004706.1",1.64127,1.64127,0.36687,0.36687,1.9323490895257
"AC004771.1",0.5227,0.5227,0,0,1.5227
"AC004790.4",0,0,0,0,1
"AC004790.5",0,0,0,0,1
"AC004797.1",2.81211,2.81211,1.39159,1.39159,1.59396468458222
"AC004832.1",0.09409,0.09409,0,0,1.09409
"AC004837.3",0.03136,0.03136,0,0,1.03136
"AC004854.5",0.06272,0.06272,0.46808,0.46808,0.72388425698872
"AC004866.1",0,0,0,0,1
"AC004866.3",0,0,0,0,1
"AC004870.5",0.07318,0.07318,0.11386,0.11386,0.963478354550841
"AC004876.1",0.02091,0.02091,0,0,1.02091
"AC004878.3",0.29271,0.29271,0,0,1.29271
"AC004878.5",0,0,0,0,1
"AC004878.6",0,0,0,0,1
"AC004889.1",0,0,0,0,1
"AC004893.10",0,0,0.20241,0.20241,0.831663076654386
"AC004894.2",0,0,0,0,1
"AC004899.3",0.02091,0.02091,0,0,1.02091
"AC004907.2",0,0,0,0,1
"AC004909.3",0,0,0,0,1
"AC004911.2",0,0,0,0,1
"AC004917.1",0.28226,0.28226,0,0,1.28226
"AC004920.2",0,0,0,0,1
"AC004938.5",0,0,0,0,1
"AC004941.5",0,0,0,0,1
"AC004945.1",0,0,0,0,1
"AC004951.5",0.43907,0.43907,0,0,1.43907
"AC004954.2",0,0,0,0,1
"AC004957.5",0.01045,0.01045,0,0,1.01045
"AC004967.11",0.21953,0.21953,0.78435,0.78435,0.683458962647463
"AC004967.7",4.02476,4.02476,0.59459,0.59459,3.15112975749252
"AC004967.8",19.21432,19.21432,10.46219,10.46219,1.76356525236451
"AC004980.10",0.06272,0.06272,0.50603,0.50603,0.70564331387821
"AC004980.11",0.04182,0.04182,0.22771,0.22771,0.848588021601192
"AC004980.7",2.98982,2.98982,2.34039,2.34039,1.19441741832541
"AC004980.8",0,0,0,0,1
"AC004980.9",2.66575,2.66575,0.43013,0.43013,2.5632285176872
"AC004985.12",2.28941,2.28941,0,0,3.28941
"AC004987.10",0,0,0,0,1
"AC004987.8",0.02091,0.02091,0,0,1.02091
"AC004987.9",0.08363,0.08363,0,0,1.08363
"AC004996.1",0,0,0,0,1
"AC005000.1",0.31362,0.31362,0.65784,0.65784,0.792368382956136
"AC005003.1",2.34168,2.34168,0.96146,0.96146,1.70366971541607
"AC005007.3",0,0,0,0,1
"AC005008.2",0,0,0,0,1
"AC005008.3",0,0,0,0,1
"AC005013.1",0.21953,0.21953,0,0,1.21953
"AC005014.5",0,0,0,0,1
"AC005017.2",0,0,0,0,1
"AC005019.2",0,0,0,0,1
"AC005033.6",0,0,0,0,1
"AC005034.2",0,0,0,0,1
"AC005034.3",0,0,0,0,1
"AC005035.1",20.52107,20.52107,69.64253,69.64253,0.30464749776091
"AC005037.1",0,0,0,0,1
"AC005037.4",0,0,0,0,1
"AC005037.6",0,0,0,0,1
"AC005040.3",0,0,0,0,1
"AC005041.11",0,0,0,0,1
"AC005042.2",0.02091,0.02091,0.51868,0.51868,0.672235098901678
"AC005042.3",0,0,0,0,1
"AC005046.5",0,0,0,0,1
"AC005071.2",3.61706,3.61706,1.26508,1.26508,2.03836509085772
"AC005077.12",0.25089,0.25089,0.03795,0.03795,1.20515439086661
"AC005077.14",0.21953,0.21953,0,0,1.21953
"AC005077.5",0,0,0,0,1
"AC005077.7",0.02091,0.02091,0,0,1.02091
"AC005077.8",0.10454,0.10454,0,0,1.10454
"AC005077.9",0,0,0,0,1
"AC005082.1",0,0,0,0,1
"AC005086.1",0,0,0,0,1
"AC005086.2",1.24402,1.24402,0,0,2.24402
"AC005086.3",0,0,0,0,1
"AC005086.4",0,0,0,0,1
"AC005094.2",0,0,0,0,1
"AC005102.1",0,0,0,0,1
"AC005105.2",0,0,0,0,1
"AC005154.7",0.66905,0.66905,2.26449,2.26449,0.511274349132636
"AC005154.8",0.30316,0.30316,0.797,0.797,0.725186421814135
"AC005178.1",0,0,0,0,1
"AC005189.6",0,0,0,0,1
"AC005204.2",0,0,0,0,1
"AC005205.2",0,0,0,0,1
"AC005205.3",0,0,0,0,1
"AC005205.4",0,0,0,0,1
"AC005215.1",0,0,0,0,1
"AC005229.5",0,0,0,0,1
"AC005229.7",0.05227,0.05227,0,0,1.05227
"AC005237.2",0,0,0,0,1
"AC005251.4",0,0,0,0,1
"AC005255.1",0.61678,0.61678,0.55663,0.55663,1.0386411671367
"AC005262.4",0,0,0,0,1
"AC005280.1",1.95488,1.95488,0,0,2.95488
"AC005300.5",0.12545,0.12545,0,0,1.12545
"AC005324.8-001",0.45997,0.45997,0,0,1.45997
"AC005326.2",0,0,0,0,1
"AC005329.1",1.22311,1.22311,0.51868,0.51868,1.46384360102194
"AC005336.2",0,0,0,0,1
"AC005336.4",0.14636,0.14636,0.0759,0.0759,1.065489357747
"AC005336.5",0,0,0,0,1
"AC005351.1",0,0,0,0,1
"AC005357.1",0,0,0,0,1
"AC005363.9",1.54718,1.54718,0.44278,0.44278,1.76546666851495
"AC005392.1",0,0,0,0,1
"AC005392.8",0,0,0,0,1
"AC005481.5",0.16726,0.16726,0.0253,0.0253,1.13845703696479
"AC005488.11",0,0,0,0,1
"AC005488.12",0.05227,0.05227,0,0,1.05227
"AC005488.13",0.04182,0.04182,0,0,1.04182
"AC005493.1",0,0,0,0,1
"AC005510.1",0,0,0,0,1
"AC005517.3",0.20908,0.20908,2.59341,2.59341,0.336471485302262
"AC005522.6",0,0,0,0,1
"AC005534.6",0.07318,0.07318,0,0,1.07318
"AC005537.2",1.05585,1.05585,0.0759,0.0759,1.91081884933544
"AC005539.2",0,0,0,0,1
"AC005544.1",0.08363,0.08363,0,0,1.08363
"AC005550.6",0.09409,0.09409,0,0,1.09409
"AC005559.3",1.21266,1.21266,0,0,2.21266
"AC005562.2",0.06272,0.06272,0,0,1.06272
"AC005588.2",0,0,0,0,1
"AC005594.1",0.25089,0.25089,0.11386,0.11386,1.12302264198373
"AC005609.1",0.02091,0.02091,0,0,1.02091
"AC005609.2",0,0,0,0,1
"AC005618.1",3.15709,3.15709,1.27773,1.27773,1.82510218507022
"AC005682.6",1.00358,1.00358,0.18976,0.18976,1.68402030661646
"AC005682.7",0.25089,0.25089,0.25302,0.25302,0.998300106941629
"AC005722.4",0,0,0,0,1
"AC005730.2",0,0,0,0,1
"AC005740.3",0.12545,0.12545,0.24036,0.24036,0.90735754135896
"AC005740.4",0,0,0,0,1
"AC005741.2",0,0,0,0,1
"AC005754.1",0.05227,0.05227,0.0253,0.0253,1.026304496245
"AC005758.1",0.02091,0.02091,0,0,1.02091
"AC005777.3",0,0,0,0,1
"AC005779.1",0,0,0,0,1
"AC005779.2",0,0,0,0,1
"AC005786.3",0,0,0,0,1
"AC005822.1",0.22999,0.22999,0.10121,0.10121,1.11694408877507
"AC005831.1",0,0,0,0,1
"AC005838.1",0.09409,0.09409,0,0,1.09409
"AC005838.2",0,0,0,0,1
"AC005841.1",0,0,0.10121,0.10121,0.908092007882239
"AC005884.1",0.56451,0.56451,0.27832,0.27832,1.22387977971087
"AC005943.2",18.0853,18.0853,22.822,22.822,0.801162790697674
"AC006001.1",0,0,0,0,1
"AC006011.4",13.76783,13.76783,0,0,14.76783
"AC006014.10",0,0,0,0,1
"AC006014.7",0.15681,0.15681,0.27832,0.27832,0.90494555353902
"AC006014.8",0.19862,0.19862,0.30362,0.30362,0.919455055921204
"AC006022.4",0,0,0,0,1
"AC006023.8",0,0,0,0,1
"AC006024.4",0,0,0,0,1
