"Hs_symbol","DRG","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"A1BG",14.4996,14.4996,16.26198,16.26198,0.897903948446238
"A1CF",0,0,0,0,1
"A2LD1",7.64182,7.64182,24.54814,24.54814,0.338256327075083
"A2M",162.84087,162.84087,200.41955,200.41955,0.813430821387497
"A2ML1",1.18129,1.18129,1.36551,1.36551,0.922122502124277
"A2MP1",0.39725,0.39725,1.05517,1.05517,0.679870764948885
"A3GALT2P",0.08363,0.08363,0,0,1.08363
"A4GALT",72.86389,72.86389,6.95168,6.95168,9.28909236790213
"A4GNT",0.02091,0.02091,0,0,1.02091
"AAAS",30.26413,30.26413,45.86871,45.86871,0.667057616904754
"AACP",0,0,0,0,1
"AACS",31.73813,31.73813,9.62064,9.62064,3.08250067792525
"AACSP1",0,0,0,0,1
"AADAC",0,0,0.46551,0.46551,0.682356312819428
"AADACL2",0,0,0.12414,0.12414,0.889568914903838
"AADACL3",0,0,0,0,1
"AADACL4",0.01045,0.01045,0.12414,0.12414,0.898864910064583
"AADAT",3.94113,3.94113,6.67238,6.67238,0.644015285999911
"AAED1",8.04953,8.04953,8.06892,8.06892,0.997861928432493
"AAGAB",29.97142,29.97142,10.5827,10.5827,2.67393785559498
"AAK1",5.18515,5.18515,15.29991,15.29991,0.379459150387947
"AAMP",123.36683,123.36683,105.08216,105.08216,1.1723632889828
"AANAT",1.03494,1.03494,0.24827,0.24827,1.63020820816009
"AAR2",18.44073,18.44073,9.86891,9.86891,1.7886549801222
"AARD",4.22339,4.22339,1.0862,1.0862,2.50378199597354
"AARS",84.87546,84.87546,80.00644,80.00644,1.06010657918062
"AARS2",8.61404,8.61404,9.43443,9.43443,0.921376634852119
"AARSD1",51.0779,51.0779,4.28273,4.28273,9.85814152909575
"AASDH",3.3348,3.3348,2.54481,2.54481,1.22285820678682
"AASDHPPT",24.47265,24.47265,19.98609,19.98609,1.21378732293629
"AASS",7.33866,7.33866,11.73097,11.73097,0.654990153931712
"AATF",42.6834,42.6834,73.61338,73.61338,0.585463357912482
"AATK",173.04391,173.04391,251.03651,251.03651,0.690550388909924
"AB019438.63",0,0,0,0,1
"AB019438.66",0,0,0,0,1
"AB019439.68",0,0,0,0,1
