"Hs_symbol","Heart","dHs_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg__TPM","FoldChange"
"A1BG",0,0,6.75886,8.70448,4.91589,6.79307666666667,0.128319025049157
"A1CF",0,0,0.31475,0,0,0.104916666666667,0.905045629383815
"A2LD1",3.99765,3.99765,26.88636,21.49868,30.41298,26.2660066666667,0.18329233397092
"A2M",723.94074,723.94074,159.87694,155.32662,76.33832,130.51396,5.51227215726756
"A2ML1",0.46808,0.46808,3.56166,4.97399,6.07386,4.86983666666667,0.250105766713554
"A2MP1",2.11268,2.11268,1.42466,2.23829,0.6336,1.43218333333333,1.27978839314471
"A3GALT2P",0,0,0,0.44213,0,0.147376666666667,0.871553369570586
"A4GALT",7.94469,7.94469,6.29502,7.57152,5.00328,6.28994,1.22699089430091
"A4GNT",0.10121,0.10121,0.14909,0.2487,0.21848,0.205423333333333,0.913546278347579
"AAAS",40.00176,40.00176,48.33913,49.18722,50.49166,49.3393366666667,0.814507355778294
"AACP",0,0,0.14909,0,0,0.0496966666666667,0.95265616416171
"AACS",7.10974,7.10974,17.37757,11.05331,37.49186,21.9742466666667,0.352992640745275
"AACSP1",0,0,0.24849,0,0.69915,0.31588,0.759947715597167
"AADAC",0.11386,0.11386,0,0,0,0,1.11386
"AADACL2",0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,1
"AADACL4",0.06325,0.06325,0,0,0,0,1.06325
"AADAT",4.46572,4.46572,8.6805,8.26235,7.23182,8.05822333333333,0.603398679726378
"AAED1",18.7358,18.7358,7.12331,9.61638,4.52262,7.08743666666667,2.44030349954312
"AAGAB",32.38599,32.38599,21.83378,19.06696,20.31902,20.4065866666667,1.55961296024775
"AAK1",11.08208,11.08208,20.98892,46.94893,36.53053,34.8227933333333,0.33727353106095
"AAMP",28.35039,28.35039,162.21272,137.94529,160.34544,153.50115,0.189968747805437
"AANAT",0.08856,0.08856,1.50749,0.9948,0.34957,0.95062,0.558058463462899
"AAR2",11.34775,11.34775,11.49669,10.25194,7.60324,9.78395666666667,1.14501109209452
"AARD",0.11386,0.11386,0.76203,1.21586,1.52939,1.16909333333333,0.51351409498285
"AARS",45.03677,45.03677,146.02789,107.46579,95.49937,116.331016666667,0.392366582237916
