"Hs_symbol","Heart","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"A1BG",0,0,8.87899,8.87899,0.10122492279069
"A1CF",0,0,0,0,1
"A2LD1",3.99765,3.99765,21.24319,21.24319,0.22468225106201
"A2M",723.94074,723.94074,91.00966,91.00966,7.87896336102101
"A2ML1",0.46808,0.46808,3.36074,3.36074,0.336658457050868
"A2MP1",2.11268,2.11268,0.6846,0.6846,1.84772646325537
"A3GALT2P",0,0,0.93354,0.93354,0.517186093900307
"A4GALT",7.94469,7.94469,3.21552,3.21552,2.12184736402626
"A4GNT",0.10121,0.10121,0.14522,0.14522,0.961570702572432
"AAAS",40.00176,40.00176,41.49062,41.49062,0.964960266524706
"AACP",0,0,0,0,1
"AACS",7.10974,7.10974,19.77028,19.77028,0.3904492380459
"AACSP1",0,0,0,0,1
"AADAC",0.11386,0.11386,0,0,1.11386
"AADACL2",0,0,0,0,1
"AADACL3",0,0,0,0,1
"AADACL4",0.06325,0.06325,0,0,1.06325
"AADAT",4.46572,4.46572,9.04495,9.04495,0.544126152942523
"AAED1",18.7358,18.7358,4.06608,4.06608,3.8956747623409
"AAGAB",32.38599,32.38599,13.06954,13.06954,2.37292690450434
"AAK1",11.08208,11.08208,24.23052,24.23052,0.478867657107345
"AAMP",28.35039,28.35039,147.04274,147.04274,0.198256192772439
"AANAT",0.08856,0.08856,1.70112,1.70112,0.403003198673143
"AAR2",11.34775,11.34775,10.64234,10.64234,1.06059005320236
"AARD",0.11386,0.11386,3.92086,3.92086,0.226354742870149
"AARS",45.03677,45.03677,80.9067,80.9067,0.562063543031278
"AARS2",2.13798,2.13798,13.38072,13.38072,0.218207433285677
"AARSD1",28.29979,28.29979,16.24358,16.24358,1.6991709378215
"AASDH",8.52662,8.52662,2.40646,2.40646,2.79663345525854
"AASDHPPT",40.52044,40.52044,24.45872,24.45872,1.6308926764582
"AASS",43.22771,43.22771,13.17327,13.17327,3.12050147919288
"AATF",24.35275,24.35275,41.20018,41.20018,0.600773503809699
"AATK",0.83495,0.83495,483.11672,483.11672,0.00379030494959976
"AB019438.63",0,0,0,0,1
"AB019438.66",0,0,0,0,1
"AB019439.68",0,0,0,0,1
"AB019441.29",0.17711,0.17711,1.12025,1.12025,0.555175097276265
"ABAT",46.07413,46.07413,82.52483,82.52483,0.563594442514879
"ABC11-48400900C8.1",0,0,1.12025,1.12025,0.471642494988799
"ABC12-47043100G14.2",0,0,0,0,1
"ABC7-42389800N19.1",2.56811,2.56811,25.76567,25.76567,0.133309197939002
"ABCA1",15.72492,15.72492,2.48944,2.48944,4.79300976661011
"ABCA10",28.56546,28.56546,5.33154,5.33154,4.669552747041
"ABCA11P",9.27302,9.27302,6.26508,6.26508,1.41402709949512
"ABCA12",0,0,0.20745,0.20745,0.828191643546317
"ABCA13",0.0253,0.0253,0.37342,0.37342,0.746530558751147
