"Hs_symbol","Heart","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"A1BG",0,0,14.4996,14.4996,0.0645177940075873
"A1CF",0,0,0,0,1
"A2LD1",3.99765,3.99765,7.64182,7.64182,0.578309893054935
"A2M",723.94074,723.94074,162.84087,162.84087,4.42466363856588
"A2ML1",0.46808,0.46808,1.18129,1.18129,0.673032930055151
"A2MP1",2.11268,2.11268,0.39725,0.39725,2.22771873322598
"A3GALT2P",0,0,0.08363,0.08363,0.922824211216005
"A4GALT",7.94469,7.94469,72.86389,72.86389,0.121096925710249
"A4GNT",0.10121,0.10121,0.02091,0.02091,1.07865531731494
"AAAS",40.00176,40.00176,30.26413,30.26413,1.31146332874128
"AACP",0,0,0,0,1
"AACS",7.10974,7.10974,31.73813,31.73813,0.247715431516705
"AACSP1",0,0,0,0,1
"AADAC",0.11386,0.11386,0,0,1.11386
"AADACL2",0,0,0,0,1
"AADACL3",0,0,0,0,1
"AADACL4",0.06325,0.06325,0.01045,0.01045,1.05225394626157
"AADAT",4.46572,4.46572,3.94113,3.94113,1.1061680222945
"AAED1",18.7358,18.7358,8.04953,8.04953,2.18086464158912
"AAGAB",32.38599,32.38599,29.97142,29.97142,1.07796123006307
"AAK1",11.08208,11.08208,5.18515,5.18515,1.95340129180376
"AAMP",28.35039,28.35039,123.36683,123.36683,0.235998537552175
"AANAT",0.08856,0.08856,1.03494,1.03494,0.534934690949119
"AAR2",11.34775,11.34775,18.44073,18.44073,0.635148474362845
"AARD",0.11386,0.11386,4.22339,4.22339,0.213244655290913
"AARS",45.03677,45.03677,84.87546,84.87546,0.536087608730131
"AARS2",2.13798,2.13798,8.61404,8.61404,0.326395563155552
"AARSD1",28.29979,28.29979,51.0779,51.0779,0.562614659961327
"AASDH",8.52662,8.52662,3.3348,3.3348,2.19770692996217
"AASDHPPT",40.52044,40.52044,24.47265,24.47265,1.63000080478474
"AASS",43.22771,43.22771,7.33866,7.33866,5.30393492479607
"AATF",24.35275,24.35275,42.6834,42.6834,0.580374925028729
"AATK",0.83495,0.83495,173.04391,173.04391,0.010543029055139
"AB019438.63",0,0,0,0,1
"AB019438.66",0,0,0,0,1
"AB019439.68",0,0,0,0,1
"AB019441.29",0.17711,0.17711,7.86136,7.86136,0.13283626892486
"ABAT",46.07413,46.07413,14.94912,14.94912,2.95151895527778
"ABC11-48400900C8.1",0,0,0.08363,0.08363,0.922824211216005
"ABC12-47043100G14.2",0,0,0,0,1
"ABC7-42389800N19.1",2.56811,2.56811,18.97388,18.97388,0.178638802275772
"ABCA1",15.72492,15.72492,3.21981,3.21981,3.96342963308774
"ABCA10",28.56546,28.56546,17.14445,17.14445,1.62944922552075
"ABCA11P",9.27302,9.27302,2.91665,2.91665,2.62290988472291
"ABCA12",0,0,0.04182,0.04182,0.959858708798065
"ABCA13",0.0253,0.0253,0.31362,0.31362,0.780514912988536
"ABCA17P",1.08797,1.08797,3.9934,3.9934,0.418145952657508
"ABCA2",0.78435,0.78435,190.96195,190.96195,0.00929533170505926
