"Hs_symbol","Heart","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"A1BG",0,0,16.26198,16.26198,0.0579307819844537
"A1CF",0,0,0,0,1
"A2LD1",3.99765,3.99765,24.54814,24.54814,0.195616980335946
"A2M",723.94074,723.94074,200.41955,200.41955,3.59915777788204
"A2ML1",0.46808,0.46808,1.36551,1.36551,0.62061880947449
"A2MP1",2.11268,2.11268,1.05517,1.05517,1.51456083924931
"A3GALT2P",0,0,0,0,1
"A4GALT",7.94469,7.94469,6.95168,6.95168,1.12488052839148
"A4GNT",0.10121,0.10121,0,0,1.10121
"AAAS",40.00176,40.00176,45.86871,45.86871,0.874821602728131
"AACP",0,0,0,0,1
"AACS",7.10974,7.10974,9.62064,9.62064,0.76358298558279
"AACSP1",0,0,0,0,1
"AADAC",0.11386,0.11386,0.46551,0.46551,0.760049402597048
"AADACL2",0,0,0.12414,0.12414,0.889568914903838
"AADACL3",0,0,0,0,1
"AADACL4",0.06325,0.06325,0.12414,0.12414,0.945834148771505
"AADAT",4.46572,4.46572,6.67238,6.67238,0.712389115241946
"AAED1",18.7358,18.7358,8.06892,8.06892,2.17620179690636
"AAGAB",32.38599,32.38599,10.5827,10.5827,2.88240133992938
"AAK1",11.08208,11.08208,15.29991,15.29991,0.741235994554571
"AAMP",28.35039,28.35039,105.08216,105.08216,0.2766760216798
"AANAT",0.08856,0.08856,0.24827,0.24827,0.872054924014837
"AAR2",11.34775,11.34775,9.86891,9.86891,1.13606148178612
"AARD",0.11386,0.11386,1.0862,1.0862,0.533918128654971
"AARS",45.03677,45.03677,80.00644,80.00644,0.568310001032017
"AARS2",2.13798,2.13798,9.43443,9.43443,0.300733245610925
"AARSD1",28.29979,28.29979,4.28273,4.28273,5.54633494424284
"AASDH",8.52662,8.52662,2.54481,2.54481,2.68748395541651
"AASDHPPT",40.52044,40.52044,19.98609,19.98609,1.97847431322366
"AASS",43.22771,43.22771,11.73097,11.73097,3.47402515283596
"AATF",24.35275,24.35275,73.61338,73.61338,0.339788252455525
"AATK",0.83495,0.83495,251.03651,251.03651,0.00728049281431488
"AB019438.63",0,0,0,0,1
"AB019438.66",0,0,0,0,1
"AB019439.68",0,0,0,0,1
"AB019441.29",0.17711,0.17711,1.55172,1.55172,0.461300612919913
"ABAT",46.07413,46.07413,65.91687,65.91687,0.703471785216493
"ABC11-48400900C8.1",0,0,0,0,1
"ABC12-47043100G14.2",0,0,0,0,1
"ABC7-42389800N19.1",2.56811,2.56811,22.93435,22.93435,0.149079043299693
"ABCA1",15.72492,15.72492,3.19653,3.19653,3.98541652269851
"ABCA10",28.56546,28.56546,3.38274,3.38274,6.74588499431862
"ABCA11P",9.27302,9.27302,4.59308,4.59308,1.83673753996009
"ABCA12",0,0,0,0,1
"ABCA13",0.0253,0.0253,0.43448,0.43448,0.714753778372651
"ABCA17P",1.08797,1.08797,11.82407,11.82407,0.162816484938089
"ABCA2",0.78435,0.78435,1386.02317,1386.02317,0.00128646012452698
"ABCA3",1.10062,1.10062,35.31704,35.31704,0.0578411676722552
"ABCA4",0.0506,0.0506,2.54481,2.54481,0.296376956733929
"ABCA5",33.05648,33.05648,14.95854,14.95854,2.13405988267097
"ABCA6",30.9185,30.9185,19.48954,19.48954,1.55779485532618
"ABCA7",1.44219,1.44219,38.79288,38.79288,0.0613725369965682
"ABCA8",93.07177,93.07177,53.1928,53.1928,1.73587210847197
"ABCA9",44.49278,44.49278,5.27583,5.27583,7.24888660145351
"ABCB1",11.91703,11.91703,34.57222,34.57222,0.363121278345855
"ABCB10",14.34598,14.34598,5.12066,5.12066,2.50724268297863
"ABCB10P1",0.0759,0.0759,0.24827,0.24827,0.861912887436212
"ABCB10P3",0,0,0,0,1
"ABCB10P4",0.20241,0.20241,0,0,1.20241
"ABCB11",0.06325,0.06325,0,0,1.06325
"ABCB4",7.66637,7.66637,4.43791,4.43791,1.59369500414681
