"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg__TPM","FoldChange"
"A1BG",16.26198,16.26198,6.75886,8.70448,4.91589,6.79307666666667,2.21504044401805
"A1CF",0,0,0.31475,0,0,0.104916666666667,0.905045629383815
"A2LD1",24.54814,24.54814,26.88636,21.49868,30.41298,26.2660066666667,0.936996029977254
"A2M",200.41955,200.41955,159.87694,155.32662,76.33832,130.51396,1.53154501620969
"A2ML1",1.36551,1.36551,3.56166,4.97399,6.07386,4.86983666666667,0.402994177577911
"A2MP1",1.05517,1.05517,1.42466,2.23829,0.6336,1.43218333333333,0.844989755432362
"A3GALT2P",0,0,0,0.44213,0,0.147376666666667,0.871553369570586
"A4GALT",6.95168,6.95168,6.29502,7.57152,5.00328,6.28994,1.09077440966592
"A4GNT",0,0,0.14909,0.2487,0.21848,0.205423333333333,0.829584074198
"AAAS",45.86871,45.86871,48.33913,49.18722,50.49166,49.3393366666667,0.931055375448266
"AACP",0,0,0.14909,0,0,0.0496966666666667,0.95265616416171
"AACS",9.62064,9.62064,17.37757,11.05331,37.49186,21.9742466666667,0.462284581257216
"AACSP1",0,0,0.24849,0,0.69915,0.31588,0.759947715597167
"AADAC",0.46551,0.46551,0,0,0,0,1.46551
"AADACL2",0.12414,0.12414,0,0,0,0,1.12414
"AADACL3",0,0,0,0,0,0,1
"AADACL4",0.12414,0.12414,0,0,0,0,1.12414
"AADAT",6.67238,6.67238,8.6805,8.26235,7.23182,8.05822333333333,0.847007157768613
"AAED1",8.06892,8.06892,7.12331,9.61638,4.52262,7.08743666666667,1.12135901321844
"AAGAB",10.5827,10.5827,21.83378,19.06696,20.31902,20.4065866666667,0.541081125186391
"AAK1",15.29991,15.29991,20.98892,46.94893,36.53053,34.8227933333333,0.455015047216679
"AAMP",105.08216,105.08216,162.21272,137.94529,160.34544,153.50115,0.686610811634735
"AANAT",0.24827,0.24827,1.50749,0.9948,0.34957,0.95062,0.639934995027222
"AAR2",9.86891,9.86891,11.49669,10.25194,7.60324,9.78395666666667,1.00787775173429
"AARD",1.0862,1.0862,0.76203,1.21586,1.52939,1.16909333333333,0.961784340000737
"AARS",80.00644,80.00644,146.02789,107.46579,95.49937,116.331016666667,0.69040942711795
"AARS2",9.43443,9.43443,11.72862,11.93757,21.2148,14.96033,0.653772822993008
"AARSD1",4.28273,4.28273,36.04727,17.10499,12.82501,21.9924233333333,0.229759600517678
"AASDH",2.54481,2.54481,4.655,3.06729,8.08391,5.26873333333333,0.565474683880848
"AASDHPPT",19.98609,19.98609,42.17663,30.00973,45.9035,39.3632866666667,0.519930157653168
"AASS",11.73097,11.73097,11.31447,10.69408,7.86543,9.95799333333333,1.16179756755951
"AATF",73.61338,73.61338,65.91548,48.41349,45.72871,53.35256,1.37276661853646
"AATK",251.03651,251.03651,110.09658,87.6251,129.53919,109.086956666667,2.28943116997179
"AB019438.63",0,0,0,0,0,0,1
"AB019438.66",0,0,0,0,0,0,1
"AB019439.68",0,0,0,0,0,0,1
"AB019441.29",1.55172,1.55172,1.09335,3.01203,1.26721,1.79086333333333,0.914312058753623
"ABAT",65.91687,65.91687,184.41095,210.86949,239.78623,211.68889,0.314623250890068
"ABC11-48400900C8.1",0,0,0.23192,0.30397,0,0.17863,0.848442683454519
"ABC12-47043100G14.2",0,0,0,0,0,0,1
"ABC7-42389800N19.1",22.93435,22.93435,40.7851,36.44828,19.02996,32.08778,0.723359197867007
"ABCA1",3.19653,3.19653,8.0013,11.27437,2.40332,7.22633,0.510133923633017
"ABCA10",3.38274,3.38274,4.6053,2.12776,11.16453,5.96586333333333,0.629173986091219
"ABCA11P",4.59308,4.59308,3.11438,5.25032,6.59822,4.98764,0.934104254764815
"ABCA12",0,0,0.0497,0.02763,0.10924,0.06219,0.941451152806937
"ABCA13",0.43448,0.43448,0.61294,0.35923,0.24033,0.404166666666667,1.0215881305638
"ABCA17P",11.82407,11.82407,11.9771,6.54909,7.55955,8.69524666666667,1.32271724907119
"ABCA2",1386.02317,1386.02317,653.80406,399.10733,391.13012,481.34717,2.87557024538985
"ABCA3",35.31704,35.31704,59.28915,43.854,59.47136,54.2048366666667,0.657859749124639
"ABCA4",2.54481,2.54481,0.14909,1.2435,4.87219,2.08826,1.14783405542279
"ABCA5",14.95854,14.95854,13.94844,10.58354,13.54601,12.6926633333333,1.1654810763623
"ABCA6",19.48954,19.48954,3.2966,1.10533,0.74285,1.71492666666667,7.54699574451366
"ABCA7",38.79288,38.79288,25.04755,30.28607,84.07266,46.46876,0.838296176264137
"ABCA8",53.1928,53.1928,21.83378,9.45058,8.78306,13.3558066666667,3.77497421484733
"ABCA9",5.27583,5.27583,4.27399,5.11216,7.20997,5.53204,0.960776419005395
"ABCB1",34.57222,34.57222,56.67174,57.67064,29.77937,48.0405833333333,0.72536290521286
"ABCB10",5.12066,5.12066,4.88692,5.44375,6.03016,5.45361,0.948408720080699
"ABCB10P1",0.24827,0.24827,0.11596,0,0,0.0386533333333333,1.20181581278322
"ABCB10P3",0,0,0,0,0,0,1
"ABCB10P4",0,0,0,0,0,0,1
"ABCB11",0,0,0,0.13817,0,0.0460566666666667,0.955971155163678
"ABCB4",4.43791,4.43791,0.6295,3.48179,2.20669,2.10599333333333,1.75077967542321
"ABCB5",0.18621,0.18621,0.08283,0,0.08739,0.05674,1.12251831103204
"ABCB6",28.7688,28.7688,81.18919,69.71874,70.61404,73.8406566666667,0.397762410511541
"ABCB7",9.12409,9.12409,9.39283,10.44538,6.99149,8.94323333333333,1.01818891909741
"ABCB8",16.97577,16.97577,32.81693,34.40342,28.81804,32.0127966666667,0.544509154480399
"ABCB9",19.58265,19.58265,28.26133,22.82508,50.88493,33.9904466666667,0.588236274777477
"ABCC1",4.2517,4.2517,4.15803,4.17262,3.45205,3.92756666666667,1.06577959371427
"ABCC10",35.25497,35.25497,43.66756,37.52598,47.14886,42.7808,0.828102044731937
"ABCC11",1.45861,1.45861,0.89456,2.32119,0.45882,1.22485666666667,1.10506444609915
"ABCC12",0.83793,0.83793,0.19879,0.11053,5.26547,1.85826333333333,0.643023327684993
"ABCC13",0.49655,0.49655,0,0.11053,0.41512,0.175216666666667,1.27342475855516
"ABCC2",0.83793,0.83793,0.76203,0.4974,0.26218,0.507203333333333,1.21943068951104
"ABCC3",9.86891,9.86891,0.34788,1.1606,1.76972,1.09273333333333,5.19364308241216
"ABCC4",2.23447,2.23447,2.20326,1.54746,0.76469,1.50513666666667,1.29113514764996
"ABCC5",21.22747,21.22747,56.07537,36.86278,41.27163,44.7365933333333,0.485988753862881
"ABCC6",1.48965,1.48965,1.49093,1.93433,0.74285,1.38937,1.0419692220125
"ABCC6P1",0.62069,0.62069,0.23192,1.46456,0.89578,0.864086666666667,0.869428460050141
"ABCC6P2",0,0,0.59637,0.4974,1.17981,0.75786,0.568873516662305
"ABCC8",40.15839,40.15839,81.60333,51.53605,127.72577,86.95505,0.467948002985616
"ABCC9",2.14137,2.14137,4.50591,6.68725,4.85035,5.34783666666667,0.494872531376831
"ABCD1",6.26893,6.26893,5.74835,9.11898,4.91589,6.59440666666667,0.957142581250587
"ABCD1P2",0,0,0,0,0,0,1
"ABCD1P3",0,0,0,0,0,0,1
"ABCD1P4",0,0,0,0,0,0,1
"ABCD1P5",0,0,0,0,0,0,1
"ABCD2",0.62069,0.62069,2.31922,2.81859,2.81844,2.65208333333333,0.443771363377068
"ABCD3",22.4378,22.4378,15.57189,20.36572,16.73588,17.55783,1.26296016290698
"ABCD4",114.29935,114.29935,152.14069,105.3933,111.73274,123.08891,0.929167239844399
"ABCE1",12.13441,12.13441,13.71652,12.73894,10.83681,12.4307566666667,0.977935221817982
"ABCF1",29.32742,29.32742,49.05146,56.31661,38.89016,48.0860766666667,0.617841597036716
"ABCF2",13.28268,13.28268,28.19506,21.08419,28.0315,25.77025,0.533528076876383
"ABCF3",52.78936,52.78936,78.67118,63.80522,52.65465,65.0436833333333,0.814451243255411
"ABCG1",10.27236,10.27236,18.12303,12.51787,7.14443,12.59511,0.829148127525265
"ABCG2",26.44123,26.44123,17.85798,27.32931,8.2587,17.81533,1.45845063573161
"ABCG4",1.36551,1.36551,5.40046,4.36606,10.35614,6.70755333333333,0.306908028747558
"ABCG5",0.06207,0.06207,0.28162,0.1658,0.28403,0.243816666666667,0.853879859036032
"ABCG8",0,0,0.29819,0,0.15294,0.150376666666667,0.86928049653302
"ABHD1",8.37926,8.37926,10.0886,9.45058,8.8923,9.47716,0.895210152369535
"ABHD10",12.59993,12.59993,22.52954,22.41058,17.95939,20.9665033333333,0.619121295439071
"ABHD11",12.19648,12.19648,16.91372,21.94082,33.27512,24.04322,0.526948211931213
"ABHD12",242.09863,242.09863,139.31873,160.19007,140.39784,146.635546666667,1.64661313273605
"ABHD12B",3.19653,3.19653,20.59134,26.11344,20.07868,22.2611533333333,0.180409369211558
"ABHD13",2.0793,2.0793,2.55114,2.18303,2.97138,2.56851666666667,0.862907557295048
"ABHD14A",68.67892,68.67892,100.62092,85.88421,147.54227,111.349133333333,0.620199888799024
"ABHD14A-ACY1",2.66895,2.66895,1.17617,2.54226,0.61176,1.44339666666667,1.50157772172345
"ABHD14B",19.67575,19.67575,17.4604,16.66286,17.12915,17.0841366666667,1.14330865670299
"ABHD15",2.48274,2.48274,2.79963,4.11736,1.83527,2.91742,0.88903921458511
"ABHD16A",94.22016,94.22016,76.41823,54.02305,65.08639,65.17589,1.43889504168361
