"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"A1BG",16.26198,16.26198,8.87899,8.87899,1.74734259271444
"A1CF",0,0,0,0,1
"A2LD1",24.54814,24.54814,21.24319,21.24319,1.1485825549303
"A2M",200.41955,200.41955,91.00966,91.00966,2.18911307790943
"A2ML1",1.36551,1.36551,3.36074,3.36074,0.542456096900985
"A2MP1",1.05517,1.05517,0.6846,0.6846,1.21997506826546
"A3GALT2P",0,0,0.93354,0.93354,0.517186093900307
"A4GALT",6.95168,6.95168,3.21552,3.21552,1.88628686377956
"A4GNT",0,0,0.14522,0.14522,0.873194670019734
"AAAS",45.86871,45.86871,41.49062,41.49062,1.10303662314177
"AACP",0,0,0,0,1
"AACS",9.62064,9.62064,19.77028,19.77028,0.511338316093957
"AACSP1",0,0,0,0,1
"AADAC",0.46551,0.46551,0,0,1.46551
"AADACL2",0.12414,0.12414,0,0,1.12414
"AADACL3",0,0,0,0,1
"AADACL4",0.12414,0.12414,0,0,1.12414
"AADAT",6.67238,6.67238,9.04495,9.04495,0.763804697883016
"AAED1",8.06892,8.06892,4.06608,4.06608,1.79012569876512
"AAGAB",10.5827,10.5827,13.06954,13.06954,0.823246531158801
"AAK1",15.29991,15.29991,24.23052,24.23052,0.646039399901389
"AAMP",105.08216,105.08216,147.04274,147.04274,0.716564419167059
"AANAT",0.24827,0.24827,1.70112,1.70112,0.46213052363464
"AAR2",9.86891,9.86891,10.64234,10.64234,0.933567478702735
"AARD",1.0862,1.0862,3.92086,3.92086,0.423950285112765
"AARS",80.00644,80.00644,80.9067,80.9067,0.989008713572882
"AARS2",9.43443,9.43443,13.38072,13.38072,0.725584671699331
"AARSD1",4.28273,4.28273,16.24358,16.24358,0.306359236307078
"AASDH",2.54481,2.54481,2.40646,2.40646,1.04061400985187
"AASDHPPT",19.98609,19.98609,24.45872,24.45872,0.824318347505295
"AASS",11.73097,11.73097,13.17327,13.17327,0.898238021289371
"AATF",73.61338,73.61338,41.20018,41.20018,1.76808203187759
"AATK",251.03651,251.03651,483.11672,483.11672,0.520611041899152
"AB019438.63",0,0,0,0,1
"AB019438.66",0,0,0,0,1
"AB019439.68",0,0,0,0,1
"AB019441.29",1.55172,1.55172,1.12025,1.12025,1.20349958731282
"ABAT",65.91687,65.91687,82.52483,82.52483,0.801161403142036
"ABC11-48400900C8.1",0,0,1.12025,1.12025,0.471642494988799
"ABC12-47043100G14.2",0,0,0,0,1
"ABC7-42389800N19.1",22.93435,22.93435,25.76567,25.76567,0.894218228051082
"ABCA1",3.19653,3.19653,2.48944,2.48944,1.20263709936265
"ABCA10",3.38274,3.38274,5.33154,5.33154,0.692207582989289
"ABCA11P",4.59308,4.59308,6.26508,6.26508,0.769858005692986
"ABCA12",0,0,0.20745,0.20745,0.828191643546317
"ABCA13",0.43448,0.43448,0.37342,0.37342,1.04445835942392
"ABCA17P",11.82407,11.82407,10.01998,10.01998,1.16371082343162
"ABCA2",1386.02317,1386.02317,1729.4948,1729.4948,0.801518253623183
"ABCA3",35.31704,35.31704,41.46987,41.46987,0.855124821432229
"ABCA4",2.54481,2.54481,0.04149,0.04149,3.40359484968651
"ABCA5",14.95854,14.95854,15.64196,15.64196,0.958933923648417
"ABCA6",19.48954,19.48954,9.25241,9.25241,1.99850961871404
"ABCA7",38.79288,38.79288,20.53785,20.53785,1.84757902947602
"ABCA8",53.1928,53.1928,43.39918,43.39918,1.22058110082213
"ABCA9",5.27583,5.27583,3.17403,3.17403,1.50354214032961
"ABCB1",34.57222,34.57222,22.50866,22.50866,1.51315387606099
"ABCB10",5.12066,5.12066,4.64695,4.64695,1.08388776242042
"ABCB10P1",0.24827,0.24827,0,0,1.24827
"ABCB10P3",0,0,0,0,1
"ABCB10P4",0,0,0,0,1
"ABCB11",0,0,0.14522,0.14522,0.873194670019734
"ABCB4",4.43791,4.43791,2.38571,2.38571,1.60613578835754
"ABCB5",0.18621,0.18621,0.08298,0.08298,1.09532031985817
"ABCB6",28.7688,28.7688,42.36192,42.36192,0.686519416114416
"ABCB7",9.12409,9.12409,9.43911,9.43911,0.969823097946089
"ABCB8",16.97577,16.97577,23.23474,23.23474,0.741735624149465
"ABCB9",19.58265,19.58265,23.31773,23.31773,0.846405071526002
"ABCC1",4.2517,4.2517,2.15751,2.15751,1.66324097152503
"ABCC10",35.25497,35.25497,32.79833,32.79833,1.07268524805811
"ABCC11",1.45861,1.45861,0.70534,0.70534,1.44171250307856
"ABCC12",0.83793,0.83793,0.85056,0.85056,0.993175038907142
"ABCC13",0.49655,0.49655,0,0,1.49655
"ABCC2",0.83793,0.83793,0.47714,0.47714,1.24424902175826
"ABCC3",9.86891,9.86891,3.25701,3.25701,2.55317934418759
"ABCC4",2.23447,2.23447,2.67614,2.67614,0.879854956557694
"ABCC5",21.22747,21.22747,24.9566,24.9566,0.856332108211399
"ABCC6",1.48965,1.48965,0.18671,0.18671,2.09794305264134
"ABCC6P1",0.62069,0.62069,0.4564,0.4564,1.11280554792639
"ABCC6P2",0,0,0.58087,0.58087,0.632563082353388
"ABCC8",40.15839,40.15839,42.46564,42.46564,0.946917841310976
"ABCC9",2.14137,2.14137,2.36497,2.36497,0.933550670585473
"ABCD1",6.26893,6.26893,4.41875,4.41875,1.34144036908881
"ABCD1P2",0,0,0,0,1
"ABCD1P3",0,0,0,0,1
"ABCD1P4",0,0,0,0,1
"ABCD1P5",0,0,0,0,1
"ABCD2",0.62069,0.62069,0.6846,0.6846,0.962062210613795
"ABCD3",22.4378,22.4378,18.04842,18.04842,1.23043276030243
"ABCD4",114.29935,114.29935,110.40653,110.40653,1.0349424759931
"ABCE1",12.13441,12.13441,12.79985,12.79985,0.951779186005645
"ABCF1",29.32742,29.32742,50.45259,50.45259,0.58942455569292
"ABCF2",13.28268,13.28268,18.83674,18.83674,0.720011453494879
"ABCF3",52.78936,52.78936,38.0054,38.0054,1.37902341727043
"ABCG1",10.27236,10.27236,17.71649,17.71649,0.602268908326294
"ABCG2",26.44123,26.44123,17.34308,17.34308,1.49599903614878
"ABCG4",1.36551,1.36551,5.18633,5.18633,0.382376950469826
"ABCG5",0.06207,0.06207,0.10373,0.10373,0.962255261703496
"ABCG8",0,0,0.18671,0.18671,0.842665857707443
"ABHD1",8.37926,8.37926,7.0949,7.0949,1.15866286180188
"ABHD10",12.59993,12.59993,14.95737,14.95737,0.852266382242187
"ABHD11",12.19648,12.19648,16.18134,16.18134,0.768070476458763
"ABHD12",242.09863,242.09863,147.18796,147.18796,1.64047490767806
"ABHD12B",3.19653,3.19653,6.05763,6.05763,0.59460895513083
"ABHD13",2.0793,2.0793,1.72186,1.72186,1.1313219636572
"ABHD14A",68.67892,68.67892,73.3969,73.3969,0.93658364797458
"ABHD14A-ACY1",2.66895,2.66895,0.78832,0.78832,2.05161827860786
"ABHD14B",19.67575,19.67575,11.78333,11.78333,1.61739937872213
"ABHD15",2.48274,2.48274,2.28198,2.28198,1.06117039104443
"ABHD16A",94.22016,94.22016,50.39035,50.39035,1.85288016135325
"ABHD16B",4.31377,4.31377,4.23204,4.23204,1.01562105794298
"ABHD2",5.2448,5.2448,9.37688,9.37688,0.601799384786178
"ABHD3",7.97582,7.97582,4.41875,4.41875,1.65643737024221
"ABHD4",24.02055,24.02055,21.57512,21.57512,1.10832411965031
"ABHD5",29.73087,29.73087,4.89589,4.89589,5.21225294230388
"ABHD6",34.57222,34.57222,33.79411,33.79411,1.02236326780596
"ABHD8",21.91022,21.91022,42.59012,42.59012,0.525582861437408
"ABI1",28.64467,28.64467,26.90666,26.90666,1.06227939853784
"ABI2",34.38601,34.38601,41.15869,41.15869,0.839352693359305
"ABI3",12.78613,12.78613,5.29005,5.29005,2.19173615472055
"ABI3BP",4.40687,4.40687,6.14061,6.14061,0.757200015124758
"ABL1",29.04811,29.04811,41.69807,41.69807,0.703734618449967
"ABL2",3.69308,3.69308,4.06608,4.06608,0.92637305372201
"ABLIM1",41.71011,41.71011,28.96045,28.96045,1.42554968299875
"ABLIM2",26.78261,26.78261,57.71345,57.71345,0.473189873870467
"ABLIM3",56.73071,56.73071,20.45487,20.45487,2.69079747395347
"ABO",1.36551,1.36551,1.24472,1.24472,1.05381072026801
"ABP1",0.06207,0.06207,0.31118,0.31118,0.810010829939444
"ABR",123.85792,123.85792,149.67739,149.67739,0.828644032127182
"ABRA",0.06207,0.06207,0.26969,0.26969,0.836479770652679
"ABRACL",5.05859,5.05859,10.60085,10.60085,0.522253972769237
"ABT1",4.43791,4.43791,5.91241,5.91241,0.786688000277761
"ABT1P1",0,0,0,0,1
"ABTB1",48.9411,48.9411,51.5106,51.5106,0.951067022658282
"ABTB2",42.02045,42.02045,17.65426,17.65426,2.30619976348566
"AC000041.8",0,0,0,0,1
"AC000059.1",0,0,0,0,1
"AC000077.2",0,0,0,0,1
"AC000078.5",0,0,0.93354,0.93354,0.517186093900307
"AC000081.2",0,0,0,0,1
"AC000089.3",0.68275,0.68275,0.39416,0.39416,1.20699919664888
"AC000094.3",0,0,0,0,1
"AC000110.1",0,0,0,0,1
"AC000111.4",0,0,0,0,1
"AC000111.5",0,0,0,0,1
"AC000362.1",0,0,0,0,1
"AC000367.1",0.15517,0.15517,0,0,1.15517
"AC000374.1",0,0,0,0,1
"AC002055.4",19.36541,19.36541,14.21054,14.21054,1.33890118299548
"AC002056.3",0,0,0,0,1
"AC002069.5",0,0,0,0,1
"AC002069.6",0,0,0,0,1
"AC002075.3",0,0,0,0,1
"AC002075.4",3.04136,3.04136,0,0,4.04136
"AC002076.9",0,0,0,0,1
"AC002127.2",0,0,0,0,1
"AC002128.4",0.34138,0.34138,0.43565,0.43565,0.934336363319751
"AC002310.10",0,0,0,0,1
"AC002310.11",0.93103,0.93103,2.92509,2.92509,0.491970884744044
"AC002310.13",0,0,0,0,1
"AC002310.17",0,0,0,0,1
"AC002314.4",0,0,0,0,1
"AC002365.1",0,0,0,0,1
"AC002366.3",0,0,0,0,1
"AC002398.9",10.7689,10.7689,3.73416,3.73416,2.48595315747672
"AC002400.1",0,0,0,0,1
"AC002429.4",0,0,32.42492,32.42492,0.0299177978586037
"AC002472.13",0.24827,0.24827,1.05801,1.05801,0.606542242263157
"AC002486.2",0,0,0,0,1
"AC002486.3",0,0,0,0,1
"AC002511.4",0.21724,0.21724,0.06224,0.06224,1.14591805994879
"AC002519.6",0.31034,0.31034,0,0,1.31034
"AC002523.1",0,0,0,0,1
"AC002542.2",0,0,0,0,1
"AC002543.2",0,0,0,0,1
"AC002553.1",0,0,0,0,1
"AC002553.4",0,0,0,0,1
"AC002984.2",0,0,0,0,1
"AC002994.1",1.1793,1.1793,1.07876,1.07876,1.04836537166388
"AC003009.2",0,0,0,0,1
"AC003029.1",6.67238,6.67238,7.65502,7.65502,0.886465889160279
"AC003045.1",0,0,0,0,1
"AC003079.1",0,0,2.6554,2.6554,0.27356787218909
"AC003080.4",0,0,0,0,1
"AC003087.4",0,0,0,0,1
"AC003101.1",0,0,0,0,1
"AC003102.1",0.31034,0.31034,0.43565,0.43565,0.912715494723644
"AC003682.1",0,0,0.02075,0.02075,0.979671809943669
"AC003958.6",0,0,0,0,1
"AC003989.3",0,0,0,0,1
"AC003989.4",0,0,0,0,1
"AC004006.2",0,0,0,0,1
"AC004014.4",0,0,0,0,1
"AC004016.2",0,0,0,0,1
"AC004017.1",2.0793,2.0793,1.65962,1.65962,1.15779697851573
"AC004019.10",0,0,0.24894,0.24894,0.800678975771454
"AC004022.7",0,0,0,0,1
"AC004022.8",0,0,0,0,1
"AC004057.1",0,0,0,0,1
"AC004062.2",0,0,0,0,1
"AC004066.2",0,0,0,0,1
"AC004069.1",0,0,0,0,1
"AC004074.3",0,0,0,0,1
"AC004074.4",0,0,0,0,1
"AC004112.5",0,0,0,0,1
"AC004112.7",0,0,0,0,1
"AC004129.7",0,0,0,0,1
"AC004129.9",0,0,0,0,1
"AC004148.1",8.93788,8.93788,12.57166,12.57166,0.732252355275626
"AC004152.5",8.81374,8.81374,18.85748,18.85748,0.4942087314201
"AC004159.1",0,0,0,0,1
"AC004161.4",0,0,0,0,1
"AC004166.6",2.73102,2.73102,4.83366,4.83366,0.639567612785113
"AC004166.7",11.88614,11.88614,19.33463,19.33463,0.633704178536811
"AC004258.1",19.48954,19.48954,28.85672,28.85672,0.68626225519749
"AC004381.6",3.01033,3.01033,1.38994,1.38994,1.67800446873143
"AC004383.3",0,0,5.16558,5.16558,0.162190742801164
"AC004386.3",0,0,0,0,1
"AC004386.4",0,0,0,0,1
"AC004453.8",3.75515,3.75515,4.58471,4.58471,0.851458714955656
"AC004461.4",0.34138,0.34138,0,0,1.34138
"AC004478.2",0,0,0,0,1
"AC004507.1",0,0,0.16596,0.16596,0.857662355483893
"AC004510.2",0,0,0,0,1
"AC004593.2",0,0,0,0,1
"AC004659.1",0,0,0,0,1
"AC004692.5",0,0,0,0,1
"AC004706.1",5.80342,5.80342,8.02843,8.02843,0.753555158538085
