"Hs_symbol","Spinal_cord","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"A1BG",16.26198,16.26198,14.4996,14.4996,1.11370486980309
"A1CF",0,0,0,0,1
"A2LD1",24.54814,24.54814,7.64182,7.64182,2.95633790104399
"A2M",200.41955,200.41955,162.84087,162.84087,1.22936084262736
"A2ML1",1.36551,1.36551,1.18129,1.18129,1.08445461172059
"A2MP1",1.05517,1.05517,0.39725,0.39725,1.47086777598855
"A3GALT2P",0,0,0.08363,0.08363,0.922824211216005
"A4GALT",6.95168,6.95168,72.86389,72.86389,0.107653144181819
"A4GNT",0,0,0.02091,0.02091,0.979518272913381
"AAAS",45.86871,45.86871,30.26413,30.26413,1.49912087750403
"AACP",0,0,0,0,1
"AACS",9.62064,9.62064,31.73813,31.73813,0.324411931897149
"AACSP1",0,0,0,0,1
"AADAC",0.46551,0.46551,0,0,1.46551
"AADACL2",0.12414,0.12414,0,0,1.12414
"AADACL3",0,0,0,0,1
"AADACL4",0.12414,0.12414,0.01045,0.01045,1.1125142263348
"AADAT",6.67238,6.67238,3.94113,3.94113,1.5527581747495
"AAED1",8.06892,8.06892,8.04953,8.04953,1.00214265271235
"AAGAB",10.5827,10.5827,29.97142,29.97142,0.373980269551735
"AAK1",15.29991,15.29991,5.18515,5.18515,2.63532978181612
"AAMP",105.08216,105.08216,123.36683,123.36683,0.852977920238057
"AANAT",0.24827,0.24827,1.03494,1.03494,0.613418577451915
"AAR2",9.86891,9.86891,18.44073,18.44073,0.559079314408461
"AARD",1.0862,1.0862,4.22339,4.22339,0.399395794685061
"AARS",80.00644,80.00644,84.87546,84.87546,0.943301380860143
"AARS2",9.43443,9.43443,8.61404,8.61404,1.08533249289581
"AARSD1",4.28273,4.28273,51.0779,51.0779,0.101438998116283
"AASDH",2.54481,2.54481,3.3348,3.3348,0.817756297868414
"AASDHPPT",19.98609,19.98609,24.47265,24.47265,0.823867559912298
"AASS",11.73097,11.73097,7.33866,7.33866,1.52674050746763
"AATF",73.61338,73.61338,42.6834,42.6834,1.70804882403842
"AATK",251.03651,251.03651,173.04391,173.04391,1.44812024735597
"AB019438.63",0,0,0,0,1
"AB019438.66",0,0,0,0,1
"AB019439.68",0,0,0,0,1
"AB019441.29",1.55172,1.55172,7.86136,7.86136,0.287960313089639
"ABAT",65.91687,65.91687,14.94912,14.94912,4.19564653096848
"ABC11-48400900C8.1",0,0,0.08363,0.08363,0.922824211216005
"ABC12-47043100G14.2",0,0,0,0,1
"ABC7-42389800N19.1",22.93435,22.93435,18.97388,18.97388,1.1982824568887
"ABCA1",3.19653,3.19653,3.21981,3.21981,0.994483163933921
"ABCA10",3.38274,3.38274,17.14445,17.14445,0.24154713975899
"ABCA11P",4.59308,4.59308,2.91665,2.91665,1.42802650224043
"ABCA12",0,0,0.04182,0.04182,0.959858708798065
"ABCA13",0.43448,0.43448,0.31362,0.31362,1.0920052983359
