"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Heart","dHs_Avg__TPM","FoldChange"
"A1BG",16.26198,16.26198,0,0,17.26198
"A1CF",0,0,0,0,1
"A2LD1",24.54814,24.54814,3.99765,3.99765,5.11203065440757
"A2M",200.41955,200.41955,723.94074,723.94074,0.277842779259447
"A2ML1",1.36551,1.36551,0.46808,0.46808,1.61129502479429
"A2MP1",1.05517,1.05517,2.11268,2.11268,0.660257398768907
"A3GALT2P",0,0,0,0,1
"A4GALT",6.95168,6.95168,7.94469,7.94469,0.888983296234973
"A4GNT",0,0,0.10121,0.10121,0.908092007882239
"AAAS",45.86871,45.86871,40.00176,40.00176,1.14309019905487
"AACP",0,0,0,0,1
"AACS",9.62064,9.62064,7.10974,7.10974,1.30961535141694
"AACSP1",0,0,0,0,1
"AADAC",0.46551,0.46551,0.11386,0.11386,1.31570394843158
"AADACL2",0.12414,0.12414,0,0,1.12414
"AADACL3",0,0,0,0,1
"AADACL4",0.12414,0.12414,0.06325,0.06325,1.05726781095697
"AADAT",6.67238,6.67238,4.46572,4.46572,1.40372723081314
"AAED1",8.06892,8.06892,18.7358,18.7358,0.459516209122508
"AAGAB",10.5827,10.5827,32.38599,32.38599,0.346932950018855
"AAK1",15.29991,15.29991,11.08208,11.08208,1.34909800299286
"AAMP",105.08216,105.08216,28.35039,28.35039,3.61433561870898
"AANAT",0.24827,0.24827,0.08856,0.08856,1.14671676343059
"AAR2",9.86891,9.86891,11.34775,11.34775,0.880234050737989
"AARD",1.0862,1.0862,0.11386,0.11386,1.87294633077766
"AARS",80.00644,80.00644,45.03677,45.03677,1.7596030303603
"AARS2",9.43443,9.43443,2.13798,2.13798,3.32520602425764
"AARSD1",4.28273,4.28273,28.29979,28.29979,0.180299244465575
"AASDH",2.54481,2.54481,8.52662,8.52662,0.372095244693291
"AASDHPPT",19.98609,19.98609,40.52044,40.52044,0.505439971252713
"AASS",11.73097,11.73097,43.22771,43.22771,0.287850535331809
"AATF",73.61338,73.61338,24.35275,24.35275,2.94300933823747
"AATK",251.03651,251.03651,0.83495,0.83495,137.353339328047
"AB019438.63",0,0,0,0,1
"AB019438.66",0,0,0,0,1
"AB019439.68",0,0,0,0,1
"AB019441.29",1.55172,1.55172,0.17711,0.17711,2.16778380949954
"ABAT",65.91687,65.91687,46.07413,46.07413,1.42152111998671
"ABC11-48400900C8.1",0,0,0,0,1
"ABC12-47043100G14.2",0,0,0,0,1
"ABC7-42389800N19.1",22.93435,22.93435,2.56811,2.56811,6.70785093508888
"ABCA1",3.19653,3.19653,15.72492,15.72492,0.250914802582015
"ABCA10",3.38274,3.38274,28.56546,28.56546,0.148238518866272
"ABCA11P",4.59308,4.59308,9.27302,9.27302,0.544443600810667
"ABCA12",0,0,0,0,1
"ABCA13",0.43448,0.43448,0.0253,0.0253,1.39908319516239
"ABCA17P",11.82407,11.82407,1.08797,1.08797,6.14188422247446
"ABCA2",1386.02317,1386.02317,0.78435,0.78435,777.326852915628
"ABCA3",35.31704,35.31704,1.10062,1.10062,17.2887242814026
"ABCA4",2.54481,2.54481,0.0506,0.0506,3.37408147725109
"ABCA5",14.95854,14.95854,33.05648,33.05648,0.468590412162384
"ABCA6",19.48954,19.48954,30.9185,30.9185,0.641933048232216
"ABCA7",38.79288,38.79288,1.44219,1.44219,16.2939329044833
"ABCA8",53.1928,53.1928,93.07177,93.07177,0.576079306257339
"ABCA9",5.27583,5.27583,44.49278,44.49278,0.137952220110532
"ABCB1",34.57222,34.57222,11.91703,11.91703,2.75390085801457
"ABCB10",5.12066,5.12066,14.34598,14.34598,0.398844518238653
"ABCB10P1",0.24827,0.24827,0.0759,0.0759,1.16021005669672
"ABCB10P3",0,0,0,0,1
"ABCB10P4",0,0,0.20241,0.20241,0.831663076654386
"ABCB11",0,0,0.06325,0.06325,0.940512579355749
"ABCB4",4.43791,4.43791,7.66637,7.66637,0.627472632717043
"ABCB5",0.18621,0.18621,0,0,1.18621
"ABCB6",28.7688,28.7688,17.10385,17.10385,1.64433532094002
"ABCB7",9.12409,9.12409,55.72667,55.72667,0.17847143151537
"ABCB8",16.97577,16.97577,6.61636,6.61636,2.36015235624367
"ABCB9",19.58265,19.58265,0.8223,0.8223,11.2948746090106
"ABCC1",4.2517,4.2517,6.17358,6.17358,0.732089138198779
"ABCC10",35.25497,35.25497,5.79406,5.79406,5.33627462813104
"ABCC11",1.45861,1.45861,0.10121,0.10121,2.23264409149935
"ABCC12",0.83793,0.83793,0.24036,0.24036,1.4817714212003
"ABCC13",0.49655,0.49655,0,0,1.49655
"ABCC2",0.83793,0.83793,0.22771,0.22771,1.49703920306913
"ABCC3",9.86891,9.86891,1.12592,1.12592,5.11256773538045
"ABCC4",2.23447,2.23447,2.60606,2.60606,0.896954016294793
"ABCC5",21.22747,21.22747,58.93997,58.93997,0.370828847595352
"ABCC6",1.48965,1.48965,0.55663,0.55663,1.59938456794486
"ABCC6P1",0.62069,0.62069,0.16446,0.16446,1.39179533861189
"ABCC6P2",0,0,0.15181,0.15181,0.868198748057405
"ABCC8",40.15839,40.15839,1.54339,1.54339,16.1824926574375
"ABCC9",2.14137,2.14137,61.837,61.837,0.0499923611884718
"ABCD1",6.26893,6.26893,0.64519,0.64519,4.41829211215726
"ABCD1P2",0,0,0,0,1
"ABCD1P3",0,0,0,0,1
"ABCD1P4",0,0,0,0,1
"ABCD1P5",0,0,0,0,1
"ABCD2",0.62069,0.62069,4.75669,4.75669,0.281531574568024
"ABCD3",22.4378,22.4378,69.59193,69.59193,0.332018121618151
"ABCD4",114.29935,114.29935,31.47513,31.47513,3.55038917473156
"ABCE1",12.13441,12.13441,44.60664,44.60664,0.287993371140694
"ABCF1",29.32742,29.32742,71.80581,71.80581,0.416552195490992
"ABCF2",13.28268,13.28268,34.68843,34.68843,0.400204772246916
"ABCF3",52.78936,52.78936,31.91791,31.91791,1.63404541782877
"ABCG1",10.27236,10.27236,14.34598,14.34598,0.734548070569621
"ABCG2",26.44123,26.44123,2.97293,2.97293,6.90705096742203
"ABCG4",1.36551,1.36551,1.02471,1.02471,1.16832040144021
"ABCG5",0.06207,0.06207,0.06325,0.06325,0.99889019515636
"ABCG8",0,0,0,0,1
"ABHD1",8.37926,8.37926,11.14533,11.14533,0.77225238013294
"ABHD10",12.59993,12.59993,71.17327,71.17327,0.188434443943028
"ABHD11",12.19648,12.19648,9.04531,9.04531,1.31369564503236
"ABHD12",242.09863,242.09863,28.31244,28.31244,8.29336042990621
"ABHD12B",3.19653,3.19653,0.43013,0.43013,2.93436960276338
"ABHD13",2.0793,2.0793,8.53927,8.53927,0.322802478596371
"ABHD14A",68.67892,68.67892,3.30185,3.30185,16.1974313376803
"ABHD14A-ACY1",2.66895,2.66895,0.29097,0.29097,2.84201027134635
"ABHD14B",19.67575,19.67575,13.7514,13.7514,1.40161272828342
"ABHD15",2.48274,2.48274,4.35187,4.35187,0.650751980148995
"ABHD16A",94.22016,94.22016,17.74904,17.74904,5.07866856116367
"ABHD16B",4.31377,4.31377,0.0506,0.0506,5.0578431372549
"ABHD2",5.2448,5.2448,18.11591,18.11591,0.326680759639484
"ABHD3",7.97582,7.97582,11.79052,11.79052,0.701755675297017
"ABHD4",24.02055,24.02055,10.93027,10.93027,2.09723250186291
"ABHD5",29.73087,29.73087,29.64077,29.64077,1.00294052662515
"ABHD6",34.57222,34.57222,6.11033,6.11033,5.00289297402512
"ABHD8",21.91022,21.91022,0.37952,0.37952,16.607385177453
"ABI1",28.64467,28.64467,24.88408,24.88408,1.14528582820019
"ABI2",34.38601,34.38601,57.51043,57.51043,0.60478123302119
"ABI3",12.78613,12.78613,1.26508,1.26508,6.08637664011867
"ABI3BP",4.40687,4.40687,33.27154,33.27154,0.15776559792761
"ABL1",29.04811,29.04811,13.83995,13.83995,2.02481207820781
"ABL2",3.69308,3.69308,3.52957,3.52957,1.03609834929143
"ABLIM1",41.71011,41.71011,752.16463,752.16463,0.056707535509202
"ABLIM2",26.78261,26.78261,7.41336,7.41336,3.30220149856894
"ABLIM3",56.73071,56.73071,133.68077,133.68077,0.428648499707865
"ABO",1.36551,1.36551,0.17711,0.17711,2.00959128713544
"ABP1",0.06207,0.06207,0.0253,0.0253,1.03586267433922
"ABR",123.85792,123.85792,99.67548,99.67548,1.24020188431185
"ABRA",0.06207,0.06207,26.17446,26.17446,0.0390833893295396
"ABRACL",5.05859,5.05859,12.22065,12.22065,0.458267180509279
"ABT1",4.43791,4.43791,6.18623,6.18623,0.756712490415698
"ABT1P1",0,0,0,0,1
"ABTB1",48.9411,48.9411,4.75669,4.75669,8.67531515506307
"ABTB2",42.02045,42.02045,9.24772,9.24772,4.1980508835136
"AC000041.8",0,0,0,0,1
"AC000059.1",0,0,0.17711,0.17711,0.849538275947023
"AC000077.2",0,0,0,0,1
"AC000078.5",0,0,0,0,1
"AC000081.2",0,0,0,0,1
"AC000089.3",0.68275,0.68275,0,0,1.68275
"AC000094.3",0,0,0,0,1
"AC000110.1",0,0,0,0,1
"AC000111.4",0,0,0,0,1
"AC000111.5",0,0,0,0,1
"AC000362.1",0,0,0,0,1
"AC000367.1",0.15517,0.15517,0,0,1.15517
"AC000374.1",0,0,0.36687,0.36687,0.731598469496002
"AC002055.4",19.36541,19.36541,16.2436,16.2436,1.18104166183396
"AC002056.3",0,0,0,0,1
"AC002069.5",0,0,0,0,1
"AC002069.6",0,0,0,0,1
"AC002075.3",0,0,0,0,1
"AC002075.4",3.04136,3.04136,0,0,4.04136
"AC002076.9",0,0,0,0,1
"AC002127.2",0,0,0,0,1
"AC002128.4",0.34138,0.34138,0.15181,0.15181,1.16458443666924
"AC002310.10",0,0,0.15181,0.15181,0.868198748057405
"AC002310.11",0.93103,0.93103,0,0,1.93103
"AC002310.13",0,0,0,0,1
"AC002310.17",0,0,0.92351,0.92351,0.519882922365883
"AC002314.4",0,0,0,0,1
"AC002365.1",0,0,0,0,1
"AC002366.3",0,0,0,0,1
"AC002398.9",10.7689,10.7689,0,0,11.7689
"AC002400.1",0,0,0.55663,0.55663,0.64241341873149
"AC002429.4",0,0,0,0,1
"AC002472.13",0.24827,0.24827,0,0,1.24827
"AC002486.2",0,0,0,0,1
"AC002486.3",0,0,0,0,1
"AC002511.4",0.21724,0.21724,0.0759,0.0759,1.13136908634631
"AC002519.6",0.31034,0.31034,0,0,1.31034
"AC002523.1",0,0,0,0,1
"AC002542.2",0,0,0,0,1
"AC002543.2",0,0,0.0506,0.0506,0.951837045497811
"AC002553.1",0,0,0,0,1
"AC002553.4",0,0,0,0,1
"AC002984.2",0,0,0.30362,0.30362,0.767094705512343
"AC002994.1",1.1793,1.1793,0.17711,0.17711,1.85139876477135
