"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"A1BG",6.75886,8.70448,4.91589,6.79307666666667,6.574087,5.356817,5.122674,5.684526,1.16583833568254
"A1CF",0.31475,0,0,0.104916666666667,0.063683,0.066053,0,0.0432453333333333,1.0591148902016
"A2M",159.87694,155.32662,76.33832,130.51396,47.469149,41.973869,31.55372,40.332246,3.18187305862836
"A2ML1",3.56166,4.97399,6.07386,4.86983666666667,0.229587,0.095002,0,0.108196333333333,5.29674795892064
"A2MP1",1.42466,2.23829,0.6336,1.43218333333333,0.062851,0.01158,0.048479,0.04097,2.33645862352742
"A4GALT",6.29502,7.57152,5.00328,6.28994,33.003692,32.717969,29.75239,31.8246836666667,0.222087136437598
"A4GNT",0.14909,0.2487,0.21848,0.205423333333333,0,0,0,0,1.20542333333333
"AAAS",48.33913,49.18722,50.49166,49.3393366666667,17.868209,17.289999,16.874782,17.34433,2.74413601732343
"AACS",17.37757,11.05331,37.49186,21.9742466666667,6.792635,7.2732,5.012077,6.359304,3.12179611912576
"AACSP1",0.24849,0,0.69915,0.31588,0.016684,0.017346,0.035141,0.023057,1.28622354375172
"AADAC",0,0,0,0,0.114227,0.093886,0.189067,0.132393333333333,0.883085382582024
"AADACL2",0,0,0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,0,1
"AADAT",8.6805,8.26235,7.23182,8.05822333333333,2.803781,1.273732,1.256284,1.77793233333333,3.2607789702581
"AAGAB",21.83378,19.06696,20.31902,20.4065866666667,13.5382,8.893211,8.17232,10.2012436666667,1.91109017031472
"AAK1",20.98892,46.94893,36.53053,34.8227933333333,8.140723,4.98695,5.632312,6.25332833333333,4.93880763245011
"AAMP",162.21272,137.94529,160.34544,153.50115,48.914554,44.434024,32.481351,41.9433096666667,3.59779325811784
"AANAT",1.50749,0.9948,0.34957,0.95062,0.384486,0.191591,0.957074,0.511050333333333,1.290903391482
"AAR2",11.49669,10.25194,7.60324,9.78395666666667,9.629091,8.985329,7.802869,8.805763,1.09975701703852
"AARD",0.76203,1.21586,1.52939,1.16909333333333,0.509473,0.537165,0.417107,0.487915,1.45780728961892
"AARS2",11.72862,11.93757,21.2148,14.96033,2.873718,2.217694,1.513002,2.20147133333333,4.98531092058297
"AARSD1",36.04727,17.10499,12.82501,21.9924233333333,42.269472,45.211996,38.782538,42.088002,0.533615444348831
"AASDH",4.655,3.06729,8.08391,5.26873333333333,1.51679,1.429238,0.686802,1.21094333333333,2.83532067006089
"AASDHPPT",42.17663,30.00973,45.9035,39.3632866666667,15.491333,11.332325,7.790263,11.5379736666667,3.21928309468189
"AASS",11.31447,10.69408,7.86543,9.95799333333333,10.663442,6.340196,5.078783,7.360807,1.31063823543987
"AATF",65.91548,48.41349,45.72871,53.35256,18.011852,16.629179,17.421425,17.354152,2.96132232096585
"AATK",110.09658,87.6251,129.53919,109.086956666667,0.807211,1.215351,1.261386,1.09464933333333,52.556270357425
"ABAT",184.41095,210.86949,239.78623,211.68889,3.072307,1.855792,1.672802,2.20030033333333,66.4590406671207
"ABCA1",8.0013,11.27437,2.40332,7.22633,1.876267,0.885241,0.804978,1.18882866666667,3.75832522904945
"ABCA10",4.6053,2.12776,11.16453,5.96586333333333,0.159011,0.678309,0.402902,0.413407333333333,4.928418842221
"ABCA11P",3.11438,5.25032,6.59822,4.98764,1.985955,1.111808,0.940415,1.34605933333333,2.55221166614428
"ABCA12",0.0497,0.02763,0.10924,0.06219,0,0.006599,0,0.00219966666666667,1.05985866422493
"ABCA13",0.61294,0.35923,0.24033,0.404166666666667,0.174113,0.034944,0.058673,0.0892433333333333,1.28912119422351
"ABCA17P",11.9771,6.54909,7.55955,8.69524666666667,0.02167,0.266152,1.014407,0.434076333333333,6.76062106410421
"ABCA2",653.80406,399.10733,391.13012,481.34717,24.315816,17.365586,16.698512,19.4599713333333,23.5751635298805
"ABCA3",59.28915,43.854,59.47136,54.2048366666667,2.864033,2.329955,1.427765,2.207251,17.2125089887466
"ABCA4",0.14909,1.2435,4.87219,2.08826,0.012157,0.012809,0,0.008322,3.06277161462311
"ABCA5",13.94844,10.58354,13.54601,12.6926633333333,4.156998,3.19961,2.228167,3.194925,3.26410205983023
"ABCA6",3.2966,1.10533,0.74285,1.71492666666667,0.307074,0.113031,0.186072,0.202059,2.25856357022964
"ABCA7",25.04755,30.28607,84.07266,46.46876,11.353326,7.85688,8.990523,9.400243,4.56419720193076
"ABCA8",21.83378,9.45058,8.78306,13.3558066666667,3.234198,1.719767,1.436738,2.13023433333333,4.58617634909761
"ABCA9",4.27399,5.11216,7.20997,5.53204,0.287344,0.110486,0.190728,0.196186,5.46072266353226
"ABCB1",56.67174,57.67064,29.77937,48.0405833333333,0.03239,0.180298,0.191402,0.134696666666667,43.2191128906697
"ABCB10",4.88692,5.44375,6.03016,5.45361,4.005154,2.663769,2.895076,3.18799966666667,1.54097672245915
"ABCB11",0,0.13817,0,0.0460566666666667,0.266721,0.007328,0.0069,0.0936496666666667,0.956482407986226
"ABCB4",0.6295,3.48179,2.20669,2.10599333333333,11.373936,10.12465,10.942716,10.8137673333333,0.262913027292282
"ABCB5",0.08283,0,0.08739,0.05674,0.238192,0,0.073851,0.104014333333333,0.957179601834879
"ABCB6",81.18919,69.71874,70.61404,73.8406566666667,8.326215,7.061364,8.704006,8.03052833333333,8.28751695406526
"ABCB7",9.39283,10.44538,6.99149,8.94323333333333,13.831658,11.114692,9.446497,11.4642823333333,0.797738134247975
"ABCB8",32.81693,34.40342,28.81804,32.0127966666667,11.02178,6.985446,5.674411,7.893879,3.71185583553213
"ABCB9",28.26133,22.82508,50.88493,33.9904466666667,4.324097,2.790693,3.029996,3.38159533333333,7.98577778291712
"ABCC1",4.15803,4.17262,3.45205,3.92756666666667,4.111846,2.414281,2.166516,2.89754766666667,1.26427361204819
"ABCC10",43.66756,37.52598,47.14886,42.7808,14.897475,9.350053,15.513101,13.253543,3.07157315202262
"ABCC11",0.89456,2.32119,0.45882,1.22485666666667,0.152197,0,0.378463,0.176886666666667,1.89045957413062
"ABCC12",0.19879,0.11053,5.26547,1.85826333333333,0.174113,0,0.046512,0.0735416666666667,2.66246147875024
"ABCC13",0,0.11053,0.41512,0.175216666666667,0,0.021593,0,0.00719766666666667,1.16681829750069
"ABCC2",0.76203,0.4974,0.26218,0.507203333333333,0.206724,0.320286,0.182112,0.236374,1.21905130108958
"ABCC3",0.34788,1.1606,1.76972,1.09273333333333,0.348225,0.325404,0.504307,0.392645333333333,1.50270372739075
"ABCC4",2.20326,1.54746,0.76469,1.50513666666667,0.874694,0.850797,0.835235,0.853575333333333,1.351515971116
"ABCC5",56.07537,36.86278,41.27163,44.7365933333333,26.815209,20.139758,16.661965,21.205644,2.05968326490929
"ABCC6",1.49093,1.93433,0.74285,1.38937,2.370812,3.482122,1.641663,2.498199,0.683028609864676
"ABCC6P1",0.23192,1.46456,0.89578,0.864086666666667,1.554418,1.274452,1.425343,1.418071,0.770898235273764
"ABCC6P2",0.59637,0.4974,1.17981,0.75786,2.969539,3.945743,2.768744,3.22800866666667,0.415765467525847
"ABCC8",81.60333,51.53605,127.72577,86.95505,0.18336,0.761856,0.182109,0.375775,63.9312750994894
"ABCC9",4.50591,6.68725,4.85035,5.34783666666667,5.937915,4.245439,2.802442,4.32859866666667,1.19127693109558
"ABCD1",5.74835,9.11898,4.91589,6.59440666666667,9.855316,6.357848,6.647314,7.62015933333333,0.881005370434375
"ABCD2",2.31922,2.81859,2.81844,2.65208333333333,0.210704,0.12733,0.165506,0.167846666666667,3.12719420928547
"ABCD3",15.57189,20.36572,16.73588,17.55783,10.323186,7.852999,5.423063,7.866416,2.09304751773434
"ABCD4",152.14069,105.3933,111.73274,123.08891,36.841234,32.142947,25.91358,31.632587,3.8026071913943
"ABCE1",13.71652,12.73894,10.83681,12.4307566666667,25.279482,10.850918,4.462396,13.530932,0.924287352433186
"ABCF1",49.05146,56.31661,38.89016,48.0860766666667,30.647549,12.146954,19.277681,20.690728,2.2629981191349
"ABCF2",28.19506,21.08419,28.0315,25.77025,6.164294,6.22041,10.611419,7.66537433333333,3.08933566747626
"ABCF3",78.67118,63.80522,52.65465,65.0436833333333,42.225453,35.384299,25.704264,34.4380053333333,1.8636399738676
"ABCG1",18.12303,12.51787,7.14443,12.59511,4.885127,3.443918,3.219942,3.84966233333333,2.80331063599136
"ABCG2",17.85798,27.32931,8.2587,17.81533,0.576877,0.198017,0.199392,0.324762,14.2028002010927
"ABCG4",5.40046,4.36606,10.35614,6.70755333333333,0.753032,0.371896,0.214828,0.446585333333333,5.32810139556233
"ABCG5",0.28162,0.1658,0.28403,0.243816666666667,0,0.01593,0,0.00531,1.23724688570358
"ABCG8",0.29819,0,0.15294,0.150376666666667,0.035989,0.06211,0.039485,0.0458613333333333,1.09993230460125
"ABHD1",10.0886,9.45058,8.8923,9.47716,0.548215,0.837679,0.573511,0.653135,6.33775221019457
"ABHD10",22.52954,22.41058,17.95939,20.9665033333333,4.682414,3.63352,2.996599,3.77084433333333,4.60432196034063
"ABHD11",16.91372,21.94082,33.27512,24.04322,16.413349,19.071503,13.597818,16.36089,1.4425078437799
"ABHD12",139.31873,160.19007,140.39784,146.635546666667,31.484105,29.04836,22.06709,27.533185,5.17416988908412
"ABHD12B",20.59134,26.11344,20.07868,22.2611533333333,0.21345,0.366161,0.189974,0.256528333333333,18.5122394109696
"ABHD13",2.55114,2.18303,2.97138,2.56851666666667,1.172633,1.326137,0.716184,1.07165133333333,1.72254694081404
"ABHD14A",100.62092,85.88421,147.54227,111.349133333333,8.546513,7.684425,5.406513,7.21248366666667,13.6802869744926
"ABHD14B",17.4604,16.66286,17.12915,17.0841366666667,8.124944,8.387924,5.480449,7.33110566666667,2.17067666528616
"ABHD15",2.79963,4.11736,1.83527,2.91742,1.644095,1.578787,1.43262,1.551834,1.53513904117588
"ABHD16A",76.41823,54.02305,65.08639,65.17589,19.452254,20.109003,15.952975,18.504744,3.39280997484509
"ABHD16B",8.61424,10.05851,6.77301,8.48192,0,0,0,0,9.48192
"ABHD2",19.76305,20.08939,15.7964,18.5496133333333,3.332886,2.82704,2.375777,2.84523433333333,5.08411494297313
"ABHD3",9.04495,19.39856,10.05027,12.83126,2.331696,3.741765,1.156728,2.410063,4.05601304140129
"ABHD4",36.0804,28.37937,21.43328,28.6310166666667,15.0237,23.747182,16.357654,18.3761786666667,1.52924976469388
"ABHD5",7.91847,8.78738,8.08391,8.26325333333333,7.210165,4.691474,4.783658,5.56176566666667,1.41170133221764
"ABHD6",19.4483,16.1931,16.18967,17.2770233333333,2.357982,2.891814,1.502824,2.25087333333333,5.6221887041636
"ABHD8",83.24335,93.48336,137.25167,104.65946,4.748047,3.701303,3.322699,3.92401633333333,21.4579832493109
"ABI1",43.51847,43.99217,49.00597,45.5055366666667,10.258949,6.855637,7.216852,8.11047933333333,5.10462018134575
"ABI2",73.75113,74.22297,58.16045,68.7115166666667,21.727203,10.892244,9.493522,14.0376563333333,4.63579663754784
"ABI3",6.44411,3.67523,2.97138,4.36357333333333,0.029558,0.160231,0.222847,0.137545333333333,4.71504139322213
"ABI3BP",23.63946,15.9444,9.15448,16.2461133333333,0.659504,0.308934,0,0.322812666666667,13.0374570548916
"ABL1",25.67705,28.43464,26.69875,26.9368133333333,7.760499,5.097737,3.86969,5.57597533333333,4.24831480004538
"ABL2",8.54797,5.94115,4.17305,6.22072333333333,1.446018,0.98648,1.194757,1.209085,3.26864893534352
"ABLIM1",67.88682,57.25614,45.24804,56.797,59.262507,38.678189,34.133185,44.024627,1.28367526509437
"ABLIM2",193.90317,178.5662,144.28686,172.252076666667,6.864886,5.835002,6.004859,6.23491566666667,23.9466615298487
"ABLIM3",18.85193,25.06338,17.26024,20.39185,1.439051,0.939932,0.795889,1.05829066666667,10.3930170536329
"ABO",0.89456,2.68043,0.69915,1.42471333333333,0.108377,0.428422,0.100191,0.21233,2.00004399242231
"ABR",299.60981,317.03652,304.52305,307.05646,137.5781,52.298863,84.704982,91.527315,3.32935695799667
"ABRA",0.14909,0.05527,0,0.06812,1.22541,0.904378,0.700678,0.943488666666667,0.549589003691986
