"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","FoldChange"
"A1BG",6.75886,8.70448,4.91589,6.79307666666667,5.64798,11.508254,10.164183,9.10680566666667,0.771072178855588
"A1CF",0.31475,0,0,0.104916666666667,0.008778,0.015491,0.033933,0.0194006666666667,1.0838885070378
"A2M",159.87694,155.32662,76.33832,130.51396,40.625779,51.799758,89.320033,60.5818566666667,2.13559589006654
"A2ML1",3.56166,4.97399,6.07386,4.86983666666667,0.729893,0.415146,1.694227,0.946422,3.01570608360708
"A2MP1",1.42466,2.23829,0.6336,1.43218333333333,0.092784,0.262009,0.132758,0.162517,2.09217012166991
"A4GALT",6.29502,7.57152,5.00328,6.28994,10.846069,12.300869,12.113367,11.753435,0.571606002618118
"A4GNT",0.14909,0.2487,0.21848,0.205423333333333,0,0,0,0,1.20542333333333
"AAAS",48.33913,49.18722,50.49166,49.3393366666667,15.794751,14.437361,18.892936,16.375016,2.89722534164381
"AACS",17.37757,11.05331,37.49186,21.9742466666667,16.816166,15.213942,17.768125,16.599411,1.30539861059365
"AACSP1",0.24849,0,0.69915,0.31588,0.49208,0.549654,1.355209,0.798981,0.7314585312463
"AADAC",0,0,0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0.015844,0,0,0.00528133333333333,0.994746412612854
"AADACL3",0,0,0,0,0.019721,0.018105,0,0.0126086666666667,0.987548332261295
"AADACL4",0,0,0,0,0,0,0,0,1
"AADAT",8.6805,8.26235,7.23182,8.05822333333333,23.254813,19.782313,24.720589,22.585905,0.384052396265199
"AAGAB",21.83378,19.06696,20.31902,20.4065866666667,38.022919,40.964417,49.3614,42.782912,0.488925603364771
"AAK1",20.98892,46.94893,36.53053,34.8227933333333,10.270345,12.426278,11.917593,11.538072,2.85712136071107
"AAMP",162.21272,137.94529,160.34544,153.50115,70.693659,74.272111,74.414188,73.1266526666667,2.08428607581624
"AANAT",1.50749,0.9948,0.34957,0.95062,0.455665,0.118631,0.121817,0.232037666666667,1.58324704899444
"AAR2",11.49669,10.25194,7.60324,9.78395666666667,12.288203,12.652486,12.834718,12.5918023333333,0.793416237390347
"AARD",0.76203,1.21586,1.52939,1.16909333333333,0.417513,1.538506,1.037211,0.997743333333333,1.08577177915748
"AARS2",11.72862,11.93757,21.2148,14.96033,3.755461,4.640839,4.294325,4.23020833333333,3.05156677952599
"AARSD1",36.04727,17.10499,12.82501,21.9924233333333,63.27632,66.968262,84.250953,71.4985116666667,0.317143384115908
"AASDH",4.655,3.06729,8.08391,5.26873333333333,3.182292,4.853213,4.954761,4.33008866666667,1.17610301166972
"AASDHPPT",42.17663,30.00973,45.9035,39.3632866666667,129.667907,110.451006,134.287207,124.80204,0.320847632253552
"AASS",11.31447,10.69408,7.86543,9.95799333333333,4.313875,2.742641,4.506,3.854172,2.25743820641982
"AATF",65.91548,48.41349,45.72871,53.35256,14.476301,19.209898,14.950782,16.212327,3.15776942885178
