"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"A1BG",6.75886,8.70448,4.91589,6.79307666666667,18.566797,13.425058,13.989052,15.326969,0.477313129379168
"A1CF",0.31475,0,0,0.104916666666667,0.232084,0.063162,0.004811,0.100019,1.00445234733824
"A2M",159.87694,155.32662,76.33832,130.51396,20.514891,0.866071,0.291101,7.224021,15.9914426288552
"A2ML1",3.56166,4.97399,6.07386,4.86983666666667,0.466725,0.673839,0.170052,0.436872,4.08514931508629
"A2MP1",1.42466,2.23829,0.6336,1.43218333333333,0.061885,0.170176,0.221341,0.151134,2.1128585667119
"A4GALT",6.29502,7.57152,5.00328,6.28994,13.724676,11.545392,14.652328,13.3074653333333,0.509520018407174
"A4GNT",0.14909,0.2487,0.21848,0.205423333333333,0.153016,0.028124,0,0.06038,1.13678429745311
"AAAS",48.33913,49.18722,50.49166,49.3393366666667,13.508489,16.738215,19.022055,16.4229196666667,2.88925952881338
"AACS",17.37757,11.05331,37.49186,21.9742466666667,15.145339,10.858128,8.980095,11.6611873333333,1.81454124813255
"AACSP1",0.24849,0,0.69915,0.31588,0.721078,1.223639,1.219131,1.054616,0.640450575679348
"AADAC",0,0,0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0.011945,0,0.00398166666666667,0.996034124129093
"AADACL4",0,0,0,0,0.043998,0,0,0.014666,0.985545982618911
"AADAT",8.6805,8.26235,7.23182,8.05822333333333,16.560745,15.539194,12.933418,15.011119,0.565745800361195
"AAGAB",21.83378,19.06696,20.31902,20.4065866666667,41.413864,42.849994,35.918127,40.0606616666667,0.521340519070219
"AAK1",20.98892,46.94893,36.53053,34.8227933333333,11.518232,13.289394,13.438405,12.748677,2.60554476138565
"AAMP",162.21272,137.94529,160.34544,153.50115,72.348646,70.27047,54.966626,65.861914,2.31074973414611
"AANAT",1.50749,0.9948,0.34957,0.95062,0.253842,0.182542,0.515652,0.317345333333333,1.48072031732504
"AAR2",11.49669,10.25194,7.60324,9.78395666666667,9.862522,12.742074,9.815474,10.80669,0.913376794568729
"AARD",0.76203,1.21586,1.52939,1.16909333333333,0.160926,0.129803,0.240983,0.177237333333333,1.84252849609481
"AARS2",11.72862,11.93757,21.2148,14.96033,4.02726,4.870429,3.692426,4.196705,3.07124033401935
"AARSD1",36.04727,17.10499,12.82501,21.9924233333333,57.596898,71.665882,48.347544,59.2034413333333,0.381912110406269
