"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"A1BG",6.75886,8.70448,4.91589,6.79307666666667,12.383067,11.034331,14.333404,12.5836006666667,126,71,81,0.573712144364668
"A1CF",0.31475,0,0,0.104916666666667,0,0.018194,0.01632,0.0115046666666667,0,2,2,1.09234954921941
"A2M",159.87694,155.32662,76.33832,130.51396,93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,1.25291282425014
"A2ML1",3.56166,4.97399,6.07386,4.86983666666667,0.645592,0.320555,0.729682,0.565276333333333,6,8,9,3.75003220943522
"A2MP1",1.42466,2.23829,0.6336,1.43218333333333,0.165659,0.426102,0.092535,0.228098666666667,3,3,1,1.98044619650538
"A4GALT",6.29502,7.57152,5.00328,6.28994,1.677651,1.425484,2.068745,1.72396,11,6,11,2.67622872582564
"A4GNT",0.14909,0.2487,0.21848,0.205423333333333,0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,1.13922918124331
"AAAS",48.33913,49.18722,50.49166,49.3393366666667,22.626138,22.03279,25.95966,23.5395293333333,485,382,454,2.05135705672595
"AACS",17.37757,11.05331,37.49186,21.9742466666667,20.326116,20.425959,26.161884,22.304653,720,608,707,0.985822301952604
"AACSP1",0.24849,0,0.69915,0.31588,1.03341,0.522627,0.873839,0.809958666666667,38,18,33,0.727022127208798
"AADAC",0,0,0,0,0,0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0.013978,0.017282,0.015789,0.015683,1,1,1,0.98455915871389
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,1
