"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","FoldChange"
"A1BG",6.75886,8.70448,4.91589,6.79307666666667,8.512248,7.362639,11.019571,8.96481933333333,104,79,86,0.782059002374286
"A1CF",0.31475,0,0,0.104916666666667,0.012027,0,0.110455,0.0408273333333333,2,0,3,1.06157537497414
"A2M",159.87694,155.32662,76.33832,130.51396,166.022861,193.59196,157.990809,172.53521,4945,3898,3159,0.75785173510321
"A2ML1",3.56166,4.97399,6.07386,4.86983666666667,0.804659,0.257959,0.950643,0.671087,15,4,6,3.51258591962397
"A2MP1",1.42466,2.23829,0.6336,1.43218333333333,0,0.07058,0.098361,0.0563136666666667,0,3,1,2.30251999011657
"A4GALT",6.29502,7.57152,5.00328,6.28994,4.719891,2.211286,2.676825,3.20266733333333,75,26,24,1.73459839235432
"A4GNT",0.14909,0.2487,0.21848,0.205423333333333,0.099138,0,0,0.033046,3,0,0,1.16686317292099
"AAAS",48.33913,49.18722,50.49166,49.3393366666667,22.215928,24.455156,21.480131,22.7170716666667,578,403,355,2.12249376205312
"AACS",17.37757,11.05331,37.49186,21.9742466666667,17.933589,18.199238,25.629245,20.5873573333333,910,792,813,1.06424544291912
"AACSP1",0.24849,0,0.69915,0.31588,0.872217,1.108501,1.29987,1.09352933333333,31,37,38,0.628546244396225
"AADAC",0,0,0,0,0,0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,0.016678,0.00555933333333333,0,0,1,0.994471401985893
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,1
"AADAT",8.6805,8.26235,7.23182,8.05822333333333,13.595651,16.190365,22.775181,17.520399,324,335,359,0.489094394420624
"AAGAB",21.83378,19.06696,20.31902,20.4065866666667,22.912872,27.695939,31.184347,27.264386,656,567,572,0.757369598146114
"AAK1",20.98892,46.94893,36.53053,34.8227933333333,11.479212,14.408764,9.576512,11.821496,2755,2090,1905,2.79396361651818
"AAMP",162.21272,137.94529,160.34544,153.50115,63.531145,62.598294,71.307854,65.812431,995,729,745,2.31246113466519
"AANAT",1.50749,0.9948,0.34957,0.95062,0.21683,0.243358,0.326805,0.262331,4,5,1,1.54525239418187
"AAR2",11.49669,10.25194,7.60324,9.78395666666667,10.815465,10.804659,13.984677,11.868267,486,364,414,0.838027114814036
"AARD",0.76203,1.21586,1.52939,1.16909333333333,1.609116,1.070727,1.582262,1.42070166666667,36,32,31,0.896059751270465
"AARS2",11.72862,11.93757,21.2148,14.96033,5.079803,4.491045,5.615728,5.062192,446,312,330,2.63276550792189
"AARSD1",36.04727,17.10499,12.82501,21.9924233333333,51.795203,58.156602,82.475187,64.1423306666667,415,381,422,0.352956719509862
"AASDH",4.655,3.06729,8.08391,5.26873333333333,6.432077,7.774202,3.850395,6.01889133333333,231,167,150,0.893123006985814
"AASDHPPT",42.17663,30.00973,45.9035,39.3632866666667,58.628575,94.077285,98.573128,83.7596626666667,1977,2473,2685,0.476208675173743
"AASS",11.31447,10.69408,7.86543,9.95799333333333,13.774036,8.645864,8.691924,10.370608,1272,600,554,0.963712172060925
"AATF",65.91548,48.41349,45.72871,53.35256,15.556557,12.511396,24.184485,17.4174793333333,282,197,252,2.95114000218416
"AATK",110.09658,87.6251,129.53919,109.086956666667,10.041919,13.414946,14.753141,12.7366686666667,524,498,547,8.01409419838473
"ABAT",184.41095,210.86949,239.78623,211.68889,20.235765,20.679629,22.875907,21.263767,1501,1015,1095,9.55314031089168
"ABCA1",8.0013,11.27437,2.40332,7.22633,9.443781,4.284659,2.688057,5.47216566666667,1855,645,360,1.271032050735
"ABCA10",4.6053,2.12776,11.16453,5.96586333333333,4.203212,3.140601,2.629465,3.324426,127,77,72,1.6108180214746
"ABCA11P",3.11438,5.25032,6.59822,4.98764,2.951542,3.925685,3.428422,3.43521633333333,94,89,71,1.35002208460482
"ABCA12",0.0497,0.02763,0.10924,0.06219,0.045172,0.022129,0.054667,0.040656,8,3,5,1.02069271690165
