"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"A1BG",8.87899,8.87899,6.574087,5.356817,5.122674,5.684526,1.4778893821342
"A1CF",0,0,0.063683,0.066053,0,0.0432453333333333,0.958547302392278
"A2M",91.00966,91.00966,47.469149,41.973869,31.55372,40.332246,2.22609872204864
"A2ML1",3.36074,3.36074,0.229587,0.095002,0,0.108196333333333,3.9349886557406
"A2MP1",0.6846,0.6846,0.062851,0.01158,0.048479,0.04097,1.61829831791502
"A4GALT",3.21552,3.21552,33.003692,32.717969,29.75239,31.8246836666667,0.128425304652085
"A4GNT",0.14522,0.14522,0,0,0,0,1.14522
"AAAS",41.49062,41.49062,17.868209,17.289999,16.874782,17.34433,2.31628083445948
"AACS",19.77028,19.77028,6.792635,7.2732,5.012077,6.359304,2.82231580595121
"AACSP1",0,0,0.016684,0.017346,0.035141,0.023057,0.97746264382141
"AADAC",0,0,0.114227,0.093886,0.189067,0.132393333333333,0.883085382582024
"AADACL2",0,0,0,0,0,0,1
"AADACL3",0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,1
"AADAT",9.04495,9.04495,2.803781,1.273732,1.256284,1.77793233333333,3.61598080682791
"AAGAB",13.06954,13.06954,13.5382,8.893211,8.17232,10.2012436666667,1.25606945252597
"AAK1",24.23052,24.23052,8.140723,4.98695,5.632312,6.25332833333333,3.47847482431628
"AAMP",147.04274,147.04274,48.914554,44.434024,32.481351,41.9433096666667,3.44739940049179
"AANAT",1.70112,1.70112,0.384486,0.191591,0.957074,0.511050333333333,1.78757777978276
"AAR2",10.64234,10.64234,9.629091,8.985329,7.802869,8.805763,1.18729567500255
"AARD",3.92086,3.92086,0.509473,0.537165,0.417107,0.487915,3.30721849030355
"AARS2",13.38072,13.38072,2.873718,2.217694,1.513002,2.20147133333333,4.49190965737212
"AARSD1",16.24358,16.24358,42.269472,45.211996,38.782538,42.088002,0.400194467127995
"AASDH",2.40646,2.40646,1.51679,1.429238,0.686802,1.21094333333333,1.54072695968388
"AASDHPPT",24.45872,24.45872,15.491333,11.332325,7.790263,11.5379736666667,2.0305290692773
"AASS",13.17327,13.17327,10.663442,6.340196,5.078783,7.360807,1.69520358501279
"AATF",41.20018,41.20018,18.011852,16.629179,17.421425,17.354152,2.29921709267745
"AATK",483.11672,483.11672,0.807211,1.215351,1.261386,1.09464933333333,231.120652175989
"ABAT",82.52483,82.52483,3.072307,1.855792,1.672802,2.20030033333333,26.0990598694852
"ABCA1",2.48944,2.48944,1.876267,0.885241,0.804978,1.18882866666667,1.59420426693973
"ABCA10",5.33154,5.33154,0.159011,0.678309,0.402902,0.413407333333333,4.47962866095219
"ABCA11P",6.26508,6.26508,1.985955,1.111808,0.940415,1.34605933333333,3.09671622400002
"ABCA12",0.20745,0.20745,0,0.006599,0,0.00219966666666667,1.20479984194766
"ABCA13",0.37342,0.37342,0.174113,0.034944,0.058673,0.0892433333333333,1.260893647884
"ABCA17P",10.01998,10.01998,0.02167,0.266152,1.014407,0.434076333333333,7.68437477409966
"ABCA2",1729.4948,1729.4948,24.315816,17.365586,16.698512,19.4599713333333,84.5795319947825
"ABCA3",41.46987,41.46987,2.864033,2.329955,1.427765,2.207251,13.2418292176072
"ABCA4",0.04149,0.04149,0.012157,0.012809,0,0.008322,1.03289425401806
"ABCA5",15.64196,15.64196,4.156998,3.19961,2.228167,3.194925,3.96716508638414
"ABCA6",9.25241,9.25241,0.307074,0.113031,0.186072,0.202059,8.529040587858
"ABCA7",20.53785,20.53785,11.353326,7.85688,8.990523,9.400243,2.07089872803934
"ABCA8",43.39918,43.39918,3.234198,1.719767,1.436738,2.13023433333333,14.1839796232508
"ABCA9",3.17403,3.17403,0.287344,0.110486,0.190728,0.196186,3.4894489652947
"ABCB1",22.50866,22.50866,0.03239,0.180298,0.191402,0.134696666666667,20.7180127434939
"ABCB10",4.64695,4.64695,4.005154,2.663769,2.895076,3.18799966666667,1.34836448172274
