"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"A1BG",8.87899,8.87899,5.64798,11.508254,10.164183,9.10680566666667,80,113,74,0.977459182042252
"A1CF",0,0,0.008778,0.015491,0.033933,0.0194006666666667,1,2,3,0.980968556033905
"A2M",91.00966,91.00966,40.625779,51.799758,89.320033,60.5818566666667,783,1285,1315,1.49410337687664
"A2ML1",3.36074,3.36074,0.729893,0.415146,1.694227,0.946422,8,7,12,2.24038774736414
"A2MP1",0.6846,0.6846,0.092784,0.262009,0.132758,0.162517,2,3,1,1.44909708847268
"A4GALT",3.21552,3.21552,10.846069,12.300869,12.113367,11.753435,217,235,152,0.330539968251691
"A4GNT",0.14522,0.14522,0,0,0,0,0,0,0,1.14522
"AAAS",41.49062,41.49062,15.794751,14.437361,18.892936,16.375016,243,314,228,2.44550105738032
"AACS",19.77028,19.77028,16.816166,15.213942,17.768125,16.599411,515,633,467,1.18016904088438
"AACSP1",0,0,0.49208,0.549654,1.355209,0.798981,14,22,27,0.555870239874685
"AADAC",0,0,0,0,0,0,0,0,0,1
"AADACL2",0,0,0.015844,0,0,0.00528133333333333,1,0,0,0.994746412612854
"AADACL3",0,0,0.019721,0.018105,0,0.0126086666666667,1,1,0,0.987548332261295
"AADACL4",0,0,0,0,0,0,0,0,0,1
"AADAT",9.04495,9.04495,23.254813,19.782313,24.720589,22.585905,444,388,330,0.425887834280686
"AAGAB",13.06954,13.06954,38.022919,40.964417,49.3614,42.782912,824,823,659,0.32134774406965
"AAK1",24.23052,24.23052,10.270345,12.426278,11.917593,11.538072,2058,2373,1545,2.01231257883987
"AAMP",147.04274,147.04274,70.693659,74.272111,74.414188,73.1266526666667,751,872,576,1.99715938430027
"AANAT",1.70112,1.70112,0.455665,0.118631,0.121817,0.232037666666667,3,1,2,2.1924005029067
"AAR2",10.64234,10.64234,12.288203,12.652486,12.834718,12.5918023333333,390,432,284,0.856570726565648
"AARD",3.92086,3.92086,0.417513,1.538506,1.037211,0.997743333333333,12,14,10,2.46320932118407
"AARS2",13.38072,13.38072,3.755461,4.640839,4.294325,4.23020833333333,242,329,196,2.74955012945628
"AARSD1",16.24358,16.24358,63.27632,66.968262,84.250953,71.4985116666667,365,428,308,0.237847365464307
"AASDH",2.40646,2.40646,3.182292,4.853213,4.954761,4.33008866666667,105,133,96,0.639100062500524
"AASDHPPT",24.45872,24.45872,129.667907,110.451006,134.287207,124.80204,3231,3083,2547,0.202371281101642
"AASS",13.17327,13.17327,4.313875,2.742641,4.506,3.854172,299,175,207,2.91981207093609
"AATF",41.20018,41.20018,14.476301,19.209898,14.950782,16.212327,208,297,163,2.45174170813743
"AATK",483.11672,483.11672,14.223841,16.332434,12.634368,14.396881,449,556,369,31.4425187802646
"ABAT",82.52483,82.52483,28.063871,26.832749,35.879571,30.2587303333333,1227,1323,1029,2.67204806814984
"ABCA1",2.48944,2.48944,4.057191,3.554462,2.51638,3.376011,570,529,255,0.797402017499499
"ABCA10",5.33154,5.33154,2.244064,0.973671,2.240683,1.81947266666667,34,37,31,2.2456468810125
"ABCA11P",6.26508,6.26508,2.783632,1.968935,3.820819,2.85779533333333,61,48,58,1.88322069271689
"ABCA12",0.20745,0.20745,0.083238,0.230357,0.054846,0.122813666666667,9,24,5,1.07537878799124
"ABCA13",0.37342,0.37342,0.087452,0.016383,0.151556,0.0851303333333333,5,2,6,1.26567284851497
"ABCA17P",10.01998,10.01998,2.031216,2.837622,4.432733,3.10052366666667,10,18,15,2.68745674841043
"ABCA2",1729.4948,1729.4948,107.50449,75.111095,79.577059,87.397548,1545,1840,1190,19.5762760297378
"ABCA3",41.46987,41.46987,51.9705,59.537578,54.006441,55.1715063333333,4138,4756,3097,0.756074970608319
"ABCA4",0.04149,0.04149,0.905126,0.080781,0.014008,0.333305,7,3,1,0.781134099099606
"ABCA5",15.64196,15.64196,15.166472,15.375498,16.666334,15.7361013333333,612,687,561,0.994374954390015
"ABCA6",9.25241,9.25241,0.380325,0.502694,0.140608,0.341209,12,17,6,7.6441553851786
"ABCA7",20.53785,20.53785,53.395405,36.508479,39.178153,43.0273456666667,1224,1180,903,0.489192561438161
"ABCA8",43.39918,43.39918,0.39584,0.133049,0.866773,0.465220666666667,3,4,10,30.3020432417233
"ABCA9",3.17403,3.17403,1.630893,5.875754,1.09333,2.866659,74,97,41,1.07949265761475
"ABCB1",22.50866,22.50866,1.409905,3.284378,1.946045,2.21344266666667,27,71,43,7.31572411229161
"ABCB10",4.64695,4.64695,10.325898,7.423625,9.542775,9.09743266666667,388,332,292,0.559246115959905
"ABCB10P3",0,0,0,0,0,0,0,0,0,1
"ABCB10P4",0,0,0.12983,0,0.121558,0.083796,3,0,2,0.922682866517315
"ABCB11",0.14522,0.14522,1.639649,3.496208,2.969016,2.70162433333333,7,12,8,0.309383096952122
"ABCB4",2.38571,2.38571,0.520114,0.10443,0.985588,0.536710666666667,4,3,5,2.20321891000084
"ABCB5",0.08298,0.08298,0,0.258936,0.058403,0.105779666666667,0,2,3,0.97938136560659
"ABCB6",42.36192,42.36192,45.798715,35.435408,31.250175,37.494766,534,550,292,1.1264367732486
"ABCB7",9.43911,9.43911,7.623563,5.152974,8.512265,7.09626733333333,182,173,131,1.28937318522338
"ABCB8",23.23474,23.23474,22.108301,23.197393,18.535002,21.280232,526,651,446,1.08772386212136
"ABCB9",23.31773,23.31773,13.147339,16.158433,16.129464,15.1450786666667,347,428,305,1.50620077498951
"ABCC1",2.15751,2.15751,4.341232,5.649856,8.644544,6.21187733333333,333,452,284,0.437820813369353
"ABCC10",32.79833,32.79833,47.610062,53.34286,79.775617,60.2428463333333,605,657,496,0.55187392525883
"ABCC11",0.70534,0.70534,0.569528,0.322889,0.314366,0.402261,8,11,9,1.21613594045616
"ABCC12",0.85056,0.85056,0.051357,0.030371,0,0.0272426666666667,2,1,0,1.80148280445257
"ABCC13",0,0,0.084804,0,0,0.028268,3,0,0,0.972509112410383
"ABCC2",0.47714,0.47714,0.295949,0.49826,0.480955,0.425054666666667,6,12,3,1.03654970897023
"ABCC3",3.25701,3.25701,0.450343,0.479305,0,0.309882666666667,4,3,0,3.24991704091562
"ABCC4",2.67614,2.67614,4.728571,5.721667,5.325962,5.25873333333333,242,283,134,0.587361659973797
"ABCC5",24.9566,24.9566,41.572952,43.888857,45.250485,43.5707646666667,1760,2095,1575,0.582368289934507
"ABCC6",0.18671,0.18671,0.688326,0.691802,0.278854,0.552994,12,21,8,0.764143325730814
"ABCC6P1",0.4564,0.4564,0.625841,0.060185,0.401571,0.362532333333333,5,1,3,1.068892065436
"ABCC6P2",0.58087,0.58087,0,0.457876,0,0.152625333333333,0,3,0,1.37153848200456
"ABCC8",42.46564,42.46564,44.948896,46.276289,61.444417,50.8898673333333,566,656,646,0.837651785092892
"ABCC9",2.36497,2.36497,1.51249,0.676152,0.605353,0.931331666666667,166,81,48,1.7423056112406
"ABCD1",4.41875,4.41875,6.614678,7.050127,8.893207,7.51933733333333,192,234,142,0.636052991915021
"ABCD1P2",0,0,0,0,0,0,0,0,0,1
"ABCD2",0.6846,0.6846,1.111828,0.947205,1.460715,1.17324933333333,91,82,86,0.775152659274561
"ABCD3",18.04842,18.04842,14.822618,16.086553,17.331049,16.0800733333333,639,817,573,1.11524228428371
"ABCD4",110.40653,110.40653,49.321733,40.153747,59.337327,49.604269,485,502,452,2.20152434175069
"ABCE1",12.79985,12.79985,40.838605,40.205738,45.232008,42.092117,918,1004,713,0.320240706670317
"ABCF1",50.45259,50.45259,46.260735,63.760304,59.860432,56.627157,625,761,519,0.892853173374491
