"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"A1BG",8.87899,8.87899,18.566797,13.425058,13.989052,15.326969,0.605071890563399
"A1CF",0,0,0.232084,0.063162,0.004811,0.100019,0.90907520688279
"A2M",91.00966,91.00966,20.514891,0.866071,0.291101,7.224021,11.187916470544
"A2ML1",3.36074,3.36074,0.466725,0.673839,0.170052,0.436872,3.03488410937091
"A2MP1",0.6846,0.6846,0.061885,0.170176,0.221341,0.151134,1.46342649943447
"A4GALT",3.21552,3.21552,13.724676,11.545392,14.652328,13.3074653333333,0.294637792354369
"A4GNT",0.14522,0.14522,0.153016,0.028124,0,0.06038,1.08000905335823
"AAAS",41.49062,41.49062,13.508489,16.738215,19.022055,16.4229196666667,2.4387772435921
"AACS",19.77028,19.77028,15.145339,10.858128,8.980095,11.6611873333333,1.64046857953975
"AACSP1",0,0,0.721078,1.223639,1.219131,1.054616,0.486708951940411
"AADAC",0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0,1
"AADACL3",0,0,0,0.011945,0,0.00398166666666667,0.996034124129093
"AADACL4",0,0,0.043998,0,0,0.014666,0.985545982618911
"AADAT",9.04495,9.04495,16.560745,15.539194,12.933418,15.011119,0.627373389704992
"AAGAB",13.06954,13.06954,41.413864,42.849994,35.918127,40.0606616666667,0.342652539655048
"AAK1",24.23052,24.23052,11.518232,13.289394,13.438405,12.748677,1.8351234813357
"AAMP",147.04274,147.04274,72.348646,70.27047,54.966626,65.861914,2.21415647778196
"AANAT",1.70112,1.70112,0.253842,0.182542,0.515652,0.317345333333333,2.05042666615385
"AAR2",10.64234,10.64234,9.862522,12.742074,9.815474,10.80669,0.986079925872535
"AARD",3.92086,3.92086,0.160926,0.129803,0.240983,0.177237333333333,4.18000675026729
"AARS2",13.38072,13.38072,4.02726,4.870429,3.692426,4.196705,2.76727657236653
"AARSD1",16.24358,16.24358,57.596898,71.665882,48.347544,59.2034413333333,0.286421832674416
"AASDH",2.40646,2.40646,5.317648,4.075445,5.487073,4.96005533333333,0.571548384953473
"AASDHPPT",24.45872,24.45872,104.747918,110.344793,89.985303,101.692671333333,0.247911751339711
"AASS",13.17327,13.17327,2.628604,2.250706,1.439504,2.10627133333333,4.56279200336008
"AATF",41.20018,41.20018,16.465887,17.429714,15.691305,16.5289686666667,2.40745367297327
