"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"A1BG",8.87899,8.87899,8.512248,7.362639,11.019571,8.96481933333333,0.991386764730774
"A1CF",0,0,0.012027,0,0.110455,0.0408273333333333,0.960774153381829
"A2M",91.00966,91.00966,166.022861,193.59196,157.990809,172.53521,0.530207443204177
"A2ML1",3.36074,3.36074,0.804659,0.257959,0.950643,0.671087,2.6095230230383
"A2MP1",0.6846,0.6846,0,0.07058,0.098361,0.0563136666666667,1.5947914461014
"A4GALT",3.21552,3.21552,4.719891,2.211286,2.676825,3.20266733333333,1.00305821651995
"A4GNT",0.14522,0.14522,0.099138,0,0,0.033046,1.10858567769489
"AAAS",41.49062,41.49062,22.215928,24.455156,21.480131,22.7170716666667,1.79156265989274
"AACS",19.77028,19.77028,17.933589,18.199238,25.629245,20.5873573333333,0.96215019185921
"AACSP1",0,0,0.872217,1.108501,1.29987,1.09352933333333,0.47766228257609
"AADAC",0,0,0,0,0,0,1
"AADACL2",0,0,0,0,0.016678,0.00555933333333333,0.994471401985893
"AADACL3",0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,1
"AADAT",9.04495,9.04495,13.595651,16.190365,22.775181,17.520399,0.542372224270114
"AAGAB",13.06954,13.06954,22.912872,27.695939,31.184347,27.264386,0.497783323508248
"AAK1",24.23052,24.23052,11.479212,14.408764,9.576512,11.821496,1.96782965107972
"AAMP",147.04274,147.04274,63.531145,62.598294,71.307854,65.812431,2.21579633885796
"AANAT",1.70112,1.70112,0.21683,0.243358,0.326805,0.262331,2.13978742500976
"AAR2",10.64234,10.64234,10.815465,10.804659,13.984677,11.868267,0.904732548679632
"AARD",3.92086,3.92086,1.609116,1.070727,1.582262,1.42070166666667,2.0328238162351
"AARS2",13.38072,13.38072,5.079803,4.491045,5.615728,5.062192,2.37219804321605
"AARSD1",16.24358,16.24358,51.795203,58.156602,82.475187,64.1423306666667,0.264706218268969
"AASDH",2.40646,2.40646,6.432077,7.774202,3.850395,6.01889133333333,0.485327359866995
"AASDHPPT",24.45872,24.45872,58.628575,94.077285,98.573128,83.7596626666667,0.300363630517516
"AASS",13.17327,13.17327,13.774036,8.645864,8.691924,10.370608,1.24648303767046
"AATF",41.20018,41.20018,15.556557,12.511396,24.184485,17.4174793333333,2.29131138068514
"AATK",483.11672,483.11672,10.041919,13.414946,14.753141,12.7366686666667,35.2426583000255
"ABAT",82.52483,82.52483,20.235765,20.679629,22.875907,21.263767,3.75160367066364
"ABCA1",2.48944,2.48944,9.443781,4.284659,2.688057,5.47216566666667,0.539145655367186
"ABCA10",5.33154,5.33154,4.203212,3.140601,2.629465,3.324426,1.46413419954463
"ABCA11P",6.26508,6.26508,2.951542,3.925685,3.428422,3.43521633333333,1.63804411194073
"ABCA12",0.20745,0.20745,0.045172,0.022129,0.054667,0.040656,1.1602777478821
"ABCA13",0.37342,0.37342,0.473253,0.153458,0.298046,0.308252333333333,1.04981276547822
"ABCA17P",10.01998,10.01998,3.708489,2.524203,3.578368,3.27035333333333,2.5805780317944
"ABCA2",1729.4948,1729.4948,65.073528,68.481942,65.791533,66.449001,25.6563444134628
"ABCA3",41.46987,41.46987,27.609577,42.459618,39.449413,36.5062026666667,1.1323425721726
"ABCA4",0.04149,0.04149,1.143229,0.018773,0.021485,0.394495666666667,0.746857824585089
"ABCA5",15.64196,15.64196,12.626236,11.918269,12.828291,12.4575986666667,1.23662180840782
"ABCA6",9.25241,9.25241,1.147123,0.606076,1.259058,1.00408566666667,5.11575436645506
"ABCA7",20.53785,20.53785,22.668326,32.522392,34.714621,29.9684463333333,0.695477253465487
"ABCA8",43.39918,43.39918,41.403634,26.861255,35.063602,34.4428303333333,1.25269848887444
"ABCA9",3.17403,3.17403,1.381284,1.137468,5.074584,2.531112,1.18207238966082
"ABCB1",22.50866,22.50866,0.30007,0.314046,0.298593,0.304236333333333,18.0248467238427
"ABCB10",4.64695,4.64695,4.896031,7.84716,8.051324,6.931505,0.711964501062535
"ABCB11",0.14522,0.14522,1.175122,1.322998,0.805546,1.101222,0.545025704090287
