"Hs_symbol","DRG","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","FoldChange"
"A1BG",14.4996,14.4996,5.64798,11.508254,10.164183,9.10680566666667,1.53358049132372
"A1CF",0,0,0.008778,0.015491,0.033933,0.0194006666666667,0.980968556033905
"A2M",162.84087,162.84087,40.625779,51.799758,89.320033,60.5818566666667,2.66053800369882
"A2ML1",1.18129,1.18129,0.729893,0.415146,1.694227,0.946422,1.1206665358283
"A2MP1",0.39725,0.39725,0.092784,0.262009,0.132758,0.162517,1.20191790743705
"A4GALT",72.86389,72.86389,10.846069,12.300869,12.113367,11.753435,5.79168592618381
"A4GNT",0.02091,0.02091,0,0,0,0,1.02091
"AAAS",30.26413,30.26413,15.794751,14.437361,18.892936,16.375016,1.79937273151288
"AACS",31.73813,31.73813,16.816166,15.213942,17.768125,16.599411,1.86018327545166
"AACSP1",0,0,0.49208,0.549654,1.355209,0.798981,0.555870239874685
"AADAC",0,0,0,0,0,0,1
"AADACL2",0,0,0.015844,0,0,0.00528133333333333,0.994746412612854
"AADACL3",0,0,0.019721,0.018105,0,0.0126086666666667,0.987548332261295
"AADACL4",0.01045,0.01045,0,0,0,0,1.01045
"AADAT",3.94113,3.94113,23.254813,19.782313,24.720589,22.585905,0.209495035276365
"AAGAB",29.97142,29.97142,38.022919,40.964417,49.3614,42.782912,0.70738602311331
"AAK1",5.18515,5.18515,10.270345,12.426278,11.917593,11.538072,0.493309497664394
"AAMP",123.36683,123.36683,70.693659,74.272111,74.414188,73.1266526666667,1.67776131156568
"AANAT",1.03494,1.03494,0.455665,0.118631,0.121817,0.232037666666667,1.65168651499562
"AAR2",18.44073,18.44073,12.288203,12.652486,12.834718,12.5918023333333,1.43032759918252
"AARD",4.22339,4.22339,0.417513,1.538506,1.037211,0.997743333333333,2.61464519132421
"AARS2",8.61404,8.61404,3.755461,4.640839,4.294325,4.23020833333333,1.83817534355706
"AARSD1",51.0779,51.0779,63.27632,66.968262,84.250953,71.4985116666667,0.718330608488124
"AASDH",3.3348,3.3348,3.182292,4.853213,4.954761,4.33008866666667,0.813269772998148
"AASDHPPT",24.47265,24.47265,129.667907,110.451006,134.287207,124.80204,0.202482010625583
"AASS",7.33866,7.33866,4.313875,2.742641,4.506,3.854172,1.71783364907548
"AATF",42.6834,42.6834,14.476301,19.209898,14.950782,16.212327,2.5379136708244
"AATK",173.04391,173.04391,14.223841,16.332434,12.634368,14.396881,11.3038419924139
"ABAT",14.94912,14.94912,28.063871,26.832749,35.879571,30.2587303333333,0.510229296901172
"ABCA1",3.21981,3.21981,4.057191,3.554462,2.51638,3.376011,0.964305162852653
"ABCA10",17.14445,17.14445,2.244064,0.973671,2.240683,1.81947266666667,6.43540553328057
"ABCA11P",2.91665,2.91665,2.783632,1.968935,3.820819,2.85779533333333,1.01525603656527
"ABCA12",0.04182,0.04182,0.083238,0.230357,0.054846,0.122813666666667,0.927865442796831
"ABCA13",0.31362,0.31362,0.087452,0.016383,0.151556,0.0851303333333333,1.21056426094438
"ABCA17P",3.9934,3.9934,2.031216,2.837622,4.432733,3.10052366666667,1.21774690403364
"ABCA2",190.96195,190.96195,107.50449,75.111095,79.577059,87.397548,2.17157550569163
"ABCA3",75.62373,75.62373,51.9705,59.537578,54.006441,55.1715063333333,1.36410317261743
"ABCA4",0.33453,0.33453,0.905126,0.080781,0.014008,0.333305,1.00091876952385
"ABCA5",12.96287,12.96287,15.166472,15.375498,16.666334,15.7361013333333,0.83429645422797
"ABCA6",12.28337,12.28337,0.380325,0.502694,0.140608,0.341209,9.90402688917238
